query_file;found;search_result;search_distances
000000.txt;False;077749.txt;0.7152068
000001.txt;True;000001.txt;0.9499879
000002.txt;False;007581.txt;1.1451643
000003.txt;True;000003.txt;0.930778
000004.txt;False;013078.txt;1.3020941
000005.txt;False;078876.txt;1.0067325
000006.txt;False;031736.txt;1.0318596
000007.txt;True;000007.txt;1.0890357
000008.txt;False;055865.txt;0.9371677
000009.txt;False;001664.txt;1.2482758
000010.txt;False;000453.txt;1.1178739
000011.txt;True;000011.txt;0.8421153
000012.txt;True;000012.txt;0.735714
000013.txt;True;000013.txt;1.119516
000014.txt;False;040097.txt;0.96213907
000015.txt;True;000015.txt;1.0561475
000016.txt;False;000015.txt;1.0973018
000017.txt;True;000017.txt;1.2397599
000018.txt;True;000018.txt;0.77696675
000019.txt;True;000019.txt;0.64265
000020.txt;True;000020.txt;1.0717664
000021.txt;True;000021.txt;0.7885761
000022.txt;True;000022.txt;0.86777097
000023.txt;True;000023.txt;0.8329992
000024.txt;True;000024.txt;0.8496549
000025.txt;True;000025.txt;0.785794
000026.txt;True;000026.txt;0.65470886
000027.txt;True;000027.txt;0.76914656
000028.txt;True;000028.txt;0.7938899
000029.txt;True;000029.txt;0.74081486
000030.txt;False;078473.txt;0.7108966
000031.txt;True;000031.txt;0.85784113
000032.txt;False;049495.txt;1.4563823
000034.txt;True;000034.txt;0.5734175
000035.txt;False;069783.txt;1.0046349
000036.txt;False;035473.txt;0.8999545
000037.txt;True;000037.txt;0.8088975
000038.txt;True;000038.txt;0.7736956
000039.txt;True;000039.txt;0.75462997
000040.txt;True;000040.txt;0.79872346
000041.txt;True;000041.txt;0.76993036
000042.txt;True;000042.txt;0.75670946
000043.txt;True;000043.txt;0.7947618
000044.txt;False;003340.txt;0.9438349
000045.txt;False;078675.txt;0.95797145
000046.txt;False;000127.txt;0.84126157
000047.txt;True;000047.txt;0.9303261
000048.txt;False;005037.txt;1.0672019
000049.txt;False;030729.txt;1.119781
000050.txt;False;030729.txt;0.9070095
000051.txt;False;003352.txt;0.93972754
000052.txt;False;000189.txt;0.9764594
000053.txt;False;030729.txt;1.061374
000054.txt;False;072433.txt;1.21245
000055.txt;False;020197.txt;1.0372436
000056.txt;False;030729.txt;0.8916718
000057.txt;False;004089.txt;1.0038341
000058.txt;True;000058.txt;0.51789737
000059.txt;False;005854.txt;0.8646567
000060.txt;False;030729.txt;1.0227202
000061.txt;True;000061.txt;0.986596
000062.txt;True;000062.txt;0.5872203
000063.txt;True;000063.txt;1.0357499
000064.txt;False;002787.txt;1.1296954
000065.txt;False;024846.txt;1.1052247
000066.txt;False;070969.txt;1.0531385
000067.txt;True;000067.txt;0.8445506
000068.txt;True;000068.txt;0.5707161
000069.txt;True;000069.txt;0.8242018
000070.txt;False;072979.txt;1.1372066
000071.txt;False;000602.txt;1.1881967
000072.txt;True;000072.txt;0.71388423
000073.txt;False;023569.txt;0.72159684
000074.txt;False;068828.txt;1.1887727
000075.txt;True;000075.txt;0.90502816
000076.txt;True;000076.txt;0.99387574
000077.txt;True;000077.txt;1.0175734
000078.txt;False;034469.txt;1.3229276
000079.txt;False;000155.txt;0.9480885
000080.txt;False;015401.txt;1.1771562
000081.txt;True;000081.txt;1.250235
000082.txt;True;000082.txt;1.2279813
000083.txt;True;000083.txt;1.0414319
000084.txt;False;023569.txt;1.1536334
000085.txt;False;006057.txt;1.091603
000086.txt;True;000086.txt;0.77324057
000087.txt;False;002447.txt;1.0700587
000088.txt;False;069591.txt;0.8035709
000089.txt;False;069591.txt;0.9599972
000090.txt;True;000090.txt;0.96800995
000091.txt;False;041618.txt;0.7588104
000092.txt;True;000092.txt;0.8582171
000093.txt;True;000093.txt;0.9333577
000094.txt;True;000094.txt;0.82876074
000095.txt;True;000095.txt;0.8409233
000096.txt;True;000096.txt;0.794322
000097.txt;False;078761.txt;0.89545447
000098.txt;True;000098.txt;0.590038
000099.txt;True;000099.txt;0.93662024
000100.txt;True;000100.txt;0.83027387
000101.txt;False;015657.txt;1.2522004
000102.txt;False;018029.txt;1.0579281
000103.txt;True;000103.txt;0.71970546
000104.txt;False;004931.txt;1.1402937
000105.txt;False;050096.txt;1.2323267
000106.txt;False;063895.txt;1.1187875
000107.txt;True;000107.txt;1.1166122
000108.txt;True;000108.txt;0.7385358
000109.txt;True;000109.txt;0.7889103
000110.txt;False;041440.txt;0.9995892
000111.txt;False;077231.txt;1.1027575
000112.txt;False;040567.txt;1.2570617
000113.txt;False;072680.txt;0.81896687
000114.txt;False;062144.txt;1.094216
000115.txt;False;014503.txt;1.2177895
000116.txt;False;078095.txt;1.0612006
000117.txt;True;000117.txt;1.147157
000118.txt;False;000121.txt;0.9718267
000119.txt;False;011320.txt;1.1169696
000120.txt;True;000120.txt;0.6673658
000121.txt;True;000121.txt;0.6229373
000122.txt;True;000122.txt;0.9489281
000123.txt;True;000123.txt;1.0020255
000124.txt;True;000124.txt;0.8535291
000126.txt;False;000128.txt;1.0292492
000127.txt;True;000127.txt;0.9662305
000128.txt;True;000128.txt;0.79272723
000129.txt;False;007040.txt;0.83940184
000130.txt;False;067423.txt;1.0132729
000131.txt;False;000133.txt;1.0241057
000132.txt;False;000128.txt;0.9654271
000133.txt;True;000133.txt;0.9732599
000134.txt;False;058264.txt;0.9350888
000135.txt;True;000135.txt;0.96434444
000136.txt;False;042218.txt;1.1351793
000137.txt;False;002135.txt;1.179275
000138.txt;False;046851.txt;0.9137683
000139.txt;False;011640.txt;1.0146142
000140.txt;True;000140.txt;0.99590766
000141.txt;False;026475.txt;1.4644213
000142.txt;False;078095.txt;1.1120067
000143.txt;False;014674.txt;0.97150767
000144.txt;False;014751.txt;1.1300892
000145.txt;False;002447.txt;1.0833651
000146.txt;True;000146.txt;0.7980964
000147.txt;False;002540.txt;1.037733
000148.txt;True;000148.txt;1.1816127
000149.txt;False;025762.txt;0.76198864
000150.txt;False;015008.txt;1.2802837
000151.txt;False;000147.txt;0.89298606
000152.txt;False;053640.txt;1.1913626
000153.txt;True;000153.txt;0.43592882
000154.txt;False;069306.txt;1.066049
000155.txt;False;000196.txt;0.8592632
000156.txt;False;026473.txt;1.078074
000157.txt;False;078565.txt;1.0350142
000158.txt;False;004272.txt;0.95527494
000159.txt;False;000163.txt;1.0806452
000160.txt;True;000160.txt;0.86367553
000161.txt;True;000161.txt;0.91200584
000162.txt;False;017387.txt;1.1191101
000163.txt;True;000163.txt;0.97575176
000164.txt;True;000164.txt;0.9454075
000165.txt;False;065248.txt;0.87064356
000166.txt;True;000166.txt;1.0838183
000167.txt;True;000167.txt;0.8044341
000168.txt;False;062385.txt;1.0560176
000169.txt;False;018029.txt;1.0846928
000170.txt;True;000170.txt;1.3054019
000171.txt;True;000171.txt;0.77367765
000172.txt;True;000172.txt;0.96303236
000173.txt;False;076645.txt;1.2541871
000174.txt;False;076970.txt;0.9249348
000175.txt;False;044445.txt;0.77935046
000176.txt;True;000176.txt;0.9488787
000177.txt;False;075341.txt;1.0568513
000178.txt;False;021886.txt;1.1040689
000179.txt;False;004008.txt;1.3280616
000180.txt;True;000180.txt;1.1579107
000181.txt;False;000182.txt;1.0851077
000182.txt;True;000182.txt;0.9153471
000183.txt;True;000183.txt;0.82118225
000184.txt;True;000184.txt;1.0078456
000185.txt;True;000185.txt;1.0257764
000186.txt;True;000186.txt;1.1548464
000187.txt;True;000187.txt;0.91116154
000188.txt;True;000188.txt;0.89096534
000189.txt;False;010529.txt;0.9580858
000190.txt;False;003353.txt;0.9165363
000191.txt;True;000191.txt;1.0397499
000192.txt;False;019221.txt;0.9823707
000193.txt;False;040356.txt;1.0720258
000194.txt;False;062902.txt;1.0773728
000195.txt;False;004675.txt;0.8424187
000196.txt;True;000196.txt;0.82281244
000197.txt;False;078659.txt;1.3085041
000198.txt;False;040718.txt;1.2619025
000199.txt;True;000199.txt;0.68479955
000200.txt;False;033062.txt;1.3415736
000201.txt;False;001019.txt;0.7604462
000202.txt;True;000202.txt;1.194628
000203.txt;False;040541.txt;1.0242871
000204.txt;False;078625.txt;0.70961046
000205.txt;False;078625.txt;0.7559753
000206.txt;False;034877.txt;1.0551939
000207.txt;True;000207.txt;0.68855417
000208.txt;True;000208.txt;0.8858124
000209.txt;True;000209.txt;1.1474745
000210.txt;False;007585.txt;1.1253823
000211.txt;True;000211.txt;1.1811613
000212.txt;True;000212.txt;0.95335877
000213.txt;True;000213.txt;1.006208
000214.txt;True;000214.txt;0.49664858
000215.txt;True;000215.txt;0.67146605
000216.txt;False;013032.txt;1.0266606
000217.txt;False;000214.txt;0.96591955
000219.txt;False;018621.txt;0.90724677
000220.txt;False;078947.txt;0.87174654
000221.txt;True;000221.txt;0.6455169
000222.txt;True;000222.txt;0.6356126
000223.txt;False;068244.txt;1.2754066
000224.txt;True;000224.txt;1.0960749
000225.txt;True;000225.txt;0.904302
000226.txt;True;000226.txt;0.6590677
000227.txt;True;000227.txt;0.83132374
000228.txt;False;012047.txt;1.1807454
000229.txt;True;000229.txt;0.9631192
000230.txt;False;038154.txt;0.7877327
000231.txt;True;000231.txt;1.2551742
000232.txt;False;052227.txt;1.3850161
000233.txt;False;037413.txt;0.7419338
