query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.11753299
000001.txt;False;026031.txt;0.36626238
000002.txt;False;041998.txt;0.33118388
000003.txt;False;076693.txt;0.28640383
000004.txt;False;015965.txt;0.34135097
000005.txt;False;078876.txt;0.29536706
000006.txt;False;054595.txt;0.35416377
000007.txt;False;025953.txt;0.30755025
000008.txt;False;036231.txt;0.17366865
000009.txt;True;000009.txt;0.455137
000010.txt;False;054029.txt;0.29355633
000011.txt;True;000011.txt;0.19407469
000012.txt;True;000012.txt;0.18564382
000013.txt;False;007426.txt;0.3156197
000014.txt;False;003321.txt;0.29258013
000015.txt;False;053115.txt;0.37752908
000016.txt;False;069346.txt;0.3131273
000017.txt;False;040414.txt;0.35706368
000018.txt;True;000018.txt;0.30068606
000019.txt;False;002039.txt;0.132522
000020.txt;False;020092.txt;0.3304319
000021.txt;True;000021.txt;0.18379772
000022.txt;True;000022.txt;0.16834494
000023.txt;False;058403.txt;0.21225514
000024.txt;False;058403.txt;0.20057574
000025.txt;True;000025.txt;0.17223765
000026.txt;True;000026.txt;0.14969331
000027.txt;True;000027.txt;0.1758357
000028.txt;True;000028.txt;0.19129612
000029.txt;True;000029.txt;0.18429759
000030.txt;False;012604.txt;0.14826797
000031.txt;False;004272.txt;0.26609987
000032.txt;False;071876.txt;0.3647509
000034.txt;True;000034.txt;0.10158385
000035.txt;True;000035.txt;0.2618217
000036.txt;False;019698.txt;0.22118977
000037.txt;True;000037.txt;0.22344466
000038.txt;True;000038.txt;0.18885481
000039.txt;True;000039.txt;0.19640698
000040.txt;True;000040.txt;0.19724193
000041.txt;True;000041.txt;0.17590848
000042.txt;True;000042.txt;0.17456485
000043.txt;True;000043.txt;0.17492905
000044.txt;False;004897.txt;0.26531023
000045.txt;True;000045.txt;0.3054018
000046.txt;False;000282.txt;0.32195717
000047.txt;False;009013.txt;0.29241967
000048.txt;False;005037.txt;0.26805642
000049.txt;False;045899.txt;0.3306939
000050.txt;False;002950.txt;0.2285572
000051.txt;False;068052.txt;0.27554303
000052.txt;False;000189.txt;0.26973754
000053.txt;False;015409.txt;0.2726213
000054.txt;False;006174.txt;0.29352987
000055.txt;False;042868.txt;0.24302039
000056.txt;False;030729.txt;0.22309801
000057.txt;False;030729.txt;0.22624288
000058.txt;True;000058.txt;0.23384632
000059.txt;False;076116.txt;0.20738941
000060.txt;False;015401.txt;0.25382957
000061.txt;False;068841.txt;0.28033358
000062.txt;True;000062.txt;0.16555108
000063.txt;True;000063.txt;0.31795645
000064.txt;False;002787.txt;0.34237194
000065.txt;False;002681.txt;0.2785527
000066.txt;False;003766.txt;0.22773999
