query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.37352514
000001.txt;True;000001.txt;0.2172725
000002.txt;True;000002.txt;0.24472198
000003.txt;True;000003.txt;0.26853782
000004.txt;False;001146.txt;0.42019475
000005.txt;False;078876.txt;0.29954875
000006.txt;True;000006.txt;0.38691625
000007.txt;False;032220.txt;0.4024352
000008.txt;False;078925.txt;0.40699458
000009.txt;False;006026.txt;0.29518363
000010.txt;True;000010.txt;0.279873
000011.txt;False;001560.txt;0.23590782
000012.txt;True;000012.txt;0.2391376
000013.txt;True;000013.txt;0.21316004
000014.txt;True;000014.txt;0.20894505
000015.txt;True;000015.txt;0.20067406
000016.txt;False;000015.txt;0.25510314
000017.txt;True;000017.txt;0.27897584
000018.txt;True;000018.txt;0.1732896
000019.txt;True;000019.txt;0.3104869
000020.txt;True;000020.txt;0.3362752
000021.txt;True;000021.txt;0.18681553
000022.txt;True;000022.txt;0.17482102
000023.txt;True;000023.txt;0.21909352
000024.txt;True;000024.txt;0.20360354
000025.txt;True;000025.txt;0.15684775
000026.txt;True;000026.txt;0.25444466
000027.txt;True;000027.txt;0.15930903
000028.txt;True;000028.txt;0.14386016
000029.txt;True;000029.txt;0.16267012
000030.txt;True;000030.txt;0.28427637
000031.txt;True;000031.txt;0.23104885
000032.txt;True;000032.txt;0.2544698
000034.txt;False;006422.txt;0.4330938
000035.txt;True;000035.txt;0.400821
000036.txt;True;000036.txt;0.34763032
000037.txt;True;000037.txt;0.17394808
000038.txt;True;000038.txt;0.15559383
000039.txt;True;000039.txt;0.17282102
000040.txt;True;000040.txt;0.16206118
000041.txt;True;000041.txt;0.16478834
000042.txt;True;000042.txt;0.14757267
000043.txt;True;000043.txt;0.16419774
000044.txt;True;000044.txt;0.29807383
000045.txt;True;000045.txt;0.29480937
000046.txt;False;075527.txt;0.3147154
000047.txt;False;000187.txt;0.27481508
000048.txt;True;000048.txt;0.1773743
000049.txt;True;000049.txt;0.22585511
000050.txt;True;000050.txt;0.2913048
000051.txt;True;000051.txt;0.33829623
000052.txt;True;000052.txt;0.2511828
000053.txt;True;000053.txt;0.2928283
000054.txt;True;000054.txt;0.31955865
000055.txt;True;000055.txt;0.40305147
000056.txt;True;000056.txt;0.289456
000057.txt;True;000057.txt;0.29745582
000058.txt;True;000058.txt;0.19890565
000059.txt;False;027807.txt;0.46509236
000060.txt;True;000060.txt;0.22836588
000061.txt;True;000061.txt;0.3056045
000062.txt;True;000062.txt;0.30384648
000063.txt;True;000063.txt;0.3413219
000064.txt;True;000064.txt;0.31723642
000065.txt;True;000065.txt;0.34463683
000066.txt;True;000066.txt;0.30364296
000067.txt;True;000067.txt;0.26275212
000068.txt;True;000068.txt;0.33978242
000069.txt;True;000069.txt;0.30537525
000070.txt;True;000070.txt;0.3554445
000071.txt;False;008550.txt;0.3758406
000072.txt;True;000072.txt;0.21375498
000073.txt;False;029517.txt;0.3586215
000074.txt;False;053465.txt;0.40473533
000075.txt;False;027942.txt;0.40335804
000076.txt;True;000076.txt;0.37747765
000077.txt;True;000077.txt;0.2265739
000078.txt;True;000078.txt;0.37706518
000079.txt;True;000079.txt;0.3191194
000080.txt;True;000080.txt;0.25305158
000081.txt;True;000081.txt;0.27214956
000082.txt;True;000082.txt;0.27946824
000083.txt;True;000083.txt;0.3856516
000084.txt;True;000084.txt;0.36805627
000085.txt;False;064703.txt;0.3657189
000086.txt;False;013894.txt;0.39468703
000087.txt;True;000087.txt;0.2994234
000088.txt;True;000088.txt;0.3667214
000089.txt;False;000088.txt;0.42592973
000090.txt;True;000090.txt;0.3384556
000091.txt;True;000091.txt;0.23875308
000092.txt;False;031581.txt;0.41751763
000093.txt;True;000093.txt;0.26530758
000094.txt;False;019647.txt;0.40137553
000095.txt;True;000095.txt;0.31562603
000096.txt;True;000096.txt;0.39273334
000097.txt;True;000097.txt;0.39723104
000098.txt;True;000098.txt;0.23643738
000099.txt;True;000099.txt;0.34838638
000100.txt;True;000100.txt;0.33067518
000101.txt;False;015657.txt;0.34957665
000102.txt;True;000102.txt;0.343806
000103.txt;False;034459.txt;0.39323324
000104.txt;False;014420.txt;0.41354585
000105.txt;True;000105.txt;0.2996071
000106.txt;False;074841.txt;0.4128843
000107.txt;True;000107.txt;0.3058688
000108.txt;True;000108.txt;0.16037503
000109.txt;True;000109.txt;0.14313182
000110.txt;False;044039.txt;0.40733477
000111.txt;True;000111.txt;0.24169269
000112.txt;False;028482.txt;0.3830161
000113.txt;True;000113.txt;0.3589372
000114.txt;False;055978.txt;0.42328063
000115.txt;True;000115.txt;0.3294101
000116.txt;False;063668.txt;0.33657002
000117.txt;True;000117.txt;0.3832532
000118.txt;False;000120.txt;0.2205973
000119.txt;False;005361.txt;0.3888232
000120.txt;True;000120.txt;0.15326858
000121.txt;True;000121.txt;0.144305
000122.txt;True;000122.txt;0.46344993
000123.txt;False;072794.txt;0.39086097
000124.txt;True;000124.txt;0.29641405
000126.txt;True;000126.txt;0.32354486
000127.txt;True;000127.txt;0.2694657
000128.txt;True;000128.txt;0.19573995
000129.txt;False;000112.txt;0.41738957
000130.txt;True;000130.txt;0.2931015
000131.txt;False;000128.txt;0.3487691
000132.txt;True;000132.txt;0.29920375
000133.txt;True;000133.txt;0.27718115
000134.txt;False;005800.txt;0.4282721
000135.txt;True;000135.txt;0.23469706
000136.txt;True;000136.txt;0.17884327
000137.txt;True;000137.txt;0.36125267
000138.txt;True;000138.txt;0.2405798
000139.txt;False;035877.txt;0.39718762
000140.txt;True;000140.txt;0.24792936
000141.txt;False;010506.txt;0.36844307
000142.txt;True;000142.txt;0.3223234
000143.txt;False;030924.txt;0.3986663
000144.txt;True;000144.txt;0.3133366
000145.txt;True;000145.txt;0.35926002
000146.txt;False;042891.txt;0.4221437
000147.txt;False;020216.txt;0.42483974
000148.txt;False;044213.txt;0.37754744
000149.txt;True;000149.txt;0.27669486
000150.txt;True;000150.txt;0.36740324
000151.txt;False;019628.txt;0.42658618
000152.txt;False;021788.txt;0.40185466
000153.txt;True;000153.txt;0.24061996
000154.txt;True;000154.txt;0.35009992
000155.txt;True;000155.txt;0.40589112
000156.txt;True;000156.txt;0.33222014
000157.txt;True;000157.txt;0.31619152
000158.txt;True;000158.txt;0.31201527
000159.txt;False;066177.txt;0.34327656
000160.txt;False;001824.txt;0.2786597
000161.txt;True;000161.txt;0.28916356
000162.txt;False;074339.txt;0.3872387
000163.txt;True;000163.txt;0.3021074
000164.txt;True;000164.txt;0.31170177
000165.txt;True;000165.txt;0.24564809
000166.txt;True;000166.txt;0.21189901
000167.txt;True;000167.txt;0.29736656
000168.txt;True;000168.txt;0.37449595
000169.txt;True;000169.txt;0.26127267
000170.txt;True;000170.txt;0.2985443
000171.txt;True;000171.txt;0.22450207
000172.txt;False;065862.txt;0.38797185
000173.txt;True;000173.txt;0.340923
000174.txt;True;000174.txt;0.29393584
000175.txt;True;000175.txt;0.37104094
000176.txt;True;000176.txt;0.21341349
000177.txt;True;000177.txt;0.36552608
000178.txt;True;000178.txt;0.31047907
000179.txt;True;000179.txt;0.2796502
000180.txt;True;000180.txt;0.36167395
000181.txt;True;000181.txt;0.2417867
000182.txt;True;000182.txt;0.2134183
000183.txt;True;000183.txt;0.19024731
000184.txt;True;000184.txt;0.28913027
000185.txt;True;000185.txt;0.2714037
000186.txt;False;011515.txt;0.40832156
000187.txt;True;000187.txt;0.22951762
000188.txt;True;000188.txt;0.19851205
000189.txt;True;000189.txt;0.2806065
000190.txt;True;000190.txt;0.25570577
000191.txt;True;000191.txt;0.23093879
000192.txt;True;000192.txt;0.30385408
000193.txt;True;000193.txt;0.26449353
000194.txt;True;000194.txt;0.35298556
000195.txt;False;006972.txt;0.34228837
000196.txt;True;000196.txt;0.3743469
000197.txt;False;000702.txt;0.39581883
000198.txt;True;000198.txt;0.414163
000199.txt;True;000199.txt;0.2780202
000200.txt;False;008343.txt;0.38711798
000201.txt;True;000201.txt;0.38336998
000202.txt;True;000202.txt;0.33133784
000203.txt;True;000203.txt;0.256327
000204.txt;False;078785.txt;0.28380555
000205.txt;True;000205.txt;0.2807424
000206.txt;True;000206.txt;0.23604682
000207.txt;True;000207.txt;0.39248407
000208.txt;False;069406.txt;0.43809772
000209.txt;False;018280.txt;0.40483725
000210.txt;True;000210.txt;0.2563066
000211.txt;False;020703.txt;0.37924403
000212.txt;False;029360.txt;0.33606625
000213.txt;False;009319.txt;0.34611163
000214.txt;True;000214.txt;0.18174392
000215.txt;True;000215.txt;0.32739633
000216.txt;False;038492.txt;0.440731
000217.txt;True;000217.txt;0.27242127
000219.txt;True;000219.txt;0.33856872
000220.txt;True;000220.txt;0.34922293
000221.txt;True;000221.txt;0.22616166
000222.txt;True;000222.txt;0.37082368
000223.txt;False;075169.txt;0.43743765
000224.txt;True;000224.txt;0.34344095
000225.txt;True;000225.txt;0.24368879
000226.txt;True;000226.txt;0.38903272
000227.txt;True;000227.txt;0.24707349
000228.txt;False;028470.txt;0.43144846
000229.txt;False;000519.txt;0.44151127
000230.txt;True;000230.txt;0.36807656
000231.txt;False;004097.txt;0.45298457
000232.txt;False;008525.txt;0.46632007
000233.txt;True;000233.txt;0.3432255
000234.txt;False;020224.txt;0.43744588
000235.txt;True;000235.txt;0.31540108
000236.txt;True;000236.txt;0.27398527
000237.txt;False;039059.txt;0.45327327
000238.txt;True;000238.txt;0.21992528
000239.txt;False;038300.txt;0.42773083
000240.txt;True;000240.txt;0.39026666
000241.txt;True;000241.txt;0.21320815
000242.txt;True;000242.txt;0.41851854
000243.txt;True;000243.txt;0.23917302
000244.txt;False;007739.txt;0.42222685
000245.txt;True;000245.txt;0.3083912
000246.txt;True;000246.txt;0.321419
000247.txt;False;076627.txt;0.39309675
000248.txt;True;000248.txt;0.35126048
000249.txt;True;000249.txt;0.2395334
000250.txt;True;000250.txt;0.26072168
000251.txt;True;000251.txt;0.28895298
000252.txt;True;000252.txt;0.23500977
000253.txt;True;000253.txt;0.292731
000254.txt;False;024937.txt;0.40319788
000255.txt;True;000255.txt;0.27129525
000256.txt;True;000256.txt;0.35434115
000257.txt;False;078867.txt;0.35132098
000258.txt;False;002438.txt;0.42132086
000259.txt;False;003752.txt;0.35035962
000260.txt;False;078796.txt;0.35740098
000261.txt;False;047085.txt;0.43734735
000262.txt;True;000262.txt;0.19516724
000263.txt;False;051950.txt;0.3860483
000264.txt;False;044777.txt;0.37727213
000265.txt;True;000265.txt;0.2450448
000266.txt;True;000266.txt;0.39037204
000267.txt;True;000267.txt;0.32228804
000268.txt;True;000268.txt;0.38198382
000269.txt;True;000269.txt;0.27769107
000270.txt;False;006069.txt;0.28653657
000271.txt;True;000271.txt;0.2608828
000272.txt;True;000272.txt;0.28861105
000273.txt;False;075527.txt;0.32661068
000274.txt;False;075527.txt;0.29148936
000275.txt;True;000275.txt;0.18276672
000276.txt;True;000276.txt;0.35030243
000277.txt;True;000277.txt;0.16967618
000278.txt;True;000278.txt;0.27645123
000279.txt;True;000279.txt;0.25381666
000280.txt;False;067422.txt;0.29768845
000281.txt;True;000281.txt;0.29074475
000282.txt;True;000282.txt;0.31504965
000283.txt;True;000283.txt;0.37334284
000284.txt;False;078813.txt;0.3409786
000285.txt;True;000285.txt;0.3121665
000286.txt;False;000045.txt;0.31089574
000287.txt;True;000287.txt;0.31737536
000288.txt;True;000288.txt;0.27093732
000289.txt;False;056567.txt;0.37098187
000290.txt;False;063639.txt;0.5289556
000291.txt;True;000291.txt;0.30059665
000292.txt;True;000292.txt;0.3253911
000293.txt;True;000293.txt;0.26991057
000294.txt;False;036465.txt;0.40289414
000295.txt;True;000295.txt;0.27911717
000296.txt;False;029341.txt;0.42346615
000297.txt;True;000297.txt;0.40703583
000298.txt;False;021485.txt;0.4000093
000299.txt;True;000299.txt;0.24350658
000300.txt;True;000300.txt;0.23328327
000301.txt;True;000301.txt;0.25551063
000302.txt;True;000302.txt;0.27512425
000303.txt;True;000303.txt;0.31645378
000304.txt;True;000304.txt;0.36364493
000305.txt;True;000305.txt;0.24906471
000306.txt;True;000306.txt;0.38235563
000308.txt;True;000308.txt;0.21811384
000309.txt;False;006915.txt;0.30910218
000310.txt;True;000310.txt;0.27007008
000311.txt;True;000311.txt;0.37164947
000312.txt;True;000312.txt;0.20045695
000313.txt;True;000313.txt;0.23231232
000314.txt;True;000314.txt;0.29613733
000315.txt;True;000315.txt;0.2952175
000316.txt;False;056213.txt;0.32683063
000317.txt;True;000317.txt;0.22900227
000318.txt;False;075603.txt;0.37514788
000319.txt;True;000319.txt;0.25361833
000320.txt;True;000320.txt;0.2140489
000321.txt;True;000321.txt;0.2410079
000322.txt;True;000322.txt;0.26779664
000323.txt;True;000323.txt;0.37440306
000324.txt;True;000324.txt;0.23531204
000325.txt;False;056911.txt;0.2857004
000326.txt;True;000326.txt;0.38445318
000327.txt;True;000327.txt;0.22924092
000328.txt;True;000328.txt;0.28350624
000329.txt;True;000329.txt;0.21118483
000330.txt;True;000330.txt;0.38140196
000331.txt;True;000331.txt;0.299619
000332.txt;True;000332.txt;0.40898824
000333.txt;True;000333.txt;0.29542333
000334.txt;True;000334.txt;0.22740859
000335.txt;False;000471.txt;0.3666339
000336.txt;False;020025.txt;0.39542598
000337.txt;True;000337.txt;0.31528163
000338.txt;False;030390.txt;0.36863482
000339.txt;False;012323.txt;0.3894185
000341.txt;False;048513.txt;0.42182267
000342.txt;True;000342.txt;0.39490122
000343.txt;True;000343.txt;0.36515802
000344.txt;True;000344.txt;0.31520364
000345.txt;False;076977.txt;0.35372904
000346.txt;True;000346.txt;0.26176944
000347.txt;True;000347.txt;0.24496776
000348.txt;False;076974.txt;0.40263438
000349.txt;True;000349.txt;0.38924646
000350.txt;False;053530.txt;0.35818604
000351.txt;True;000351.txt;0.2567071
000352.txt;False;035244.txt;0.36633757
000353.txt;True;000353.txt;0.2543247
000354.txt;False;067441.txt;0.40079087
000355.txt;False;002040.txt;0.34507763
000356.txt;True;000356.txt;0.41670537
000357.txt;True;000357.txt;0.26264468
000358.txt;True;000358.txt;0.25231212
000359.txt;True;000359.txt;0.3477069
000360.txt;True;000360.txt;0.27712452
000361.txt;True;000361.txt;0.4315539
000362.txt;True;000362.txt;0.2510599
000363.txt;True;000363.txt;0.3581754
000364.txt;True;000364.txt;0.22489375
000366.txt;True;000366.txt;0.26444918
000367.txt;False;023260.txt;0.34012264
000368.txt;True;000368.txt;0.2509297
000369.txt;False;032876.txt;0.26628172
000370.txt;True;000370.txt;0.28274733
000371.txt;True;000371.txt;0.24020278
000372.txt;True;000372.txt;0.291007
000373.txt;True;000373.txt;0.3324216
000374.txt;True;000374.txt;0.35967204
000375.txt;True;000375.txt;0.31368953
000376.txt;True;000376.txt;0.28129894
000377.txt;True;000377.txt;0.38589478
000378.txt;False;010289.txt;0.39556682
000379.txt;True;000379.txt;0.37693778
000380.txt;False;009358.txt;0.36256117
000381.txt;True;000381.txt;0.25638282
000382.txt;True;000382.txt;0.32260334
000383.txt;True;000383.txt;0.3215562
000384.txt;True;000384.txt;0.33704352
