query_file;found;search_result;search_distances
000000.txt;False;075274.txt;0.78776497
000001.txt;True;000001.txt;0.8988755
000002.txt;False;007581.txt;0.8810934
000003.txt;True;000003.txt;0.8641127
000004.txt;True;000004.txt;0.8898908
000005.txt;False;078876.txt;0.8226228
000006.txt;False;032422.txt;0.81775147
000007.txt;False;032220.txt;0.77992374
000008.txt;False;078925.txt;0.81542647
000009.txt;True;000009.txt;0.8573665
000010.txt;True;000010.txt;0.8508841
000011.txt;True;000011.txt;0.8605752
000012.txt;True;000012.txt;0.87031955
000013.txt;True;000013.txt;0.8768252
000014.txt;True;000014.txt;0.88002807
000015.txt;True;000015.txt;0.88966197
000016.txt;False;000015.txt;0.840008
000017.txt;True;000017.txt;0.8563185
000018.txt;True;000018.txt;0.9120971
000019.txt;True;000019.txt;0.8536773
000020.txt;True;000020.txt;0.82895
000021.txt;True;000021.txt;0.89829093
000022.txt;True;000022.txt;0.90066314
000023.txt;True;000023.txt;0.8863418
000024.txt;True;000024.txt;0.88650924
000025.txt;True;000025.txt;0.91537285
000026.txt;True;000026.txt;0.86302656
000027.txt;True;000027.txt;0.92081225
000028.txt;True;000028.txt;0.91247344
000029.txt;True;000029.txt;0.91115606
000030.txt;True;000030.txt;0.87624454
000031.txt;True;000031.txt;0.87869084
000032.txt;True;000032.txt;0.8469791
000034.txt;True;000034.txt;0.81688046
000035.txt;True;000035.txt;0.7908733
000036.txt;True;000036.txt;0.84903145
000037.txt;True;000037.txt;0.91500294
000038.txt;True;000038.txt;0.92050624
000039.txt;True;000039.txt;0.9127398
000040.txt;True;000040.txt;0.9133037
000041.txt;True;000041.txt;0.9175759
000042.txt;True;000042.txt;0.9175886
000043.txt;True;000043.txt;0.90857935
000044.txt;False;010500.txt;0.8264754
000045.txt;True;000045.txt;0.8267206
000046.txt;False;075527.txt;0.821341
000047.txt;False;075527.txt;0.85071284
000048.txt;True;000048.txt;0.91055244
000049.txt;True;000049.txt;0.8708059
000050.txt;True;000050.txt;0.87017417
000051.txt;True;000051.txt;0.8135251
000052.txt;True;000052.txt;0.83890975
000053.txt;True;000053.txt;0.85084534
000054.txt;True;000054.txt;0.82316506
000055.txt;True;000055.txt;0.7914748
000056.txt;True;000056.txt;0.83136415
000057.txt;True;000057.txt;0.8531771
000058.txt;True;000058.txt;0.8888378
000059.txt;True;000059.txt;0.83532566
000060.txt;True;000060.txt;0.8810113
000061.txt;True;000061.txt;0.8463719
000062.txt;True;000062.txt;0.86044204
000063.txt;True;000063.txt;0.82914674
000064.txt;True;000064.txt;0.85212374
000065.txt;True;000065.txt;0.86228836
000066.txt;True;000066.txt;0.85527647
000067.txt;True;000067.txt;0.85343903
000068.txt;True;000068.txt;0.8520134
000069.txt;True;000069.txt;0.830555
000070.txt;True;000070.txt;0.83339167
000071.txt;False;008550.txt;0.8163928
000072.txt;True;000072.txt;0.9025319
000073.txt;True;000073.txt;0.84472305
000074.txt;False;053465.txt;0.77139604
000075.txt;True;000075.txt;0.8562166
000076.txt;False;028863.txt;0.8169207
000077.txt;True;000077.txt;0.87066305
000078.txt;True;000078.txt;0.8053763
000079.txt;True;000079.txt;0.834504
000080.txt;True;000080.txt;0.8766753
000081.txt;True;000081.txt;0.854034
000082.txt;True;000082.txt;0.8446268
000083.txt;True;000083.txt;0.8089732
000084.txt;True;000084.txt;0.82794607
000085.txt;True;000085.txt;0.84599626
000086.txt;True;000086.txt;0.8677174
000087.txt;True;000087.txt;0.854612
000088.txt;False;055768.txt;0.80910665
000089.txt;False;000088.txt;0.7895751
000090.txt;True;000090.txt;0.82555515
000091.txt;True;000091.txt;0.8685652
000092.txt;True;000092.txt;0.84124005
000093.txt;True;000093.txt;0.8739608
000094.txt;True;000094.txt;0.79474926
000095.txt;True;000095.txt;0.8117259
000096.txt;True;000096.txt;0.8324437
000097.txt;True;000097.txt;0.79438925
000098.txt;True;000098.txt;0.893641
000099.txt;True;000099.txt;0.8188694
000100.txt;True;000100.txt;0.8434186
000101.txt;True;000101.txt;0.82397324
000102.txt;True;000102.txt;0.85229325
000103.txt;False;025675.txt;0.7917344
000104.txt;True;000104.txt;0.803864
000105.txt;True;000105.txt;0.8723322
000106.txt;True;000106.txt;0.85793805
000107.txt;True;000107.txt;0.8634099
000108.txt;True;000108.txt;0.9126725
000109.txt;True;000109.txt;0.917539
000110.txt;True;000110.txt;0.8254235
000111.txt;True;000111.txt;0.8769483
000112.txt;False;028482.txt;0.7837263
000113.txt;True;000113.txt;0.858847
000114.txt;True;000114.txt;0.83775574
000115.txt;True;000115.txt;0.8414686
000116.txt;False;075129.txt;0.82359374
000117.txt;True;000117.txt;0.8191453
000118.txt;False;000120.txt;0.887172
000119.txt;True;000119.txt;0.7849792
000120.txt;True;000120.txt;0.92805815
000121.txt;True;000121.txt;0.9207082
000122.txt;False;011114.txt;0.76626074
000123.txt;True;000123.txt;0.8566293
000124.txt;True;000124.txt;0.8608513
000126.txt;True;000126.txt;0.81627953
000127.txt;True;000127.txt;0.8238573
000128.txt;True;000128.txt;0.8762944
000129.txt;False;000112.txt;0.7793393
000130.txt;True;000130.txt;0.82456315
000131.txt;True;000131.txt;0.8198966
000132.txt;True;000132.txt;0.8341465
000133.txt;True;000133.txt;0.8319515
000134.txt;False;012897.txt;0.7821977
000135.txt;True;000135.txt;0.8789684
000136.txt;True;000136.txt;0.9119457
000137.txt;True;000137.txt;0.81091654
000138.txt;True;000138.txt;0.86511695
000139.txt;False;035877.txt;0.7811437
000140.txt;True;000140.txt;0.87473017
000141.txt;True;000141.txt;0.8084051
000142.txt;False;078095.txt;0.836556
000143.txt;True;000143.txt;0.8036752
000144.txt;True;000144.txt;0.8178309
000145.txt;False;002447.txt;0.82463956
000146.txt;False;042891.txt;0.79339874
000147.txt;True;000147.txt;0.7948506
000148.txt;False;057344.txt;0.7998327
000149.txt;True;000149.txt;0.8795285
000150.txt;True;000150.txt;0.81283617
000151.txt;True;000151.txt;0.78312755
000152.txt;True;000152.txt;0.79590964
000153.txt;True;000153.txt;0.88059247
000154.txt;False;069306.txt;0.81072176
000155.txt;True;000155.txt;0.8016285
000156.txt;True;000156.txt;0.8084474
000157.txt;True;000157.txt;0.83585596
000158.txt;True;000158.txt;0.83572686
000159.txt;True;000159.txt;0.82015324
000160.txt;True;000160.txt;0.8362333
000161.txt;True;000161.txt;0.8498877
000162.txt;True;000162.txt;0.7911873
000163.txt;True;000163.txt;0.84491706
000164.txt;True;000164.txt;0.8560078
000165.txt;True;000165.txt;0.8849862
000166.txt;True;000166.txt;0.8908644
000167.txt;True;000167.txt;0.84355366
000168.txt;True;000168.txt;0.8098494
000169.txt;True;000169.txt;0.85872066
000170.txt;True;000170.txt;0.8272381
000171.txt;True;000171.txt;0.86319214
000172.txt;True;000172.txt;0.8042829
000173.txt;True;000173.txt;0.82320267
000174.txt;True;000174.txt;0.85488605
000175.txt;True;000175.txt;0.8112651
000176.txt;True;000176.txt;0.86906487
000177.txt;True;000177.txt;0.8162483
000178.txt;False;063654.txt;0.8484241
000179.txt;True;000179.txt;0.8567922
000180.txt;True;000180.txt;0.80998504
000181.txt;True;000181.txt;0.8569633
000182.txt;True;000182.txt;0.8803329
000183.txt;True;000183.txt;0.89465964
000184.txt;True;000184.txt;0.8304199
000185.txt;True;000185.txt;0.8706714
000186.txt;False;013089.txt;0.7793102
000187.txt;True;000187.txt;0.85838324
000188.txt;True;000188.txt;0.86019564
000189.txt;True;000189.txt;0.8352221
000190.txt;True;000190.txt;0.85620916
000191.txt;True;000191.txt;0.8763877
000192.txt;True;000192.txt;0.84228975
000193.txt;True;000193.txt;0.83338577
000194.txt;True;000194.txt;0.84250546
000195.txt;False;051189.txt;0.79257596
000196.txt;True;000196.txt;0.8216294
000197.txt;True;000197.txt;0.8224072
000198.txt;True;000198.txt;0.79678303
000199.txt;True;000199.txt;0.8707586
000200.txt;True;000200.txt;0.8331128
000201.txt;True;000201.txt;0.82021415
000202.txt;True;000202.txt;0.86210656
000203.txt;True;000203.txt;0.85351276
000204.txt;False;078785.txt;0.8557921
000205.txt;True;000205.txt;0.85672957
000206.txt;True;000206.txt;0.88244474
000207.txt;False;005278.txt;0.786219
000208.txt;False;040195.txt;0.7765906
000209.txt;True;000209.txt;0.7943522
000210.txt;True;000210.txt;0.86935776
000211.txt;True;000211.txt;0.80924284
000212.txt;True;000212.txt;0.8540362
000213.txt;True;000213.txt;0.85326576
000214.txt;True;000214.txt;0.9187819
000215.txt;True;000215.txt;0.81878346
000216.txt;True;000216.txt;0.75525093
000217.txt;True;000217.txt;0.89918333
000219.txt;False;018621.txt;0.7840526
000220.txt;True;000220.txt;0.83138037
000221.txt;True;000221.txt;0.8827804
000222.txt;True;000222.txt;0.796367
000223.txt;False;009321.txt;0.77834475
000224.txt;True;000224.txt;0.8061596
000225.txt;True;000225.txt;0.86286247
000226.txt;True;000226.txt;0.80674815
000227.txt;True;000227.txt;0.8619406
000228.txt;True;000228.txt;0.82913244
000229.txt;True;000229.txt;0.79153854
000230.txt;True;000230.txt;0.80914235
000231.txt;False;007040.txt;0.77295434
000232.txt;False;052227.txt;0.7660153
000233.txt;True;000233.txt;0.834805
000234.txt;False;052227.txt;0.76560575
000235.txt;True;000235.txt;0.8471364
000236.txt;False;000277.txt;0.83781946
000237.txt;True;000237.txt;0.8354316
000238.txt;True;000238.txt;0.8893201
000239.txt;True;000239.txt;0.7675996
000240.txt;False;041789.txt;0.79389846
000241.txt;True;000241.txt;0.89915293
000242.txt;True;000242.txt;0.8186767
000243.txt;True;000243.txt;0.8969018
000244.txt;True;000244.txt;0.8150996
000245.txt;True;000245.txt;0.8575728
000246.txt;True;000246.txt;0.8400105
000247.txt;False;007259.txt;0.8227299
000248.txt;False;040019.txt;0.7987475
000249.txt;True;000249.txt;0.8841646
000250.txt;True;000250.txt;0.8652321
000251.txt;True;000251.txt;0.8584143
000252.txt;True;000252.txt;0.8623204
000253.txt;True;000253.txt;0.8605523
000254.txt;True;000254.txt;0.88391185
000255.txt;True;000255.txt;0.881874
000256.txt;True;000256.txt;0.81570554
000257.txt;True;000257.txt;0.84389853
000258.txt;True;000258.txt;0.8018092
000259.txt;False;078799.txt;0.81059575
000260.txt;False;078796.txt;0.8159277
000261.txt;True;000261.txt;0.8123883
000262.txt;True;000262.txt;0.90181994
000263.txt;False;051950.txt;0.80190194
000264.txt;False;000447.txt;0.8053746
000265.txt;True;000265.txt;0.8691809
000266.txt;True;000266.txt;0.7876476
000267.txt;True;000267.txt;0.83564556
000268.txt;True;000268.txt;0.850984
000269.txt;True;000269.txt;0.8689904
000270.txt;True;000270.txt;0.86433995
000271.txt;True;000271.txt;0.8472815
000272.txt;False;075527.txt;0.84167504
000273.txt;False;000025.txt;0.82669127
000274.txt;False;075527.txt;0.8250368
000275.txt;True;000275.txt;0.8807956
000276.txt;True;000276.txt;0.82461363
000277.txt;True;000277.txt;0.9110377
000278.txt;True;000278.txt;0.83558416
000279.txt;False;000187.txt;0.8169435
000280.txt;False;075527.txt;0.82622695
000281.txt;False;000028.txt;0.8414382
000282.txt;True;000282.txt;0.82301104
000283.txt;True;000283.txt;0.80259484
000284.txt;False;078799.txt;0.81888205
000285.txt;True;000285.txt;0.8363365
000286.txt;True;000286.txt;0.82162267
000287.txt;False;000043.txt;0.8358504
000288.txt;True;000288.txt;0.85846025
000289.txt;False;056567.txt;0.81788886
000290.txt;False;056567.txt;0.83526874
000291.txt;False;076226.txt;0.8401133
000292.txt;True;000292.txt;0.8413551
000293.txt;True;000293.txt;0.85907376
000294.txt;True;000294.txt;0.8225882
000295.txt;True;000295.txt;0.8524293
000296.txt;False;029341.txt;0.7931727
000297.txt;True;000297.txt;0.787006
000298.txt;True;000298.txt;0.7932659
000299.txt;True;000299.txt;0.86677116
000300.txt;True;000300.txt;0.866245
000301.txt;True;000301.txt;0.8834923
000302.txt;True;000302.txt;0.8461063
000303.txt;True;000303.txt;0.81756383
000304.txt;True;000304.txt;0.8106534
000305.txt;True;000305.txt;0.8573015
000306.txt;True;000306.txt;0.8546306
000308.txt;True;000308.txt;0.88023484
000309.txt;True;000309.txt;0.84264743
000310.txt;True;000310.txt;0.8679094
000311.txt;True;000311.txt;0.80883336
000312.txt;True;000312.txt;0.9030245
000313.txt;True;000313.txt;0.8766755
000314.txt;True;000314.txt;0.856122
000315.txt;True;000315.txt;0.86136967
000316.txt;True;000316.txt;0.83522296
000317.txt;True;000317.txt;0.8787893
000318.txt;True;000318.txt;0.8417534
000319.txt;True;000319.txt;0.86183393
000320.txt;True;000320.txt;0.8829812
000321.txt;True;000321.txt;0.87087846
000322.txt;True;000322.txt;0.85816896
000323.txt;True;000323.txt;0.814658
000324.txt;True;000324.txt;0.8856797
000325.txt;True;000325.txt;0.8551765
000326.txt;True;000326.txt;0.8382049
000327.txt;True;000327.txt;0.87752116
000328.txt;True;000328.txt;0.85837674
000329.txt;True;000329.txt;0.88199306
000330.txt;True;000330.txt;0.8216304
000331.txt;True;000331.txt;0.84973705
000332.txt;True;000332.txt;0.80013263
000333.txt;True;000333.txt;0.84303737
000334.txt;True;000334.txt;0.88365746
000335.txt;True;000335.txt;0.8585997
000336.txt;False;020025.txt;0.7923689
000337.txt;True;000337.txt;0.8250468
000338.txt;False;030390.txt;0.82708824
000339.txt;False;038507.txt;0.80015755
000341.txt;False;048513.txt;0.7894579
000342.txt;True;000342.txt;0.84341216
000343.txt;True;000343.txt;0.8056464
000344.txt;True;000344.txt;0.8679148
000345.txt;True;000345.txt;0.8322433
000346.txt;True;000346.txt;0.8365791
000347.txt;True;000347.txt;0.8680463
000348.txt;True;000348.txt;0.8224382
000349.txt;True;000349.txt;0.79756135
000350.txt;True;000350.txt;0.86259556
000351.txt;True;000351.txt;0.88550127
000352.txt;False;041299.txt;0.814463
000353.txt;True;000353.txt;0.8802466
000354.txt;False;041020.txt;0.79589266
000355.txt;True;000355.txt;0.85033154
000356.txt;False;034730.txt;0.82154584
000357.txt;True;000357.txt;0.8767574
000358.txt;True;000358.txt;0.85969156
000359.txt;True;000359.txt;0.8307222
000360.txt;True;000360.txt;0.86396766
000361.txt;False;068620.txt;0.7801642
000362.txt;True;000362.txt;0.8724913
000363.txt;True;000363.txt;0.80822825
000364.txt;True;000364.txt;0.88700116
000366.txt;True;000366.txt;0.8571465
000367.txt;True;000367.txt;0.85853624
000368.txt;True;000368.txt;0.88155556
000369.txt;False;032876.txt;0.86861813
000370.txt;True;000370.txt;0.8515811
