query_file;found;search_result;search_distances
000000.txt;False;039468.txt;0.65365386
000001.txt;True;000001.txt;0.473018
000002.txt;True;000002.txt;0.47663444
000003.txt;False;044744.txt;0.60620534
000004.txt;True;000004.txt;0.48230028
000005.txt;False;040566.txt;0.5789559
000006.txt;False;032051.txt;0.460932
000007.txt;True;000007.txt;0.67271674
000008.txt;True;000008.txt;0.6315645
000009.txt;False;009952.txt;0.5489413
000010.txt;True;000010.txt;0.6483122
000011.txt;False;001399.txt;0.55185044
000012.txt;True;000012.txt;0.59351444
000013.txt;False;001383.txt;0.6025816
000014.txt;False;001406.txt;0.6214352
000015.txt;True;000015.txt;0.5459832
000016.txt;False;001406.txt;0.5860661
000017.txt;False;001364.txt;0.4066049
000018.txt;True;000018.txt;0.52369595
000019.txt;True;000019.txt;0.68631494
000020.txt;True;000020.txt;0.6611683
000021.txt;False;078678.txt;0.618755
000022.txt;True;000022.txt;0.57709575
000023.txt;False;000025.txt;0.5706088
000024.txt;True;000024.txt;0.6736906
000025.txt;True;000025.txt;0.674538
000026.txt;True;000026.txt;0.73425364
000027.txt;True;000027.txt;0.6581694
000028.txt;True;000028.txt;0.64845663
000029.txt;True;000029.txt;0.6527076
000030.txt;False;076862.txt;0.7017938
000031.txt;False;016297.txt;0.6518549
000032.txt;True;000032.txt;0.59517664
000034.txt;True;000034.txt;0.70122516
000035.txt;False;043662.txt;0.58640754
000036.txt;False;048078.txt;0.6166686
000037.txt;True;000037.txt;0.6389022
000038.txt;True;000038.txt;0.64665353
000039.txt;True;000039.txt;0.6506213
000040.txt;True;000040.txt;0.64452785
000041.txt;True;000041.txt;0.6468563
000042.txt;True;000042.txt;0.6474333
000043.txt;True;000043.txt;0.65123427
000044.txt;False;001368.txt;0.58508265
000045.txt;True;000045.txt;0.5772439
000046.txt;False;000282.txt;0.59384495
000047.txt;False;000282.txt;0.64216506
000048.txt;True;000048.txt;0.67653537
000049.txt;False;038121.txt;0.63746333
000050.txt;False;015410.txt;0.6507244
000051.txt;False;000236.txt;0.6112169
000052.txt;False;000282.txt;0.5575429
000053.txt;False;005658.txt;0.6624961
000054.txt;True;000054.txt;0.6599995
000055.txt;False;007960.txt;0.48178717
000056.txt;False;066636.txt;0.6209425
000057.txt;False;053674.txt;0.6637211
000058.txt;False;064545.txt;0.67786556
000059.txt;False;005860.txt;0.71532357
000060.txt;False;053674.txt;0.6479453
000061.txt;False;030462.txt;0.46425444
000062.txt;True;000062.txt;0.74222136
000063.txt;True;000063.txt;0.6844969
000064.txt;False;005658.txt;0.6652199
000065.txt;True;000065.txt;0.68942565
000066.txt;False;070969.txt;0.4892709
000067.txt;True;000067.txt;0.7493062
000068.txt;True;000068.txt;0.6952206
000069.txt;True;000069.txt;0.6493709
000070.txt;False;031452.txt;0.6497458
000071.txt;False;003584.txt;0.70303446
000072.txt;False;053947.txt;0.69043875
000073.txt;True;000073.txt;0.63856775
000074.txt;False;053465.txt;0.67023784
000075.txt;True;000075.txt;0.7428895
000076.txt;True;000076.txt;0.50642633
000077.txt;True;000077.txt;0.45912954
000078.txt;False;026522.txt;0.6528878
000079.txt;False;074253.txt;0.621745
000080.txt;False;015393.txt;0.58962774
000081.txt;False;071788.txt;0.52397335
000082.txt;False;011754.txt;0.55024457
000083.txt;True;000083.txt;0.70339614
000084.txt;False;000085.txt;0.48128712
000085.txt;True;000085.txt;0.69436336
000086.txt;True;000086.txt;0.59094435
000087.txt;False;070140.txt;0.6815396
000088.txt;False;069591.txt;0.70688426
000089.txt;True;000089.txt;0.68671155
000090.txt;False;078526.txt;0.64107203
000091.txt;False;035410.txt;0.6749541
000092.txt;False;009054.txt;0.64262545
000093.txt;True;000093.txt;0.59286076
000094.txt;False;000147.txt;0.6380297
000095.txt;False;058361.txt;0.6837851
000096.txt;True;000096.txt;0.68305063
000097.txt;False;023437.txt;0.6469809
000098.txt;True;000098.txt;0.73890096
000099.txt;True;000099.txt;0.68799675
000100.txt;True;000100.txt;0.70918953
000101.txt;True;000101.txt;0.5496126
000102.txt;False;002447.txt;0.7086621
000103.txt;False;015340.txt;0.7042924
000104.txt;False;004931.txt;0.5362413
000105.txt;True;000105.txt;0.48126873
000106.txt;True;000106.txt;0.80577874
000107.txt;True;000107.txt;0.4704128
000108.txt;True;000108.txt;0.644528
000109.txt;False;002524.txt;0.6445594
000110.txt;False;044039.txt;0.5015012
000111.txt;False;069365.txt;0.6406966
000112.txt;False;004621.txt;0.38403022
000113.txt;True;000113.txt;0.6484997
000114.txt;True;000114.txt;0.6881312
000115.txt;False;018604.txt;0.6392118
000116.txt;False;002447.txt;0.7325187
000117.txt;True;000117.txt;0.4602161
000118.txt;False;000121.txt;0.5885437
000119.txt;False;005361.txt;0.5073331
000120.txt;True;000120.txt;0.5130684
000121.txt;True;000121.txt;0.5246021
000122.txt;True;000122.txt;0.5112635
000123.txt;True;000123.txt;0.65157205
000124.txt;True;000124.txt;0.7375269
000126.txt;False;000282.txt;0.6648533
000127.txt;False;000188.txt;0.5042591
000128.txt;True;000128.txt;0.5340482
000129.txt;True;000129.txt;0.6488642
000130.txt;False;000127.txt;0.5796924
000131.txt;False;001403.txt;0.47657734
000132.txt;False;000127.txt;0.5337188
000133.txt;False;000236.txt;0.54998076
000134.txt;False;006420.txt;0.5839611
000135.txt;True;000135.txt;0.63911796
000136.txt;True;000136.txt;0.5922664
000137.txt;False;002135.txt;0.63741016
000138.txt;False;055348.txt;0.6431212
000139.txt;False;072437.txt;0.5419735
000140.txt;False;051710.txt;0.65276563
000141.txt;True;000141.txt;0.6601621
000142.txt;False;070140.txt;0.6785804
000143.txt;False;015340.txt;0.72558266
000144.txt;True;000144.txt;0.6385875
000145.txt;False;002447.txt;0.7041967
000146.txt;True;000146.txt;0.6596371
000147.txt;True;000147.txt;0.67811024
000148.txt;False;075702.txt;0.6518054
000149.txt;True;000149.txt;0.72504616
000150.txt;False;040915.txt;0.3471044
000151.txt;False;000147.txt;0.6206962
000152.txt;False;061285.txt;0.6130047
000153.txt;True;000153.txt;0.8033266
000154.txt;False;053525.txt;0.6797423
000155.txt;False;002540.txt;0.63226515
000156.txt;True;000156.txt;0.6788668
000157.txt;True;000157.txt;0.6448598
000158.txt;True;000158.txt;0.6023202
000159.txt;False;078564.txt;0.42886
000160.txt;True;000160.txt;0.5825534
000161.txt;True;000161.txt;0.54120845
000162.txt;False;000083.txt;0.6580337
000163.txt;False;078623.txt;0.48916525
000164.txt;True;000164.txt;0.7090314
000165.txt;True;000165.txt;0.66087157
000166.txt;True;000166.txt;0.57163185
000167.txt;True;000167.txt;0.5588683
000168.txt;True;000168.txt;0.58788264
000169.txt;False;061407.txt;0.6860498
000170.txt;True;000170.txt;0.6554713
000171.txt;False;011258.txt;0.62306535
000172.txt;False;060084.txt;0.6475266
000173.txt;False;008948.txt;0.4806865
000174.txt;False;064111.txt;0.6843328
000175.txt;False;028142.txt;0.62024575
000176.txt;True;000176.txt;0.63163686
000177.txt;False;075341.txt;0.60801923
000178.txt;False;004566.txt;0.62590563
000179.txt;False;002872.txt;0.5949542
000180.txt;True;000180.txt;0.49386647
000181.txt;True;000181.txt;0.59878504
000182.txt;False;000181.txt;0.5964117
000183.txt;False;001402.txt;0.500713
000184.txt;True;000184.txt;0.53037894
000185.txt;False;000181.txt;0.598663
000186.txt;False;077344.txt;0.6283984
000187.txt;False;000281.txt;0.6077484
000188.txt;False;007502.txt;0.5177934
000189.txt;True;000189.txt;0.58358777
000190.txt;False;067422.txt;0.54812706
000191.txt;False;053003.txt;0.59469986
000192.txt;True;000192.txt;0.67874765
000193.txt;False;078617.txt;0.5703176
