query_file;found;search_result;search_distances
000000.txt;False;042895.txt;0.86596686
000001.txt;True;000001.txt;1.0
000002.txt;True;000002.txt;0.93091524
000003.txt;False;078164.txt;0.8730838
000004.txt;True;000004.txt;0.87209725
000005.txt;True;000005.txt;0.8667362
000006.txt;True;000006.txt;0.8581453
000007.txt;False;041915.txt;0.8498052
000008.txt;False;077816.txt;0.85717744
000009.txt;True;000009.txt;0.9100404
000010.txt;True;000010.txt;0.8715742
000011.txt;True;000011.txt;0.88319564
000012.txt;True;000012.txt;0.9593936
000013.txt;True;000013.txt;0.97892493
000014.txt;True;000014.txt;0.88329387
000015.txt;True;000015.txt;0.9669943
000016.txt;True;000016.txt;0.8519056
000017.txt;False;051374.txt;0.85722303
000018.txt;True;000018.txt;0.8836329
000019.txt;True;000019.txt;0.88908327
000020.txt;True;000020.txt;0.9003633
000021.txt;True;000021.txt;0.8902775
000022.txt;True;000022.txt;0.89747113
000023.txt;True;000023.txt;0.9011326
000024.txt;True;000024.txt;0.88554406
000025.txt;True;000025.txt;0.8989315
000026.txt;False;008825.txt;0.88560426
000027.txt;True;000027.txt;0.9029659
000028.txt;True;000028.txt;0.894191
000029.txt;True;000029.txt;0.90348625
000030.txt;True;000030.txt;0.8850007
000031.txt;True;000031.txt;0.8891498
000032.txt;True;000032.txt;0.8932092
000034.txt;True;000034.txt;0.86212903
000035.txt;False;029568.txt;0.8454244
000036.txt;True;000036.txt;0.86708343
000037.txt;True;000037.txt;0.90054363
000038.txt;True;000038.txt;0.9009441
000039.txt;True;000039.txt;0.90351695
000040.txt;True;000040.txt;0.89951706
000041.txt;True;000041.txt;0.9034862
000042.txt;True;000042.txt;0.9018862
000043.txt;True;000043.txt;0.90300274
000044.txt;True;000044.txt;0.87217367
000045.txt;True;000045.txt;0.8755031
000046.txt;True;000046.txt;0.8825189
000047.txt;False;078448.txt;0.86807287
000048.txt;True;000048.txt;0.99999994
000049.txt;True;000049.txt;0.94431657
000050.txt;True;000050.txt;0.9270669
000051.txt;True;000051.txt;0.869315
000052.txt;True;000052.txt;0.86742306
000053.txt;True;000053.txt;0.93281853
000054.txt;False;072419.txt;0.8554588
000055.txt;False;000803.txt;0.8844162
000056.txt;True;000056.txt;0.93453604
000057.txt;True;000057.txt;0.9370711
000058.txt;True;000058.txt;0.9415777
000059.txt;True;000059.txt;0.9043164
000060.txt;True;000060.txt;0.9259602
000061.txt;True;000061.txt;0.8879385
000062.txt;False;000647.txt;0.8633682
000063.txt;True;000063.txt;0.84816873
000064.txt;True;000064.txt;0.9368863
000065.txt;True;000065.txt;0.9275696
000066.txt;True;000066.txt;1.0000002
000067.txt;True;000067.txt;0.9276948
000068.txt;False;015479.txt;0.8635282
000069.txt;True;000069.txt;0.8594675
000070.txt;False;001597.txt;0.89234555
000071.txt;True;000071.txt;0.88366497
000072.txt;True;000072.txt;0.9999999
000073.txt;False;008313.txt;0.88152397
000074.txt;False;077690.txt;0.83754265
000075.txt;False;025915.txt;0.8708514
000076.txt;False;023123.txt;0.88847655
000077.txt;True;000077.txt;0.89971995
000078.txt;True;000078.txt;0.85870975
000079.txt;False;028270.txt;0.85924983
000080.txt;True;000080.txt;0.91123986
000081.txt;True;000081.txt;0.9347754
000082.txt;True;000082.txt;0.92849755
000083.txt;False;065534.txt;0.8968395
000084.txt;False;023123.txt;0.8973744
000085.txt;False;030681.txt;0.8922881
000086.txt;True;000086.txt;0.90608823
000087.txt;True;000087.txt;0.9059959
000088.txt;False;070328.txt;0.82285094
000089.txt;False;011785.txt;0.8855801
000090.txt;False;076746.txt;0.8631742
000091.txt;True;000091.txt;0.95160985
000092.txt;True;000092.txt;0.907488
000093.txt;True;000093.txt;0.913013
000094.txt;False;066785.txt;0.87195104
000095.txt;False;068227.txt;0.8618503
000096.txt;True;000096.txt;0.8965669
000097.txt;False;051143.txt;0.84177405
000098.txt;False;018291.txt;0.9104755
000099.txt;True;000099.txt;0.860036
000100.txt;False;028749.txt;0.86701363
000101.txt;True;000101.txt;0.8943238
000102.txt;True;000102.txt;0.8615298
000103.txt;False;011785.txt;0.8436912
000104.txt;True;000104.txt;0.8847036
000105.txt;False;054126.txt;0.892719
000106.txt;True;000106.txt;0.8895185
000107.txt;False;018081.txt;0.8832581
000108.txt;True;000108.txt;0.8969407
000109.txt;True;000109.txt;0.9004213
000110.txt;True;000110.txt;0.9323103
000111.txt;True;000111.txt;0.921146
000112.txt;False;044912.txt;0.8442331
000113.txt;False;017234.txt;0.894035
000114.txt;True;000114.txt;0.8961669
000115.txt;True;000115.txt;1.0000001
000116.txt;False;028750.txt;0.9127848
000117.txt;False;025829.txt;0.844724
000118.txt;True;000118.txt;1.0000001
000119.txt;False;031972.txt;0.8627601
000120.txt;True;000120.txt;0.9808293
000121.txt;True;000121.txt;0.99999994
000122.txt;False;011114.txt;0.8912673
000123.txt;True;000123.txt;1.0
000124.txt;True;000124.txt;1.0000002
000126.txt;True;000126.txt;0.8849808
000127.txt;True;000127.txt;0.86341333
000128.txt;True;000128.txt;0.9068806
000129.txt;False;003688.txt;0.8279288
000130.txt;True;000130.txt;0.8746218
000131.txt;True;000131.txt;0.88859856
000132.txt;True;000132.txt;0.87915087
000133.txt;True;000133.txt;0.8638625
000134.txt;False;027701.txt;0.88097405
000135.txt;False;069588.txt;0.96508014
000136.txt;False;076582.txt;0.8623279
000137.txt;True;000137.txt;0.8723916
000138.txt;True;000138.txt;0.9530384
000139.txt;False;004565.txt;0.8501755
000140.txt;True;000140.txt;0.9999999
000141.txt;True;000141.txt;0.9743171
000142.txt;True;000142.txt;0.9104012
000143.txt;False;020464.txt;0.854031
000144.txt;True;000144.txt;0.8825262
000145.txt;True;000145.txt;0.8936304
000146.txt;False;044943.txt;0.86658585
000147.txt;False;043336.txt;0.83964455
000148.txt;True;000148.txt;0.8809743
000149.txt;False;009754.txt;0.90332896
000150.txt;True;000150.txt;0.8903202
000151.txt;False;066853.txt;0.8575229
000152.txt;False;044213.txt;0.8697258
000153.txt;True;000153.txt;1.0000001
000154.txt;True;000154.txt;0.8678036
000155.txt;False;019991.txt;0.8425431
000156.txt;True;000156.txt;0.9658815
000157.txt;False;009754.txt;0.87773335
000158.txt;True;000158.txt;0.8871894
000159.txt;True;000159.txt;0.94334316
000160.txt;False;025784.txt;0.8575927
000161.txt;False;010496.txt;0.8635853
000162.txt;True;000162.txt;0.87777793
000163.txt;True;000163.txt;0.894652
000164.txt;True;000164.txt;0.9999999
000165.txt;True;000165.txt;1.0
000166.txt;True;000166.txt;1.0
000167.txt;True;000167.txt;0.93641925
000168.txt;True;000168.txt;0.8583621
000169.txt;False;000353.txt;0.91608363
000170.txt;True;000170.txt;0.83906484
000171.txt;True;000171.txt;0.89906156
000172.txt;False;009358.txt;0.87421024
000173.txt;True;000173.txt;0.9058782
000174.txt;True;000174.txt;1.0
000175.txt;False;042869.txt;0.8729467
000176.txt;True;000176.txt;0.91542745
000177.txt;False;012147.txt;0.85101724
000178.txt;True;000178.txt;0.890359
000179.txt;True;000179.txt;0.9999999
000180.txt;False;043144.txt;0.8611059
000181.txt;True;000181.txt;1.0
000182.txt;True;000182.txt;1.0
000183.txt;True;000183.txt;0.9999999
000184.txt;True;000184.txt;0.88545424
000185.txt;True;000185.txt;0.99999994
000186.txt;False;047098.txt;0.85696995
000187.txt;True;000187.txt;0.88180953
000188.txt;True;000188.txt;0.8781717
000189.txt;True;000189.txt;0.88125765
000190.txt;True;000190.txt;0.87673485
000191.txt;True;000191.txt;0.905786
000192.txt;True;000192.txt;0.9401969
000193.txt;True;000193.txt;0.90052664
000194.txt;True;000194.txt;0.86555886
000195.txt;False;000530.txt;0.84867615
000196.txt;False;045124.txt;0.84892595
000197.txt;False;029287.txt;0.87944436
000198.txt;True;000198.txt;0.861392
000199.txt;True;000199.txt;0.9999999
000200.txt;True;000200.txt;0.89802474
000201.txt;False;011658.txt;0.8909781
000202.txt;True;000202.txt;0.9041795
000203.txt;True;000203.txt;0.8695599
000204.txt;True;000204.txt;0.89245135
000205.txt;True;000205.txt;0.89381576
000206.txt;True;000206.txt;0.91148674
000207.txt;False;039562.txt;0.8472328
000208.txt;False;011333.txt;0.85617423
000209.txt;False;053311.txt;0.88855875
000210.txt;True;000210.txt;0.8921174
000211.txt;False;004750.txt;0.92118615
000212.txt;True;000212.txt;0.9099884
000213.txt;False;032387.txt;0.87312365
000214.txt;True;000214.txt;1.0
000215.txt;True;000215.txt;0.935995
000216.txt;True;000216.txt;0.83100724
000217.txt;False;002757.txt;0.8718314
000219.txt;True;000219.txt;0.8706355
000220.txt;False;020104.txt;0.8242314
000221.txt;True;000221.txt;0.8894366
000222.txt;True;000222.txt;0.86759603
000223.txt;False;015803.txt;0.87956023
000224.txt;True;000224.txt;0.8969315
000225.txt;False;074684.txt;0.8776651
000226.txt;False;044188.txt;0.83828187
000227.txt;True;000227.txt;0.9713627
000228.txt;True;000228.txt;0.95263827
000229.txt;False;000519.txt;0.9023788
000230.txt;True;000230.txt;0.894019
000231.txt;False;048998.txt;0.83729106
000232.txt;False;063209.txt;0.8488176
000233.txt;True;000233.txt;0.9489305
000234.txt;False;023675.txt;0.85353094
000235.txt;True;000235.txt;0.8995173
000236.txt;True;000236.txt;0.8697438
000237.txt;True;000237.txt;0.8991473
000238.txt;True;000238.txt;0.92855835
000239.txt;False;040042.txt;0.86766714
000240.txt;True;000240.txt;0.86870295
000241.txt;True;000241.txt;1.0
000242.txt;False;040646.txt;0.8570253
000243.txt;True;000243.txt;0.927612
000244.txt;False;028246.txt;0.8456532
000245.txt;False;018048.txt;0.85598564
000246.txt;True;000246.txt;0.8637413
000247.txt;False;056703.txt;0.8539809
