query_file;found;search_result;search_distances
000000.txt;False;003653.txt;2.7532153
000001.txt;True;000001.txt;1.7263665
000002.txt;True;000002.txt;3.2656012
000003.txt;True;000003.txt;1.9168797
000004.txt;True;000004.txt;1.2351305
000005.txt;False;030653.txt;2.2036355
000006.txt;False;005363.txt;2.4152095
000007.txt;True;000007.txt;3.0607345
000008.txt;False;031704.txt;4.6079206
000009.txt;False;005314.txt;2.9444308
000010.txt;True;000010.txt;1.6685722
000011.txt;True;000011.txt;1.0587773
000012.txt;True;000012.txt;2.207726
000013.txt;True;000013.txt;1.937996
000014.txt;True;000014.txt;2.3515835
000015.txt;True;000015.txt;1.2654438
000016.txt;True;000016.txt;2.4271817
000017.txt;True;000017.txt;2.4106436
000018.txt;True;000018.txt;1.6248937
000019.txt;True;000019.txt;1.0565555
000020.txt;True;000020.txt;2.3519225
000021.txt;True;000021.txt;0.6745194
000022.txt;True;000022.txt;0.4315999
000023.txt;True;000023.txt;1.4628311
000024.txt;True;000024.txt;0.8233026
000025.txt;True;000025.txt;0.54791754
000026.txt;True;000026.txt;1.1415226
000027.txt;True;000027.txt;0.44423604
000028.txt;True;000028.txt;0.33632898
000029.txt;True;000029.txt;0.6494492
000030.txt;True;000030.txt;1.2621973
000031.txt;True;000031.txt;1.4233091
000032.txt;True;000032.txt;1.4610623
000034.txt;True;000034.txt;2.0214276
000035.txt;True;000035.txt;3.60721
000036.txt;True;000036.txt;3.5048075
000037.txt;True;000037.txt;0.41839552
000038.txt;True;000038.txt;0.41820765
000039.txt;True;000039.txt;0.40763158
000040.txt;True;000040.txt;0.4425492
000041.txt;True;000041.txt;0.41574714
000042.txt;True;000042.txt;0.425447
000043.txt;True;000043.txt;0.43475676
000044.txt;True;000044.txt;1.4264954
000045.txt;True;000045.txt;1.0087105
000046.txt;True;000046.txt;2.7637439
000047.txt;True;000047.txt;2.0451767
000048.txt;True;000048.txt;2.741618
000049.txt;False;008515.txt;4.8525724
000050.txt;False;024613.txt;1.7491701
000051.txt;False;001403.txt;2.6935205
000052.txt;True;000052.txt;2.1500533
000053.txt;True;000053.txt;2.3701901
000054.txt;True;000054.txt;2.1140785
000055.txt;True;000055.txt;2.0698218
000056.txt;True;000056.txt;1.8405731
000057.txt;False;004082.txt;3.25065
000058.txt;True;000058.txt;2.5230885
