query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.040962078
000001.txt;True;000001.txt;3.186565e-14
000002.txt;False;072241.txt;0.22984657
000003.txt;True;000003.txt;0.13755986
000004.txt;False;018880.txt;0.17076269
000005.txt;False;030656.txt;0.23575652
000006.txt;False;030652.txt;0.31272054
000007.txt;False;039120.txt;0.021141173
000008.txt;False;036168.txt;0.11046209
000009.txt;True;000009.txt;0.11623876
000010.txt;False;005307.txt;0.36776912
000011.txt;True;000011.txt;0.11739144
000012.txt;True;000012.txt;0.015868615
000013.txt;True;000013.txt;0.04247932
000014.txt;True;000014.txt;0.28822994
000015.txt;True;000015.txt;0.0183571
000016.txt;False;078605.txt;0.2879511
000017.txt;False;050740.txt;0.1998393
000018.txt;False;058922.txt;0.28639075
000019.txt;True;000019.txt;0.09104862
000020.txt;False;019136.txt;0.06166779
000021.txt;True;000021.txt;0.23050061
000022.txt;True;000022.txt;0.23715076
000023.txt;True;000023.txt;0.23666829
000024.txt;False;008351.txt;0.25811043
000025.txt;True;000025.txt;0.2584744
000026.txt;False;076209.txt;0.09361063
000027.txt;True;000027.txt;0.2611892
000028.txt;True;000028.txt;0.25031972
000029.txt;True;000029.txt;0.22830077
000030.txt;True;000030.txt;0.24926953
000031.txt;True;000031.txt;0.24354517
000032.txt;True;000032.txt;0.02662543
000034.txt;False;044886.txt;0.2052391
000035.txt;False;028212.txt;0.076784655
000036.txt;False;038120.txt;0.10703089
000037.txt;True;000037.txt;0.26153243
000038.txt;True;000038.txt;0.23956804
000039.txt;True;000039.txt;0.23271064
000040.txt;True;000040.txt;0.25238338
000041.txt;True;000041.txt;0.22911051
000042.txt;True;000042.txt;0.24084602
000043.txt;True;000043.txt;0.2653433
000044.txt;True;000044.txt;0.27607304
000045.txt;False;000300.txt;0.37209085
000046.txt;True;000046.txt;0.21647519
000047.txt;True;000047.txt;0.3602649
000048.txt;True;000048.txt;3.90148e-14
000049.txt;False;015517.txt;0.62853277
000050.txt;True;000050.txt;0.08933464
000051.txt;True;000051.txt;0.2466544
000052.txt;False;000300.txt;0.34912062
000053.txt;False;010037.txt;0.31382176
000054.txt;False;066886.txt;0.034069266
000055.txt;False;000575.txt;0.31711352
000056.txt;False;066636.txt;0.3333429
000057.txt;False;034403.txt;0.20603621
000058.txt;False;064545.txt;0.24769121
000059.txt;False;014010.txt;0.045684926
000060.txt;False;050842.txt;0.3424524
000061.txt;False;030652.txt;0.4032463
000062.txt;False;024188.txt;0.35292602
000063.txt;False;016544.txt;0.071315356
000064.txt;False;004118.txt;0.30041835
000065.txt;True;000065.txt;0.06526623
000066.txt;True;000066.txt;0.0
000067.txt;False;013688.txt;0.11617814
000068.txt;False;015479.txt;0.35825062
000069.txt;True;000069.txt;0.34183165
000070.txt;False;053766.txt;0.03776683
000071.txt;False;030677.txt;0.04618188
000072.txt;True;000072.txt;0.0
000073.txt;False;008313.txt;0.12080398
000074.txt;False;073609.txt;0.08994472
000075.txt;False;025392.txt;0.08783358
000076.txt;False;023123.txt;0.17988129
000077.txt;False;052340.txt;0.26645643
000078.txt;True;000078.txt;0.16559038
000079.txt;True;000079.txt;0.16581365
000080.txt;False;006223.txt;0.017062372
000081.txt;False;077338.txt;0.36512342
000082.txt;False;008097.txt;0.30771357
000083.txt;False;037210.txt;0.043467984
000084.txt;False;023123.txt;0.14627352
000085.txt;True;000085.txt;0.13135284
000086.txt;True;000086.txt;0.18601122
000087.txt;False;028758.txt;0.11037798
000088.txt;False;019282.txt;0.37138242
000089.txt;True;000089.txt;0.15914282
000090.txt;False;013763.txt;0.32333934
000091.txt;True;000091.txt;0.033523716
000092.txt;False;015584.txt;0.1682929
000093.txt;False;073708.txt;0.15468308
000094.txt;False;066785.txt;0.13360348
000095.txt;False;034432.txt;0.13948523
000096.txt;False;030595.txt;0.21492751
000097.txt;False;051143.txt;0.14840543
000098.txt;False;040083.txt;0.17749164
000099.txt;False;008980.txt;0.18787622
000100.txt;False;044763.txt;0.15646806
000101.txt;True;000101.txt;0.11457014
000102.txt;False;062216.txt;0.122079805
000103.txt;True;000103.txt;0.09399973
000104.txt;False;004931.txt;0.11132617
000105.txt;False;076084.txt;0.16189332
000106.txt;False;000110.txt;0.1633598
000107.txt;False;007984.txt;0.1864034
000108.txt;True;000108.txt;0.24359211
000109.txt;True;000109.txt;0.23628837
000110.txt;True;000110.txt;0.0151842125
000111.txt;False;023646.txt;0.037404567
000112.txt;False;033185.txt;0.2035632
000113.txt;False;006606.txt;0.25016782
000114.txt;True;000114.txt;0.055163004
000115.txt;True;000115.txt;9.103547e-14
000116.txt;False;028758.txt;0.16198298
000117.txt;False;033185.txt;0.18590456
000118.txt;True;000118.txt;0.0
000119.txt;False;041241.txt;0.4206016
000120.txt;True;000120.txt;0.020215347
000121.txt;True;000121.txt;0.0
000122.txt;False;070883.txt;0.03149481
000123.txt;True;000123.txt;0.0
000124.txt;True;000124.txt;0.0
000126.txt;True;000126.txt;0.2782961
000127.txt;True;000127.txt;0.36093742
000128.txt;True;000128.txt;0.27733386
000129.txt;False;040063.txt;0.062884286
000130.txt;True;000130.txt;0.2462939
000131.txt;True;000131.txt;0.25419852
000132.txt;True;000132.txt;0.26182467
000133.txt;False;000300.txt;0.2407183
000134.txt;True;000134.txt;0.18121232
000135.txt;False;023369.txt;0.088690005
000136.txt;False;007823.txt;0.562426
000137.txt;False;002229.txt;0.084291816
000138.txt;True;000138.txt;0.037838206
000139.txt;False;019179.txt;0.031694368
000140.txt;True;000140.txt;0.0
000141.txt;True;000141.txt;0.04683255
000142.txt;False;068940.txt;0.10997746
000143.txt;False;013825.txt;0.09507978
000144.txt;False;000254.txt;0.1221394
000145.txt;False;028758.txt;0.17206043
000146.txt;False;015916.txt;0.1572066
000147.txt;False;066916.txt;0.020362241
000148.txt;False;048951.txt;0.17730999
000149.txt;True;000149.txt;0.18081558
000150.txt;True;000150.txt;0.14319772
000151.txt;False;060352.txt;0.016721783
000152.txt;False;008672.txt;0.032561332
000153.txt;True;000153.txt;1.5718487e-13
000154.txt;False;062216.txt;0.08590512
000155.txt;False;011053.txt;0.24088877
000156.txt;True;000156.txt;0.03141604
000157.txt;False;020909.txt;0.08726927
000158.txt;False;000163.txt;0.08747172
000159.txt;False;045650.txt;0.17178044
000160.txt;False;059825.txt;0.110917285
000161.txt;False;025838.txt;0.051540133
000162.txt;False;016811.txt;0.11488455
000163.txt;True;000163.txt;0.13551697
000164.txt;True;000164.txt;9.3077455e-14
000165.txt;True;000165.txt;0.0
000166.txt;True;000166.txt;0.0
000167.txt;True;000167.txt;0.11019829
000168.txt;False;052077.txt;0.124146864
000169.txt;False;062216.txt;0.106453985
000170.txt;False;052174.txt;0.12176757
000171.txt;True;000171.txt;0.053007826
000172.txt;False;067614.txt;0.100950554
000173.txt;True;000173.txt;0.048532665
000174.txt;True;000174.txt;3.525571e-14
000175.txt;False;036637.txt;0.09834477
000176.txt;False;027468.txt;0.73313946
000177.txt;False;009219.txt;0.039158624
000178.txt;True;000178.txt;0.2640412
000179.txt;True;000179.txt;8.2777806e-14
000180.txt;False;029701.txt;0.051515814
000181.txt;True;000181.txt;0.0
000182.txt;True;000182.txt;0.0
000183.txt;True;000183.txt;9.996496e-14
000184.txt;True;000184.txt;0.17355317
000185.txt;True;000185.txt;8.2339355e-14
000186.txt;False;030611.txt;0.04846414
000187.txt;False;002322.txt;0.20072797
000188.txt;True;000188.txt;0.32171765
000189.txt;True;000189.txt;0.26761925
000190.txt;True;000190.txt;0.35273707
000191.txt;False;052799.txt;0.2547897
000192.txt;True;000192.txt;0.06250607
000193.txt;False;043874.txt;0.2321769
000194.txt;False;052040.txt;0.113952756
000195.txt;False;057423.txt;0.05791574
000196.txt;False;077124.txt;0.051933795
000197.txt;False;006815.txt;0.10398578
000198.txt;False;077310.txt;0.22188944
000199.txt;True;000199.txt;1.01209026e-13
000200.txt;False;003875.txt;0.2132676
000201.txt;False;011658.txt;0.07057371
000202.txt;False;004911.txt;0.26270896
000203.txt;False;007797.txt;0.2058245
000204.txt;True;000204.txt;0.22064756
000205.txt;True;000205.txt;0.21579337
000206.txt;True;000206.txt;0.037898436
000207.txt;True;000207.txt;0.18646833
000208.txt;False;076422.txt;0.07930519
000209.txt;False;065341.txt;0.07456586
000210.txt;False;075540.txt;0.108590335
000211.txt;False;005266.txt;0.08784679
000212.txt;False;039922.txt;0.2490893
000213.txt;False;009392.txt;0.18825838
000214.txt;True;000214.txt;0.0
000215.txt;False;005648.txt;0.05342018
000216.txt;False;056772.txt;0.056404553
000217.txt;False;006577.txt;0.5163604
000219.txt;True;000219.txt;0.04900395
000220.txt;False;036040.txt;0.11469726
000221.txt;False;068405.txt;0.65948665
000222.txt;False;017136.txt;0.28600538
000223.txt;False;052120.txt;0.1855126
000224.txt;False;072440.txt;0.036061577
000225.txt;True;000225.txt;0.34381318
000226.txt;False;077310.txt;0.19810438
000227.txt;True;000227.txt;0.016711157
000228.txt;True;000228.txt;0.15321028
000229.txt;False;009058.txt;0.03221617
000230.txt;True;000230.txt;0.09980874
000231.txt;False;044378.txt;0.088894546
000232.txt;False;030938.txt;0.047951497
000233.txt;True;000233.txt;0.027681988
000234.txt;False;000590.txt;0.069263995
000235.txt;False;032853.txt;0.16144848
000236.txt;True;000236.txt;0.28932416
000237.txt;False;072831.txt;0.121704936
000238.txt;True;000238.txt;0.07119863
000239.txt;False;037587.txt;0.11167695
000240.txt;False;014820.txt;0.38803047
000241.txt;True;000241.txt;8.062046e-14
000242.txt;False;071932.txt;0.05433887
000243.txt;True;000243.txt;0.037543613
000244.txt;False;004702.txt;0.09617561
000245.txt;False;077696.txt;0.09692727
000246.txt;True;000246.txt;0.08097388
000247.txt;False;056703.txt;0.3995304
000248.txt;True;000248.txt;0.23395358
000249.txt;True;000249.txt;0.0
000250.txt;True;000250.txt;1.0684536e-13
000251.txt;False;053676.txt;0.23688608
000252.txt;True;000252.txt;0.031950966
000253.txt;True;000253.txt;0.0
000254.txt;True;000254.txt;8.6148645e-14
000255.txt;False;033798.txt;0.09665921
000256.txt;True;000256.txt;0.22874646
000257.txt;False;001142.txt;0.13153625
000258.txt;False;075852.txt;0.09606609
000259.txt;False;014129.txt;0.14412737
000260.txt;True;000260.txt;0.18027335
000261.txt;False;048929.txt;0.4737969
000262.txt;True;000262.txt;0.0
000263.txt;False;044378.txt;0.10637681
000264.txt;False;031065.txt;0.7620339
000265.txt;True;000265.txt;0.10659245
000266.txt;False;073793.txt;0.25904378
000267.txt;True;000267.txt;0.047612425
000268.txt;False;072681.txt;0.23618262
000269.txt;False;024323.txt;0.150005
000270.txt;True;000270.txt;0.12641902
000271.txt;True;000271.txt;0.29433417
000272.txt;True;000272.txt;0.26974767
000273.txt;False;000300.txt;0.2687268
000274.txt;True;000274.txt;0.27191427
000275.txt;True;000275.txt;8.770004e-14
