model;type;kNN;successful_finds;recall;recall_percentage;recall_percentage_rounded
distiluse-base;open;1NN;54581;0.7021328599361943;70.21328599361944;70.21
distiluse-base;open;5NN;65308;0.8401255531542657;84.01255531542657;84.01
distiluse-base;open;10NN;68110;0.8761706287948955;87.61706287948955;87.62
distiluse-base;open;20NN;70323;0.9046387774004322;90.46387774004322;90.46
distiluse-base;source;1NN;53486;0.6880467222393742;68.80467222393743;68.8
distiluse-base;source;5NN;64333;0.8275831017803849;82.75831017803849;82.76
distiluse-base;source;10NN;67259;0.8652233199547186;86.52233199547186;86.52
distiluse-base;source;20NN;69573;0.8949907378820624;89.49907378820625;89.5
distiluse-base;title;1NN;30586;0.39345991561181437;39.345991561181435;39.35
distiluse-base;title;5NN;37227;0.47889008953380674;47.889008953380674;47.89
distiluse-base;title;10NN;39556;0.5088504682515179;50.88504682515179;50.89
distiluse-base;title;20NN;41637;0.5356205619018215;53.56205619018215;53.56
distiluse-base-v2;open;1NN;54581;0.7021328599361943;70.21328599361944;70.21
distiluse-base-v2;open;5NN;65308;0.8401255531542657;84.01255531542657;84.01
distiluse-base-v2;open;10NN;68110;0.8761706287948955;87.61706287948955;87.62
distiluse-base-v2;open;20NN;70323;0.9046387774004322;90.46387774004322;90.46
distiluse-base-v2;source;1NN;53486;0.6880467222393742;68.80467222393743;68.8
distiluse-base-v2;source;5NN;64333;0.8275831017803849;82.75831017803849;82.76
distiluse-base-v2;source;10NN;67259;0.8652233199547186;86.52233199547186;86.52
distiluse-base-v2;source;20NN;69573;0.8949907378820624;89.49907378820625;89.5
distiluse-base-v2;title;1NN;30586;0.39345991561181437;39.345991561181435;39.35
distiluse-base-v2;title;5NN;37227;0.47889008953380674;47.889008953380674;47.89
distiluse-base-v2;title;10NN;39556;0.5088504682515179;50.88504682515179;50.89
distiluse-base-v2;title;20NN;41637;0.5356205619018215;53.56205619018215;53.56
E5_base;open;1NN;63553;0.8175491406812803;81.75491406812803;81.75
E5_base;open;5NN;71797;0.9236003910672018;92.36003910672018;92.36
E5_base;open;10NN;73442;0.9447617577441597;94.47617577441598;94.48
E5_base;open;20NN;74663;0.9604687660800658;96.04687660800658;96.05
E5_base;source;1NN;49285;0.6340048368838119;63.40048368838119;63.4
E5_base;source;5NN;60491;0.7781594113409489;77.81594113409489;77.82
E5_base;source;10NN;63685;0.8192471956365134;81.92471956365134;81.92
E5_base;source;20NN;66620;0.8570031902850674;85.70031902850674;85.7
E5_base;title;1NN;43002;0.5531799938252547;55.31799938252547;55.32
E5_base;title;5NN;51726;0.665405989502933;66.5405989502933;66.54
E5_base;title;10NN;54403;0.6998430585571679;69.98430585571678;69.98
E5_base;title;20NN;56956;0.7326849850776989;73.26849850776989;73.27
E5_large;open;1NN;68990;0.8874909951631161;88.74909951631162;88.75
E5_large;open;5NN;75104;0.9661418133168673;96.61418133168674;96.61
E5_large;open;10NN;76052;0.9783369352680868;97.83369352680869;97.83
E5_large;open;20NN;76667;0.9862483276731502;98.62483276731501;98.62
E5_large;source;1NN;64756;0.8330245960687455;83.30245960687455;83.3
E5_large;source;5NN;72599;0.933917361325512;93.3917361325512;93.39
E5_large;source;10NN;74095;0.9531619841514871;95.3161984151487;95.32
E5_large;source;20NN;75205;0.9674410826386745;96.74410826386745;96.74
E5_large;title;1NN;45282;0.5825100339610991;58.251003396109915;58.25
E5_large;title;5NN;54020;0.6949161263764536;69.49161263764536;69.49
E5_large;title;10NN;56553;0.7275007718431614;72.75007718431614;72.75
E5_large;title;20NN;59084;0.760059689204487;76.0059689204487;76.01
E5_small;open;1NN;62350;0.802073685293815;80.2073685293815;80.21
E5_small;open;5NN;70517;0.9071344036225172;90.71344036225172;90.71
E5_small;open;10NN;72294;0.9299938252547082;92.99938252547082;93.0
E5_small;open;20NN;73643;0.9473474323350829;94.73474323350828;94.73
E5_small;source;1NN;47801;0.6149145826901307;61.491458269013066;61.49
E5_small;source;5NN;58909;0.7578084799835341;75.78084799835341;75.78
E5_small;source;10NN;62083;0.7986389832252753;79.86389832252753;79.86
E5_small;source;20NN;64986;0.8359833281877123;83.59833281877123;83.6
E5_small;title;1NN;41392;0.5324688689924874;53.246886899248736;53.25
E5_small;title;5NN;50788;0.6533395080786251;65.33395080786251;65.33
E5_small;title;10NN;53694;0.6907224451991355;69.07224451991355;69.07
E5_small;title;20NN;56257;0.7236930122465781;72.36930122465782;72.37
LaBSE;open;1NN;56917;0.7321832870227436;73.21832870227436;73.22
LaBSE;open;5NN;67046;0.8624832767315015;86.24832767315014;86.25
LaBSE;open;10NN;69660;0.8961099104661933;89.61099104661933;89.61
LaBSE;open;20NN;71676;0.9220438406915715;92.20438406915716;92.2
LaBSE;source;1NN;56978;0.7329679942369044;73.29679942369044;73.3
LaBSE;source;5NN;67200;0.8644643408459401;86.44643408459402;86.45
LaBSE;source;10NN;69724;0.8969332098384275;89.69332098384275;89.69
LaBSE;source;20NN;71744;0.9229185962745703;92.29185962745703;92.29
LaBSE;title;1NN;54052;0.6953277760625708;69.53277760625708;69.53
LaBSE;title;5NN;61662;0.793223217042297;79.32232170422971;79.32
LaBSE;title;10NN;63928;0.8223731604404652;82.23731604404651;82.24
LaBSE;title;20NN;65857;0.8471879180817125;84.71879180817125;84.72
LASER;open;1NN;23309;0.2998482041782443;29.98482041782443;29.98
LASER;open;5NN;29997;0.3858829885767212;38.58829885767212;38.59
LASER;open;10NN;32894;0.4231501492230112;42.31501492230112;42.32
