query_file;found;search_result;search_distances
000000.txt;False;003653.txt;4.006217
000001.txt;True;000001.txt;3.7623506
000002.txt;False;053910.txt;3.451992
000003.txt;True;000003.txt;3.658235
000004.txt;True;000004.txt;4.3210635
000005.txt;False;077948.txt;3.3889275
000006.txt;False;078876.txt;3.6850672
000007.txt;False;057924.txt;4.173369
000008.txt;False;031704.txt;4.30535
000009.txt;True;000009.txt;4.349707
000010.txt;False;077948.txt;3.799026
000011.txt;True;000011.txt;3.926444
000012.txt;True;000012.txt;3.2848616
000013.txt;False;076482.txt;3.7361426
000014.txt;True;000014.txt;3.3617573
000015.txt;True;000015.txt;3.7741177
000016.txt;True;000016.txt;3.7711434
000017.txt;True;000017.txt;4.651949
000018.txt;False;014690.txt;4.3133917
000019.txt;True;000019.txt;4.048465
000020.txt;False;028500.txt;4.2912455
000021.txt;True;000021.txt;3.5709262
000022.txt;True;000022.txt;3.8881822
000023.txt;True;000023.txt;4.1867256
000024.txt;True;000024.txt;4.1102505
000025.txt;True;000025.txt;4.1914616
000026.txt;False;044829.txt;3.833053
000027.txt;False;000317.txt;4.539315
000028.txt;True;000028.txt;3.9919276
000029.txt;True;000029.txt;4.039502
000030.txt;True;000030.txt;4.0713396
000031.txt;False;000158.txt;4.0994296
000032.txt;True;000032.txt;4.1134543
000034.txt;True;000034.txt;3.9178433
000035.txt;False;041392.txt;4.475381
000036.txt;False;031758.txt;4.028984
000037.txt;True;000037.txt;4.043356
000038.txt;True;000038.txt;4.3060007
000039.txt;True;000039.txt;4.071821
000040.txt;True;000040.txt;4.043984
000041.txt;True;000041.txt;4.3460402
000042.txt;True;000042.txt;4.109576
000043.txt;True;000043.txt;4.0978074
000044.txt;False;000317.txt;3.884706
000045.txt;True;000045.txt;4.182903
000046.txt;True;000046.txt;3.8803809
000047.txt;False;078617.txt;4.252761
000048.txt;False;075897.txt;3.4117188
000049.txt;False;016415.txt;3.536945
000050.txt;False;016415.txt;3.141464
000051.txt;False;001403.txt;4.524261
000052.txt;True;000052.txt;4.270185
000053.txt;False;053910.txt;3.2229733
000054.txt;True;000054.txt;4.5305986
000055.txt;True;000055.txt;4.4256444
000056.txt;False;016415.txt;3.2489367
000057.txt;False;053910.txt;3.3610368
000058.txt;True;000058.txt;3.1290421
000059.txt;True;000059.txt;3.9781055
000060.txt;False;053910.txt;3.5990002
000061.txt;False;078876.txt;3.7113135
000062.txt;True;000062.txt;4.017295
000063.txt;True;000063.txt;4.554037
000064.txt;False;009437.txt;3.2817063
000065.txt;True;000065.txt;3.5015597
000066.txt;False;066289.txt;4.184085
000067.txt;True;000067.txt;3.4629521
000068.txt;False;048251.txt;4.060351
000069.txt;False;030290.txt;4.1241207
000070.txt;False;016105.txt;4.1408267
000071.txt;True;000071.txt;4.4367447
000072.txt;False;078917.txt;3.2653255
000073.txt;False;073525.txt;4.100852
000074.txt;False;029022.txt;4.6771173
000075.txt;False;069815.txt;3.7871103
000076.txt;True;000076.txt;3.6810622
000077.txt;False;053910.txt;3.4953194
000078.txt;False;060643.txt;4.4867306
000079.txt;False;005148.txt;3.7458806
000080.txt;False;053910.txt;3.114848
000081.txt;False;053910.txt;3.3844516
000082.txt;False;045032.txt;4.0875154
000083.txt;False;000805.txt;4.8041773
000084.txt;False;069815.txt;4.0675144
000085.txt;True;000085.txt;3.5928535
000086.txt;True;000086.txt;3.8656316
000087.txt;False;027805.txt;2.8928094
000088.txt;False;056415.txt;3.6980464
000089.txt;False;019282.txt;4.1290026
000090.txt;False;005148.txt;3.9128835
000091.txt;True;000091.txt;3.1296105
000092.txt;False;015043.txt;3.6958375
000093.txt;False;014865.txt;3.578581
000094.txt;False;023328.txt;3.9074697
000095.txt;False;030898.txt;4.497937
000096.txt;False;031704.txt;4.344652
000097.txt;False;000919.txt;3.9250789
000098.txt;False;016824.txt;4.18774
000099.txt;True;000099.txt;3.6616406
000100.txt;False;042476.txt;3.631717
000101.txt;False;009075.txt;4.259676
000102.txt;False;027805.txt;2.991841
000103.txt;False;019282.txt;4.17083
000104.txt;True;000104.txt;3.951709
000105.txt;True;000105.txt;4.0173855
000106.txt;True;000106.txt;3.519343
000107.txt;False;062743.txt;4.2077103
000108.txt;True;000108.txt;4.048689
000109.txt;True;000109.txt;4.1551332
000110.txt;False;032389.txt;4.21386
000111.txt;False;017401.txt;4.023305
000112.txt;False;043233.txt;4.1114564
000113.txt;True;000113.txt;3.5852876
000114.txt;True;000114.txt;4.5046806
000115.txt;False;034789.txt;4.1953936
000116.txt;False;027805.txt;3.1246364
000117.txt;True;000117.txt;3.541234
000118.txt;True;000118.txt;3.4579227
000119.txt;False;043233.txt;4.2528687
000120.txt;False;000121.txt;3.829115
000121.txt;True;000121.txt;3.19692
000122.txt;False;074075.txt;3.8574634
000123.txt;True;000123.txt;3.2917607
000124.txt;True;000124.txt;3.9830813
000126.txt;True;000126.txt;4.3224525
000127.txt;False;078617.txt;4.493606
000128.txt;True;000128.txt;4.25216
