query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.81323737
000001.txt;True;000001.txt;0.8913636
000002.txt;True;000002.txt;0.877639
000003.txt;True;000003.txt;0.8657312
000004.txt;True;000004.txt;0.88814676
000005.txt;False;078876.txt;0.8502257
000006.txt;True;000006.txt;0.8065419
000007.txt;False;008525.txt;0.79952073
000008.txt;False;078925.txt;0.7965027
000009.txt;False;006026.txt;0.8524082
000010.txt;True;000010.txt;0.8600636
000011.txt;False;001560.txt;0.8820461
000012.txt;True;000012.txt;0.8804312
000013.txt;True;000013.txt;0.89342
000014.txt;True;000014.txt;0.89552754
000015.txt;True;000015.txt;0.8996631
000016.txt;False;000015.txt;0.87244856
000017.txt;True;000017.txt;0.860512
000018.txt;True;000018.txt;0.9133553
000019.txt;True;000019.txt;0.84475654
000020.txt;True;000020.txt;0.83186245
000021.txt;True;000021.txt;0.9065922
000022.txt;True;000022.txt;0.91258955
000023.txt;True;000023.txt;0.8904531
000024.txt;True;000024.txt;0.8981981
000025.txt;True;000025.txt;0.92157614
000026.txt;True;000026.txt;0.8727777
000027.txt;True;000027.txt;0.9203454
000028.txt;True;000028.txt;0.92806983
000029.txt;True;000029.txt;0.9186649
000030.txt;True;000030.txt;0.8578619
000031.txt;True;000031.txt;0.88447565
000032.txt;True;000032.txt;0.87276495
000034.txt;True;000034.txt;0.7986038
000035.txt;True;000035.txt;0.7995895
000036.txt;True;000036.txt;0.82618487
000037.txt;True;000037.txt;0.913026
000038.txt;True;000038.txt;0.9222032
000039.txt;True;000039.txt;0.9135894
000040.txt;True;000040.txt;0.9189694
000041.txt;True;000041.txt;0.9176058
000042.txt;True;000042.txt;0.92621386
000043.txt;True;000043.txt;0.9179011
000044.txt;True;000044.txt;0.85096306
000045.txt;True;000045.txt;0.8525953
000046.txt;False;075527.txt;0.8426424
000047.txt;False;000187.txt;0.86259234
000048.txt;True;000048.txt;0.91131294
000049.txt;True;000049.txt;0.88707256
000050.txt;True;000050.txt;0.8543475
000051.txt;True;000051.txt;0.8308518
000052.txt;True;000052.txt;0.8744085
000053.txt;True;000053.txt;0.85358584
000054.txt;True;000054.txt;0.8402208
000055.txt;True;000055.txt;0.7984743
000056.txt;True;000056.txt;0.85527205
000057.txt;True;000057.txt;0.8512721
000058.txt;True;000058.txt;0.90054727
000059.txt;True;000059.txt;0.8280355
000060.txt;True;000060.txt;0.8858171
000061.txt;True;000061.txt;0.8471977
000062.txt;True;000062.txt;0.8480768
000063.txt;True;000063.txt;0.82933915
000064.txt;True;000064.txt;0.8413817
000065.txt;True;000065.txt;0.82768166
000066.txt;True;000066.txt;0.8481785
000067.txt;True;000067.txt;0.86862385
000068.txt;True;000068.txt;0.83010876
000069.txt;True;000069.txt;0.84731245
000070.txt;True;000070.txt;0.8222779
000071.txt;False;008550.txt;0.81207967
000072.txt;True;000072.txt;0.8931227
000073.txt;False;029517.txt;0.8206892
000074.txt;False;053465.txt;0.79763246
000075.txt;True;000075.txt;0.83248544
000076.txt;True;000076.txt;0.8112612
000077.txt;True;000077.txt;0.88671315
000078.txt;True;000078.txt;0.81146747
000079.txt;True;000079.txt;0.84044033
000080.txt;True;000080.txt;0.8734742
000081.txt;True;000081.txt;0.8639253
000082.txt;True;000082.txt;0.8602658
000083.txt;True;000083.txt;0.8071741
000084.txt;True;000084.txt;0.81597173
000085.txt;False;064703.txt;0.81714064
000086.txt;True;000086.txt;0.8745025
000087.txt;True;000087.txt;0.8502884
000088.txt;True;000088.txt;0.8166393
000089.txt;False;000088.txt;0.7870351
000090.txt;True;000090.txt;0.83077234
000091.txt;True;000091.txt;0.88062334
000092.txt;True;000092.txt;0.8545865
000093.txt;True;000093.txt;0.86734617
000094.txt;False;019647.txt;0.79931223
000095.txt;True;000095.txt;0.84218717
000096.txt;True;000096.txt;0.80363333
000097.txt;True;000097.txt;0.80138445
000098.txt;True;000098.txt;0.8817812
