query_file;found;search_result;search_distances
000000.txt;False;003653.txt;5.9273205
000001.txt;True;000001.txt;6.3598547
000002.txt;True;000002.txt;3.7304935
000003.txt;True;000003.txt;6.0295324
000004.txt;True;000004.txt;6.9453297
000005.txt;False;030653.txt;5.407388
000006.txt;False;030652.txt;5.470272
000007.txt;True;000007.txt;5.3206954
000008.txt;False;078419.txt;3.4584036
000009.txt;True;000009.txt;6.503332
000010.txt;True;000010.txt;5.655544
000011.txt;True;000011.txt;7.6045504
000012.txt;True;000012.txt;5.4568634
000013.txt;True;000013.txt;5.621339
000014.txt;True;000014.txt;5.5138617
000015.txt;True;000015.txt;6.3412714
000016.txt;False;017586.txt;5.1328526
000017.txt;True;000017.txt;6.431762
000018.txt;True;000018.txt;7.6712756
000019.txt;True;000019.txt;7.5060267
000020.txt;True;000020.txt;6.001769
000021.txt;True;000021.txt;7.194892
000022.txt;True;000022.txt;8.396839
000023.txt;True;000023.txt;7.9372997
000024.txt;True;000024.txt;8.043205
000025.txt;True;000025.txt;8.535841
000026.txt;True;000026.txt;7.33333
000027.txt;True;000027.txt;9.092086
000028.txt;True;000028.txt;8.307243
000029.txt;True;000029.txt;8.363695
000030.txt;True;000030.txt;7.381222
000031.txt;True;000031.txt;7.4583693
000032.txt;True;000032.txt;7.452731
000034.txt;True;000034.txt;6.0905166
000035.txt;True;000035.txt;6.446002
000036.txt;False;008482.txt;4.6889863
000037.txt;True;000037.txt;8.323527
000038.txt;True;000038.txt;8.750677
000039.txt;True;000039.txt;8.35676
000040.txt;True;000040.txt;8.180632
000041.txt;True;000041.txt;8.689056
000042.txt;True;000042.txt;8.262874
000043.txt;True;000043.txt;8.305481
000044.txt;True;000044.txt;6.666054
000045.txt;True;000045.txt;7.4628596
000046.txt;True;000046.txt;6.89909
000047.txt;True;000047.txt;7.755576
000048.txt;True;000048.txt;4.5611544
000049.txt;False;002942.txt;4.5062914
000050.txt;True;000050.txt;5.644947
000051.txt;False;001403.txt;6.2904124
000052.txt;True;000052.txt;7.3918223
000053.txt;True;000053.txt;4.5858192
000054.txt;True;000054.txt;6.635167
000055.txt;True;000055.txt;6.8254895
000056.txt;True;000056.txt;6.125858
000057.txt;False;045711.txt;4.6466846
000058.txt;True;000058.txt;5.826267
000059.txt;True;000059.txt;4.3753777
000060.txt;False;033671.txt;4.212145
000061.txt;True;000061.txt;5.8413324
000062.txt;True;000062.txt;5.0256314
000063.txt;True;000063.txt;8.032785
000064.txt;False;030729.txt;4.989091
000065.txt;False;023913.txt;4.5529637
000066.txt;True;000066.txt;6.384099
000067.txt;True;000067.txt;5.604718
000068.txt;True;000068.txt;7.98959
000069.txt;True;000069.txt;6.5099773
000070.txt;False;075545.txt;5.116421
000071.txt;False;000083.txt;5.159089
000072.txt;True;000072.txt;4.926358
000073.txt;True;000073.txt;5.985633
000074.txt;True;000074.txt;5.8673353
000075.txt;True;000075.txt;4.6691346
000076.txt;True;000076.txt;5.3259153
000077.txt;True;000077.txt;7.712963
000078.txt;True;000078.txt;5.378828
000079.txt;True;000079.txt;5.772773
000080.txt;False;017271.txt;4.378255
000081.txt;True;000081.txt;4.5825157
000082.txt;False;043920.txt;4.063465
000083.txt;False;015541.txt;4.2921906
000084.txt;True;000084.txt;5.5873604
000085.txt;True;000085.txt;6.4610653
000086.txt;True;000086.txt;5.569368
000087.txt;False;042683.txt;4.342476
000088.txt;True;000088.txt;6.5457406
000089.txt;True;000089.txt;7.0825453
000090.txt;False;076746.txt;4.318424
000091.txt;True;000091.txt;5.5126534
000092.txt;False;037419.txt;3.9220033
000093.txt;True;000093.txt;4.7875
000094.txt;True;000094.txt;5.301654
000095.txt;True;000095.txt;6.743294
000096.txt;True;000096.txt;5.1858625
000097.txt;True;000097.txt;3.7326555
000098.txt;True;000098.txt;6.9424715
000099.txt;True;000099.txt;6.8066072
000100.txt;True;000100.txt;6.915514
000101.txt;True;000101.txt;5.925409
000102.txt;False;061001.txt;4.137014
000103.txt;True;000103.txt;6.5398026
000104.txt;True;000104.txt;5.601387
000105.txt;True;000105.txt;4.3134747
000106.txt;True;000106.txt;5.4940987
000107.txt;True;000107.txt;4.896432
000108.txt;True;000108.txt;8.267448
000109.txt;True;000109.txt;8.354653
000110.txt;True;000110.txt;6.6782737
000111.txt;True;000111.txt;6.794076
000112.txt;True;000112.txt;5.1332636
000113.txt;True;000113.txt;4.5864334
000114.txt;True;000114.txt;6.7293825
000115.txt;True;000115.txt;5.038805
000116.txt;False;032416.txt;3.8577487
000117.txt;False;000112.txt;5.9887643
000118.txt;False;000120.txt;7.1939487
000119.txt;True;000119.txt;6.1952543
000120.txt;True;000120.txt;7.5862913
000121.txt;True;000121.txt;6.3959723
000122.txt;False;076224.txt;3.712821
000123.txt;True;000123.txt;4.9078593
000124.txt;True;000124.txt;7.1321735
000126.txt;True;000126.txt;6.6233845
000127.txt;True;000127.txt;8.419714
000128.txt;True;000128.txt;7.878335
000129.txt;True;000129.txt;4.7059193
000130.txt;True;000130.txt;7.034531
000131.txt;True;000131.txt;7.3567085
000132.txt;True;000132.txt;7.2857456
000133.txt;True;000133.txt;7.013144
000134.txt;True;000134.txt;6.894194
000135.txt;True;000135.txt;5.797879
000136.txt;True;000136.txt;7.707078
000137.txt;True;000137.txt;6.4049926
000138.txt;True;000138.txt;4.4586143
000139.txt;False;035877.txt;4.4878407
000140.txt;True;000140.txt;4.8077483
000141.txt;True;000141.txt;6.0762606
000142.txt;False;034424.txt;3.4600058
000143.txt;True;000143.txt;4.6017733
000144.txt;True;000144.txt;6.4967613
000145.txt;False;018764.txt;3.9382846
000146.txt;True;000146.txt;5.8489604
000147.txt;True;000147.txt;5.078368
000148.txt;False;025467.txt;6.8696947
000149.txt;True;000149.txt;8.211094
000150.txt;True;000150.txt;5.8575325
000151.txt;False;078936.txt;4.588434
000152.txt;True;000152.txt;6.72902
000153.txt;True;000153.txt;6.926346
000154.txt;False;003028.txt;3.722449
000155.txt;False;036060.txt;3.016168
000156.txt;True;000156.txt;5.6220646
000157.txt;False;078616.txt;6.156476
000158.txt;False;004272.txt;5.38245
000159.txt;False;078624.txt;6.030401
000160.txt;True;000160.txt;5.126952
000161.txt;True;000161.txt;5.2824206
000162.txt;False;049976.txt;5.9768095
000163.txt;False;004272.txt;5.9646997
000164.txt;True;000164.txt;6.422316
000165.txt;True;000165.txt;6.0120564
000166.txt;True;000166.txt;6.8132176
000167.txt;True;000167.txt;5.831477
000168.txt;True;000168.txt;6.957629
000169.txt;False;053342.txt;3.6930585
000170.txt;True;000170.txt;7.1759963
000171.txt;True;000171.txt;4.974139
000172.txt;True;000172.txt;6.6403284
000173.txt;True;000173.txt;5.681243
000174.txt;False;037034.txt;4.4483232
000175.txt;True;000175.txt;5.2603393
000176.txt;True;000176.txt;7.0075545
000177.txt;False;076809.txt;5.33226
000178.txt;True;000178.txt;6.9037137
000179.txt;True;000179.txt;5.591399
000180.txt;False;011274.txt;4.801115
000181.txt;True;000181.txt;8.42763
000182.txt;True;000182.txt;7.9900446
000183.txt;True;000183.txt;6.4637322
000184.txt;True;000184.txt;7.0342045
000185.txt;True;000185.txt;6.8169136
000186.txt;False;015281.txt;4.50527
000187.txt;True;000187.txt;8.392246
000188.txt;True;000188.txt;8.93634
000189.txt;True;000189.txt;7.502005
000190.txt;True;000190.txt;7.5740724
000191.txt;True;000191.txt;5.55939
000192.txt;True;000192.txt;5.6120367
000193.txt;False;007517.txt;6.386353
000194.txt;True;000194.txt;6.934943
000195.txt;True;000195.txt;5.9077168
000196.txt;True;000196.txt;4.2908335
000197.txt;True;000197.txt;7.6791315
000198.txt;True;000198.txt;7.534461
000199.txt;True;000199.txt;6.0306664
000200.txt;True;000200.txt;6.296214
000201.txt;True;000201.txt;4.3378215
000202.txt;True;000202.txt;5.28371
000203.txt;False;078032.txt;4.9793177
000204.txt;True;000204.txt;6.621932
000205.txt;True;000205.txt;6.8710656
000206.txt;True;000206.txt;5.833748
000207.txt;True;000207.txt;5.5312257
000208.txt;False;010009.txt;4.143629
000209.txt;True;000209.txt;7.156129
000210.txt;False;038362.txt;3.794417
000211.txt;True;000211.txt;6.628685
000212.txt;True;000212.txt;6.135803
000213.txt;True;000213.txt;5.442157
000214.txt;True;000214.txt;5.114087
000215.txt;False;015485.txt;4.9852242
000216.txt;True;000216.txt;4.938685
000217.txt;True;000217.txt;5.331979
000219.txt;True;000219.txt;5.736468
000220.txt;False;078947.txt;4.2893515
000221.txt;True;000221.txt;6.1300907
000222.txt;True;000222.txt;8.113507
000223.txt;True;000223.txt;5.557328
000224.txt;True;000224.txt;6.089414
000225.txt;False;072653.txt;5.1370573
000226.txt;True;000226.txt;5.8614035
000227.txt;True;000227.txt;6.8805895
000228.txt;True;000228.txt;5.9344106
000229.txt;False;076113.txt;3.6235945
000230.txt;True;000230.txt;5.963361
000231.txt;True;000231.txt;3.9361837
