query_file;found;search_result;search_distances
000000.txt;False;042895.txt;0.39911902
000001.txt;True;000001.txt;0.24614295
000002.txt;True;000002.txt;0.25194755
000003.txt;True;000003.txt;0.25846493
000004.txt;True;000004.txt;0.19008723
000005.txt;False;058488.txt;0.34047586
000006.txt;True;000006.txt;0.34095556
000007.txt;True;000007.txt;0.37311542
000008.txt;False;036119.txt;0.37073517
000009.txt;True;000009.txt;0.24443245
000010.txt;True;000010.txt;0.23466055
000011.txt;True;000011.txt;0.22678019
000012.txt;True;000012.txt;0.1968247
000013.txt;True;000013.txt;0.20482567
000014.txt;True;000014.txt;0.18503553
000015.txt;True;000015.txt;0.22455639
000016.txt;True;000016.txt;0.27596906
000017.txt;False;017740.txt;0.34322137
000018.txt;True;000018.txt;0.21645656
000019.txt;False;072796.txt;0.30356923
000020.txt;True;000020.txt;0.34339625
000021.txt;True;000021.txt;0.20398918
000022.txt;True;000022.txt;0.18819547
000023.txt;True;000023.txt;0.20336911
000024.txt;True;000024.txt;0.2329909
000025.txt;True;000025.txt;0.19572783
000026.txt;True;000026.txt;0.22565868
000027.txt;True;000027.txt;0.17113692
000028.txt;True;000028.txt;0.1803997
000029.txt;True;000029.txt;0.18488944
000030.txt;True;000030.txt;0.26618433
000031.txt;True;000031.txt;0.23450556
000032.txt;True;000032.txt;0.26425564
000034.txt;True;000034.txt;0.31046298
000035.txt;False;016346.txt;0.399063
000036.txt;True;000036.txt;0.30482328
000037.txt;True;000037.txt;0.18079782
000038.txt;True;000038.txt;0.16128561
000039.txt;True;000039.txt;0.19739181
000040.txt;True;000040.txt;0.18592325
000041.txt;True;000041.txt;0.18321079
000042.txt;True;000042.txt;0.17172989
000043.txt;True;000043.txt;0.19087315
000044.txt;False;010500.txt;0.32902747
000045.txt;False;078368.txt;0.3295635
000046.txt;False;075527.txt;0.28316516
000047.txt;False;075527.txt;0.28862786
000048.txt;True;000048.txt;0.16112256
000049.txt;True;000049.txt;0.19325589
000050.txt;False;006828.txt;0.28320435
000051.txt;False;075527.txt;0.33301693
000052.txt;False;075527.txt;0.32715106
000053.txt;True;000053.txt;0.27009183
000054.txt;True;000054.txt;0.28675246
000055.txt;True;000055.txt;0.41844404
000056.txt;True;000056.txt;0.29402074
000057.txt;True;000057.txt;0.27879518
000058.txt;True;000058.txt;0.20696852
000059.txt;False;004910.txt;0.41809547
000060.txt;True;000060.txt;0.25250775
000061.txt;True;000061.txt;0.27954972
000062.txt;True;000062.txt;0.3016662
000063.txt;True;000063.txt;0.32033458
000064.txt;True;000064.txt;0.2891965
000065.txt;True;000065.txt;0.32833293
000066.txt;True;000066.txt;0.3047933
000067.txt;True;000067.txt;0.2549572
000068.txt;True;000068.txt;0.27842042
000069.txt;True;000069.txt;0.30019683
000070.txt;True;000070.txt;0.33117166
000071.txt;False;008550.txt;0.3474218
000072.txt;True;000072.txt;0.16273433
000073.txt;False;015120.txt;0.3783756
000074.txt;False;008794.txt;0.42565703
000075.txt;True;000075.txt;0.29500985
000076.txt;False;062557.txt;0.32228667
000077.txt;True;000077.txt;0.24558239
000078.txt;True;000078.txt;0.3259902
000079.txt;True;000079.txt;0.29836023
000080.txt;True;000080.txt;0.26296645
000081.txt;True;000081.txt;0.28316838
000082.txt;True;000082.txt;0.26134774
000083.txt;True;000083.txt;0.35572055
000084.txt;False;049171.txt;0.32446763
000085.txt;False;044255.txt;0.31939727
000086.txt;True;000086.txt;0.21408933
000087.txt;True;000087.txt;0.305483
000088.txt;False;034459.txt;0.35110462
000089.txt;False;072828.txt;0.364877
000090.txt;True;000090.txt;0.35630912
000091.txt;True;000091.txt;0.24164377
000092.txt;False;029521.txt;0.32810003
000093.txt;True;000093.txt;0.1977084
000094.txt;False;019647.txt;0.382289
000095.txt;True;000095.txt;0.32737184
000096.txt;False;068687.txt;0.3875486
000097.txt;True;000097.txt;0.3566705
000098.txt;True;000098.txt;0.22043183
000099.txt;True;000099.txt;0.34173113
000100.txt;True;000100.txt;0.3099963
000101.txt;False;015745.txt;0.3490852
000102.txt;True;000102.txt;0.3077138
000103.txt;False;041847.txt;0.32512635
000104.txt;False;004931.txt;0.33706838
000105.txt;True;000105.txt;0.25823984
000106.txt;False;004153.txt;0.37724292
000107.txt;False;016622.txt;0.3571245
000108.txt;True;000108.txt;0.19261806
000109.txt;True;000109.txt;0.17669511
000110.txt;False;076198.txt;0.37972668
000111.txt;True;000111.txt;0.22307926
000112.txt;False;000129.txt;0.37073672
000113.txt;True;000113.txt;0.24010496
000114.txt;False;016246.txt;0.389144
000115.txt;True;000115.txt;0.35325837
000116.txt;False;075129.txt;0.34818926
000117.txt;True;000117.txt;0.34892648
000118.txt;True;000118.txt;0.24259001
000119.txt;False;022183.txt;0.36390665
000120.txt;True;000120.txt;0.14474256
000121.txt;True;000121.txt;0.19458365
000122.txt;False;064246.txt;0.4422534
000123.txt;False;074427.txt;0.35986963
000124.txt;False;055978.txt;0.35891774
000126.txt;True;000126.txt;0.30380654
000127.txt;True;000127.txt;0.32593122
000128.txt;True;000128.txt;0.27041006
000129.txt;False;061932.txt;0.38050815
000130.txt;True;000130.txt;0.32749307
000131.txt;False;075527.txt;0.35033
000132.txt;False;075527.txt;0.3482692
000133.txt;False;075527.txt;0.3055321
000134.txt;False;055053.txt;0.43369007
000135.txt;False;030472.txt;0.38794142
000136.txt;False;006884.txt;0.34988523
000137.txt;True;000137.txt;0.34768414
000138.txt;True;000138.txt;0.26283345
000139.txt;False;041094.txt;0.39210397
000140.txt;True;000140.txt;0.21729425
000141.txt;True;000141.txt;0.3734564
000142.txt;True;000142.txt;0.3456823
000143.txt;False;003005.txt;0.37368935
000144.txt;True;000144.txt;0.35292932
000145.txt;True;000145.txt;0.37879747
000146.txt;False;042891.txt;0.4081608
000147.txt;True;000147.txt;0.41304928
000148.txt;False;025467.txt;0.3596483
000149.txt;True;000149.txt;0.27498245
000150.txt;False;073368.txt;0.33143014
000151.txt;False;015077.txt;0.4096583
000152.txt;True;000152.txt;0.35876873
