query_file;found;search_result;search_distances
000000.txt;False;003653.txt;5.139876
000001.txt;True;000001.txt;3.6504562
000002.txt;False;007581.txt;5.4972305
000003.txt;True;000003.txt;2.6630507
000004.txt;True;000004.txt;3.3006296
000005.txt;False;078876.txt;4.7501225
000006.txt;False;032053.txt;4.890239
000007.txt;False;003777.txt;5.2134676
000008.txt;False;025181.txt;4.9089146
000009.txt;False;004901.txt;4.860987
000010.txt;True;000010.txt;5.3693266
000011.txt;True;000011.txt;1.3305814
000012.txt;True;000012.txt;3.611801
000013.txt;True;000013.txt;2.7903657
000014.txt;True;000014.txt;4.513377
000015.txt;True;000015.txt;2.951669
000016.txt;True;000016.txt;3.7522001
000017.txt;True;000017.txt;5.5822
000018.txt;True;000018.txt;4.8070574
000019.txt;True;000019.txt;2.3492465
000020.txt;False;028500.txt;5.6374626
000021.txt;True;000021.txt;2.8498335
000022.txt;True;000022.txt;1.4622495
000023.txt;True;000023.txt;3.8843555
000024.txt;True;000024.txt;2.9459045
000025.txt;True;000025.txt;1.7357033
000026.txt;True;000026.txt;3.396815
000027.txt;True;000027.txt;1.8435235
000028.txt;True;000028.txt;1.7001544
000029.txt;True;000029.txt;2.024726
000030.txt;False;000031.txt;3.0137782
000031.txt;True;000031.txt;2.9579287
000032.txt;True;000032.txt;4.5176673
000034.txt;True;000034.txt;4.3881407
000035.txt;False;029584.txt;7.594125
000036.txt;False;042223.txt;5.118702
000037.txt;True;000037.txt;1.5604384
000038.txt;True;000038.txt;1.9011179
000039.txt;True;000039.txt;1.881651
000040.txt;True;000040.txt;1.7596349
000041.txt;True;000041.txt;1.9491787
000042.txt;True;000042.txt;1.8468251
000043.txt;True;000043.txt;1.8430699
000044.txt;True;000044.txt;3.2557983
000045.txt;True;000045.txt;3.874013
000046.txt;True;000046.txt;6.5047674
000047.txt;True;000047.txt;4.926221
000048.txt;True;000048.txt;3.9077525
000049.txt;False;008515.txt;7.319271
000050.txt;False;024613.txt;4.71199
000051.txt;False;001403.txt;5.431108
000052.txt;True;000052.txt;6.378312
000053.txt;False;011780.txt;5.360527
000054.txt;True;000054.txt;2.8914096
000055.txt;True;000055.txt;4.952175
000056.txt;True;000056.txt;4.5421367
000057.txt;True;000057.txt;3.7136476
000058.txt;False;012000.txt;6.389337
000059.txt;False;001026.txt;4.8521247
000060.txt;False;011780.txt;6.365916
000061.txt;True;000061.txt;5.6685076
000062.txt;True;000062.txt;5.256956
000063.txt;True;000063.txt;2.1053925
000064.txt;False;008515.txt;5.1732044
000065.txt;True;000065.txt;3.3868687
000066.txt;True;000066.txt;5.57918
000067.txt;True;000067.txt;3.6410365
000068.txt;True;000068.txt;2.789734
000069.txt;False;078461.txt;5.1557174
000070.txt;True;000070.txt;6.2534194
000071.txt;True;000071.txt;4.216524
000072.txt;True;000072.txt;4.552402
000073.txt;True;000073.txt;4.217142
000074.txt;True;000074.txt;4.254495
000075.txt;True;000075.txt;4.639911
000076.txt;False;028863.txt;3.2108638
000077.txt;False;002769.txt;6.7819605
000078.txt;True;000078.txt;6.221064
000079.txt;True;000079.txt;7.464199
000080.txt;False;002787.txt;4.9580355
000081.txt;False;008515.txt;4.165166
000082.txt;False;012000.txt;5.964507
000083.txt;False;008726.txt;7.841373
000084.txt;True;000084.txt;5.7303896
000085.txt;True;000085.txt;2.6458602
000086.txt;True;000086.txt;3.2793908
000087.txt;False;047065.txt;5.450017
000088.txt;False;066737.txt;6.129096
000089.txt;True;000089.txt;5.0980296
000090.txt;False;061825.txt;7.2766495
000091.txt;True;000091.txt;3.66673
000092.txt;False;030915.txt;4.8425407
000093.txt;False;057419.txt;5.062915
000094.txt;False;019647.txt;3.607909
000095.txt;True;000095.txt;5.7558494
000096.txt;True;000096.txt;4.1866665
000097.txt;False;037449.txt;6.2685437
000098.txt;True;000098.txt;5.387094
000099.txt;True;000099.txt;2.0523968
000100.txt;True;000100.txt;2.3561773
000101.txt;True;000101.txt;3.2710238
000102.txt;False;016169.txt;5.6081734
000103.txt;True;000103.txt;4.145576
000104.txt;False;003653.txt;6.306732
000105.txt;True;000105.txt;4.9634724
000106.txt;True;000106.txt;2.8626633
000107.txt;False;062743.txt;6.560253
000108.txt;True;000108.txt;1.8254883
000109.txt;True;000109.txt;2.0449352
000110.txt;True;000110.txt;4.396637
000111.txt;True;000111.txt;3.4001048
000112.txt;False;000117.txt;8.699531
000113.txt;True;000113.txt;4.803027
000114.txt;True;000114.txt;4.5051146
000115.txt;True;000115.txt;3.6976414
000116.txt;False;046282.txt;6.1513467
000117.txt;True;000117.txt;3.3672295
000118.txt;True;000118.txt;2.7083898
000119.txt;True;000119.txt;5.175917
000120.txt;True;000120.txt;2.8156826
000121.txt;False;030179.txt;6.7405334
000122.txt;False;068854.txt;5.778852
000123.txt;True;000123.txt;3.7359195
000124.txt;True;000124.txt;1.8314599
000126.txt;True;000126.txt;3.9616947
000127.txt;True;000127.txt;3.8936486
000128.txt;True;000128.txt;2.694265
000129.txt;False;061932.txt;5.06808
000130.txt;True;000130.txt;4.721753
000131.txt;True;000131.txt;4.0642233
000132.txt;True;000132.txt;3.2789586
000133.txt;True;000133.txt;3.3142354
000134.txt;True;000134.txt;2.8013253
000135.txt;True;000135.txt;3.9389105
000136.txt;True;000136.txt;1.3592297
000137.txt;False;002956.txt;7.8930254
000138.txt;True;000138.txt;4.5155263
000139.txt;False;049934.txt;9.067495
000140.txt;True;000140.txt;3.5279336
