query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.019790333
000001.txt;True;000001.txt;1.0996873e-13
000002.txt;True;000002.txt;0.19508114
000003.txt;True;000003.txt;0.083042756
000004.txt;False;065727.txt;0.14603066
000005.txt;False;051374.txt;0.46420443
000006.txt;False;042810.txt;0.41612288
000007.txt;False;032220.txt;0.21540478
000008.txt;False;002675.txt;0.18183494
000009.txt;True;000009.txt;0.070815764
000010.txt;False;007900.txt;0.4300813
000011.txt;True;000011.txt;0.09306322
000012.txt;True;000012.txt;0.1883713
000013.txt;True;000013.txt;0.04223395
000014.txt;False;072906.txt;0.4756664
000015.txt;True;000015.txt;0.042249426
000016.txt;False;014164.txt;0.34610933
000017.txt;False;054729.txt;0.18735945
000018.txt;False;076282.txt;0.48473468
000019.txt;True;000019.txt;0.028959315
000020.txt;True;000020.txt;0.14840436
000021.txt;False;016509.txt;0.26527044
000022.txt;False;016509.txt;0.26399028
000023.txt;False;016509.txt;0.26837343
000024.txt;False;014947.txt;0.25038278
000025.txt;False;016509.txt;0.26911953
000026.txt;False;019213.txt;0.37410432
000027.txt;False;016509.txt;0.30254537
000028.txt;False;016509.txt;0.26964775
000029.txt;False;016509.txt;0.2949813
000030.txt;False;005413.txt;0.23509587
000031.txt;False;000149.txt;0.27504477
000032.txt;True;000032.txt;0.063479386
000034.txt;False;038777.txt;0.4689449
000035.txt;False;071942.txt;0.37796003
000036.txt;False;008501.txt;0.2600689
000037.txt;False;016509.txt;0.29392403
000038.txt;False;016509.txt;0.26432735
000039.txt;False;016509.txt;0.26186153
000040.txt;False;016509.txt;0.22613373
000041.txt;False;016509.txt;0.24088119
000042.txt;False;016509.txt;0.25478032
000043.txt;False;016509.txt;0.25914696
000044.txt;True;000044.txt;0.1380896
000045.txt;True;000045.txt;0.12815759
000046.txt;True;000046.txt;0.1289668
000047.txt;True;000047.txt;0.14575438
000048.txt;True;000048.txt;0.0
000049.txt;False;077687.txt;0.53639925
000050.txt;True;000050.txt;0.16817826
000051.txt;True;000051.txt;0.103863105
000052.txt;True;000052.txt;0.16359279
000053.txt;False;065336.txt;0.23970132
000054.txt;False;027565.txt;0.12529665
000055.txt;False;018753.txt;0.24700245
000056.txt;False;066636.txt;0.13060229
000057.txt;False;012264.txt;0.23167036
000058.txt;False;064110.txt;0.22416787
000059.txt;False;026423.txt;0.18890503
000060.txt;False;059679.txt;0.3294432
000061.txt;False;042810.txt;0.51400113
000062.txt;False;025844.txt;0.5040579
000063.txt;False;053446.txt;0.13444169
