query_file;found;search_result;search_distances
000000.txt;False;055457.txt;0.33003566
000001.txt;True;000001.txt;0.24781646
000002.txt;True;000002.txt;0.249406
000003.txt;False;077552.txt;0.28335696
000004.txt;True;000004.txt;0.28409237
000005.txt;False;002663.txt;0.2927892
000006.txt;True;000006.txt;0.31536806
000007.txt;False;001341.txt;0.34029776
000008.txt;False;063791.txt;0.33040467
000009.txt;False;041594.txt;0.34546345
000010.txt;True;000010.txt;0.19269305
000011.txt;True;000011.txt;0.24844494
000012.txt;True;000012.txt;0.2469798
000013.txt;True;000013.txt;0.20423815
000014.txt;True;000014.txt;0.24709545
000015.txt;True;000015.txt;0.19131339
000016.txt;False;000015.txt;0.27132726
000017.txt;False;012264.txt;0.34293962
000018.txt;True;000018.txt;0.28303218
000019.txt;False;009754.txt;0.26138794
000020.txt;True;000020.txt;0.319057
000021.txt;True;000021.txt;0.20647427
000022.txt;True;000022.txt;0.18150426
000023.txt;True;000023.txt;0.21994106
000024.txt;False;076862.txt;0.25569037
000025.txt;True;000025.txt;0.17555144
000026.txt;False;055457.txt;0.32818478
000027.txt;True;000027.txt;0.16424379
000028.txt;True;000028.txt;0.17304227
000029.txt;True;000029.txt;0.18287596
000030.txt;False;075527.txt;0.2670286
000031.txt;False;016165.txt;0.2783143
000032.txt;False;010693.txt;0.33301044
000034.txt;True;000034.txt;0.30287963
000035.txt;False;050179.txt;0.34346312
000036.txt;True;000036.txt;0.2607151
000037.txt;True;000037.txt;0.17154883
000038.txt;True;000038.txt;0.15296209
000039.txt;True;000039.txt;0.18945286
000040.txt;True;000040.txt;0.17666337
000041.txt;True;000041.txt;0.17472656
000042.txt;True;000042.txt;0.16141886
000043.txt;True;000043.txt;0.18256536
000044.txt;True;000044.txt;0.28000522
000045.txt;True;000045.txt;0.28901452
000046.txt;True;000046.txt;0.33321005
000047.txt;False;015597.txt;0.2858637
000048.txt;True;000048.txt;0.20366684
000049.txt;True;000049.txt;0.2073585
000050.txt;False;030729.txt;0.3100526
000051.txt;False;006345.txt;0.28412545
000052.txt;False;006572.txt;0.34026563
000053.txt;True;000053.txt;0.2309735
000054.txt;False;037595.txt;0.36423048
000055.txt;False;055457.txt;0.37001905
000056.txt;True;000056.txt;0.2697274
000057.txt;True;000057.txt;0.29920653
000058.txt;True;000058.txt;0.24070156
000059.txt;False;063791.txt;0.3301508
000060.txt;True;000060.txt;0.2486254
000061.txt;True;000061.txt;0.3190626
000062.txt;False;077552.txt;0.31614172
000063.txt;True;000063.txt;0.2978629
000064.txt;True;000064.txt;0.2577547
000065.txt;True;000065.txt;0.22734416
000066.txt;False;003091.txt;0.32932675
000067.txt;True;000067.txt;0.2931444
000068.txt;True;000068.txt;0.28874508
000069.txt;True;000069.txt;0.29337606
000070.txt;False;075545.txt;0.31478912
000071.txt;False;048283.txt;0.3327997
000072.txt;True;000072.txt;0.23880623
000073.txt;False;015120.txt;0.36039418
000074.txt;False;063791.txt;0.35786885
000075.txt;True;000075.txt;0.29487157
000076.txt;False;008313.txt;0.32310063
000077.txt;False;045193.txt;0.2650726
000078.txt;True;000078.txt;0.34758726
000079.txt;False;078946.txt;0.35179126
000080.txt;True;000080.txt;0.22621506
000081.txt;True;000081.txt;0.2801363
000082.txt;True;000082.txt;0.25331056
000083.txt;False;007739.txt;0.3397988
000084.txt;False;014423.txt;0.3282159
000085.txt;True;000085.txt;0.25924385
000086.txt;True;000086.txt;0.23359191
000087.txt;True;000087.txt;0.1943698
000088.txt;False;073501.txt;0.3369013
000089.txt;False;063791.txt;0.3289578
000090.txt;False;063963.txt;0.3547784
000091.txt;False;076436.txt;0.26983118
000092.txt;False;009054.txt;0.29878634
000093.txt;True;000093.txt;0.33115414
000094.txt;False;019599.txt;0.36287478
000095.txt;True;000095.txt;0.35796368
000096.txt;False;078583.txt;0.34474123
000097.txt;False;027062.txt;0.39021215
000098.txt;True;000098.txt;0.2992655
000099.txt;True;000099.txt;0.31489348
000100.txt;True;000100.txt;0.30298704
000101.txt;True;000101.txt;0.3499333
000102.txt;True;000102.txt;0.2024541
000103.txt;False;063791.txt;0.30869803
000104.txt;False;003659.txt;0.32232457
000105.txt;True;000105.txt;0.31394267
000106.txt;False;075949.txt;0.3212109
000107.txt;False;038364.txt;0.31621662
000108.txt;True;000108.txt;0.18459103
000109.txt;True;000109.txt;0.1658934
000110.txt;True;000110.txt;0.35636723
000111.txt;True;000111.txt;0.3012314
000112.txt;False;007020.txt;0.39695442
000113.txt;False;006377.txt;0.3138104
000114.txt;False;020257.txt;0.33639228
000115.txt;False;028984.txt;0.35682356
000116.txt;False;072310.txt;0.22866629
000117.txt;True;000117.txt;0.3529632
000118.txt;True;000118.txt;0.24052766
000119.txt;False;028984.txt;0.30271608
000120.txt;True;000120.txt;0.1750772
000121.txt;True;000121.txt;0.25417283
000122.txt;False;036187.txt;0.42653
000123.txt;False;074427.txt;0.28011668
000124.txt;False;026539.txt;0.31750357
000126.txt;True;000126.txt;0.26524386
000127.txt;True;000127.txt;0.31346196
000128.txt;True;000128.txt;0.30065227
000129.txt;False;055457.txt;0.34684908
000130.txt;True;000130.txt;0.31403798
000131.txt;False;006345.txt;0.3511452
000132.txt;True;000132.txt;0.33290136
000133.txt;False;006345.txt;0.3061787
000134.txt;False;063791.txt;0.36280853
000135.txt;False;074684.txt;0.28298917
000136.txt;False;006884.txt;0.288305
000137.txt;True;000137.txt;0.3943533
000138.txt;True;000138.txt;0.23736797
000139.txt;False;055457.txt;0.31338957
000140.txt;True;000140.txt;0.27731088
000141.txt;False;046020.txt;0.36455914
000142.txt;True;000142.txt;0.23376814
000143.txt;False;034474.txt;0.31957763
000144.txt;False;063791.txt;0.36425355
000145.txt;True;000145.txt;0.22345878
000146.txt;False;018665.txt;0.36776343
000147.txt;False;043429.txt;0.40053388
000148.txt;True;000148.txt;0.3603428
000149.txt;True;000149.txt;0.21127345
000150.txt;False;073368.txt;0.3215679
000151.txt;False;078936.txt;0.39912644
000152.txt;False;025840.txt;0.3369618
000153.txt;True;000153.txt;0.21288005
000154.txt;True;000154.txt;0.22648641
000155.txt;True;000155.txt;0.35426512
000156.txt;False;041646.txt;0.3830486
000157.txt;True;000157.txt;0.2910005
000158.txt;False;006345.txt;0.2617122
000159.txt;False;009751.txt;0.28960228
000160.txt;True;000160.txt;0.30067027
000161.txt;False;000157.txt;0.2809605
000162.txt;False;013503.txt;0.3610897
000163.txt;False;006345.txt;0.30220997
000164.txt;False;023334.txt;0.37752014
000165.txt;True;000165.txt;0.24102814
000166.txt;True;000166.txt;0.280542
000167.txt;True;000167.txt;0.34247482
000168.txt;False;066483.txt;0.40281582
000169.txt;True;000169.txt;0.24514905
000170.txt;False;010092.txt;0.32852924
000171.txt;False;031279.txt;0.33293515
000172.txt;False;017982.txt;0.31835723
000173.txt;True;000173.txt;0.38077056
000174.txt;False;039361.txt;0.2288982
000175.txt;False;064647.txt;0.35054678
000176.txt;True;000176.txt;0.21000782
000177.txt;True;000177.txt;0.35958478
000178.txt;True;000178.txt;0.26406902
000179.txt;False;010092.txt;0.3009749
000180.txt;False;025837.txt;0.37692326
000181.txt;True;000181.txt;0.22522493
000182.txt;False;001400.txt;0.22991632
000183.txt;True;000183.txt;0.24861988
000184.txt;False;006345.txt;0.2807439
000185.txt;False;045582.txt;0.43594444
000186.txt;False;055457.txt;0.34753415
000187.txt;False;006345.txt;0.27891737
000188.txt;True;000188.txt;0.28214455
000189.txt;False;078678.txt;0.33866963
000190.txt;False;075527.txt;0.2888767
000191.txt;False;004324.txt;0.25331768
000192.txt;False;077486.txt;0.37140208
000193.txt;False;019891.txt;0.2985794
000194.txt;False;016290.txt;0.38185763
000195.txt;False;006972.txt;0.35271943
000196.txt;True;000196.txt;0.2861646
000197.txt;False;017982.txt;0.40542942
000198.txt;False;046020.txt;0.3020749
000199.txt;True;000199.txt;0.24015008
000200.txt;False;031883.txt;0.35067764
000201.txt;True;000201.txt;0.35993075
000202.txt;True;000202.txt;0.2465043
000203.txt;True;000203.txt;0.29584312
000204.txt;True;000204.txt;0.21693388
000205.txt;False;078784.txt;0.21968183
000206.txt;False;078788.txt;0.27082294
000207.txt;False;077552.txt;0.37004673
000208.txt;False;009373.txt;0.3567525
000209.txt;False;063791.txt;0.38455614
000210.txt;False;009054.txt;0.30545813
000211.txt;False;060253.txt;0.37369114
000212.txt;True;000212.txt;0.27764395
000213.txt;False;023734.txt;0.2914269
000214.txt;True;000214.txt;0.2331836
000215.txt;False;063791.txt;0.3690846
000216.txt;False;055457.txt;0.36752596
000217.txt;False;006377.txt;0.3299232
000219.txt;False;063791.txt;0.33240962
000220.txt;False;051733.txt;0.31529355
000221.txt;True;000221.txt;0.18194944
000222.txt;False;051178.txt;0.3655188
000223.txt;False;009321.txt;0.35053504
000224.txt;False;022653.txt;0.3656085
000225.txt;True;000225.txt;0.22659762
000226.txt;True;000226.txt;0.3443783
000227.txt;True;000227.txt;0.24912968
000228.txt;True;000228.txt;0.2582584
000229.txt;False;028339.txt;0.39467108
000230.txt;False;035344.txt;0.33853498
000231.txt;False;075949.txt;0.41152236
000232.txt;False;063791.txt;0.3434975
000233.txt;True;000233.txt;0.2692548
000234.txt;False;070542.txt;0.3457132
000235.txt;False;009751.txt;0.3755268
000236.txt;False;006345.txt;0.32211226
000237.txt;True;000237.txt;0.3332602
000238.txt;True;000238.txt;0.3047672
000239.txt;False;042633.txt;0.4048978
000240.txt;False;072136.txt;0.35388014
000241.txt;True;000241.txt;0.22096843
000242.txt;False;020155.txt;0.3247401
000243.txt;True;000243.txt;0.266379
000244.txt;False;033035.txt;0.36013258
000245.txt;False;040731.txt;0.29767978
000246.txt;False;003010.txt;0.3877499
000247.txt;False;024679.txt;0.2945091
000248.txt;False;027314.txt;0.3097538
000249.txt;True;000249.txt;0.15715918
000250.txt;False;042372.txt;0.32045496
000251.txt;False;065800.txt;0.28217596
000252.txt;True;000252.txt;0.24554023
000253.txt;False;063791.txt;0.318354
000254.txt;True;000254.txt;0.21387702
000255.txt;True;000255.txt;0.26440716
000256.txt;True;000256.txt;0.36635506
000257.txt;False;003752.txt;0.2985551
000258.txt;False;055457.txt;0.33630145
000259.txt;False;003752.txt;0.30870053
000260.txt;False;003752.txt;0.30505735
000261.txt;False;055457.txt;0.32826376
000262.txt;False;078157.txt;0.2965967
000263.txt;False;055457.txt;0.3520732
000264.txt;False;017877.txt;0.3124097
000265.txt;False;001985.txt;0.29981208
000266.txt;False;072794.txt;0.35781366
000267.txt;True;000267.txt;0.2811278
000268.txt;False;013503.txt;0.29926968
000269.txt;True;000269.txt;0.352929
000270.txt;False;010616.txt;0.34206408
000271.txt;True;000271.txt;0.28098053
000272.txt;False;075527.txt;0.31916213
000273.txt;False;006345.txt;0.34419972
000274.txt;False;006345.txt;0.30868483
000275.txt;True;000275.txt;0.28920463
000276.txt;True;000276.txt;0.33547258
000277.txt;True;000277.txt;0.18991965
000278.txt;False;006345.txt;0.31146762
000279.txt;True;000279.txt;0.26903352
000280.txt;False;003352.txt;0.31155795
000281.txt;True;000281.txt;0.28879386
000282.txt;True;000282.txt;0.290731
000283.txt;False;055457.txt;0.3449634
000284.txt;True;000284.txt;0.32934856
000285.txt;True;000285.txt;0.25050622
000286.txt;True;000286.txt;0.34561002
000287.txt;False;006345.txt;0.34756145
000288.txt;False;006345.txt;0.3166791
000289.txt;False;056567.txt;0.31786245
000290.txt;False;056567.txt;0.3198634
000291.txt;False;077552.txt;0.36669928
000292.txt;False;000205.txt;0.2832935
000293.txt;True;000293.txt;0.18073818
000294.txt;False;010092.txt;0.38517332
000295.txt;False;060253.txt;0.32762137
000296.txt;False;009373.txt;0.32970616
000297.txt;True;000297.txt;0.34530723
000298.txt;False;021485.txt;0.40446025
000299.txt;False;016178.txt;0.33481628
000300.txt;False;078304.txt;0.30680612
000301.txt;True;000301.txt;0.27925587
000302.txt;False;053515.txt;0.33931825
000303.txt;True;000303.txt;0.28989607
000304.txt;False;030616.txt;0.41513285
000305.txt;True;000305.txt;0.29227966
000306.txt;False;078195.txt;0.322617
000308.txt;False;011869.txt;0.32884634
000309.txt;False;006915.txt;0.27988702
000310.txt;True;000310.txt;0.2429667
000311.txt;True;000311.txt;0.30672643
000312.txt;True;000312.txt;0.2352623
000313.txt;True;000313.txt;0.28368273
000314.txt;False;023734.txt;0.32023513
000315.txt;False;076745.txt;0.28937435
000316.txt;True;000316.txt;0.27458936
000317.txt;True;000317.txt;0.21619825
000318.txt;False;076913.txt;0.30882287
000319.txt;True;000319.txt;0.2602443
000320.txt;True;000320.txt;0.2280382
000321.txt;True;000321.txt;0.2718213
000322.txt;False;033069.txt;0.21567068
000323.txt;False;077552.txt;0.32982606
000324.txt;False;075389.txt;0.35274288
000325.txt;True;000325.txt;0.24074142
000326.txt;False;029776.txt;0.34985295
000327.txt;True;000327.txt;0.20341477
000328.txt;False;017982.txt;0.30393863
000329.txt;False;000320.txt;0.26606175
000330.txt;False;009702.txt;0.3453432
000331.txt;False;000370.txt;0.30190253
000332.txt;True;000332.txt;0.3401494
000333.txt;False;065800.txt;0.2982887
000334.txt;False;017569.txt;0.30505347
000335.txt;False;068017.txt;0.29325455
000336.txt;False;020022.txt;0.37867922
000337.txt;True;000337.txt;0.24904355
000338.txt;False;023734.txt;0.3115767
000339.txt;False;026749.txt;0.38476127
000341.txt;False;061239.txt;0.38283792
000342.txt;False;053513.txt;0.34316087
000343.txt;False;053516.txt;0.3220136
000344.txt;False;077486.txt;0.3330956
000345.txt;False;018246.txt;0.26963925
000346.txt;True;000346.txt;0.2593338
000347.txt;True;000347.txt;0.24051726
000348.txt;True;000348.txt;0.32493705
000349.txt;False;067371.txt;0.41272014
000350.txt;False;039388.txt;0.2999105
000351.txt;True;000351.txt;0.26741356
000352.txt;False;005334.txt;0.3063377
000353.txt;False;000169.txt;0.23799925
000354.txt;False;037887.txt;0.32884473
000355.txt;False;076327.txt;0.33002222
000356.txt;False;071682.txt;0.38990012
000357.txt;True;000357.txt;0.24034566
000358.txt;False;078508.txt;0.22411305
000359.txt;False;022928.txt;0.36594328
000360.txt;False;076853.txt;0.3704453
000361.txt;False;001189.txt;0.34287494
000362.txt;False;001514.txt;0.25985467
000363.txt;False;011577.txt;0.33535308
000364.txt;False;060253.txt;0.3250761
000366.txt;False;068753.txt;0.3083161
000367.txt;False;068753.txt;0.25871155
000368.txt;False;014719.txt;0.28136718
000369.txt;False;006146.txt;0.31691277
000370.txt;True;000370.txt;0.28839642
000371.txt;False;068753.txt;0.2972152
000372.txt;False;077363.txt;0.3248475
000373.txt;True;000373.txt;0.3042808
000374.txt;False;057541.txt;0.322946
000375.txt;True;000375.txt;0.27024144
000376.txt;True;000376.txt;0.24882181
000377.txt;False;038220.txt;0.36005247
000378.txt;False;025784.txt;0.36138314
000379.txt;False;050179.txt;0.3141328
000380.txt;False;078817.txt;0.32292724
000381.txt;False;017058.txt;0.23948961
000382.txt;False;013170.txt;0.2269282
000383.txt;False;040731.txt;0.35182676
000384.txt;False;031279.txt;0.29070494
000385.txt;True;000385.txt;0.30670953
000386.txt;False;078694.txt;0.2898711
000387.txt;False;013503.txt;0.3307323
000388.txt;False;075949.txt;0.336615
000389.txt;False;013593.txt;0.3589893
000390.txt;True;000390.txt;0.2994479
000391.txt;True;000391.txt;0.31202313
000392.txt;True;000392.txt;0.30926025
000393.txt;True;000393.txt;0.24746145
000394.txt;False;033030.txt;0.3310644
000395.txt;True;000395.txt;0.34558314
000396.txt;True;000396.txt;0.32910475
000397.txt;False;028532.txt;0.33086416
000398.txt;False;014719.txt;0.31374094
000399.txt;True;000399.txt;0.1803101
000400.txt;False;078559.txt;0.37997836
000401.txt;True;000401.txt;0.27082354
000402.txt;True;000402.txt;0.2806181
000403.txt;False;023837.txt;0.27342555
000404.txt;False;038847.txt;0.41232654
000405.txt;False;013503.txt;0.33052918
000406.txt;False;063791.txt;0.30814976
000407.txt;False;070542.txt;0.35470146
000408.txt;False;018432.txt;0.32901615
000409.txt;False;039378.txt;0.29059523
000410.txt;False;039378.txt;0.2932387
000411.txt;False;036138.txt;0.40543926
000412.txt;False;078716.txt;0.3234396
000413.txt;False;077502.txt;0.26922578
000414.txt;True;000414.txt;0.25681388
000415.txt;True;000415.txt;0.23098443
000416.txt;True;000416.txt;0.2592278
000417.txt;False;010092.txt;0.33313155
000418.txt;False;043555.txt;0.3280062
000419.txt;False;039133.txt;0.39487773
000420.txt;False;000087.txt;0.3276302
000421.txt;True;000421.txt;0.2524733
000422.txt;False;074420.txt;0.40805233
000423.txt;False;053515.txt;0.28858405
000424.txt;False;003091.txt;0.30773714
000425.txt;False;039905.txt;0.39448845
000426.txt;True;000426.txt;0.25355792
000427.txt;True;000427.txt;0.20842096
000428.txt;False;032648.txt;0.30078638
000429.txt;True;000429.txt;0.2755517
000430.txt;False;010117.txt;0.28311527
000431.txt;True;000431.txt;0.14568514
000432.txt;False;064647.txt;0.36258203
000433.txt;True;000433.txt;0.21395949
000434.txt;False;009321.txt;0.3434883
000435.txt;False;053531.txt;0.23184533
000436.txt;False;077552.txt;0.30516076
000437.txt;False;007343.txt;0.3641377
000438.txt;True;000438.txt;0.20817094
000439.txt;False;050331.txt;0.36835784
000440.txt;False;055457.txt;0.33872503
000441.txt;False;078157.txt;0.33738723
000442.txt;True;000442.txt;0.25980234
000443.txt;False;018665.txt;0.29968733
000444.txt;True;000444.txt;0.26219672
000445.txt;True;000445.txt;0.23838869
000446.txt;True;000446.txt;0.2943836
000447.txt;False;000243.txt;0.30120957
000448.txt;False;029093.txt;0.35492694
000449.txt;True;000449.txt;0.31617022
000450.txt;False;075236.txt;0.25321835
000453.txt;False;052586.txt;0.20862132
000454.txt;True;000454.txt;0.22858974
000455.txt;False;078392.txt;0.32946253
000456.txt;True;000456.txt;0.25491697
000457.txt;False;046020.txt;0.34263358
000458.txt;True;000458.txt;0.2922515
000459.txt;True;000459.txt;0.22038528
000461.txt;True;000461.txt;0.27000716
000462.txt;False;063791.txt;0.34773913
000463.txt;False;032284.txt;0.31979647
000464.txt;False;075949.txt;0.349793
000465.txt;True;000465.txt;0.30817258
000466.txt;True;000466.txt;0.1899993
000467.txt;False;075949.txt;0.3449587
000468.txt;False;075949.txt;0.35731846
000469.txt;True;000469.txt;0.22483462
000470.txt;False;007569.txt;0.31986636
000471.txt;False;077956.txt;0.25046074
000472.txt;False;055457.txt;0.39441282
000473.txt;True;000473.txt;0.31311685
000474.txt;True;000474.txt;0.32009754
000475.txt;False;000346.txt;0.3263062
000476.txt;True;000476.txt;0.27603328
000477.txt;False;024937.txt;0.35425586
000478.txt;True;000478.txt;0.29994166
000479.txt;False;029164.txt;0.23866808
000480.txt;False;050195.txt;0.29758424
000481.txt;True;000481.txt;0.23012379
000482.txt;False;001951.txt;0.3089732
000483.txt;False;028984.txt;0.32466283
000485.txt;False;078215.txt;0.3505715
000486.txt;False;075949.txt;0.3228529
000487.txt;False;018230.txt;0.23981397
000488.txt;False;018230.txt;0.27675977
000490.txt;False;000486.txt;0.291337
000491.txt;True;000491.txt;0.32245988
000492.txt;False;027575.txt;0.39079517
000493.txt;False;014423.txt;0.31214172
000494.txt;False;063791.txt;0.34473407
000495.txt;True;000495.txt;0.2920711
000496.txt;True;000496.txt;0.19843212
000497.txt;False;013684.txt;0.3892685
000498.txt;True;000498.txt;0.25893185
000499.txt;False;029282.txt;0.31640938
000500.txt;False;053513.txt;0.3385296
000501.txt;False;000446.txt;0.3483845
000502.txt;True;000502.txt;0.22413252
000503.txt;False;069360.txt;0.32384962
000504.txt;True;000504.txt;0.32703733
000505.txt;True;000505.txt;0.24368064
000506.txt;True;000506.txt;0.22394982
000507.txt;True;000507.txt;0.29177475
000508.txt;False;063791.txt;0.36194205
000509.txt;False;000505.txt;0.23595257
000510.txt;False;071246.txt;0.37842512
000511.txt;True;000511.txt;0.22121972
000512.txt;False;000505.txt;0.23183301
000513.txt;False;007430.txt;0.3492422
000514.txt;False;009321.txt;0.3414464
000515.txt;False;000505.txt;0.22250041
000516.txt;False;053513.txt;0.3405507
000517.txt;False;006094.txt;0.28564608
000518.txt;True;000518.txt;0.24047501
000519.txt;False;074517.txt;0.21810842
000520.txt;False;000505.txt;0.20966712
000521.txt;False;053516.txt;0.24518281
000522.txt;True;000522.txt;0.3496465
000523.txt;False;004692.txt;0.3916033
000525.txt;True;000525.txt;0.30327326
000526.txt;False;064647.txt;0.31569558
000527.txt;True;000527.txt;0.34640813
000528.txt;False;037887.txt;0.32449335
