query_file;found;search_result;search_distances
000000.txt;False;028755.txt;1.2254322
000001.txt;True;000001.txt;0.37708375
000002.txt;False;025323.txt;1.1899502
000003.txt;False;067110.txt;1.5580816
000004.txt;False;069348.txt;0.71567
000005.txt;False;048982.txt;1.4217062
000006.txt;False;048982.txt;1.3220396
000007.txt;False;025571.txt;0.8741472
000008.txt;False;077816.txt;0.7636504
000009.txt;False;008401.txt;1.7811209
000010.txt;False;048982.txt;1.4714112
000011.txt;False;017868.txt;2.240056
000012.txt;False;037424.txt;1.4430004
000013.txt;False;017868.txt;1.2208366
000014.txt;False;057219.txt;1.1887975
000015.txt;False;051170.txt;1.1797855
000016.txt;False;061001.txt;1.8445933
000017.txt;False;025570.txt;1.1301944
000018.txt;False;043905.txt;1.4913361
000019.txt;False;026394.txt;2.0402324
000020.txt;False;019214.txt;0.5608815
000021.txt;False;017868.txt;2.2048678
000022.txt;False;017868.txt;2.2259226
000023.txt;False;017868.txt;2.2037718
000024.txt;False;017868.txt;2.1652865
000025.txt;False;017868.txt;2.2312863
000026.txt;False;026820.txt;1.2183696
000027.txt;False;017868.txt;2.2504883
000028.txt;False;017868.txt;2.2107036
000029.txt;False;017868.txt;2.267843
000030.txt;False;047696.txt;2.1864738
000031.txt;False;047696.txt;2.254054
000032.txt;False;072423.txt;1.3905134
000034.txt;False;066916.txt;0.99929214
000035.txt;False;072167.txt;0.99881005
000036.txt;False;018938.txt;0.9174884
000037.txt;False;017868.txt;2.2106576
000038.txt;False;017868.txt;2.1367345
000039.txt;False;017868.txt;2.123037
000040.txt;False;017868.txt;2.1295965
000041.txt;False;017868.txt;2.1494336
000042.txt;False;017868.txt;2.113212
000043.txt;False;017868.txt;2.1037033
000044.txt;False;040601.txt;2.5269098
000045.txt;False;017868.txt;2.1516876
000046.txt;False;017868.txt;2.1219919
000047.txt;False;017868.txt;2.1159368
000048.txt;False;068851.txt;1.269124
000049.txt;False;014250.txt;1.439743
000050.txt;False;048982.txt;1.5145353
000051.txt;False;026394.txt;1.9825536
000052.txt;False;026394.txt;2.2031379
000053.txt;False;035617.txt;0.9584112
000054.txt;False;043901.txt;0.7008318
000055.txt;False;000301.txt;1.2736559
000056.txt;False;072423.txt;1.1733506
000057.txt;False;048982.txt;1.2192111
000058.txt;False;047886.txt;1.0008501
000059.txt;False;030579.txt;0.9573911
000060.txt;False;017283.txt;1.1915112
000061.txt;False;048982.txt;1.4169393
000062.txt;False;009237.txt;1.2110226
000063.txt;False;066500.txt;0.6265867
000064.txt;False;072246.txt;0.6486512
000065.txt;False;048982.txt;1.287305
000066.txt;False;042911.txt;1.3670474
000067.txt;False;029653.txt;1.2460294
000068.txt;False;029744.txt;1.6792262
000069.txt;False;057219.txt;1.789361
000070.txt;False;065817.txt;0.76741546
000071.txt;False;054486.txt;1.0157967
000072.txt;False;061001.txt;1.5313668
000073.txt;False;030579.txt;1.0750815
000074.txt;False;056606.txt;0.6316937
000075.txt;False;005444.txt;1.0343616
000076.txt;False;067110.txt;1.3773644
000077.txt;False;048982.txt;1.1755688
000078.txt;False;025570.txt;0.3267948
000079.txt;False;028679.txt;1.1898574
000080.txt;False;015956.txt;0.65119815
000081.txt;False;016905.txt;1.2525982
000082.txt;False;072253.txt;1.5674031
000083.txt;False;035433.txt;0.2990372
000084.txt;False;006387.txt;1.2853551
000085.txt;False;029653.txt;1.6734987
000086.txt;False;067110.txt;1.3621907
000087.txt;False;067057.txt;0.7712934
000088.txt;False;045611.txt;1.7844713
000089.txt;False;060254.txt;1.4242575
000090.txt;False;004677.txt;1.4168701
000091.txt;False;017868.txt;1.3586289
000092.txt;False;029653.txt;1.180394
000093.txt;False;029653.txt;1.2306616
000094.txt;False;061266.txt;1.098382
000095.txt;False;013200.txt;1.1022902
000096.txt;False;037875.txt;1.0806487
000097.txt;False;004677.txt;1.1001688
000098.txt;False;045611.txt;1.5501468
000099.txt;False;077193.txt;1.5937219
000100.txt;False;043901.txt;0.44578472
000101.txt;False;007885.txt;1.473641
000102.txt;False;067057.txt;0.6286917
000103.txt;False;060254.txt;1.6152905
000104.txt;False;056711.txt;0.9176712
000105.txt;False;067110.txt;1.1810515
000106.txt;False;005444.txt;1.4139569
000107.txt;False;068851.txt;1.3532624
000108.txt;False;075060.txt;2.5314264
000109.txt;False;017868.txt;2.1632166
000110.txt;False;042196.txt;1.4104651
000111.txt;False;077639.txt;1.3110325
000112.txt;False;056711.txt;1.2386074
000113.txt;False;078525.txt;0.9820583
000114.txt;False;066070.txt;1.768813
000115.txt;False;069419.txt;1.3517835
000116.txt;False;069838.txt;0.5221636
000117.txt;False;037875.txt;0.732278
000118.txt;False;048982.txt;1.772356
000119.txt;False;034327.txt;1.6047306
000120.txt;False;050187.txt;1.6428406
000121.txt;False;055960.txt;1.3700647
000122.txt;False;017820.txt;0.28799888
000123.txt;False;016905.txt;1.2593505
000124.txt;False;023260.txt;1.1618066
000126.txt;False;017868.txt;2.0832372
000127.txt;False;017868.txt;2.243036
000128.txt;False;017868.txt;2.242568
000129.txt;False;042224.txt;1.178947
000130.txt;False;017868.txt;2.1817305
000131.txt;False;026394.txt;2.0630605
000132.txt;False;017868.txt;2.1565754
000133.txt;False;026394.txt;2.0516872
000134.txt;False;035617.txt;1.4068031
000135.txt;False;066134.txt;1.3208369
000136.txt;False;063688.txt;1.9225016
000137.txt;False;035776.txt;1.3923554
000138.txt;False;030659.txt;1.3053447
000139.txt;False;072423.txt;0.1926355
000140.txt;False;067110.txt;1.344703
000141.txt;False;025570.txt;1.5357375
000142.txt;False;037699.txt;0.7520962
000143.txt;False;048882.txt;0.975932
000144.txt;False;067546.txt;1.3719757
000145.txt;False;043901.txt;0.5748816
000146.txt;False;019448.txt;1.0288616
000147.txt;False;028223.txt;1.0562153
000148.txt;False;017868.txt;1.26068
000149.txt;False;040601.txt;1.9719496
000150.txt;False;027660.txt;1.820096
000151.txt;False;065424.txt;0.43324646
000152.txt;False;016905.txt;0.66267616
000153.txt;False;042224.txt;1.2579564
000154.txt;False;072246.txt;0.36819375
000155.txt;False;004677.txt;0.8233467
000156.txt;False;042994.txt;1.3180443
000157.txt;False;048982.txt;1.4805808
000158.txt;False;047696.txt;2.1693947
000159.txt;False;041962.txt;1.8264165
000160.txt;False;053083.txt;0.46427915
000161.txt;False;025570.txt;0.17734337
000162.txt;False;026250.txt;1.065711
000163.txt;False;040601.txt;1.9999816
000164.txt;False;071383.txt;1.5522394
000165.txt;False;000750.txt;1.8113921
000166.txt;False;056711.txt;1.5714957
000167.txt;False;000636.txt;1.5591471
000168.txt;False;048278.txt;1.2336879
000169.txt;False;058213.txt;0.65903544
000170.txt;False;061157.txt;0.7406659
000171.txt;False;070414.txt;1.3589953
000172.txt;False;067614.txt;0.80740297
000173.txt;False;024638.txt;1.387455
000174.txt;True;000174.txt;0.36584765
000175.txt;False;059524.txt;0.5303144
000176.txt;False;024937.txt;1.9185704
000177.txt;False;032806.txt;0.791053
000178.txt;False;008401.txt;1.13865
000179.txt;False;070369.txt;1.480236
000180.txt;False;065361.txt;0.3119798
000181.txt;False;047696.txt;2.0029714
000182.txt;False;047696.txt;2.0500088
000183.txt;False;047696.txt;2.108323
000184.txt;False;075060.txt;2.160016
000185.txt;False;056728.txt;2.0067902
000186.txt;False;056207.txt;0.31338853
000187.txt;False;017868.txt;2.0305395
000188.txt;False;017868.txt;2.1141062
000189.txt;False;017868.txt;2.1597662
000190.txt;False;017868.txt;2.1549835
000191.txt;False;040601.txt;2.4085264
000192.txt;False;072423.txt;1.0000806
000193.txt;False;048982.txt;1.8955545
000194.txt;False;006708.txt;1.1734247
000195.txt;False;055960.txt;0.77195776
000196.txt;False;012137.txt;0.64321554
000197.txt;False;056654.txt;1.0734229
000198.txt;False;077639.txt;1.9278164
000199.txt;False;019662.txt;1.9798768
000200.txt;False;026394.txt;0.92007655
000201.txt;False;025570.txt;0.25038114
000202.txt;False;021986.txt;1.014921
000203.txt;False;048982.txt;1.5999753
000204.txt;False;017868.txt;2.2015789
000205.txt;False;017868.txt;2.1808143
000206.txt;False;066070.txt;1.2451109
000207.txt;False;056606.txt;1.452954
000208.txt;False;028679.txt;0.8822353
000209.txt;False;042954.txt;0.34656402
000210.txt;False;058213.txt;0.35442853
000211.txt;False;047886.txt;0.40841466
000212.txt;False;029653.txt;1.6429095
000213.txt;False;067110.txt;0.91260153
000214.txt;False;054897.txt;1.0827991
000215.txt;False;024318.txt;1.9388919
000216.txt;False;042224.txt;1.2757605
000217.txt;False;070218.txt;1.3417735
000219.txt;False;050250.txt;1.4304247
000220.txt;False;016117.txt;0.748356
000221.txt;False;016905.txt;1.9041893
000222.txt;False;040063.txt;1.5896626
000223.txt;False;057423.txt;1.3287666
000224.txt;False;036188.txt;1.6960682
000225.txt;False;040434.txt;1.2654253
000226.txt;False;042224.txt;1.4486849
000227.txt;False;016905.txt;1.4164504
000228.txt;False;013200.txt;1.7789836
000229.txt;False;008173.txt;0.17261079
000230.txt;False;005444.txt;1.4736658
000231.txt;False;042224.txt;1.3008845
000232.txt;False;077193.txt;0.6786599
000233.txt;False;030579.txt;1.1872528
000234.txt;False;071932.txt;0.83902407
000235.txt;False;026362.txt;0.9410771
000236.txt;False;017868.txt;2.057918
000237.txt;False;069348.txt;0.7697291
000238.txt;False;023505.txt;1.3419389
000239.txt;False;035617.txt;0.76102155
000240.txt;False;063688.txt;1.8307081
000241.txt;False;043901.txt;1.0730355
000242.txt;False;052946.txt;0.25683743
000243.txt;False;056772.txt;1.4134228
000244.txt;False;006166.txt;0.8971076
000245.txt;False;056188.txt;0.94565785
000246.txt;False;024863.txt;1.0507988
000247.txt;False;072423.txt;1.2480524
000248.txt;False;019903.txt;1.1949677
000249.txt;False;077639.txt;1.6258533
000250.txt;False;042750.txt;1.96756
000251.txt;False;047696.txt;1.1252651
000252.txt;False;048565.txt;1.4676087
000253.txt;False;030897.txt;1.3396341
000254.txt;False;053446.txt;1.0641749
000255.txt;False;041186.txt;1.0016695
000256.txt;False;038415.txt;1.3949564
000257.txt;False;018890.txt;1.3892127
000258.txt;False;055224.txt;1.4595804
000259.txt;False;018890.txt;1.5476282
000260.txt;False;018890.txt;1.6452731
000261.txt;False;016136.txt;1.3024315
000262.txt;False;000989.txt;1.622015
000263.txt;False;077778.txt;1.398086
000264.txt;False;037913.txt;1.7775741
000265.txt;False;023546.txt;1.0311979
000266.txt;False;037913.txt;1.5096793
000267.txt;False;061001.txt;1.4197495
000268.txt;False;068851.txt;1.2770674
000269.txt;False;008401.txt;1.7053909
000270.txt;False;016136.txt;1.6831498
000271.txt;False;017868.txt;2.1714704
000272.txt;False;017868.txt;2.1130722
000273.txt;False;017868.txt;2.121501
000274.txt;False;026394.txt;2.139955
000275.txt;True;000275.txt;0.29260948
000276.txt;False;042224.txt;1.4354959
000277.txt;False;017868.txt;2.1063542
000278.txt;False;017868.txt;2.1469834
000279.txt;False;047696.txt;2.1360946
000280.txt;False;017868.txt;2.088539
000281.txt;False;017868.txt;2.1358433
000282.txt;False;017868.txt;2.2044978
000283.txt;False;037913.txt;1.0397413
000284.txt;False;018890.txt;1.702836
000285.txt;False;018960.txt;1.241086
000286.txt;False;017868.txt;2.1128006
000287.txt;False;047696.txt;2.0855803
000288.txt;False;040601.txt;1.8871415
000289.txt;False;038517.txt;2.1079946
000290.txt;False;026394.txt;1.8072238
000291.txt;False;068851.txt;1.4201086
000292.txt;False;047696.txt;2.2082505
000293.txt;True;000293.txt;0.6973952
000294.txt;False;074339.txt;0.72812784
000295.txt;False;055960.txt;1.5922401
000296.txt;False;038415.txt;0.70568943
000297.txt;False;038415.txt;1.08214
000298.txt;False;028755.txt;1.1480727
000299.txt;False;026820.txt;0.722246
000300.txt;False;040601.txt;2.3568006
000301.txt;False;024835.txt;0.49421123
000302.txt;False;023546.txt;1.0250762
000303.txt;False;031719.txt;1.4779156
000304.txt;False;056040.txt;0.6187683
000305.txt;False;056181.txt;1.5730283
000306.txt;False;061001.txt;1.3054461
000308.txt;False;037913.txt;1.7072227
000309.txt;False;057993.txt;1.6217289
000310.txt;False;025605.txt;0.7284263
000311.txt;False;030659.txt;1.0672386
000312.txt;False;029653.txt;1.0750439
000313.txt;False;043905.txt;1.4202263
000314.txt;False;002707.txt;0.82462275
000315.txt;False;039547.txt;1.278618
000316.txt;False;013414.txt;1.3568258
000317.txt;False;025741.txt;0.8649767
000318.txt;False;029653.txt;1.2056944
000319.txt;False;016431.txt;0.94891006
000320.txt;False;012746.txt;1.849115
000321.txt;False;049493.txt;1.851268
000322.txt;False;023505.txt;1.4696391
000323.txt;False;056176.txt;1.1765912
000324.txt;False;063042.txt;1.2144039
000325.txt;False;025096.txt;1.2237358
000326.txt;False;047696.txt;1.3357244
000327.txt;False;015584.txt;0.9198064
000328.txt;False;025570.txt;0.2177993
000329.txt;False;056657.txt;1.6415703
000330.txt;False;061001.txt;1.4083866
000331.txt;False;044999.txt;0.36402673
000332.txt;False;017659.txt;0.23839593
000333.txt;False;037849.txt;1.1184983
000334.txt;False;000077.txt;1.1462975
000335.txt;False;057692.txt;0.49751043
000336.txt;False;019156.txt;0.385546
000337.txt;False;068463.txt;1.6326394
000338.txt;False;057028.txt;1.1129024
000339.txt;False;072074.txt;0.5402318
000341.txt;False;019662.txt;0.47738335
000342.txt;False;066916.txt;1.573252
000343.txt;False;053050.txt;1.3957362
000344.txt;False;024601.txt;0.41138768
000345.txt;False;011350.txt;0.50978076
000346.txt;False;014943.txt;1.376196
000347.txt;False;048982.txt;1.2811913
000348.txt;False;042911.txt;1.0727905
000349.txt;False;042951.txt;0.54069173
000350.txt;False;041250.txt;0.4583174
000351.txt;False;024835.txt;1.2861267
000352.txt;False;070116.txt;1.0475396
000353.txt;False;027184.txt;0.5520298
000354.txt;False;072074.txt;1.0805724
000355.txt;False;026394.txt;0.8808574
000356.txt;False;037578.txt;0.85823846
000357.txt;False;070218.txt;1.3791862
000358.txt;False;050652.txt;0.8686292
000359.txt;False;037578.txt;0.51274824
000360.txt;False;050613.txt;1.2233828
000361.txt;False;030695.txt;0.834815
000362.txt;False;070218.txt;0.27212042
000363.txt;False;030695.txt;0.7158233
000364.txt;False;054897.txt;1.7412698
000366.txt;False;045684.txt;0.6037209
000367.txt;False;023546.txt;0.9407538
000368.txt;False;029653.txt;1.2973956
000369.txt;False;048982.txt;1.6459762
000370.txt;False;053050.txt;1.205938
000371.txt;False;047696.txt;1.5003093
000372.txt;False;072066.txt;1.079504
000373.txt;False;044966.txt;1.0217736
000374.txt;False;043723.txt;1.4811645
000375.txt;False;016136.txt;1.5906153
000376.txt;True;000376.txt;0.5493032
000377.txt;False;028210.txt;0.90629625
000378.txt;False;011594.txt;0.32406437
000379.txt;False;072423.txt;0.6075702
000380.txt;False;056546.txt;0.89751256
000381.txt;True;000381.txt;0.22393526
000382.txt;True;000382.txt;0.17735375
000383.txt;False;042908.txt;1.0281503
000384.txt;False;047786.txt;1.0305077
000385.txt;False;076970.txt;0.31272975
000386.txt;False;012023.txt;0.99198455
000387.txt;False;069838.txt;1.3765146
000388.txt;False;018773.txt;1.0662886
000389.txt;False;070379.txt;1.2157035
000390.txt;False;013825.txt;0.9992995
000391.txt;False;036098.txt;0.9776099
000392.txt;False;030659.txt;0.7400899
000393.txt;False;045611.txt;1.4214906
000394.txt;False;053446.txt;1.3362343
000395.txt;False;030579.txt;0.75470936
000396.txt;False;041186.txt;1.2683208
000397.txt;False;037424.txt;1.4819019
000398.txt;False;067110.txt;1.0183393
000399.txt;False;017868.txt;1.808042
000400.txt;False;050187.txt;1.6304554
000401.txt;False;025096.txt;1.2487547
000402.txt;False;072830.txt;1.7371457
000403.txt;False;019662.txt;0.87250984
000404.txt;False;038415.txt;1.5145562
000405.txt;False;017868.txt;1.1845403
000406.txt;False;056181.txt;1.0757618
000407.txt;False;072423.txt;2.0541503
000408.txt;False;048982.txt;1.0040667
000409.txt;False;017820.txt;0.2290585
000410.txt;False;016435.txt;1.3632836
000411.txt;False;072423.txt;1.0632982
000412.txt;False;042085.txt;0.6565567
000413.txt;False;059934.txt;0.8533814
000414.txt;False;019214.txt;1.3987794
000415.txt;False;056772.txt;1.2350028
000416.txt;False;070379.txt;1.8528261
000417.txt;False;073404.txt;1.3048275
000418.txt;False;063994.txt;1.2037662
000419.txt;False;074038.txt;0.95955265
000420.txt;False;047796.txt;1.9072065
000421.txt;True;000421.txt;0.74080986
000422.txt;False;054162.txt;0.67391694
000423.txt;False;008501.txt;0.34020823
