query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.37908098
000001.txt;True;000001.txt;0.5366129
000002.txt;True;000002.txt;0.46760786
000003.txt;True;000003.txt;0.38796216
000004.txt;True;000004.txt;0.38720438
000005.txt;False;000061.txt;0.45270407
000006.txt;False;000061.txt;0.38805845
000007.txt;False;034985.txt;0.49539626
000008.txt;False;078933.txt;0.52454275
000009.txt;False;013440.txt;0.70365834
000010.txt;False;013720.txt;0.54804385
000011.txt;True;000011.txt;0.25095516
000012.txt;True;000012.txt;0.6291811
000013.txt;True;000013.txt;0.4868133
000014.txt;True;000014.txt;0.3597204
000015.txt;True;000015.txt;0.2916892
000016.txt;True;000016.txt;0.4592816
000017.txt;True;000017.txt;0.51097584
000018.txt;True;000018.txt;0.63062906
000019.txt;True;000019.txt;0.29000786
000020.txt;False;003165.txt;0.44433302
000021.txt;True;000021.txt;0.3785789
000022.txt;True;000022.txt;0.2951927
000023.txt;True;000023.txt;0.49831933
000024.txt;False;008633.txt;0.65781903
000025.txt;True;000025.txt;0.23133942
000026.txt;False;044829.txt;0.3242702
000027.txt;True;000027.txt;0.2528113
000028.txt;True;000028.txt;0.21924691
000029.txt;True;000029.txt;0.42581952
000030.txt;True;000030.txt;0.5579881
000031.txt;True;000031.txt;0.4622013
000032.txt;True;000032.txt;0.5609722
000034.txt;True;000034.txt;0.5572609
000035.txt;True;000035.txt;0.6002029
000036.txt;True;000036.txt;0.40114668
000037.txt;True;000037.txt;0.27011934
000038.txt;True;000038.txt;0.21530482
000039.txt;True;000039.txt;0.23475945
000040.txt;True;000040.txt;0.20763317
000041.txt;True;000041.txt;0.22356373
000042.txt;True;000042.txt;0.20707288
000043.txt;True;000043.txt;0.26858786
000044.txt;False;010500.txt;0.33245528
000045.txt;True;000045.txt;0.32558596
000046.txt;False;000184.txt;0.5400643
000047.txt;True;000047.txt;0.40444005
000048.txt;False;017691.txt;0.42064482
000049.txt;True;000049.txt;0.5638157
000050.txt;True;000050.txt;0.50684094
000051.txt;False;001403.txt;0.37079757
000052.txt;False;000184.txt;0.43931833
000053.txt;False;036801.txt;0.5302392
