query_file;found;search_result;search_distances
000000.txt;True;000000.txt;8.458619
000001.txt;False;022217.txt;4.123535
000002.txt;False;013095.txt;6.91716
000003.txt;True;000003.txt;8.547508
000004.txt;False;048896.txt;4.434118
000005.txt;True;000005.txt;6.9448023
000006.txt;True;000006.txt;6.71905
000007.txt;False;025584.txt;5.2780104
000008.txt;False;067019.txt;3.600925
000009.txt;True;000009.txt;9.520208
000010.txt;True;000010.txt;6.739609
000011.txt;True;000011.txt;8.277864
000012.txt;True;000012.txt;8.1612835
000013.txt;True;000013.txt;7.508358
000014.txt;False;055584.txt;5.497883
000015.txt;True;000015.txt;6.4861584
000016.txt;False;078744.txt;6.4493256
000017.txt;False;001039.txt;7.262602
000018.txt;False;034137.txt;5.092439
000019.txt;True;000019.txt;9.160749
000020.txt;False;051453.txt;3.6658835
000021.txt;False;016509.txt;7.4341497
000022.txt;False;016509.txt;7.2770953
000023.txt;False;016509.txt;7.6187763
000024.txt;False;014947.txt;7.7625084
000025.txt;False;000011.txt;7.516874
000026.txt;True;000026.txt;5.734489
000027.txt;True;000027.txt;7.551484
000028.txt;False;016509.txt;7.602597
000029.txt;True;000029.txt;7.418889
000030.txt;False;005413.txt;7.580945
000031.txt;False;032957.txt;7.4595737
000032.txt;True;000032.txt;7.8059278
000034.txt;True;000034.txt;6.042305
000035.txt;False;069783.txt;4.515728
000036.txt;False;069964.txt;3.7766476
000037.txt;False;000011.txt;7.554538
000038.txt;False;015368.txt;7.798999
000039.txt;False;000019.txt;7.7815027
000040.txt;False;000019.txt;7.798072
000041.txt;False;000019.txt;7.680935
000042.txt;False;000019.txt;7.745977
000043.txt;False;000019.txt;7.7844915
000044.txt;True;000044.txt;8.904881
000045.txt;True;000045.txt;9.193846
000046.txt;True;000046.txt;8.894623
000047.txt;True;000047.txt;8.968136
000048.txt;False;071250.txt;5.4020596
000049.txt;True;000049.txt;5.833312
000050.txt;False;048583.txt;7.2149925
000051.txt;True;000051.txt;8.670134
000052.txt;True;000052.txt;8.771812
000053.txt;False;043016.txt;4.5693154
000054.txt;False;066252.txt;5.0079546
000055.txt;False;000575.txt;6.408724
000056.txt;True;000056.txt;6.836981
000057.txt;True;000057.txt;5.568922
000058.txt;False;074689.txt;4.256826
000059.txt;False;036106.txt;3.9620204
000060.txt;False;077687.txt;5.2157006
000061.txt;True;000061.txt;6.60359
000062.txt;False;050490.txt;5.0648994
000063.txt;False;073272.txt;4.332144
000064.txt;False;045147.txt;3.374464
000065.txt;True;000065.txt;6.532593
000066.txt;True;000066.txt;7.915818
000067.txt;True;000067.txt;6.623639
000068.txt;False;023607.txt;7.2972546
000069.txt;True;000069.txt;9.867947
000070.txt;True;000070.txt;5.317467
000071.txt;True;000071.txt;5.6526012
000072.txt;True;000072.txt;9.079094
000073.txt;False;063496.txt;6.0259056
000074.txt;False;021719.txt;5.3652554
000075.txt;False;066759.txt;5.572088
000076.txt;False;017325.txt;5.6782618
000077.txt;False;016644.txt;7.2577043
000078.txt;False;006839.txt;2.815917
000079.txt;True;000079.txt;5.6274185
000080.txt;False;049500.txt;5.2465124
000081.txt;True;000081.txt;6.8237624
000082.txt;False;034424.txt;6.1506667
000083.txt;False;041906.txt;2.7470427
000084.txt;False;020373.txt;5.9982996
000085.txt;True;000085.txt;8.848166
000086.txt;True;000086.txt;6.277834
000087.txt;False;074720.txt;5.84336
000088.txt;True;000088.txt;8.802849
000089.txt;False;053877.txt;9.127354
000090.txt;False;076746.txt;5.7765007
000091.txt;False;034536.txt;7.700648
000092.txt;False;016009.txt;6.0447826
000093.txt;False;037880.txt;6.463514
000094.txt;True;000094.txt;6.739998
000095.txt;False;013749.txt;4.7108793
000096.txt;True;000096.txt;6.758799
000097.txt;False;075629.txt;5.578965
000098.txt;False;019980.txt;6.7716417
000099.txt;True;000099.txt;8.487301
000100.txt;False;074571.txt;3.306458
000101.txt;True;000101.txt;5.8072786
000102.txt;False;034344.txt;4.6888227
000103.txt;True;000103.txt;9.85033
000104.txt;False;041145.txt;4.97326
000105.txt;False;054568.txt;4.9988155
000106.txt;True;000106.txt;7.001237
000107.txt;False;030181.txt;5.5031104
000108.txt;False;000019.txt;7.6429935
000109.txt;False;032960.txt;7.850751
000110.txt;True;000110.txt;7.8468294
000111.txt;True;000111.txt;8.812798
000112.txt;False;049620.txt;6.223754
000113.txt;False;076884.txt;4.396528
000114.txt;True;000114.txt;8.8684635
000115.txt;True;000115.txt;9.368641
000116.txt;False;000465.txt;2.9597702
000117.txt;False;003862.txt;4.4329925
000118.txt;True;000118.txt;10.535645
000119.txt;True;000119.txt;7.799178
000120.txt;True;000120.txt;8.761849
000121.txt;False;071107.txt;6.4622626
000122.txt;False;077666.txt;2.967631
000123.txt;False;010507.txt;5.9434605
000124.txt;False;026415.txt;6.5743513
000126.txt;True;000126.txt;8.970493
000127.txt;True;000127.txt;9.121922
000128.txt;True;000128.txt;9.152072
000129.txt;False;045844.txt;4.7968774
000130.txt;True;000130.txt;9.224172
000131.txt;True;000131.txt;9.097018
000132.txt;True;000132.txt;8.794278
000133.txt;True;000133.txt;8.941
000134.txt;True;000134.txt;8.093703
000135.txt;False;013310.txt;7.429024
000136.txt;False;007823.txt;7.22329
000137.txt;True;000137.txt;7.1672935
000138.txt;True;000138.txt;7.9705124
000139.txt;False;068280.txt;2.851939
000140.txt;True;000140.txt;5.4188766
000141.txt;True;000141.txt;8.400148
000142.txt;False;077688.txt;4.004039
000143.txt;False;071382.txt;4.3208537
000144.txt;True;000144.txt;5.7811756
000145.txt;False;044201.txt;3.1525273
000146.txt;True;000146.txt;6.345536
000147.txt;False;077187.txt;6.8187256
000148.txt;False;064430.txt;6.7634287
000149.txt;True;000149.txt;7.9205117
000150.txt;True;000150.txt;7.691904
000151.txt;False;050434.txt;3.4125333
000152.txt;False;057964.txt;3.1473045
000153.txt;True;000153.txt;9.366459
000154.txt;False;000465.txt;3.0453153
000155.txt;False;020131.txt;4.056673
000156.txt;False;003857.txt;7.720302
000157.txt;False;000159.txt;6.043408
000158.txt;False;078616.txt;6.761052
000159.txt;False;029559.txt;7.789423
000160.txt;False;004666.txt;3.78328
000161.txt;False;077666.txt;2.6145644
000162.txt;False;078750.txt;7.483546
000163.txt;False;078616.txt;7.1353464
000164.txt;True;000164.txt;8.939828
000165.txt;True;000165.txt;7.658168
000166.txt;True;000166.txt;9.099674
000167.txt;True;000167.txt;5.845176
000168.txt;False;073889.txt;5.1363277
000169.txt;False;078166.txt;4.5005646
000170.txt;False;028738.txt;3.7676454
000171.txt;True;000171.txt;7.4128466
000172.txt;False;009659.txt;4.3588877
000173.txt;True;000173.txt;7.417102
000174.txt;False;040427.txt;3.1969209
000175.txt;False;035872.txt;3.0875092
000176.txt;True;000176.txt;6.5298824
000177.txt;False;012191.txt;5.0733943
000178.txt;True;000178.txt;8.2239275
000179.txt;True;000179.txt;8.054235
000180.txt;False;048365.txt;2.5952542
000181.txt;True;000181.txt;8.910609
000182.txt;True;000182.txt;9.0864105
000183.txt;True;000183.txt;8.678021
000184.txt;True;000184.txt;8.76005
000185.txt;True;000185.txt;8.101726
000186.txt;False;040427.txt;3.627354
000187.txt;True;000187.txt;9.237137
000188.txt;True;000188.txt;9.232368
000189.txt;True;000189.txt;8.829997
000190.txt;True;000190.txt;8.874096
000191.txt;True;000191.txt;9.127351
000192.txt;False;009311.txt;6.062437
000193.txt;True;000193.txt;8.430195
000194.txt;True;000194.txt;6.78167
000195.txt;False;000570.txt;4.451379
000196.txt;False;010907.txt;3.4706056
000197.txt;False;000645.txt;6.095767
000198.txt;True;000198.txt;7.0325975
000199.txt;True;000199.txt;9.123143
000200.txt;True;000200.txt;4.7938066
000201.txt;False;071795.txt;2.7351346
000202.txt;False;046339.txt;5.1864805
000203.txt;False;007797.txt;6.853583
000204.txt;False;000011.txt;7.672808
000205.txt;False;034825.txt;7.671671
000206.txt;True;000206.txt;7.7530527
000207.txt;False;069431.txt;6.640993
000208.txt;False;069538.txt;5.7237096
000209.txt;False;006746.txt;3.041143
000210.txt;False;068280.txt;2.8615088
000211.txt;True;000211.txt;2.7645888
000212.txt;True;000212.txt;8.549795
000213.txt;False;062619.txt;3.6993084
000214.txt;True;000214.txt;10.164336
000215.txt;True;000215.txt;9.691743
000216.txt;True;000216.txt;5.6442356
000217.txt;False;002757.txt;6.6987467
000219.txt;True;000219.txt;9.5391035
000220.txt;False;050374.txt;3.7864406
000221.txt;True;000221.txt;5.9334335
000222.txt;True;000222.txt;10.183777
000223.txt;False;076160.txt;6.6481514
000224.txt;True;000224.txt;9.675774
000225.txt;False;029661.txt;5.2762613
000226.txt;False;000216.txt;5.566511
000227.txt;True;000227.txt;5.455756
000228.txt;False;077009.txt;6.692442
000229.txt;False;077666.txt;2.7586148
000230.txt;True;000230.txt;7.8764625
000231.txt;False;000216.txt;5.017665
000232.txt;False;072121.txt;3.66802
000233.txt;True;000233.txt;5.4446616
000234.txt;False;034574.txt;7.056408
000235.txt;False;067612.txt;5.603295
000236.txt;True;000236.txt;8.447437
000237.txt;False;014728.txt;4.4725733
