query_file;found;search_result;search_distances
000000.txt;False;003653.txt;0.81164885
000001.txt;True;000001.txt;0.8903844
000002.txt;True;000002.txt;0.69797474
000003.txt;True;000003.txt;0.85582674
000004.txt;True;000004.txt;0.9008299
000005.txt;False;030653.txt;0.83869505
000006.txt;False;030652.txt;0.7784817
000007.txt;True;000007.txt;0.7848401
000008.txt;False;025181.txt;0.592293
000009.txt;True;000009.txt;0.8373289
000010.txt;True;000010.txt;0.8204199
000011.txt;True;000011.txt;0.93516594
000012.txt;True;000012.txt;0.83175147
000013.txt;True;000013.txt;0.79647344
000014.txt;True;000014.txt;0.829518
000015.txt;True;000015.txt;0.8971759
000016.txt;True;000016.txt;0.7956456
000017.txt;True;000017.txt;0.8365309
000018.txt;True;000018.txt;0.9094538
000019.txt;True;000019.txt;0.9358761
000020.txt;True;000020.txt;0.844555
000021.txt;True;000021.txt;0.9595764
000022.txt;True;000022.txt;0.97570294
000023.txt;True;000023.txt;0.9225845
000024.txt;True;000024.txt;0.952206
000025.txt;True;000025.txt;0.9738078
000026.txt;True;000026.txt;0.93021023
000027.txt;True;000027.txt;0.97347033
000028.txt;True;000028.txt;0.9787572
000029.txt;True;000029.txt;0.97810465
000030.txt;True;000030.txt;0.9224709
000031.txt;True;000031.txt;0.90350276
000032.txt;True;000032.txt;0.90328664
000034.txt;True;000034.txt;0.8606509
000035.txt;True;000035.txt;0.7913444
000036.txt;False;061443.txt;0.7167895
000037.txt;True;000037.txt;0.97216046
000038.txt;True;000038.txt;0.97483045
000039.txt;True;000039.txt;0.97335804
000040.txt;True;000040.txt;0.971744
000041.txt;True;000041.txt;0.9734975
000042.txt;True;000042.txt;0.9724456
000043.txt;True;000043.txt;0.9719892
000044.txt;True;000044.txt;0.89266604
000045.txt;True;000045.txt;0.9304596
000046.txt;True;000046.txt;0.8520672
000047.txt;True;000047.txt;0.8852656
000048.txt;True;000048.txt;0.762864
000049.txt;True;000049.txt;0.6528499
000050.txt;False;024613.txt;0.85418403
000051.txt;False;001403.txt;0.81478083
000052.txt;True;000052.txt;0.8983545
000053.txt;True;000053.txt;0.8037361
000054.txt;True;000054.txt;0.86921704
000055.txt;True;000055.txt;0.8713085
000056.txt;True;000056.txt;0.85999465
000057.txt;False;060278.txt;0.6937853
000058.txt;True;000058.txt;0.88342106
000059.txt;True;000059.txt;0.7656034
000060.txt;False;033671.txt;0.7358295
000061.txt;True;000061.txt;0.8398584
000062.txt;True;000062.txt;0.8013276
000063.txt;True;000063.txt;0.9304462
000064.txt;True;000064.txt;0.7483554
000065.txt;True;000065.txt;0.7298967
000066.txt;True;000066.txt;0.8533647
000067.txt;True;000067.txt;0.85287726
000068.txt;True;000068.txt;0.906875
000069.txt;True;000069.txt;0.8259557
000070.txt;False;075545.txt;0.7042991
000071.txt;False;000083.txt;0.6810884
000072.txt;True;000072.txt;0.8019881
000073.txt;True;000073.txt;0.8269848
000074.txt;True;000074.txt;0.7995485
000075.txt;True;000075.txt;0.7617216
000076.txt;True;000076.txt;0.81000555
000077.txt;True;000077.txt;0.9327229
000078.txt;True;000078.txt;0.7836075
000079.txt;True;000079.txt;0.8096774
000080.txt;False;017271.txt;0.7890624
000081.txt;True;000081.txt;0.7258924
000082.txt;False;043920.txt;0.615178
000083.txt;False;033082.txt;0.6094767
000084.txt;True;000084.txt;0.7739919
000085.txt;True;000085.txt;0.88848984
000086.txt;True;000086.txt;0.8046889
000087.txt;False;018029.txt;0.745034
000088.txt;True;000088.txt;0.86168706
000089.txt;True;000089.txt;0.8642001
000090.txt;False;056227.txt;0.6677997
000091.txt;True;000091.txt;0.870535
000092.txt;True;000092.txt;0.71048576
000093.txt;True;000093.txt;0.78526896
000094.txt;True;000094.txt;0.82899046
000095.txt;True;000095.txt;0.83673155
000096.txt;True;000096.txt;0.8099866
000097.txt;False;041856.txt;0.68475646
000098.txt;True;000098.txt;0.8853452
000099.txt;True;000099.txt;0.92960477
000100.txt;True;000100.txt;0.92703474
000101.txt;True;000101.txt;0.8066795
000102.txt;False;018029.txt;0.7191802
000103.txt;True;000103.txt;0.86510515
000104.txt;True;000104.txt;0.8383341
000105.txt;True;000105.txt;0.69328284
000106.txt;True;000106.txt;0.8076355
000107.txt;True;000107.txt;0.7332642
000108.txt;True;000108.txt;0.9747262
000109.txt;True;000109.txt;0.97653717
000110.txt;True;000110.txt;0.7837373
000111.txt;True;000111.txt;0.8903253
000112.txt;True;000112.txt;0.79094243
000113.txt;True;000113.txt;0.76292574
000114.txt;True;000114.txt;0.8491881
000115.txt;True;000115.txt;0.77487993
000116.txt;False;032295.txt;0.69582736
000117.txt;True;000117.txt;0.857443
000118.txt;True;000118.txt;0.92784274
000119.txt;True;000119.txt;0.85669935
000120.txt;True;000120.txt;0.9303922
000121.txt;True;000121.txt;0.8986499
000122.txt;False;063408.txt;0.6984701
000123.txt;True;000123.txt;0.8502681
000124.txt;True;000124.txt;0.9287262
000126.txt;True;000126.txt;0.8354533
000127.txt;True;000127.txt;0.93484175
000128.txt;True;000128.txt;0.94420743
000129.txt;False;000117.txt;0.7750218
000130.txt;True;000130.txt;0.8756994
000131.txt;True;000131.txt;0.91496223
000132.txt;True;000132.txt;0.91668177
000133.txt;True;000133.txt;0.9329208
000134.txt;True;000134.txt;0.8790482
000135.txt;True;000135.txt;0.85035187
000136.txt;True;000136.txt;0.949909
000137.txt;True;000137.txt;0.84045357
000138.txt;True;000138.txt;0.77319723
000139.txt;False;035877.txt;0.6485257
000140.txt;True;000140.txt;0.7835537
000141.txt;True;000141.txt;0.8443922
000142.txt;False;000563.txt;0.5397886
000143.txt;True;000143.txt;0.7570777
000144.txt;True;000144.txt;0.8616842
000145.txt;False;026286.txt;0.6884582
000146.txt;True;000146.txt;0.79187405
000147.txt;True;000147.txt;0.8302684
000148.txt;False;025467.txt;0.8282218
000149.txt;True;000149.txt;0.9615978
000150.txt;True;000150.txt;0.7974919
000151.txt;False;078936.txt;0.7946302
000152.txt;True;000152.txt;0.83061206
000153.txt;True;000153.txt;0.9380238
000154.txt;False;003028.txt;0.68362343
000155.txt;False;073061.txt;0.59568185
000156.txt;True;000156.txt;0.8241547
000157.txt;False;078616.txt;0.7854303
000158.txt;False;000163.txt;0.7744261
000159.txt;False;078624.txt;0.79171073
000160.txt;True;000160.txt;0.8170858
000161.txt;True;000161.txt;0.8330022
000162.txt;True;000162.txt;0.77441835
000163.txt;True;000163.txt;0.8073314
000164.txt;True;000164.txt;0.90141237
000165.txt;True;000165.txt;0.9173956
000166.txt;True;000166.txt;0.9370054
000167.txt;True;000167.txt;0.8785194
000168.txt;True;000168.txt;0.8855421
