query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.9924885
000001.txt;True;000001.txt;1.0000001
000002.txt;True;000002.txt;0.9358226
000003.txt;True;000003.txt;0.945613
000004.txt;False;068208.txt;0.9066473
000005.txt;True;000005.txt;0.8831394
000006.txt;True;000006.txt;0.8786918
000007.txt;False;065696.txt;0.94482136
000008.txt;False;077816.txt;0.8316432
000009.txt;True;000009.txt;0.9807822
000010.txt;True;000010.txt;0.8983098
000011.txt;True;000011.txt;0.96536124
000012.txt;True;000012.txt;0.97046363
000013.txt;True;000013.txt;0.95392996
000014.txt;False;077577.txt;0.8488846
000015.txt;True;000015.txt;0.9805211
000016.txt;False;078605.txt;0.83102834
000017.txt;False;054729.txt;0.91058743
000018.txt;False;034137.txt;0.7286423
000019.txt;True;000019.txt;0.98992944
000020.txt;True;000020.txt;0.8648826
000021.txt;False;000011.txt;0.8617966
000022.txt;False;000011.txt;0.838776
000023.txt;False;000011.txt;0.8660817
000024.txt;False;000011.txt;0.8809448
000025.txt;False;000011.txt;0.8599944
000026.txt;False;026601.txt;0.8180375
000027.txt;True;000027.txt;0.8538084
000028.txt;False;000011.txt;0.86524576
000029.txt;True;000029.txt;0.8517134
000030.txt;False;005413.txt;0.8830847
000031.txt;False;005413.txt;0.8639207
000032.txt;True;000032.txt;0.97536606
000034.txt;True;000034.txt;0.87553614
000035.txt;False;072167.txt;0.8537479
000036.txt;False;034154.txt;0.80000114
000037.txt;False;000011.txt;0.8538751
000038.txt;False;000011.txt;0.8655625
000039.txt;False;000011.txt;0.8439758
000040.txt;False;000011.txt;0.86522365
000041.txt;False;000011.txt;0.85273755
000042.txt;False;000011.txt;0.862466
000043.txt;False;000011.txt;0.8664026
000044.txt;True;000044.txt;0.9643186
000045.txt;True;000045.txt;0.96503454
000046.txt;True;000046.txt;0.97202855
000047.txt;True;000047.txt;0.96963
000048.txt;True;000048.txt;1.0
000049.txt;True;000049.txt;0.84409
000050.txt;True;000050.txt;0.9411973
000051.txt;True;000051.txt;0.9687414
000052.txt;True;000052.txt;0.9683777
000053.txt;True;000053.txt;0.80689955
000054.txt;False;053748.txt;0.9095203
000055.txt;False;000575.txt;0.9227409
000056.txt;True;000056.txt;0.9270574
000057.txt;True;000057.txt;0.9415157
000058.txt;False;064545.txt;0.8460445
000059.txt;False;078640.txt;0.7718931
000060.txt;False;067474.txt;0.8024244
000061.txt;True;000061.txt;0.8694745
000062.txt;False;009237.txt;0.68890834
000063.txt;False;066500.txt;0.8672478
000064.txt;True;000064.txt;0.8162583
000065.txt;True;000065.txt;0.9350715
000066.txt;True;000066.txt;0.9999999
000067.txt;True;000067.txt;0.9177135
000068.txt;True;000068.txt;0.80553067
000069.txt;True;000069.txt;0.9456819
000070.txt;True;000070.txt;0.8336992
000071.txt;True;000071.txt;0.9190297
000072.txt;True;000072.txt;1.0000001
000073.txt;False;037173.txt;0.91284454
000074.txt;False;042432.txt;0.8670946
000075.txt;False;015017.txt;0.839352
000076.txt;False;017325.txt;0.75269854
000077.txt;False;016644.txt;0.91179115
000078.txt;False;017277.txt;0.91620517
000079.txt;True;000079.txt;0.7831866
000080.txt;False;019625.txt;0.98260057
000081.txt;True;000081.txt;0.95176303
000082.txt;False;034424.txt;0.76863027
000083.txt;False;003168.txt;0.948437
000084.txt;False;032269.txt;0.7565043
000085.txt;True;000085.txt;0.94873655
000086.txt;False;020456.txt;0.8367487
000087.txt;False;065513.txt;0.90771806
