query_file;found;search_result;search_distances
000000.txt;False;003653.txt;0.7690027
000001.txt;True;000001.txt;0.8346652
000002.txt;False;007581.txt;0.69151276
000003.txt;True;000003.txt;0.8745209
000004.txt;True;000004.txt;0.8902216
000005.txt;False;078876.txt;0.760749
000006.txt;False;030660.txt;0.7958423
000007.txt;True;000007.txt;0.7925178
000008.txt;False;000701.txt;0.67791617
000009.txt;False;004901.txt;0.7323898
000010.txt;True;000010.txt;0.7724056
000011.txt;True;000011.txt;0.9557778
000012.txt;True;000012.txt;0.8240634
000013.txt;True;000013.txt;0.8735356
000014.txt;True;000014.txt;0.8227874
000015.txt;True;000015.txt;0.8936033
000016.txt;True;000016.txt;0.8728459
000017.txt;True;000017.txt;0.80618995
000018.txt;True;000018.txt;0.82226443
000019.txt;True;000019.txt;0.91470945
000020.txt;True;000020.txt;0.7229321
000021.txt;True;000021.txt;0.9109601
000022.txt;True;000022.txt;0.95573616
000023.txt;False;000025.txt;0.875095
000024.txt;True;000024.txt;0.9107313
000025.txt;True;000025.txt;0.94699717
000026.txt;True;000026.txt;0.8825684
000027.txt;True;000027.txt;0.94549966
000028.txt;True;000028.txt;0.950373
000029.txt;True;000029.txt;0.93282247
000030.txt;False;000031.txt;0.8737742
000031.txt;True;000031.txt;0.88207614
000032.txt;True;000032.txt;0.83155733
000034.txt;True;000034.txt;0.7851458
000035.txt;False;042806.txt;0.6720053
000036.txt;True;000036.txt;0.78498125
000037.txt;True;000037.txt;0.95828074
000038.txt;True;000038.txt;0.94913286
000039.txt;True;000039.txt;0.9488038
000040.txt;True;000040.txt;0.9504727
000041.txt;True;000041.txt;0.94384664
000042.txt;True;000042.txt;0.9506389
000043.txt;True;000043.txt;0.95183045
000044.txt;True;000044.txt;0.8740432
000045.txt;True;000045.txt;0.875432
000046.txt;True;000046.txt;0.7428607
000047.txt;True;000047.txt;0.87743074
000048.txt;True;000048.txt;0.81227905
000049.txt;False;006828.txt;0.6327925
000050.txt;False;024613.txt;0.75470775
000051.txt;False;001403.txt;0.817455
000052.txt;True;000052.txt;0.78501034
000053.txt;True;000053.txt;0.71343803
000054.txt;True;000054.txt;0.89836776
000055.txt;True;000055.txt;0.80786765
000056.txt;True;000056.txt;0.7955681
000057.txt;True;000057.txt;0.8451573
000058.txt;True;000058.txt;0.65416765
000059.txt;True;000059.txt;0.7691255
000060.txt;True;000060.txt;0.630548
000061.txt;True;000061.txt;0.7314009
000062.txt;True;000062.txt;0.7594272
000063.txt;True;000063.txt;0.93508685
000064.txt;False;008515.txt;0.68543494
000065.txt;True;000065.txt;0.82379985
000066.txt;True;000066.txt;0.8102931
000067.txt;True;000067.txt;0.8083222
000068.txt;True;000068.txt;0.89075947
000069.txt;False;078461.txt;0.7740098
000070.txt;True;000070.txt;0.73804545
000071.txt;True;000071.txt;0.8104198
000072.txt;True;000072.txt;0.7616218
000073.txt;True;000073.txt;0.8372024
000074.txt;True;000074.txt;0.80053854
000075.txt;True;000075.txt;0.8178015
000076.txt;False;028863.txt;0.8447268
000077.txt;True;000077.txt;0.74151915
000078.txt;True;000078.txt;0.76657164
000079.txt;True;000079.txt;0.67000264
000080.txt;False;002787.txt;0.71408165
000081.txt;False;008515.txt;0.7555539
000082.txt;False;012000.txt;0.6667719
000083.txt;False;034611.txt;0.64136636
000084.txt;True;000084.txt;0.7987275
000085.txt;True;000085.txt;0.898805
000086.txt;True;000086.txt;0.83010435
000087.txt;False;029698.txt;0.6247008
000088.txt;False;070328.txt;0.7717624
000089.txt;True;000089.txt;0.79698616
000090.txt;False;076746.txt;0.65963316
000091.txt;True;000091.txt;0.87445956
000092.txt;False;009346.txt;0.7533372
000093.txt;False;053030.txt;0.8103004
000094.txt;False;019647.txt;0.86525905
000095.txt;True;000095.txt;0.82606
000096.txt;True;000096.txt;0.8547698
000097.txt;False;037449.txt;0.6607785
000098.txt;True;000098.txt;0.83251023
000099.txt;True;000099.txt;0.92528427
000100.txt;True;000100.txt;0.893098
000101.txt;True;000101.txt;0.8596797
000102.txt;False;048883.txt;0.5961685
000103.txt;True;000103.txt;0.8441072
000104.txt;True;000104.txt;0.70259786
000105.txt;True;000105.txt;0.74985206
000106.txt;True;000106.txt;0.8741335
000107.txt;True;000107.txt;0.6883189
000108.txt;True;000108.txt;0.9486091
000109.txt;True;000109.txt;0.9408223
000110.txt;True;000110.txt;0.8230269
000111.txt;True;000111.txt;0.85708785
000112.txt;False;000117.txt;0.66423684
000113.txt;True;000113.txt;0.8133674
000114.txt;True;000114.txt;0.83849657
000115.txt;True;000115.txt;0.8738283
000116.txt;False;078710.txt;0.55434275
000117.txt;True;000117.txt;0.8652491
000118.txt;True;000118.txt;0.88584644
000119.txt;True;000119.txt;0.7896652
000120.txt;True;000120.txt;0.9082836
000121.txt;True;000121.txt;0.59555113
000122.txt;False;068854.txt;0.63482845
000123.txt;True;000123.txt;0.77962565
000124.txt;True;000124.txt;0.9324695
000126.txt;True;000126.txt;0.88267565
000127.txt;True;000127.txt;0.8798859
000128.txt;True;000128.txt;0.9089231
000129.txt;False;000117.txt;0.7768136
000130.txt;True;000130.txt;0.84482276
000131.txt;True;000131.txt;0.8622452
000132.txt;True;000132.txt;0.89821446
000133.txt;True;000133.txt;0.8944648
000134.txt;True;000134.txt;0.91429836
000135.txt;True;000135.txt;0.8538176
000136.txt;True;000136.txt;0.95840216
000137.txt;True;000137.txt;0.61030495
000138.txt;True;000138.txt;0.8441925
000139.txt;False;049934.txt;0.65256506
000140.txt;True;000140.txt;0.7896849
000141.txt;True;000141.txt;0.793483
000142.txt;False;066306.txt;0.5570951
000143.txt;False;029696.txt;0.7307795
000144.txt;False;014751.txt;0.6701168
000145.txt;False;016222.txt;0.6048496
000146.txt;True;000146.txt;0.7981582
000147.txt;True;000147.txt;0.76622427
000148.txt;True;000148.txt;0.83746314
000149.txt;True;000149.txt;0.9460542
000150.txt;True;000150.txt;0.7452707
000151.txt;False;039733.txt;0.6258736
000152.txt;True;000152.txt;0.8203964
000153.txt;True;000153.txt;0.9011142
000154.txt;False;075759.txt;0.5715711
000155.txt;False;078946.txt;0.6513784
000156.txt;True;000156.txt;0.73230577
000157.txt;False;038932.txt;0.8064624
000158.txt;True;000158.txt;0.872238
000159.txt;False;038932.txt;0.7093594
000160.txt;True;000160.txt;0.75208795
000161.txt;True;000161.txt;0.82469594
000162.txt;True;000162.txt;0.7988561
000163.txt;False;012865.txt;0.82647187
000164.txt;True;000164.txt;0.8275831
000165.txt;True;000165.txt;0.85081804
000166.txt;True;000166.txt;0.92399186
000167.txt;True;000167.txt;0.85644984
000168.txt;True;000168.txt;0.84809077
000169.txt;False;033180.txt;0.62555254
000170.txt;True;000170.txt;0.9005902
000171.txt;True;000171.txt;0.840392
000172.txt;True;000172.txt;0.7959119
000173.txt;True;000173.txt;0.7911507
000174.txt;False;065985.txt;0.74098456
000175.txt;True;000175.txt;0.8057811
000176.txt;True;000176.txt;0.89891535
000177.txt;False;075017.txt;0.7854804
000178.txt;False;001483.txt;0.8099476
000179.txt;True;000179.txt;0.8362246
000180.txt;True;000180.txt;0.5927535
000181.txt;True;000181.txt;0.83899283
000182.txt;True;000182.txt;0.84744996
000183.txt;True;000183.txt;0.8373944
000184.txt;True;000184.txt;0.86062044
000185.txt;True;000185.txt;0.8560716
000186.txt;True;000186.txt;0.7549168
000187.txt;True;000187.txt;0.88132834
000188.txt;True;000188.txt;0.8998692
000189.txt;True;000189.txt;0.8633952
000190.txt;True;000190.txt;0.8903583
000191.txt;True;000191.txt;0.8153361
000192.txt;True;000192.txt;0.7826703
000193.txt;False;007517.txt;0.82482576
000194.txt;True;000194.txt;0.8431118
000195.txt;True;000195.txt;0.7834821
000196.txt;False;066871.txt;0.68516636
000197.txt;False;011640.txt;0.6415147
000198.txt;True;000198.txt;0.84121597
000199.txt;True;000199.txt;0.86852247
000200.txt;True;000200.txt;0.8545842
000201.txt;False;028735.txt;0.67095697
000202.txt;True;000202.txt;0.7805088
000203.txt;False;048285.txt;0.68344057
000204.txt;True;000204.txt;0.83271635
000205.txt;True;000205.txt;0.8653636
000206.txt;True;000206.txt;0.79109555
000207.txt;False;005278.txt;0.70318425
000208.txt;True;000208.txt;0.7308436
000209.txt;True;000209.txt;0.8081146
000210.txt;False;044545.txt;0.7569814
000211.txt;True;000211.txt;0.8655257
000212.txt;True;000212.txt;0.7751577
000213.txt;True;000213.txt;0.8546517
000214.txt;True;000214.txt;0.8681113
000215.txt;True;000215.txt;0.64276356
000216.txt;True;000216.txt;0.7991534
000217.txt;True;000217.txt;0.80097044
000219.txt;True;000219.txt;0.84246445
000220.txt;False;078947.txt;0.747327
000221.txt;True;000221.txt;0.8660264
000222.txt;True;000222.txt;0.9063527
000223.txt;True;000223.txt;0.5998691
000224.txt;True;000224.txt;0.7436942
000225.txt;False;032721.txt;0.5717025
000226.txt;True;000226.txt;0.7031176
000227.txt;False;029867.txt;0.87517834
000228.txt;True;000228.txt;0.87361735
000229.txt;False;076113.txt;0.66671336
000230.txt;True;000230.txt;0.80247855
000231.txt;False;031299.txt;0.68715674
000232.txt;False;026126.txt;0.5054119
000233.txt;False;076084.txt;0.7123213
000234.txt;False;034574.txt;0.79438007
000235.txt;False;015083.txt;0.62105256
000236.txt;True;000236.txt;0.8846483
000237.txt;True;000237.txt;0.8120296
000238.txt;True;000238.txt;0.7339607
000239.txt;False;000117.txt;0.7450578
000240.txt;False;041789.txt;0.70983315
000241.txt;True;000241.txt;0.9200452
000242.txt;True;000242.txt;0.7029009
000243.txt;True;000243.txt;0.905998
000244.txt;True;000244.txt;0.70236075
000245.txt;True;000245.txt;0.7407044
000246.txt;True;000246.txt;0.84243363
000247.txt;False;039438.txt;0.6891464
000248.txt;True;000248.txt;0.78813756
000249.txt;True;000249.txt;0.87356496
000250.txt;True;000250.txt;0.93128467
000251.txt;False;044472.txt;0.7560798
000252.txt;True;000252.txt;0.9102372
000253.txt;True;000253.txt;0.7931793
000254.txt;True;000254.txt;0.73775566
000255.txt;True;000255.txt;0.8888635
000256.txt;True;000256.txt;0.7562243
000257.txt;False;022159.txt;0.72182465
000258.txt;True;000258.txt;0.6498202
000259.txt;False;022160.txt;0.6988313
000260.txt;True;000260.txt;0.7498889
000261.txt;True;000261.txt;0.6152772
000262.txt;True;000262.txt;0.9348943
000263.txt;True;000263.txt;0.73450935
000264.txt;False;073451.txt;0.6960764
000265.txt;True;000265.txt;0.8917065
000266.txt;True;000266.txt;0.72842896
000267.txt;False;067765.txt;0.8640295
000268.txt;True;000268.txt;0.79692435
000269.txt;False;005241.txt;0.76735234
000270.txt;False;011040.txt;0.73890257
000271.txt;True;000271.txt;0.8610674
000272.txt;True;000272.txt;0.85562146
000273.txt;True;000273.txt;0.833964
000274.txt;True;000274.txt;0.8659782
000275.txt;True;000275.txt;0.6575049
000276.txt;True;000276.txt;0.77906746
000277.txt;True;000277.txt;0.8914252
000278.txt;True;000278.txt;0.8680053
000279.txt;True;000279.txt;0.88013387
000280.txt;True;000280.txt;0.8322419
000281.txt;True;000281.txt;0.8928959
000282.txt;True;000282.txt;0.81323755
000283.txt;True;000283.txt;0.63124293
000284.txt;False;001142.txt;0.7926411
000285.txt;True;000285.txt;0.76917464
000286.txt;False;000045.txt;0.87084234
000287.txt;True;000287.txt;0.8453724
000288.txt;True;000288.txt;0.8509548
000289.txt;True;000289.txt;0.7694398
000290.txt;True;000290.txt;0.7583938
000291.txt;True;000291.txt;0.73705035
000292.txt;True;000292.txt;0.8708118
000293.txt;False;015768.txt;0.82488036
000294.txt;False;009122.txt;0.6675434
000295.txt;True;000295.txt;0.9024273
000296.txt;False;064292.txt;0.6379355
000297.txt;False;059991.txt;0.6814699
000298.txt;False;015086.txt;0.6465007
000299.txt;True;000299.txt;0.7469851
000300.txt;True;000300.txt;0.89828265
000301.txt;False;077033.txt;0.7336885
000302.txt;False;023546.txt;0.7661826
000303.txt;True;000303.txt;0.7018106
000304.txt;True;000304.txt;0.7802619
000305.txt;True;000305.txt;0.83034587
000306.txt;True;000306.txt;0.83304816
000308.txt;True;000308.txt;0.70915914
000309.txt;True;000309.txt;0.78636616
000310.txt;True;000310.txt;0.78015405
000311.txt;False;078743.txt;0.61550707
000312.txt;True;000312.txt;0.8558856
000313.txt;True;000313.txt;0.7969383
000314.txt;False;002327.txt;0.6520477
000315.txt;True;000315.txt;0.8403466
000316.txt;True;000316.txt;0.87282616
000317.txt;True;000317.txt;0.79724276
000318.txt;False;006007.txt;0.7324678
000319.txt;False;005905.txt;0.68400514
000320.txt;True;000320.txt;0.84065235
000321.txt;True;000321.txt;0.794601
000322.txt;False;016537.txt;0.8191123
000323.txt;True;000323.txt;0.67755115
000324.txt;True;000324.txt;0.78801155
000325.txt;True;000325.txt;0.80645454
000326.txt;True;000326.txt;0.73775965
000327.txt;True;000327.txt;0.85665697
000328.txt;False;024083.txt;0.83287424
000329.txt;True;000329.txt;0.8839139
000330.txt;True;000330.txt;0.74386346
000331.txt;True;000331.txt;0.59361863
000332.txt;False;051863.txt;0.67498136
000333.txt;True;000333.txt;0.77221787
000334.txt;True;000334.txt;0.836545
000335.txt;True;000335.txt;0.8417224
000336.txt;True;000336.txt;0.73295027
000337.txt;True;000337.txt;0.872435
000338.txt;True;000338.txt;0.8809993
000339.txt;False;074274.txt;0.7145248
000341.txt;False;028272.txt;0.7315643
000342.txt;True;000342.txt;0.8763139
000343.txt;False;066468.txt;0.73189735
000344.txt;True;000344.txt;0.83837926
000345.txt;False;035402.txt;0.78050536
000346.txt;True;000346.txt;0.9007418
000347.txt;False;008066.txt;0.7972926
000348.txt;True;000348.txt;0.85801005
000349.txt;True;000349.txt;0.692403
000350.txt;True;000350.txt;0.7477517
000351.txt;True;000351.txt;0.8719388
000352.txt;True;000352.txt;0.73835665
000353.txt;True;000353.txt;0.604561
000354.txt;False;030087.txt;0.80470943
000355.txt;True;000355.txt;0.8605814
000356.txt;True;000356.txt;0.82510984
000357.txt;True;000357.txt;0.8955436
000358.txt;False;057570.txt;0.6314244
000359.txt;True;000359.txt;0.85283244
000360.txt;True;000360.txt;0.7462965
000361.txt;False;066188.txt;0.78231674
000362.txt;True;000362.txt;0.78802645
000363.txt;True;000363.txt;0.80509573
000364.txt;True;000364.txt;0.79658717
000366.txt;False;024232.txt;0.7731999
000367.txt;False;077061.txt;0.79823124
000368.txt;True;000368.txt;0.7484008
000369.txt;False;032468.txt;0.83171993
000370.txt;True;000370.txt;0.57102287
000371.txt;True;000371.txt;0.9051243
000372.txt;True;000372.txt;0.7917386
000373.txt;True;000373.txt;0.8628289
000374.txt;False;050567.txt;0.6467824
000375.txt;True;000375.txt;0.82066965
000376.txt;True;000376.txt;0.71541184
000377.txt;False;019707.txt;0.56519324
000378.txt;True;000378.txt;0.7556292
000379.txt;True;000379.txt;0.62828785
000380.txt;False;071305.txt;0.78256196
000381.txt;False;071705.txt;0.6360209
000382.txt;False;041539.txt;0.69302416
000383.txt;True;000383.txt;0.7326244
000384.txt;True;000384.txt;0.8660395
000385.txt;False;071305.txt;0.83950156
000386.txt;False;068398.txt;0.7467114
000387.txt;True;000387.txt;0.77843165
000388.txt;True;000388.txt;0.7155326
000389.txt;True;000389.txt;0.7692259
000390.txt;True;000390.txt;0.8609234
000391.txt;True;000391.txt;0.87931216
000392.txt;True;000392.txt;0.62813187
000393.txt;True;000393.txt;0.9088533
000394.txt;False;007981.txt;0.7621952
000395.txt;True;000395.txt;0.8329927
000396.txt;True;000396.txt;0.83282375
000397.txt;True;000397.txt;0.8450694
000398.txt;True;000398.txt;0.7352049
000399.txt;True;000399.txt;0.9372632
000400.txt;True;000400.txt;0.91626
000401.txt;True;000401.txt;0.85044
000402.txt;True;000402.txt;0.9059479
000403.txt;True;000403.txt;0.7576661
000404.txt;True;000404.txt;0.7683671
000405.txt;True;000405.txt;0.7565642
000406.txt;True;000406.txt;0.6789079
000407.txt;True;000407.txt;0.70347244
000408.txt;True;000408.txt;0.82838464
000409.txt;False;005173.txt;0.7074033
000410.txt;True;000410.txt;0.6814763
000411.txt;False;025218.txt;0.5521592
000412.txt;False;078909.txt;0.63997567
000413.txt;False;067777.txt;0.73247916
000414.txt;True;000414.txt;0.8044131
000415.txt;True;000415.txt;0.7760789
000416.txt;True;000416.txt;0.91944337
000417.txt;True;000417.txt;0.7401656
000418.txt;True;000418.txt;0.7182865
000419.txt;False;034782.txt;0.7362174
000420.txt;True;000420.txt;0.93052816
000421.txt;True;000421.txt;0.8254076
000422.txt;False;003778.txt;0.6827245
000423.txt;True;000423.txt;0.8050871
000424.txt;False;077257.txt;0.6982751
000425.txt;True;000425.txt;0.7854997
000426.txt;True;000426.txt;0.91168463
000427.txt;False;078912.txt;0.7862117
000428.txt;True;000428.txt;0.8153437
000429.txt;True;000429.txt;0.91703266
000430.txt;False;017872.txt;0.66381043
000431.txt;True;000431.txt;0.85115707
000432.txt;True;000432.txt;0.82697797
000433.txt;False;042838.txt;0.6995524
000434.txt;False;000440.txt;0.68860745
000435.txt;True;000435.txt;0.78856707
000436.txt;True;000436.txt;0.8868891
000437.txt;False;007343.txt;0.71559787
000438.txt;False;056530.txt;0.56343126
000439.txt;False;069359.txt;0.721577
000440.txt;False;076759.txt;0.6786001
000441.txt;True;000441.txt;0.6683432
000442.txt;False;065087.txt;0.53811455
000443.txt;False;032494.txt;0.68024707
000444.txt;True;000444.txt;0.89824677
000445.txt;True;000445.txt;0.75244856
000446.txt;True;000446.txt;0.7730434
000447.txt;False;000475.txt;0.79711115
000448.txt;False;034876.txt;0.6778101
000449.txt;True;000449.txt;0.84748715
000450.txt;False;030976.txt;0.6946749
000453.txt;False;054595.txt;0.79010487
000454.txt;False;026578.txt;0.5248871
000455.txt;True;000455.txt;0.87472945
000456.txt;True;000456.txt;0.7238473
000457.txt;True;000457.txt;0.9103322
000458.txt;True;000458.txt;0.87186056
000459.txt;True;000459.txt;0.79817605
000461.txt;True;000461.txt;0.84139323
000462.txt;True;000462.txt;0.85927206
000463.txt;True;000463.txt;0.8895495
000464.txt;False;042851.txt;0.6169548
000465.txt;True;000465.txt;0.6393585
000466.txt;True;000466.txt;0.8591408
000467.txt;False;058528.txt;0.6298225
000468.txt;True;000468.txt;0.6571576
000469.txt;True;000469.txt;0.78483313
000470.txt;True;000470.txt;0.79983616
000471.txt;True;000471.txt;0.68057185
000472.txt;True;000472.txt;0.81357926
000473.txt;True;000473.txt;0.7305538
000474.txt;True;000474.txt;0.78507066
000475.txt;True;000475.txt;0.74221545
000476.txt;True;000476.txt;0.80409324
000477.txt;True;000477.txt;0.8623644
000478.txt;True;000478.txt;0.85193324
000479.txt;False;050857.txt;0.6756474
000480.txt;True;000480.txt;0.7396972
000481.txt;True;000481.txt;0.8392308
000482.txt;True;000482.txt;0.7183641
000483.txt;True;000483.txt;0.8824935
000485.txt;True;000485.txt;0.86659646
000486.txt;True;000486.txt;0.78749
000487.txt;False;055747.txt;0.7501956
000488.txt;False;019603.txt;0.655632
000490.txt;True;000490.txt;0.82726514
000491.txt;False;034654.txt;0.5574164
000492.txt;False;051734.txt;0.6712755
000493.txt;True;000493.txt;0.88071114
000494.txt;False;050162.txt;0.6344897
000495.txt;False;061556.txt;0.82916856
000496.txt;False;020540.txt;0.681167
000497.txt;False;048083.txt;0.7064475
000498.txt;False;056469.txt;0.65740997
000499.txt;True;000499.txt;0.879879
000500.txt;False;032341.txt;0.6053947
000501.txt;False;000510.txt;0.5837749
000502.txt;False;072575.txt;0.7756323
000503.txt;True;000503.txt;0.84932053
000504.txt;False;024403.txt;0.63012594
000505.txt;False;018216.txt;0.7046859
000506.txt;False;010282.txt;0.7435713
000507.txt;False;027682.txt;0.7080982
000508.txt;False;060162.txt;0.5515634
000509.txt;False;000505.txt;0.8069087
000510.txt;False;008500.txt;0.66363
000511.txt;True;000511.txt;0.8689071
000512.txt;False;000505.txt;0.7569609
000513.txt;True;000513.txt;0.8551197
000514.txt;True;000514.txt;0.6720276
000515.txt;False;000505.txt;0.8310318
000516.txt;True;000516.txt;0.80274844
000517.txt;True;000517.txt;0.7676742
000518.txt;True;000518.txt;0.7977583
000519.txt;True;000519.txt;0.7924532
000520.txt;False;000505.txt;0.7961855
000521.txt;False;000505.txt;0.8245684
000522.txt;False;015623.txt;0.6531753
000523.txt;True;000523.txt;0.7102614
000525.txt;True;000525.txt;0.8912554
000526.txt;True;000526.txt;0.8308565
000527.txt;True;000527.txt;0.6975848
000528.txt;True;000528.txt;0.70754236
000529.txt;False;049730.txt;0.62373817
000530.txt;False;018718.txt;0.68249214
000531.txt;True;000531.txt;0.8252836
000532.txt;True;000532.txt;0.7216541
000533.txt;True;000533.txt;0.80354035
000534.txt;False;045695.txt;0.784793
000535.txt;False;020389.txt;0.60566103
000537.txt;True;000537.txt;0.87902546
000538.txt;True;000538.txt;0.7525145
000539.txt;True;000539.txt;0.76523
000540.txt;False;000541.txt;0.8206139
000541.txt;True;000541.txt;0.89628196
000542.txt;True;000542.txt;0.9042072
000543.txt;True;000543.txt;0.8086293
000544.txt;True;000544.txt;0.7067033
000545.txt;True;000545.txt;0.7753199
000546.txt;True;000546.txt;0.8364053
000547.txt;True;000547.txt;0.7897537
000548.txt;True;000548.txt;0.8965602
000549.txt;False;000548.txt;0.7900196
000550.txt;True;000550.txt;0.93742025
000551.txt;True;000551.txt;0.8379045
000553.txt;True;000553.txt;0.91184473
000555.txt;True;000555.txt;0.85772413
000556.txt;True;000556.txt;0.8028252
000557.txt;True;000557.txt;0.7696034
000558.txt;True;000558.txt;0.871456
000559.txt;True;000559.txt;0.917675
000560.txt;True;000560.txt;0.8266399
000561.txt;True;000561.txt;0.63390744
000562.txt;True;000562.txt;0.8529976
000563.txt;False;040727.txt;0.7414828
000564.txt;True;000564.txt;0.7781726
000565.txt;True;000565.txt;0.7516924
000566.txt;False;025770.txt;0.71062
000567.txt;False;005722.txt;0.6963675
000568.txt;True;000568.txt;0.79614747
000569.txt;True;000569.txt;0.81472856
000570.txt;True;000570.txt;0.8324897
000571.txt;True;000571.txt;0.82692397
000572.txt;False;003880.txt;0.77377087
000573.txt;True;000573.txt;0.86174554
000574.txt;False;000573.txt;0.74154174
000575.txt;True;000575.txt;0.84692156
000576.txt;False;010770.txt;0.6583672
000577.txt;True;000577.txt;0.8341452
000578.txt;True;000578.txt;0.89176065
000579.txt;True;000579.txt;0.8267739
000580.txt;True;000580.txt;0.7426774
000581.txt;True;000581.txt;0.76883185
000582.txt;True;000582.txt;0.7685745
000583.txt;False;047399.txt;0.67672086
000584.txt;False;056456.txt;0.7668675
000585.txt;True;000585.txt;0.6749358
000586.txt;True;000586.txt;0.8279594
