query_file;found;search_result;search_distances
000000.txt;False;075274.txt;0.787765
000001.txt;True;000001.txt;0.8988755
000002.txt;False;007581.txt;0.88109314
000003.txt;True;000003.txt;0.86411273
000004.txt;True;000004.txt;0.8898908
000005.txt;False;078876.txt;0.8226229
000006.txt;False;032422.txt;0.8177515
000007.txt;False;032220.txt;0.77992386
000008.txt;False;078925.txt;0.8154266
000009.txt;True;000009.txt;0.8573667
000010.txt;True;000010.txt;0.8508841
000011.txt;True;000011.txt;0.8605752
000012.txt;True;000012.txt;0.8703196
000013.txt;True;000013.txt;0.87682533
000014.txt;True;000014.txt;0.88002807
000015.txt;True;000015.txt;0.88966197
000016.txt;False;000015.txt;0.840008
000017.txt;True;000017.txt;0.8563186
000018.txt;True;000018.txt;0.91209733
000019.txt;True;000019.txt;0.8536773
000020.txt;True;000020.txt;0.82895
000021.txt;True;000021.txt;0.898291
000022.txt;True;000022.txt;0.90066314
000023.txt;True;000023.txt;0.88634205
000024.txt;True;000024.txt;0.88650936
000025.txt;True;000025.txt;0.915373
000026.txt;True;000026.txt;0.86302674
000027.txt;True;000027.txt;0.92081213
000028.txt;True;000028.txt;0.91247356
000029.txt;True;000029.txt;0.91115606
000030.txt;True;000030.txt;0.87624466
000031.txt;True;000031.txt;0.87869096
000032.txt;True;000032.txt;0.8469792
000034.txt;True;000034.txt;0.81688064
000035.txt;True;000035.txt;0.7908735
000036.txt;True;000036.txt;0.8490315
000037.txt;True;000037.txt;0.91500306
000038.txt;True;000038.txt;0.92050636
000039.txt;True;000039.txt;0.9127398
000040.txt;True;000040.txt;0.9133037
000041.txt;True;000041.txt;0.9175759
000042.txt;True;000042.txt;0.9175886
000043.txt;True;000043.txt;0.9085797
000044.txt;False;010500.txt;0.8264754
000045.txt;True;000045.txt;0.8267207
000046.txt;False;075527.txt;0.82134116
000047.txt;False;075527.txt;0.850713
000048.txt;True;000048.txt;0.91055244
000049.txt;True;000049.txt;0.8708059
000050.txt;True;000050.txt;0.8701742
000051.txt;True;000051.txt;0.8135252
000052.txt;True;000052.txt;0.83890986
000053.txt;True;000053.txt;0.85084534
000054.txt;True;000054.txt;0.8231652
000055.txt;True;000055.txt;0.79147494
000056.txt;True;000056.txt;0.8313643
000057.txt;True;000057.txt;0.8531772
000058.txt;True;000058.txt;0.88883805
000059.txt;True;000059.txt;0.8353258
000060.txt;True;000060.txt;0.88101137
000061.txt;True;000061.txt;0.8463719
000062.txt;True;000062.txt;0.8604419
000063.txt;True;000063.txt;0.82914674
000064.txt;True;000064.txt;0.85212374
000065.txt;True;000065.txt;0.86228836
000066.txt;True;000066.txt;0.8552767
000067.txt;True;000067.txt;0.8534392
000068.txt;True;000068.txt;0.8520134
000069.txt;True;000069.txt;0.830555
000070.txt;True;000070.txt;0.83339185
000071.txt;False;008550.txt;0.8163928
000072.txt;True;000072.txt;0.90253186
000073.txt;True;000073.txt;0.84472317
000074.txt;False;053465.txt;0.7713959
000075.txt;True;000075.txt;0.8562166
000076.txt;False;028863.txt;0.8169207
000077.txt;True;000077.txt;0.8706631
000078.txt;True;000078.txt;0.8053764
000079.txt;True;000079.txt;0.8345041
000080.txt;True;000080.txt;0.8766755
000081.txt;True;000081.txt;0.8540338
000082.txt;True;000082.txt;0.8446269
000083.txt;True;000083.txt;0.80897325
000084.txt;True;000084.txt;0.8279462
000085.txt;True;000085.txt;0.84599644
000086.txt;True;000086.txt;0.8677174
000087.txt;True;000087.txt;0.854612
000088.txt;False;055768.txt;0.80910677
000089.txt;False;000088.txt;0.7895751
000090.txt;True;000090.txt;0.82555526
000091.txt;True;000091.txt;0.8685652
000092.txt;True;000092.txt;0.8412401
000093.txt;True;000093.txt;0.873961
000094.txt;True;000094.txt;0.7947494
000095.txt;True;000095.txt;0.8117259
000096.txt;True;000096.txt;0.8324439
000097.txt;True;000097.txt;0.7943895
000098.txt;True;000098.txt;0.893641
000099.txt;True;000099.txt;0.8188694
000100.txt;True;000100.txt;0.8434186
000101.txt;True;000101.txt;0.82397324
000102.txt;True;000102.txt;0.85229325
000103.txt;False;025675.txt;0.7917343
000104.txt;True;000104.txt;0.803864
000105.txt;True;000105.txt;0.8723322
000106.txt;True;000106.txt;0.85793805
000107.txt;True;000107.txt;0.8634099
000108.txt;True;000108.txt;0.91267276
000109.txt;True;000109.txt;0.9175391
000110.txt;True;000110.txt;0.8254235
000111.txt;True;000111.txt;0.8769483
000112.txt;False;028482.txt;0.7837265
000113.txt;True;000113.txt;0.858847
000114.txt;True;000114.txt;0.83775574
000115.txt;True;000115.txt;0.8414687
000116.txt;False;075129.txt;0.82359374
000117.txt;True;000117.txt;0.81914544
000118.txt;False;000120.txt;0.88717204
000119.txt;True;000119.txt;0.7849793
000120.txt;True;000120.txt;0.92805827
000121.txt;True;000121.txt;0.92070824
000122.txt;False;011114.txt;0.76626086
000123.txt;True;000123.txt;0.8566294
000124.txt;True;000124.txt;0.86085147
000126.txt;True;000126.txt;0.81627953
000127.txt;True;000127.txt;0.82385737
000128.txt;True;000128.txt;0.8762944
000129.txt;False;000112.txt;0.7793393
000130.txt;True;000130.txt;0.82456315
000131.txt;True;000131.txt;0.8198967
000132.txt;True;000132.txt;0.8341466
000133.txt;True;000133.txt;0.8319517
000134.txt;False;012897.txt;0.78219783
000135.txt;True;000135.txt;0.8789684
000136.txt;True;000136.txt;0.9119457
000137.txt;True;000137.txt;0.81091654
000138.txt;True;000138.txt;0.86511695
000139.txt;False;035877.txt;0.7811437
000140.txt;True;000140.txt;0.8747302
000141.txt;True;000141.txt;0.8084051
000142.txt;False;078095.txt;0.8365561
000143.txt;True;000143.txt;0.8036754
000144.txt;True;000144.txt;0.8178311
000145.txt;False;002447.txt;0.8246397
000146.txt;False;042891.txt;0.79339874
000147.txt;True;000147.txt;0.79485065
000148.txt;False;057344.txt;0.7998328
000149.txt;True;000149.txt;0.8795285
000150.txt;True;000150.txt;0.81283617
000151.txt;True;000151.txt;0.7831278
000152.txt;True;000152.txt;0.79590964
000153.txt;True;000153.txt;0.8805925
000154.txt;False;069306.txt;0.81072176
