query_file;found;search_result;search_distances
000000.txt;False;007739.txt;0.8111602
000001.txt;True;000001.txt;0.87692857
000002.txt;True;000002.txt;0.87402636
000003.txt;True;000003.txt;0.8707676
000004.txt;True;000004.txt;0.9049564
000005.txt;False;058488.txt;0.8297622
000006.txt;True;000006.txt;0.8295224
000007.txt;True;000007.txt;0.81344235
000008.txt;False;036119.txt;0.8146324
000009.txt;True;000009.txt;0.8777839
000010.txt;True;000010.txt;0.8826698
000011.txt;True;000011.txt;0.88661
000012.txt;True;000012.txt;0.9015878
000013.txt;True;000013.txt;0.89758724
000014.txt;True;000014.txt;0.9074825
000015.txt;True;000015.txt;0.88772184
000016.txt;True;000016.txt;0.86201566
000017.txt;True;000017.txt;0.87385416
000018.txt;True;000018.txt;0.8917717
000019.txt;False;072796.txt;0.84821546
000020.txt;True;000020.txt;0.828302
000021.txt;True;000021.txt;0.8980055
000022.txt;True;000022.txt;0.9059025
000023.txt;True;000023.txt;0.89831567
000024.txt;True;000024.txt;0.8835046
000025.txt;True;000025.txt;0.9021362
000026.txt;True;000026.txt;0.88717073
000027.txt;True;000027.txt;0.91443163
000028.txt;True;000028.txt;0.9098002
000029.txt;True;000029.txt;0.9075554
000030.txt;True;000030.txt;0.86690784
000031.txt;True;000031.txt;0.8827473
000032.txt;True;000032.txt;0.86787236
000034.txt;True;000034.txt;0.8447685
000035.txt;False;029127.txt;0.81879187
000036.txt;True;000036.txt;0.8475885
000037.txt;True;000037.txt;0.9096013
000038.txt;True;000038.txt;0.91935724
000039.txt;True;000039.txt;0.9013041
000040.txt;True;000040.txt;0.90703833
000041.txt;True;000041.txt;0.9083947
000042.txt;True;000042.txt;0.9141351
000043.txt;True;000043.txt;0.9045634
000044.txt;False;010500.txt;0.83548635
000045.txt;False;078368.txt;0.83521837
000046.txt;False;075527.txt;0.85841745
000047.txt;False;075527.txt;0.85568607
000048.txt;True;000048.txt;0.9194387
000049.txt;True;000049.txt;0.90337205
000050.txt;False;006828.txt;0.85839784
000051.txt;False;075527.txt;0.8334916
000052.txt;False;075527.txt;0.8364245
000053.txt;True;000053.txt;0.8649541
000054.txt;True;000054.txt;0.85662377
000055.txt;False;049045.txt;0.7959509
000056.txt;True;000056.txt;0.8529897
000057.txt;True;000057.txt;0.8606023
000058.txt;True;000058.txt;0.89651567
000059.txt;True;000059.txt;0.825421
000060.txt;True;000060.txt;0.8737463
000061.txt;True;000061.txt;0.8602252
000062.txt;True;000062.txt;0.849167
000063.txt;True;000063.txt;0.83983266
000064.txt;True;000064.txt;0.8554018
000065.txt;True;000065.txt;0.83583367
000066.txt;True;000066.txt;0.8476034
000067.txt;True;000067.txt;0.8725215
000068.txt;True;000068.txt;0.86078995
000069.txt;True;000069.txt;0.84990156
000070.txt;True;000070.txt;0.83441424
000071.txt;False;008550.txt;0.82628924
000072.txt;True;000072.txt;0.91863286
000073.txt;True;000073.txt;0.8200268
000074.txt;False;008794.txt;0.7871716
000075.txt;True;000075.txt;0.85249496
000076.txt;False;062557.txt;0.8388567
000077.txt;True;000077.txt;0.8772088
000078.txt;True;000078.txt;0.8370049
000079.txt;True;000079.txt;0.8508198
000080.txt;True;000080.txt;0.8685168
000081.txt;True;000081.txt;0.85841596
000082.txt;True;000082.txt;0.8693261
000083.txt;True;000083.txt;0.8221398
000084.txt;True;000084.txt;0.85576546
000085.txt;True;000085.txt;0.87600446
000086.txt;True;000086.txt;0.8929553
000087.txt;True;000087.txt;0.84725857
000088.txt;False;034459.txt;0.8244477
000089.txt;False;072828.txt;0.81756157
000090.txt;True;000090.txt;0.8218456
000091.txt;True;000091.txt;0.87917817
000092.txt;False;029521.txt;0.83595
000093.txt;True;000093.txt;0.9011458
000094.txt;False;019647.txt;0.8088556
000095.txt;True;000095.txt;0.8363142
000096.txt;False;068687.txt;0.8062258
000097.txt;True;000097.txt;0.8216648
000098.txt;True;000098.txt;0.88978404
000099.txt;True;000099.txt;0.8291346
000100.txt;True;000100.txt;0.84500194
000101.txt;False;015745.txt;0.82545745
000102.txt;True;000102.txt;0.8461431
000103.txt;False;041847.txt;0.8374369
000104.txt;False;004931.txt;0.83146584
000105.txt;True;000105.txt;0.87088007
000106.txt;True;000106.txt;0.85166407
000107.txt;True;000107.txt;0.85251796
000108.txt;True;000108.txt;0.903691
000109.txt;True;000109.txt;0.91165257
000110.txt;True;000110.txt;0.8274243
000111.txt;True;000111.txt;0.8884605
000112.txt;False;000129.txt;0.8146318
000113.txt;True;000113.txt;0.8799476
000114.txt;True;000114.txt;0.8609867
000115.txt;True;000115.txt;0.8233708
000116.txt;False;075129.txt;0.8259054
000117.txt;True;000117.txt;0.8255368
000118.txt;True;000118.txt;0.87870497
000119.txt;False;022183.txt;0.8180468
000120.txt;True;000120.txt;0.9276287
000121.txt;True;000121.txt;0.9027083
000122.txt;False;045698.txt;0.78328395
000123.txt;True;000123.txt;0.8404417
000124.txt;True;000124.txt;0.87769544
000126.txt;True;000126.txt;0.8480967
000127.txt;True;000127.txt;0.83703434
000128.txt;True;000128.txt;0.86479497
000129.txt;False;061932.txt;0.80974597
000130.txt;True;000130.txt;0.8362534
000131.txt;False;075527.txt;0.82483506
000132.txt;False;075527.txt;0.8258655
000133.txt;False;075527.txt;0.847234
000134.txt;False;074427.txt;0.7952349
000135.txt;True;000135.txt;0.8847439
000136.txt;True;000136.txt;0.9095303
000137.txt;True;000137.txt;0.82615805
000138.txt;True;000138.txt;0.8685833
000139.txt;False;041094.txt;0.80394816
000140.txt;True;000140.txt;0.8913529
000141.txt;False;010506.txt;0.8145012
000142.txt;True;000142.txt;0.8271588
000143.txt;False;003005.txt;0.8131555
000144.txt;True;000144.txt;0.82353544
000145.txt;True;000145.txt;0.81060135
000146.txt;False;042891.txt;0.79591966
000147.txt;True;000147.txt;0.79347533
000148.txt;False;025467.txt;0.8201759
000149.txt;True;000149.txt;0.8625089
000150.txt;False;073368.txt;0.834285
000151.txt;False;015077.txt;0.795171
000152.txt;True;000152.txt;0.8206157
000153.txt;True;000153.txt;0.89860713
000154.txt;False;063668.txt;0.8120924
000155.txt;True;000155.txt;0.82602924
000156.txt;True;000156.txt;0.8353324
000157.txt;True;000157.txt;0.865037
000158.txt;False;000511.txt;0.83925796
000159.txt;False;000157.txt;0.83804595
000160.txt;False;001824.txt;0.85446906
000161.txt;True;000161.txt;0.84161246
000162.txt;False;076977.txt;0.80942047
000163.txt;True;000163.txt;0.83017266
000164.txt;True;000164.txt;0.8532363
000165.txt;True;000165.txt;0.8647898
000166.txt;True;000166.txt;0.88910997
000167.txt;True;000167.txt;0.8462604
000168.txt;True;000168.txt;0.800842
000169.txt;True;000169.txt;0.87296945
000170.txt;True;000170.txt;0.8746586
000171.txt;True;000171.txt;0.86376727
000172.txt;True;000172.txt;0.8228653
000173.txt;True;000173.txt;0.8375346
000174.txt;True;000174.txt;0.86095786
000175.txt;False;057601.txt;0.8043499
000176.txt;True;000176.txt;0.9045329
000177.txt;False;051189.txt;0.8003907
000178.txt;False;063654.txt;0.85472965
000179.txt;True;000179.txt;0.8660213
000180.txt;True;000180.txt;0.82966214
000181.txt;True;000181.txt;0.88088346
000182.txt;True;000182.txt;0.8805971
000183.txt;True;000183.txt;0.8978095
000184.txt;True;000184.txt;0.839702
000185.txt;True;000185.txt;0.87324905
000186.txt;False;054301.txt;0.794991
000187.txt;False;075527.txt;0.8652849
000188.txt;True;000188.txt;0.86327064
000189.txt;True;000189.txt;0.8339497
000190.txt;False;075527.txt;0.8440542
000191.txt;True;000191.txt;0.8985071
000192.txt;True;000192.txt;0.84467643
000193.txt;True;000193.txt;0.85886574
000194.txt;True;000194.txt;0.8247496
000195.txt;False;006972.txt;0.83057404
000196.txt;True;000196.txt;0.81060195
000197.txt;False;050097.txt;0.79661405
000198.txt;True;000198.txt;0.8152815
000199.txt;True;000199.txt;0.8781271
000200.txt;True;000200.txt;0.8571806
000201.txt;True;000201.txt;0.81961507
000202.txt;True;000202.txt;0.85310936
000203.txt;True;000203.txt;0.866758
000204.txt;False;078785.txt;0.88904965
000205.txt;True;000205.txt;0.8777889
000206.txt;True;000206.txt;0.8850186
000207.txt;False;075275.txt;0.79423445
000208.txt;False;035968.txt;0.80375755
000209.txt;False;072794.txt;0.79413795
000210.txt;True;000210.txt;0.87781453
000211.txt;False;004750.txt;0.8109628
000212.txt;True;000212.txt;0.8560227
000213.txt;True;000213.txt;0.8606179
000214.txt;True;000214.txt;0.9270812
000215.txt;True;000215.txt;0.8504909
000216.txt;False;007895.txt;0.78669
000217.txt;True;000217.txt;0.8743161
000219.txt;True;000219.txt;0.8310317
000220.txt;False;078947.txt;0.83043015
000221.txt;True;000221.txt;0.8887978
000222.txt;False;010069.txt;0.80731535
000223.txt;False;009321.txt;0.7763154
000224.txt;True;000224.txt;0.812121
000225.txt;True;000225.txt;0.87955314
000226.txt;True;000226.txt;0.8259811
000227.txt;True;000227.txt;0.8808874
000228.txt;True;000228.txt;0.8647864
000229.txt;False;007658.txt;0.78676677
000230.txt;False;035344.txt;0.8227483
000231.txt;False;024047.txt;0.80793476
000232.txt;False;001949.txt;0.7810025
000233.txt;True;000233.txt;0.8425937
000234.txt;False;050195.txt;0.7974036
000235.txt;True;000235.txt;0.839532
000236.txt;False;075527.txt;0.83496344
000237.txt;True;000237.txt;0.8262951
000238.txt;True;000238.txt;0.89485955
000239.txt;False;042172.txt;0.80193806
000240.txt;False;041789.txt;0.81206924
000241.txt;True;000241.txt;0.9050863
000242.txt;False;064588.txt;0.79383475
000243.txt;True;000243.txt;0.8831396
000244.txt;True;000244.txt;0.8308015
000245.txt;True;000245.txt;0.8830005
000246.txt;True;000246.txt;0.846154
000247.txt;True;000247.txt;0.8395872
000248.txt;True;000248.txt;0.8339687
000249.txt;True;000249.txt;0.9065701
000250.txt;True;000250.txt;0.8696059
000251.txt;True;000251.txt;0.874492
000252.txt;True;000252.txt;0.89751875
000253.txt;True;000253.txt;0.8465229
000254.txt;True;000254.txt;0.8866699
000255.txt;True;000255.txt;0.8771447
000256.txt;True;000256.txt;0.8487181
000257.txt;True;000257.txt;0.85397863
000258.txt;True;000258.txt;0.8049638
000259.txt;False;003752.txt;0.8377856
000260.txt;False;003752.txt;0.8352564
000261.txt;True;000261.txt;0.8034295
000262.txt;True;000262.txt;0.91050535
000263.txt;False;051950.txt;0.80945563
000264.txt;False;000447.txt;0.8393435
000265.txt;True;000265.txt;0.8612845
000266.txt;False;051950.txt;0.80507743
000267.txt;True;000267.txt;0.85323465
000268.txt;True;000268.txt;0.83359295
000269.txt;True;000269.txt;0.87229395
000270.txt;True;000270.txt;0.8662774
000271.txt;True;000271.txt;0.8457193
000272.txt;False;075527.txt;0.8519516
000273.txt;False;075527.txt;0.84800255
000274.txt;False;075527.txt;0.8469343
000275.txt;True;000275.txt;0.89264774
000276.txt;True;000276.txt;0.8378447
000277.txt;True;000277.txt;0.90218425
000278.txt;True;000278.txt;0.8331393
000279.txt;True;000279.txt;0.84768915
000280.txt;False;075527.txt;0.8450835
000281.txt;False;000028.txt;0.84596324
000282.txt;False;075527.txt;0.83761334
000283.txt;True;000283.txt;0.82180655
000284.txt;False;078799.txt;0.8436091
000285.txt;True;000285.txt;0.85963464
000286.txt;False;075527.txt;0.83175075
000287.txt;False;075527.txt;0.8546729
000288.txt;True;000288.txt;0.85804695
000289.txt;True;000289.txt;0.82320875
000290.txt;False;056567.txt;0.82711375
000291.txt;False;076226.txt;0.82857436
000292.txt;True;000292.txt;0.8161942
000293.txt;True;000293.txt;0.8616921
000294.txt;False;004557.txt;0.80102926
000295.txt;True;000295.txt;0.8615539
000296.txt;False;015953.txt;0.79726523
000297.txt;False;059186.txt;0.8007289
000298.txt;False;021485.txt;0.81943953
000299.txt;True;000299.txt;0.88934886
000300.txt;True;000300.txt;0.88114583
000301.txt;True;000301.txt;0.885121
000302.txt;True;000302.txt;0.86425465
000303.txt;True;000303.txt;0.847942
000304.txt;True;000304.txt;0.81134367
000305.txt;True;000305.txt;0.8820847
000306.txt;True;000306.txt;0.8370588
000308.txt;True;000308.txt;0.8840252
000309.txt;False;006915.txt;0.8553734
000310.txt;True;000310.txt;0.8621204
000311.txt;True;000311.txt;0.83056724
000312.txt;True;000312.txt;0.9281665
000313.txt;True;000313.txt;0.86785686
000314.txt;True;000314.txt;0.87272495
000315.txt;True;000315.txt;0.87939715
000316.txt;True;000316.txt;0.87260747
000317.txt;True;000317.txt;0.8808215
000318.txt;True;000318.txt;0.8528583
000319.txt;True;000319.txt;0.8504845
000320.txt;True;000320.txt;0.8878907
000321.txt;True;000321.txt;0.87411964
000322.txt;False;033069.txt;0.86393595
000323.txt;True;000323.txt;0.82022226
000324.txt;True;000324.txt;0.88701594
000325.txt;False;056911.txt;0.88820416
000326.txt;False;052518.txt;0.8309281
000327.txt;True;000327.txt;0.8661636
000328.txt;True;000328.txt;0.87251043
000329.txt;True;000329.txt;0.8814762
000330.txt;True;000330.txt;0.82569444
000331.txt;True;000331.txt;0.8375647
000332.txt;True;000332.txt;0.81610066
000333.txt;True;000333.txt;0.8679358
000334.txt;True;000334.txt;0.8797202
000335.txt;True;000335.txt;0.8711682
000336.txt;False;020025.txt;0.80504155
000337.txt;True;000337.txt;0.8569958
000338.txt;True;000338.txt;0.85080063
000339.txt;False;011584.txt;0.84238577
000341.txt;False;066371.txt;0.808223
000342.txt;True;000342.txt;0.84592474
000343.txt;False;056667.txt;0.80539805
000344.txt;True;000344.txt;0.83662164
000345.txt;True;000345.txt;0.8318726
000346.txt;True;000346.txt;0.8897337
000347.txt;True;000347.txt;0.8841185
000348.txt;True;000348.txt;0.844649
000349.txt;True;000349.txt;0.7944278
000350.txt;False;078361.txt;0.85986954
000351.txt;True;000351.txt;0.8468417
000352.txt;False;008125.txt;0.8104731
000353.txt;True;000353.txt;0.8745731
000354.txt;False;068687.txt;0.81903505
000355.txt;True;000355.txt;0.86106515
000356.txt;False;034730.txt;0.8016169
000357.txt;True;000357.txt;0.88113564
000358.txt;False;078508.txt;0.8571255
000359.txt;False;068247.txt;0.8107266
000360.txt;True;000360.txt;0.89149344
000361.txt;False;074427.txt;0.8104817
000362.txt;True;000362.txt;0.8725289
000363.txt;True;000363.txt;0.80362505
000364.txt;True;000364.txt;0.8995888
000366.txt;True;000366.txt;0.85399806
000367.txt;True;000367.txt;0.84678805
000368.txt;True;000368.txt;0.8759987
000369.txt;True;000369.txt;0.8349575
000370.txt;True;000370.txt;0.8647804
000371.txt;True;000371.txt;0.89059925
000372.txt;True;000372.txt;0.86018574
000373.txt;True;000373.txt;0.86350787
000374.txt;True;000374.txt;0.83652145
000375.txt;True;000375.txt;0.86487937
000376.txt;True;000376.txt;0.88034296
000377.txt;False;008525.txt;0.8052089
000378.txt;True;000378.txt;0.8371866
000379.txt;True;000379.txt;0.8261584
000380.txt;True;000380.txt;0.8545872
000381.txt;False;017058.txt;0.8724477
000382.txt;True;000382.txt;0.85667473
000383.txt;True;000383.txt;0.8570641
000384.txt;False;006946.txt;0.84578973
000385.txt;True;000385.txt;0.85305357
000386.txt;True;000386.txt;0.8686545
000387.txt;True;000387.txt;0.8235922
000388.txt;True;000388.txt;0.8326105
000389.txt;True;000389.txt;0.82488894
000390.txt;True;000390.txt;0.87746114
000391.txt;True;000391.txt;0.88713354
000392.txt;True;000392.txt;0.84350735
000393.txt;True;000393.txt;0.85372066
000394.txt;False;044827.txt;0.8142426
000395.txt;True;000395.txt;0.826193
000396.txt;True;000396.txt;0.9020458
000397.txt;True;000397.txt;0.81661546
000398.txt;True;000398.txt;0.8259707
000399.txt;True;000399.txt;0.8873453
000400.txt;True;000400.txt;0.839841
000401.txt;True;000401.txt;0.8725888
000402.txt;True;000402.txt;0.8654844
000403.txt;True;000403.txt;0.8567726
000404.txt;True;000404.txt;0.85301274
000405.txt;True;000405.txt;0.8535166
000406.txt;False;042315.txt;0.8229575
000407.txt;False;024047.txt;0.801903
000408.txt;True;000408.txt;0.8106599
000409.txt;True;000409.txt;0.8464025
000410.txt;True;000410.txt;0.8792758
000411.txt;False;057751.txt;0.7884497
000412.txt;True;000412.txt;0.8577925
000413.txt;True;000413.txt;0.8662855
000414.txt;True;000414.txt;0.87426114
000415.txt;True;000415.txt;0.89327055
000416.txt;True;000416.txt;0.87673116
000417.txt;True;000417.txt;0.864791
000418.txt;True;000418.txt;0.82905954
000419.txt;False;011968.txt;0.8079196
000420.txt;False;069304.txt;0.80992645
000421.txt;True;000421.txt;0.9047471
000422.txt;False;074339.txt;0.7956673
000423.txt;True;000423.txt;0.85402495
000424.txt;True;000424.txt;0.86002225
000425.txt;False;000839.txt;0.8217443
000426.txt;True;000426.txt;0.8626318
000427.txt;False;029101.txt;0.8516407
000428.txt;True;000428.txt;0.83805835
000429.txt;True;000429.txt;0.8676276
000430.txt;False;000169.txt;0.83518404
000431.txt;True;000431.txt;0.9403124
000432.txt;True;000432.txt;0.8117567
000433.txt;True;000433.txt;0.88934886
000434.txt;True;000434.txt;0.83026385
000435.txt;True;000435.txt;0.85974944
000436.txt;True;000436.txt;0.908361
000437.txt;True;000437.txt;0.8242137
000438.txt;True;000438.txt;0.816526
000439.txt;False;050331.txt;0.80975723
000440.txt;True;000440.txt;0.82844496
000441.txt;True;000441.txt;0.86965895
000442.txt;True;000442.txt;0.8318574
000443.txt;True;000443.txt;0.85266733
000444.txt;True;000444.txt;0.8876644
000445.txt;True;000445.txt;0.8682718
000446.txt;True;000446.txt;0.86521375
000447.txt;True;000447.txt;0.8676066
000448.txt;False;032553.txt;0.8085366
000449.txt;True;000449.txt;0.8261337
000450.txt;False;075236.txt;0.8579893
000453.txt;False;052586.txt;0.87589276
000454.txt;False;000169.txt;0.8182838
000455.txt;False;065290.txt;0.82102275
000456.txt;True;000456.txt;0.8828225
000457.txt;True;000457.txt;0.8117604
000458.txt;True;000458.txt;0.84994423
000459.txt;True;000459.txt;0.8829871
000461.txt;True;000461.txt;0.9060867
000462.txt;False;076159.txt;0.79042614
000463.txt;True;000463.txt;0.86254835
000464.txt;False;012012.txt;0.81290627
000465.txt;True;000465.txt;0.8472967
000466.txt;True;000466.txt;0.8722157
000467.txt;False;000348.txt;0.81062794
000468.txt;True;000468.txt;0.8339898
000469.txt;True;000469.txt;0.87108207
000470.txt;True;000470.txt;0.822415
000471.txt;True;000471.txt;0.88083655
000472.txt;True;000472.txt;0.8389596
000473.txt;True;000473.txt;0.8464344
000474.txt;True;000474.txt;0.83766615
000475.txt;True;000475.txt;0.9033268
000476.txt;True;000476.txt;0.897743
000477.txt;False;024937.txt;0.8009366
000478.txt;True;000478.txt;0.8610426
000479.txt;True;000479.txt;0.89933246
000480.txt;False;050195.txt;0.8514872
000481.txt;True;000481.txt;0.86260927
000482.txt;True;000482.txt;0.8251238
000483.txt;False;012991.txt;0.8158994
000485.txt;True;000485.txt;0.8489745
000486.txt;True;000486.txt;0.85301495
000487.txt;False;018230.txt;0.8426982
000488.txt;False;076668.txt;0.8520249
000490.txt;False;000486.txt;0.84986407
000491.txt;True;000491.txt;0.83382547
000492.txt;False;031909.txt;0.79893845
000493.txt;False;076321.txt;0.87204254
000494.txt;False;005405.txt;0.7911303
000495.txt;False;013290.txt;0.8635221
000496.txt;True;000496.txt;0.82864547
000497.txt;True;000497.txt;0.83190036
000498.txt;False;029189.txt;0.82516456
000499.txt;True;000499.txt;0.8964019
000500.txt;True;000500.txt;0.8364413
000501.txt;False;000446.txt;0.8264432
000502.txt;True;000502.txt;0.88872546
000503.txt;True;000503.txt;0.8465306
000504.txt;True;000504.txt;0.8286675
000505.txt;True;000505.txt;0.8757655
000506.txt;True;000506.txt;0.8828099
000507.txt;True;000507.txt;0.8179456
000508.txt;True;000508.txt;0.82541883
000509.txt;False;000505.txt;0.8639152
000510.txt;False;031890.txt;0.8481688
000511.txt;True;000511.txt;0.8956921
000512.txt;False;000505.txt;0.86333346
000513.txt;True;000513.txt;0.86771405
000514.txt;True;000514.txt;0.8243889
000515.txt;False;000505.txt;0.8658229
000516.txt;False;008655.txt;0.82486093
000517.txt;False;074601.txt;0.81146514
000518.txt;True;000518.txt;0.9163237
000519.txt;True;000519.txt;0.90009356
000520.txt;False;000505.txt;0.87231857
000521.txt;True;000521.txt;0.85923505
000522.txt;True;000522.txt;0.8595779
000523.txt;True;000523.txt;0.81220746
000525.txt;True;000525.txt;0.8452774
000526.txt;False;029666.txt;0.8334589
000527.txt;True;000527.txt;0.8296615
000528.txt;True;000528.txt;0.8193041
000529.txt;False;061349.txt;0.8209767
000530.txt;True;000530.txt;0.8626688
000531.txt;True;000531.txt;0.80542135
000532.txt;True;000532.txt;0.8068455
000533.txt;True;000533.txt;0.857712
000534.txt;False;025602.txt;0.883407
000535.txt;False;078061.txt;0.81171536
000537.txt;True;000537.txt;0.8471714
000538.txt;True;000538.txt;0.844463
000539.txt;True;000539.txt;0.83491975
000540.txt;False;000541.txt;0.80827963
000541.txt;False;042124.txt;0.8182353
000542.txt;True;000542.txt;0.8784726
000543.txt;True;000543.txt;0.8631344
000544.txt;False;076724.txt;0.79040766
000545.txt;True;000545.txt;0.8525622
000546.txt;True;000546.txt;0.85230327
000547.txt;True;000547.txt;0.8520032
000548.txt;False;039625.txt;0.8096761
000549.txt;True;000549.txt;0.81189036
000550.txt;True;000550.txt;0.8572995
000551.txt;True;000551.txt;0.8473629
000553.txt;True;000553.txt;0.86326486
000555.txt;True;000555.txt;0.85932624
000556.txt;False;028100.txt;0.8260193
000557.txt;False;025934.txt;0.82617116
000558.txt;True;000558.txt;0.82688046
000559.txt;True;000559.txt;0.86732554
000560.txt;True;000560.txt;0.8881875
000561.txt;True;000561.txt;0.82838655
000562.txt;True;000562.txt;0.882252
000563.txt;True;000563.txt;0.8790897
000564.txt;False;076785.txt;0.81891537
000565.txt;True;000565.txt;0.8257837
000566.txt;True;000566.txt;0.8340606
000567.txt;False;009205.txt;0.85732126
000568.txt;True;000568.txt;0.8291664
000569.txt;True;000569.txt;0.852198
000570.txt;True;000570.txt;0.7979333
000571.txt;True;000571.txt;0.8390504
000572.txt;False;027807.txt;0.8075873
000573.txt;True;000573.txt;0.8576764
000574.txt;True;000574.txt;0.85314596
000575.txt;True;000575.txt;0.8437216
000576.txt;False;023637.txt;0.79796517
000577.txt;True;000577.txt;0.8584968
000578.txt;True;000578.txt;0.85436666
000579.txt;True;000579.txt;0.8339319
000580.txt;True;000580.txt;0.8489902
000581.txt;True;000581.txt;0.8692899
000582.txt;True;000582.txt;0.8301844
000583.txt;False;049070.txt;0.80669117
000584.txt;False;051568.txt;0.86588526
000585.txt;False;044827.txt;0.81493664
000586.txt;True;000586.txt;0.87464863
000587.txt;False;050715.txt;0.8049996
000588.txt;True;000588.txt;0.88219774
000589.txt;True;000589.txt;0.86954945
000590.txt;True;000590.txt;0.84727645
000591.txt;False;050294.txt;0.8099859
000592.txt;True;000592.txt;0.8362018
000593.txt;True;000593.txt;0.7982216
000594.txt;True;000594.txt;0.8376431
000595.txt;True;000595.txt;0.83333045
000596.txt;True;000596.txt;0.85155106
000597.txt;True;000597.txt;0.84929204
000598.txt;False;017579.txt;0.83075255
000599.txt;True;000599.txt;0.835817
000600.txt;False;023107.txt;0.8118911
000601.txt;True;000601.txt;0.9154124
000602.txt;True;000602.txt;0.8766354
000603.txt;False;052238.txt;0.79576826
000604.txt;False;002657.txt;0.80054307
000605.txt;False;037090.txt;0.7821565
000606.txt;True;000606.txt;0.8642702
000607.txt;False;052375.txt;0.82500297
000608.txt;True;000608.txt;0.8386196
000609.txt;True;000609.txt;0.9093714
000610.txt;True;000610.txt;0.887758
000611.txt;True;000611.txt;0.8818879
000612.txt;True;000612.txt;0.8538995
000613.txt;True;000613.txt;0.90715766
000614.txt;True;000614.txt;0.8688476
000615.txt;True;000615.txt;0.8829966
000616.txt;True;000616.txt;0.90744364
000617.txt;True;000617.txt;0.876567
000618.txt;False;031642.txt;0.8309036
000619.txt;True;000619.txt;0.86574125
000620.txt;True;000620.txt;0.83603275
000621.txt;False;000751.txt;0.83890545
000622.txt;True;000622.txt;0.8385794
000623.txt;True;000623.txt;0.8317866
000624.txt;True;000624.txt;0.8562411
000625.txt;True;000625.txt;0.8251387
000626.txt;True;000626.txt;0.8441091
000627.txt;True;000627.txt;0.8616086
000628.txt;False;004911.txt;0.8220484
000629.txt;True;000629.txt;0.80313075
000630.txt;True;000630.txt;0.8651832
000631.txt;True;000631.txt;0.82625806
000632.txt;True;000632.txt;0.83349353
000633.txt;False;048128.txt;0.8136343
000634.txt;True;000634.txt;0.8429412
000635.txt;True;000635.txt;0.8249028
000636.txt;True;000636.txt;0.8609455
000637.txt;True;000637.txt;0.80970836
000638.txt;True;000638.txt;0.8496817
000639.txt;False;031734.txt;0.80863935
