query_file;found;search_result;search_distances
000000.txt;False;039468.txt;0.6926921
000001.txt;True;000001.txt;1.0539638
000002.txt;True;000002.txt;1.0467315
000003.txt;False;044744.txt;0.7875894
000004.txt;True;000004.txt;1.0353997
000005.txt;False;040566.txt;0.8420882
000006.txt;False;032051.txt;1.0781358
000007.txt;True;000007.txt;0.65456665
000008.txt;True;000008.txt;0.73687106
000009.txt;False;009952.txt;0.9021175
000010.txt;True;000010.txt;0.70337516
000011.txt;False;001399.txt;0.8962989
000012.txt;True;000012.txt;0.81297123
000013.txt;False;001383.txt;0.79483664
000014.txt;False;001406.txt;0.7571296
000015.txt;True;000015.txt;0.90803355
000016.txt;False;001406.txt;0.8278677
000017.txt;False;001364.txt;1.1867901
000018.txt;True;000018.txt;0.9526081
000019.txt;True;000019.txt;0.62737024
000020.txt;True;000020.txt;0.6776636
000021.txt;False;078678.txt;0.7624897
000022.txt;True;000022.txt;0.84580857
000023.txt;False;000025.txt;0.8587823
000024.txt;True;000024.txt;0.65261865
000025.txt;True;000025.txt;0.65092397
000026.txt;True;000026.txt;0.5314926
000027.txt;True;000027.txt;0.6836615
000028.txt;True;000028.txt;0.703087
000029.txt;True;000029.txt;0.6945847
000030.txt;False;076862.txt;0.59641224
000031.txt;False;016297.txt;0.6962904
000032.txt;True;000032.txt;0.80964684
000034.txt;True;000034.txt;0.59754956
000035.txt;False;043662.txt;0.82718503
000036.txt;False;048078.txt;0.76666284
000037.txt;True;000037.txt;0.7221956
000038.txt;True;000038.txt;0.7066933
000039.txt;True;000039.txt;0.6987575
000040.txt;True;000040.txt;0.71094394
000041.txt;True;000041.txt;0.7062877
000042.txt;True;000042.txt;0.70513326
000043.txt;True;000043.txt;0.69753116
000044.txt;False;001368.txt;0.82983446
000045.txt;True;000045.txt;0.8455123
000046.txt;False;000282.txt;0.81231034
000047.txt;False;000282.txt;0.71567005
000048.txt;True;000048.txt;0.6469291
000049.txt;False;038121.txt;0.72507346
000050.txt;False;015410.txt;0.6985512
000051.txt;False;000236.txt;0.77756596
000052.txt;False;000282.txt;0.8849143
000053.txt;False;005658.txt;0.6750076
000054.txt;True;000054.txt;0.6800008
000055.txt;False;007960.txt;1.0364257
000056.txt;False;066636.txt;0.758115
000057.txt;False;053674.txt;0.67255783
000058.txt;False;064545.txt;0.6442689
000059.txt;False;005860.txt;0.569353
000060.txt;False;053674.txt;0.70410943
000061.txt;False;030462.txt;1.0714911
000062.txt;True;000062.txt;0.51555717
000063.txt;True;000063.txt;0.63100624
000064.txt;False;005658.txt;0.66955996
000065.txt;True;000065.txt;0.6211486
000066.txt;False;070969.txt;1.0214581
000067.txt;True;000067.txt;0.5013876
000068.txt;True;000068.txt;0.60955894
000069.txt;True;000069.txt;0.7012585
000070.txt;False;031452.txt;0.7005086
000071.txt;False;003584.txt;0.59393114
000072.txt;False;053947.txt;0.6191228
000073.txt;True;000073.txt;0.72286457
000074.txt;False;053465.txt;0.65952444
000075.txt;True;000075.txt;0.51422065
000076.txt;True;000076.txt;0.98714733
000077.txt;True;000077.txt;1.0817409
000078.txt;False;026522.txt;0.6942245
000079.txt;False;074253.txt;0.7565101
000080.txt;False;015393.txt;0.8207445
000081.txt;False;071788.txt;0.95205307
