query_file;found;search_result;search_distances
000000.txt;False;055457.txt;0.83498216
000001.txt;True;000001.txt;0.8760917
000002.txt;True;000002.txt;0.87529695
000003.txt;False;077552.txt;0.85832167
000004.txt;True;000004.txt;0.8579538
000005.txt;False;002663.txt;0.8536054
000006.txt;True;000006.txt;0.842316
000007.txt;False;001341.txt;0.8298511
000008.txt;True;000008.txt;0.8488096
000009.txt;False;041594.txt;0.8272682
000010.txt;True;000010.txt;0.90365344
000011.txt;True;000011.txt;0.8757773
000012.txt;True;000012.txt;0.87651026
000013.txt;True;000013.txt;0.8978809
000014.txt;True;000014.txt;0.8764522
000015.txt;True;000015.txt;0.9043433
000016.txt;False;000015.txt;0.86433655
000017.txt;True;000017.txt;0.8602299
000018.txt;True;000018.txt;0.8584838
000019.txt;False;009754.txt;0.8693061
000020.txt;True;000020.txt;0.8404715
000021.txt;True;000021.txt;0.8967628
000022.txt;True;000022.txt;0.9092479
000023.txt;True;000023.txt;0.89002955
000024.txt;False;076862.txt;0.87215483
000025.txt;True;000025.txt;0.9122243
000026.txt;True;000026.txt;0.88649523
000027.txt;True;000027.txt;0.91787803
000028.txt;True;000028.txt;0.91347885
000029.txt;True;000029.txt;0.908562
000030.txt;False;075527.txt;0.8664857
000031.txt;False;016165.txt;0.8608428
000032.txt;False;010693.txt;0.8334948
000034.txt;True;000034.txt;0.84856015
000035.txt;False;050179.txt;0.8282684
000036.txt;True;000036.txt;0.86964256
000037.txt;True;000037.txt;0.9142255
000038.txt;True;000038.txt;0.923519
000039.txt;True;000039.txt;0.90527356
000040.txt;True;000040.txt;0.91166836
000041.txt;True;000041.txt;0.91263676
000042.txt;True;000042.txt;0.91929066
000043.txt;True;000043.txt;0.9087173
000044.txt;True;000044.txt;0.8599974
000045.txt;True;000045.txt;0.8554927
000046.txt;True;000046.txt;0.833395
000047.txt;False;015597.txt;0.8570682
000048.txt;True;000048.txt;0.89816654
000049.txt;True;000049.txt;0.8963208
000050.txt;False;030729.txt;0.8449738
000051.txt;False;006345.txt;0.85793734
000052.txt;False;006572.txt;0.8298672
000053.txt;True;000053.txt;0.88451326
000054.txt;True;000054.txt;0.8341888
000055.txt;False;055457.txt;0.8149905
000056.txt;True;000056.txt;0.86513627
000057.txt;True;000057.txt;0.85039675
000058.txt;True;000058.txt;0.87964934
000059.txt;True;000059.txt;0.84122825
000060.txt;True;000060.txt;0.87568724
000061.txt;True;000061.txt;0.8404687
000062.txt;True;000062.txt;0.8686334
000063.txt;True;000063.txt;0.8510685
000064.txt;True;000064.txt;0.8711226
000065.txt;True;000065.txt;0.88632786
000066.txt;True;000066.txt;0.8390141
000067.txt;True;000067.txt;0.8534279
000068.txt;True;000068.txt;0.8556275
000069.txt;True;000069.txt;0.8533118
000070.txt;False;075545.txt;0.8426054
000071.txt;False;048283.txt;0.83360016
000072.txt;True;000072.txt;0.8805969
000073.txt;True;000073.txt;0.824015
000074.txt;False;063791.txt;0.8210656
000075.txt;True;000075.txt;0.85256416
000076.txt;False;008313.txt;0.8384496
000077.txt;False;045193.txt;0.8674636
000078.txt;True;000078.txt;0.82620645
000079.txt;False;078946.txt;0.8241043
000080.txt;True;000080.txt;0.88689256
000081.txt;True;000081.txt;0.8599318
000082.txt;True;000082.txt;0.8733447
000083.txt;False;007739.txt;0.8301005
000084.txt;True;000084.txt;0.8404956
000085.txt;True;000085.txt;0.87037814
000086.txt;True;000086.txt;0.8832042
000087.txt;True;000087.txt;0.9028151
000088.txt;False;073501.txt;0.83154935
000089.txt;False;063791.txt;0.8355211
000090.txt;False;063963.txt;0.82261074
000091.txt;False;076436.txt;0.8650844
000092.txt;False;009054.txt;0.8506068
000093.txt;True;000093.txt;0.83442295
000094.txt;False;019599.txt;0.8185625
000095.txt;False;018246.txt;0.8213514
000096.txt;False;078583.txt;0.82762945
000097.txt;False;078946.txt;0.81947374
000098.txt;True;000098.txt;0.85036725
000099.txt;True;000099.txt;0.84255326
000100.txt;True;000100.txt;0.84850645
000101.txt;True;000101.txt;0.8250333
000102.txt;True;000102.txt;0.89877295
000103.txt;False;073501.txt;0.84804106
000104.txt;False;055457.txt;0.84644866
000105.txt;True;000105.txt;0.84302866
000106.txt;True;000106.txt;0.8671388
000107.txt;True;000107.txt;0.8435104
000108.txt;True;000108.txt;0.9077044
000109.txt;True;000109.txt;0.91705334
000110.txt;True;000110.txt;0.8218163
000111.txt;True;000111.txt;0.8493843
000112.txt;False;007020.txt;0.80152285
000113.txt;True;000113.txt;0.8739397
000114.txt;True;000114.txt;0.8610828
