query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.80534065
000001.txt;True;000001.txt;0.688308
000002.txt;False;007581.txt;0.7692826
000003.txt;True;000003.txt;0.7531484
000004.txt;True;000004.txt;0.87948704
000005.txt;False;030470.txt;0.72890675
000006.txt;False;026956.txt;0.6962067
000007.txt;False;009601.txt;0.67909557
000008.txt;False;078925.txt;0.7743428
000009.txt;True;000009.txt;0.73920196
000010.txt;True;000010.txt;0.813763
000011.txt;False;008720.txt;0.8456904
000012.txt;True;000012.txt;0.81719434
000013.txt;True;000013.txt;0.81724143
000014.txt;True;000014.txt;0.7566713
000015.txt;True;000015.txt;0.85316545
000016.txt;False;000015.txt;0.8179896
000017.txt;True;000017.txt;0.64213383
000018.txt;True;000018.txt;0.85485363
000019.txt;True;000019.txt;0.7685381
000020.txt;False;011704.txt;0.77681136
000021.txt;True;000021.txt;0.8390857
000022.txt;True;000022.txt;0.9013704
000023.txt;True;000023.txt;0.81971437
000024.txt;True;000024.txt;0.8053392
000025.txt;True;000025.txt;0.9076646
000026.txt;True;000026.txt;0.8620665
000027.txt;True;000027.txt;0.92119944
000028.txt;True;000028.txt;0.91366994
000029.txt;True;000029.txt;0.91764843
000030.txt;True;000030.txt;0.8084452
000031.txt;True;000031.txt;0.79486775
000032.txt;True;000032.txt;0.6687086
000034.txt;True;000034.txt;0.8149829
000035.txt;True;000035.txt;0.7305708
000036.txt;True;000036.txt;0.7218813
000037.txt;True;000037.txt;0.8753455
000038.txt;True;000038.txt;0.91995776
000039.txt;True;000039.txt;0.91108584
000040.txt;True;000040.txt;0.9172483
000041.txt;True;000041.txt;0.9151634
000042.txt;True;000042.txt;0.9167197
000043.txt;True;000043.txt;0.90816444
000044.txt;False;000132.txt;0.7663656
000045.txt;True;000045.txt;0.7619941
000046.txt;False;000132.txt;0.7800361
000047.txt;False;000187.txt;0.79621255
000048.txt;True;000048.txt;0.8914212
000049.txt;True;000049.txt;0.8298856
000050.txt;True;000050.txt;0.8429368
000051.txt;False;001399.txt;0.74502254
000052.txt;False;000132.txt;0.77613103
000053.txt;True;000053.txt;0.7291879
000054.txt;True;000054.txt;0.7871484
000055.txt;False;020197.txt;0.7135945
000056.txt;True;000056.txt;0.8247181
000057.txt;True;000057.txt;0.8325132
000058.txt;True;000058.txt;0.8931009
000059.txt;False;001017.txt;0.68941104
000060.txt;False;004112.txt;0.74752855
000061.txt;True;000061.txt;0.7146461
000062.txt;True;000062.txt;0.87781346
000063.txt;True;000063.txt;0.68932164
000064.txt;False;002942.txt;0.7322378
000065.txt;True;000065.txt;0.8286052
000066.txt;True;000066.txt;0.6936513
000067.txt;True;000067.txt;0.88026595
000068.txt;True;000068.txt;0.87045497
000069.txt;True;000069.txt;0.75620294
000070.txt;True;000070.txt;0.649728
000071.txt;False;007346.txt;0.6406061
000072.txt;True;000072.txt;0.83434784
000073.txt;True;000073.txt;0.77917325
000074.txt;False;053465.txt;0.6365687
000075.txt;True;000075.txt;0.7788633
000076.txt;True;000076.txt;0.7040541
000077.txt;True;000077.txt;0.7225849
000078.txt;True;000078.txt;0.6441411
000079.txt;True;000079.txt;0.7131881
000080.txt;False;004077.txt;0.7462144
000081.txt;False;004077.txt;0.72566974
000082.txt;True;000082.txt;0.8032362
000083.txt;False;048281.txt;0.6612538
000084.txt;True;000084.txt;0.6693007
000085.txt;False;077117.txt;0.6160028
000086.txt;True;000086.txt;0.7808063
000087.txt;False;016180.txt;0.7902545
000088.txt;False;069591.txt;0.7545228
000089.txt;False;020989.txt;0.72779834
000090.txt;True;000090.txt;0.65008175
000091.txt;True;000091.txt;0.8348416
000092.txt;True;000092.txt;0.76453847
000093.txt;True;000093.txt;0.79094094
000094.txt;False;019647.txt;0.7642223
000095.txt;True;000095.txt;0.7992971
000096.txt;True;000096.txt;0.7768997
000097.txt;True;000097.txt;0.7278433
000098.txt;True;000098.txt;0.87949234
000099.txt;True;000099.txt;0.72082585
000100.txt;True;000100.txt;0.8256366
000101.txt;True;000101.txt;0.59712744
000102.txt;False;016180.txt;0.7836569
000103.txt;True;000103.txt;0.76445574
000104.txt;False;028255.txt;0.6864673
000105.txt;True;000105.txt;0.73689777
000106.txt;True;000106.txt;0.86327267
000107.txt;True;000107.txt;0.6626665
000108.txt;True;000108.txt;0.9097955
000109.txt;True;000109.txt;0.9219096
000110.txt;False;000106.txt;0.7442854
000111.txt;True;000111.txt;0.71057296
000112.txt;True;000112.txt;0.660481
000113.txt;True;000113.txt;0.8126893
000114.txt;True;000114.txt;0.7295182
000115.txt;True;000115.txt;0.7234345
000116.txt;False;017301.txt;0.73539
000117.txt;True;000117.txt;0.651443
000118.txt;False;000121.txt;0.7920286
000119.txt;False;039698.txt;0.63041586
000120.txt;True;000120.txt;0.89519113
000121.txt;True;000121.txt;0.89824593
000122.txt;True;000122.txt;0.69669914
000123.txt;True;000123.txt;0.6274779
000124.txt;True;000124.txt;0.73648834
000126.txt;False;000187.txt;0.76780367
000127.txt;True;000127.txt;0.8099883
000128.txt;True;000128.txt;0.81307054
000129.txt;True;000129.txt;0.67503965
000130.txt;True;000130.txt;0.7625277
000131.txt;True;000131.txt;0.7349705
000132.txt;True;000132.txt;0.8393491
000133.txt;False;001402.txt;0.7472027
000134.txt;False;066147.txt;0.63684165
000135.txt;True;000135.txt;0.64539003
000136.txt;True;000136.txt;0.7948574
000137.txt;True;000137.txt;0.7053123
000138.txt;True;000138.txt;0.7256471
000139.txt;False;009373.txt;0.6075667
000140.txt;True;000140.txt;0.7935199
000141.txt;False;065995.txt;0.60307443
000142.txt;False;078508.txt;0.69247556
000143.txt;True;000143.txt;0.7062027
000144.txt;False;014751.txt;0.6426273
000145.txt;False;017301.txt;0.73852277
000146.txt;False;042891.txt;0.6854336
000147.txt;False;028227.txt;0.6795637
000148.txt;False;049976.txt;0.70800316
000149.txt;True;000149.txt;0.85403
000150.txt;False;051369.txt;0.6458211
000151.txt;False;002534.txt;0.6803602
000152.txt;False;071949.txt;0.65478367
000153.txt;True;000153.txt;0.8588064
000154.txt;False;019327.txt;0.7026635
000155.txt;False;078526.txt;0.68763185
000156.txt;True;000156.txt;0.7619686
000157.txt;False;078565.txt;0.71064645
000158.txt;True;000158.txt;0.8039669
000159.txt;False;078565.txt;0.753972
000160.txt;True;000160.txt;0.8262235
000161.txt;True;000161.txt;0.76788235
000162.txt;True;000162.txt;0.6772835
000163.txt;True;000163.txt;0.76645285
000164.txt;True;000164.txt;0.80200934
000165.txt;True;000165.txt;0.7412677
000166.txt;True;000166.txt;0.8617601
000167.txt;True;000167.txt;0.7160137
000168.txt;True;000168.txt;0.70166737
000169.txt;True;000169.txt;0.85817885
000170.txt;True;000170.txt;0.7112217
000171.txt;True;000171.txt;0.81838655
000172.txt;True;000172.txt;0.770897
000173.txt;False;076645.txt;0.6652245
000174.txt;True;000174.txt;0.76242507
000175.txt;True;000175.txt;0.7976461
000176.txt;True;000176.txt;0.79185224
000177.txt;True;000177.txt;0.7450899
000178.txt;False;003735.txt;0.71559036
000179.txt;True;000179.txt;0.5769038
000180.txt;True;000180.txt;0.591078
000181.txt;True;000181.txt;0.8053229
000182.txt;True;000182.txt;0.80199605
000183.txt;True;000183.txt;0.862509
000184.txt;False;000109.txt;0.6894417
000185.txt;False;000181.txt;0.77132493
000186.txt;False;014451.txt;0.58817506
000187.txt;True;000187.txt;0.8504079
000188.txt;True;000188.txt;0.80507815
000189.txt;True;000189.txt;0.81090266
000190.txt;True;000190.txt;0.85022104
000191.txt;True;000191.txt;0.79539835
000192.txt;False;074614.txt;0.69052386
000193.txt;False;007519.txt;0.69133484
000194.txt;True;000194.txt;0.6176373
000195.txt;True;000195.txt;0.78252834
000196.txt;True;000196.txt;0.7704114
000197.txt;False;078659.txt;0.6162331
000198.txt;False;035579.txt;0.66036284
000199.txt;True;000199.txt;0.7484023
000200.txt;True;000200.txt;0.663671
000201.txt;False;078312.txt;0.73629487
000202.txt;True;000202.txt;0.7720457
