query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.51882756
000001.txt;True;000001.txt;0.7075018
000002.txt;True;000002.txt;0.62715745
000003.txt;True;000003.txt;0.4389704
000004.txt;True;000004.txt;0.451353
000005.txt;False;000061.txt;0.6083138
000006.txt;False;000061.txt;0.53412324
000007.txt;False;034985.txt;0.6793957
000008.txt;False;028869.txt;0.6970234
000009.txt;False;013440.txt;0.94915414
000010.txt;False;013720.txt;0.70814914
000011.txt;True;000011.txt;0.2671105
000012.txt;True;000012.txt;0.7038692
000013.txt;True;000013.txt;0.6428443
000014.txt;True;000014.txt;0.38349935
000015.txt;True;000015.txt;0.3159508
000016.txt;True;000016.txt;0.5219687
000017.txt;True;000017.txt;0.6105238
000018.txt;True;000018.txt;0.7487689
000019.txt;True;000019.txt;0.31232724
000020.txt;False;011704.txt;0.50461185
000021.txt;True;000021.txt;0.44594538
000022.txt;True;000022.txt;0.329968
000023.txt;True;000023.txt;0.5693016
000024.txt;False;000025.txt;0.727477
000025.txt;True;000025.txt;0.247904
000026.txt;False;044829.txt;0.40288436
000027.txt;True;000027.txt;0.2877556
000028.txt;True;000028.txt;0.26082373
000029.txt;True;000029.txt;0.47457588
000030.txt;True;000030.txt;0.6657874
000031.txt;True;000031.txt;0.59481955
000032.txt;True;000032.txt;0.63240445
000034.txt;True;000034.txt;0.6742264
000035.txt;True;000035.txt;0.8035809
000036.txt;True;000036.txt;0.45293865
000037.txt;True;000037.txt;0.30504018
000038.txt;True;000038.txt;0.2435193
000039.txt;True;000039.txt;0.27499968
000040.txt;True;000040.txt;0.24102214
000041.txt;True;000041.txt;0.25092024
000042.txt;True;000042.txt;0.25020564
000043.txt;True;000043.txt;0.31383452
000044.txt;False;010500.txt;0.37428945
000045.txt;True;000045.txt;0.34220403
000046.txt;True;000046.txt;0.5514369
000047.txt;True;000047.txt;0.4517568
000048.txt;False;020456.txt;0.5452285
000049.txt;True;000049.txt;0.66375136
000050.txt;True;000050.txt;0.5983304
000051.txt;False;001403.txt;0.40033445
000052.txt;False;000184.txt;0.48538613
000053.txt;False;015398.txt;0.82744265
000054.txt;True;000054.txt;0.44665182
000055.txt;True;000055.txt;0.59074044
000056.txt;True;000056.txt;0.70530194
000057.txt;True;000057.txt;0.64898425
000058.txt;True;000058.txt;0.8273712
000059.txt;True;000059.txt;0.5591624
000060.txt;False;067474.txt;0.8758346
000061.txt;True;000061.txt;0.62927115
000062.txt;True;000062.txt;0.5001431
000063.txt;True;000063.txt;0.60787517
000064.txt;False;008515.txt;0.8377267
000065.txt;True;000065.txt;0.6366384
000066.txt;False;059767.txt;0.7795861
000067.txt;True;000067.txt;0.5673617
000068.txt;True;000068.txt;0.3077145
000069.txt;False;008333.txt;0.65800995
000070.txt;False;006290.txt;0.92353076
000071.txt;False;000083.txt;0.5425382
000072.txt;True;000072.txt;0.5684485
000073.txt;True;000073.txt;0.69883716
000074.txt;False;053465.txt;0.7413194
000075.txt;False;027942.txt;0.917997
000076.txt;True;000076.txt;0.66003394
000077.txt;True;000077.txt;0.5622307
000078.txt;False;026522.txt;0.6045513
000079.txt;False;025820.txt;0.67416394
000080.txt;False;002787.txt;0.80057114
000081.txt;False;077769.txt;0.76836574
000082.txt;False;012000.txt;0.8535574
000083.txt;False;026187.txt;0.6370652
000084.txt;True;000084.txt;0.59379464
000085.txt;True;000085.txt;0.45868766
000086.txt;True;000086.txt;0.6735891
000087.txt;False;070140.txt;0.5577594
000088.txt;False;000103.txt;0.5221424
000089.txt;False;053877.txt;0.86444974
000090.txt;True;000090.txt;0.6126694
000091.txt;True;000091.txt;0.4110049
000092.txt;False;073546.txt;0.6796206
000093.txt;True;000093.txt;0.49978948
000094.txt;False;019647.txt;0.5676094
000095.txt;False;016377.txt;0.6285133
000096.txt;True;000096.txt;0.5183363
000097.txt;True;000097.txt;0.66074294
000098.txt;True;000098.txt;0.44461873
000099.txt;True;000099.txt;0.47932902
000100.txt;True;000100.txt;0.39877164
000101.txt;True;000101.txt;0.77316093
000102.txt;False;070140.txt;0.7736964
000103.txt;False;000088.txt;0.6259975
000104.txt;False;000112.txt;0.5741204
000105.txt;False;043379.txt;0.7536261
000106.txt;True;000106.txt;0.3222432
000107.txt;True;000107.txt;0.55899435
000108.txt;True;000108.txt;0.2945203
000109.txt;True;000109.txt;0.21631032
000110.txt;True;000110.txt;0.5838467
000111.txt;False;000850.txt;0.81292045
000112.txt;True;000112.txt;0.65335584
000113.txt;True;000113.txt;0.49765256
000114.txt;True;000114.txt;0.43755013
000115.txt;True;000115.txt;0.3146511
000116.txt;False;003909.txt;0.6628834
000117.txt;False;017096.txt;0.594409
000118.txt;False;000120.txt;0.449736
000119.txt;True;000119.txt;0.769888
000120.txt;True;000120.txt;0.31596738
000121.txt;True;000121.txt;0.49333516
000122.txt;False;012134.txt;0.68189514
000123.txt;True;000123.txt;0.651201
000124.txt;True;000124.txt;0.35941118
000126.txt;True;000126.txt;0.42370826
000127.txt;True;000127.txt;0.3577919
000128.txt;False;001400.txt;0.3055323
000129.txt;False;061932.txt;0.6904994
000130.txt;False;003337.txt;0.4401364
