query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.18322134
000001.txt;True;000001.txt;1.8081039e-13
000002.txt;True;000002.txt;0.12397304
000003.txt;False;078164.txt;0.14814281
000004.txt;False;065428.txt;0.18773454
000005.txt;True;000005.txt;0.21453732
000006.txt;True;000006.txt;0.22537293
000007.txt;False;073609.txt;0.22835115
000008.txt;False;077816.txt;0.18436562
000009.txt;True;000009.txt;0.13844326
000010.txt;True;000010.txt;0.15431042
000011.txt;True;000011.txt;0.17329344
000012.txt;True;000012.txt;0.044107385
000013.txt;True;000013.txt;0.034441568
000014.txt;False;076637.txt;0.23613845
000015.txt;True;000015.txt;0.05407493
000016.txt;False;078605.txt;0.23520824
000017.txt;True;000017.txt;0.22056162
000018.txt;False;077386.txt;0.2305434
000019.txt;False;009754.txt;0.16948509
000020.txt;True;000020.txt;0.12980384
000021.txt;True;000021.txt;0.18058869
000022.txt;True;000022.txt;0.19523214
000023.txt;True;000023.txt;0.16961637
000024.txt;True;000024.txt;0.18291202
000025.txt;True;000025.txt;0.17102194
000026.txt;False;028285.txt;0.1655426
000027.txt;True;000027.txt;0.18029615
000028.txt;True;000028.txt;0.19396041
000029.txt;True;000029.txt;0.18551095
000030.txt;True;000030.txt;0.19515279
000031.txt;True;000031.txt;0.19987234
000032.txt;True;000032.txt;0.12762886
000034.txt;False;020156.txt;0.24689437
000035.txt;False;042805.txt;0.22946736
000036.txt;False;000581.txt;0.20095026
000037.txt;True;000037.txt;0.18900558
000038.txt;True;000038.txt;0.18071112
000039.txt;True;000039.txt;0.18546654
000040.txt;True;000040.txt;0.2003994
000041.txt;True;000041.txt;0.20493123
000042.txt;True;000042.txt;0.19299637
000043.txt;True;000043.txt;0.1992011
000044.txt;True;000044.txt;0.21511415
000045.txt;False;000286.txt;0.18124059
000046.txt;True;000046.txt;0.19251013
000047.txt;False;009754.txt;0.19195628
000048.txt;True;000048.txt;0.0
000049.txt;True;000049.txt;0.085760035
000050.txt;True;000050.txt;0.11743331
000051.txt;True;000051.txt;0.20187032
000052.txt;False;009754.txt;0.16770606
000053.txt;True;000053.txt;0.089657545
000054.txt;False;072419.txt;0.18712094
000055.txt;False;018945.txt;0.22556186
000056.txt;False;066636.txt;0.15327892
000057.txt;True;000057.txt;0.088045545
000058.txt;True;000058.txt;0.07401628
000059.txt;False;039905.txt;0.18278964
000060.txt;True;000060.txt;0.09340193
000061.txt;True;000061.txt;0.23128414
000062.txt;False;032648.txt;0.24187562
000063.txt;False;019991.txt;0.18472855
000064.txt;True;000064.txt;0.076161444
000065.txt;True;000065.txt;0.112768576
000066.txt;False;020293.txt;0.30926147
000067.txt;True;000067.txt;0.10392275
000068.txt;True;000068.txt;0.20287599
000069.txt;False;050808.txt;0.28842658
000070.txt;False;001597.txt;0.18628389
000071.txt;False;003289.txt;0.19598138
000072.txt;True;000072.txt;0.0
000073.txt;False;008313.txt;0.21684399
000074.txt;False;077690.txt;0.19824022
000075.txt;False;015690.txt;0.20233834
000076.txt;False;023123.txt;0.17526792
000077.txt;False;039905.txt;0.24097186
000078.txt;True;000078.txt;0.15439036
000079.txt;False;075599.txt;0.22794423
000080.txt;False;005919.txt;0.095866
000081.txt;True;000081.txt;0.08331017
000082.txt;True;000082.txt;0.095232695
000083.txt;False;011149.txt;0.17811441
000084.txt;False;023123.txt;0.13987945
000085.txt;True;000085.txt;0.19398604
000086.txt;True;000086.txt;0.16218895
000087.txt;True;000087.txt;0.16423701
000088.txt;False;050195.txt;0.25464934
000089.txt;False;011785.txt;0.13345405
000090.txt;False;076746.txt;0.22271046
000091.txt;True;000091.txt;0.08426315
000092.txt;False;029521.txt;0.19550046
000093.txt;True;000093.txt;0.1183797
000094.txt;False;066785.txt;0.17003667
000095.txt;False;008345.txt;0.24584803
000096.txt;False;046785.txt;0.20255798
000097.txt;False;041227.txt;0.24784404
000098.txt;False;018291.txt;0.13319507
000099.txt;True;000099.txt;0.15400599
000100.txt;False;038364.txt;0.22627541
000101.txt;True;000101.txt;0.14108282
000102.txt;True;000102.txt;0.19050777
000103.txt;False;011785.txt;0.21265776
000104.txt;True;000104.txt;0.21415663
000105.txt;False;041392.txt;0.20281596
000106.txt;False;074841.txt;0.15510178
000107.txt;False;013913.txt;0.18146785
000108.txt;True;000108.txt;0.18368885
000109.txt;True;000109.txt;0.18681823
000110.txt;True;000110.txt;0.05312498
000111.txt;False;023640.txt;0.07812095
000112.txt;False;046963.txt;0.26669693
000113.txt;False;017234.txt;0.20017296
000114.txt;False;002583.txt;0.2156696
000115.txt;True;000115.txt;1.2873891e-13
000116.txt;False;028750.txt;0.13691595
000117.txt;False;077816.txt;0.24895717
000118.txt;True;000118.txt;0.0
000119.txt;False;031082.txt;0.16273455
000120.txt;True;000120.txt;0.027018972
000121.txt;True;000121.txt;1.07540225e-13
000122.txt;False;011114.txt;0.15208657
000123.txt;False;032323.txt;0.24159336
000124.txt;True;000124.txt;0.0
000126.txt;True;000126.txt;0.1870889
000127.txt;True;000127.txt;0.23306502
000128.txt;True;000128.txt;0.17965473
000129.txt;False;000174.txt;0.20078927
000130.txt;True;000130.txt;0.20303851
000131.txt;False;009754.txt;0.19881307
000132.txt;True;000132.txt;0.20537105
000133.txt;True;000133.txt;0.19109727
000134.txt;False;027248.txt;0.19674076
000135.txt;False;069588.txt;0.06576615
000136.txt;True;000136.txt;0.19464573
000137.txt;False;077577.txt;0.22009037
000138.txt;True;000138.txt;0.084730074
000139.txt;False;004565.txt;0.22517517
000140.txt;True;000140.txt;0.0
000141.txt;True;000141.txt;0.03522161
000142.txt;True;000142.txt;0.18753405
000143.txt;False;032112.txt;0.20890012
000144.txt;False;077690.txt;0.23819877
000145.txt;False;031916.txt;0.22488123
000146.txt;False;019991.txt;0.24136986
000147.txt;False;072367.txt;0.1916894
000148.txt;True;000148.txt;0.17841716
000149.txt;False;009754.txt;0.10906188
000150.txt;True;000150.txt;0.22173804
000151.txt;False;066853.txt;0.18066084
000152.txt;False;059860.txt;0.19382042
000153.txt;True;000153.txt;0.0
000154.txt;True;000154.txt;0.2318663
000155.txt;False;075599.txt;0.21545607
000156.txt;True;000156.txt;0.044182412
000157.txt;False;009754.txt;0.19961189
000158.txt;True;000158.txt;0.19050503
000159.txt;True;000159.txt;0.08113257
000160.txt;False;001824.txt;0.21292526
000161.txt;False;065320.txt;0.21037725
000162.txt;True;000162.txt;0.17117319
000163.txt;False;006884.txt;0.23582405
000164.txt;True;000164.txt;1.7366946e-13
000165.txt;True;000165.txt;0.0
000166.txt;True;000166.txt;0.0
000167.txt;True;000167.txt;0.13528687
000168.txt;False;019325.txt;0.24954265
000169.txt;False;000353.txt;0.13882565
000170.txt;False;029590.txt;0.23697326
000171.txt;True;000171.txt;0.15961263
000172.txt;False;020212.txt;0.2075383
000173.txt;True;000173.txt;0.11698367
000174.txt;True;000174.txt;0.0
000175.txt;False;018713.txt;0.19874394
000176.txt;True;000176.txt;0.1395545
000177.txt;True;000177.txt;0.21389425
000178.txt;True;000178.txt;0.18443705
000179.txt;True;000179.txt;0.0
000180.txt;False;065233.txt;0.19737464
000181.txt;True;000181.txt;1.4271367e-13
000182.txt;True;000182.txt;0.0
000183.txt;True;000183.txt;1.5995533e-13
000184.txt;False;009754.txt;0.1733292
000185.txt;True;000185.txt;1.4127255e-13
000186.txt;False;047098.txt;0.19355014
000187.txt;False;009754.txt;0.17008537
000188.txt;True;000188.txt;0.17755747
000189.txt;True;000189.txt;0.19941163
000190.txt;True;000190.txt;0.20144717
000191.txt;False;004324.txt;0.19243696
000192.txt;True;000192.txt;0.08949609
000193.txt;True;000193.txt;0.20345867
000194.txt;False;038583.txt;0.22774735
000195.txt;False;000530.txt;0.18495113
000196.txt;False;012271.txt;0.24933904
000197.txt;False;064294.txt;0.14560649
000198.txt;True;000198.txt;0.21221444
000199.txt;True;000199.txt;0.0
000200.txt;True;000200.txt;0.1738578
000201.txt;False;011658.txt;0.14248087
000202.txt;False;064709.txt;0.19003803
000203.txt;True;000203.txt;0.14404437
000204.txt;True;000204.txt;0.13097355
000205.txt;True;000205.txt;0.13684072
000206.txt;True;000206.txt;0.15411183
000207.txt;True;000207.txt;0.17474502
000208.txt;False;026505.txt;0.20092611
000209.txt;False;028223.txt;0.20060971
000210.txt;True;000210.txt;0.09026784
000211.txt;False;004750.txt;0.11398825
000212.txt;True;000212.txt;0.19858673
000213.txt;False;014555.txt;0.23874456
000214.txt;True;000214.txt;0.0
000215.txt;True;000215.txt;0.09112671
000216.txt;False;055501.txt;0.21957241
000217.txt;True;000217.txt;0.17775765
000219.txt;True;000219.txt;0.08353098
000220.txt;False;013300.txt;0.22215131
000221.txt;False;073025.txt;0.28180218
000222.txt;False;041576.txt;0.2319542
000223.txt;False;015803.txt;0.18013692
000224.txt;True;000224.txt;0.18731937
000225.txt;False;009754.txt;0.17521971
000226.txt;False;059258.txt;0.25501996
000227.txt;True;000227.txt;0.084020995
000228.txt;True;000228.txt;0.056758635
000229.txt;False;000519.txt;0.13908568
000230.txt;True;000230.txt;0.11418607
000231.txt;False;061470.txt;0.24550731
000232.txt;False;076974.txt;0.19463584
000233.txt;True;000233.txt;0.049971983
000234.txt;False;065214.txt;0.19558588
000235.txt;True;000235.txt;0.16519101
000236.txt;False;009754.txt;0.20611663
000237.txt;True;000237.txt;0.13652009
000238.txt;True;000238.txt;0.08942282
000239.txt;False;060261.txt;0.23630336
000240.txt;True;000240.txt;0.21302062
000241.txt;True;000241.txt;1.3962915e-13
000242.txt;False;057925.txt;0.20014447
000243.txt;True;000243.txt;0.0910543
000244.txt;False;000174.txt;0.2323128
000245.txt;False;012271.txt;0.2430684
000246.txt;False;028223.txt;0.16183347
000247.txt;False;018238.txt;0.21224646
000248.txt;True;000248.txt;0.14753671
000249.txt;True;000249.txt;0.0
000250.txt;True;000250.txt;1.2078202e-13
000251.txt;True;000251.txt;0.2369354
000252.txt;True;000252.txt;0.07126966
000253.txt;True;000253.txt;0.0
000254.txt;True;000254.txt;1.2564263e-13
000255.txt;True;000255.txt;0.16564457
000256.txt;False;044188.txt;0.22836247
000257.txt;False;012350.txt;0.3425725
000258.txt;False;046317.txt;0.19165394
000259.txt;False;014129.txt;0.27050406
000260.txt;False;011785.txt;0.27503395
000261.txt;False;068923.txt;0.22762132
000262.txt;True;000262.txt;7.8121476e-14
000263.txt;True;000263.txt;0.14246687
000264.txt;False;073451.txt;0.18116364
000265.txt;True;000265.txt;0.16044217
000266.txt;False;038281.txt;0.23287648
000267.txt;True;000267.txt;0.09993645
000268.txt;False;025444.txt;0.2126649
000269.txt;True;000269.txt;0.1284379
000270.txt;True;000270.txt;0.12626788
000271.txt;True;000271.txt;0.20241466
000272.txt;False;009754.txt;0.20763227
000273.txt;False;009754.txt;0.19072683
000274.txt;False;009754.txt;0.21557519
000275.txt;True;000275.txt;1.6183516e-13
000276.txt;False;027062.txt;0.17462257
000277.txt;True;000277.txt;0.19627291
000278.txt;True;000278.txt;0.19990832
000279.txt;True;000279.txt;0.18075046
000280.txt;False;009754.txt;0.20400248
000281.txt;True;000281.txt;0.18964164
000282.txt;False;009754.txt;0.21554327
000283.txt;True;000283.txt;0.18883431
000284.txt;False;008551.txt;0.32773978
000285.txt;True;000285.txt;0.14848346
000286.txt;True;000286.txt;0.2044923
000287.txt;False;009754.txt;0.18274328
000288.txt;False;007711.txt;0.21506846
000289.txt;False;020325.txt;0.22947763
000290.txt;False;000280.txt;0.22544919
000291.txt;False;025444.txt;0.20257135
000292.txt;False;039350.txt;0.18042499
000293.txt;True;000293.txt;0.0
000294.txt;False;074339.txt;0.20457935
000295.txt;True;000295.txt;0.0
000296.txt;False;077944.txt;0.22573465
000297.txt;False;077928.txt;0.24267644
000298.txt;False;072477.txt;0.27069917
000299.txt;False;001455.txt;0.14251593
000300.txt;False;009754.txt;0.15108815
000301.txt;True;000301.txt;0.105977826
000302.txt;True;000302.txt;0.14033411
000303.txt;True;000303.txt;0.056515977
000304.txt;False;077690.txt;0.19985572
000305.txt;True;000305.txt;0.0
000306.txt;True;000306.txt;0.0925204
000308.txt;True;000308.txt;1.6346692e-13
000309.txt;False;019790.txt;0.30488157
000310.txt;False;063995.txt;0.18726143
000311.txt;True;000311.txt;0.12812972
000312.txt;True;000312.txt;1.3691049e-13
000313.txt;False;064545.txt;0.2562694
000314.txt;False;071461.txt;0.21219115
000315.txt;True;000315.txt;0.15255758
000316.txt;False;015447.txt;0.1545004
000317.txt;True;000317.txt;0.070825234
000318.txt;False;075603.txt;0.21750179
000319.txt;False;024391.txt;0.24905865
000320.txt;True;000320.txt;1.9249588e-13
000321.txt;True;000321.txt;0.17617984
000322.txt;False;002321.txt;0.16665687
000323.txt;False;065985.txt;0.19924948
000324.txt;True;000324.txt;0.17583959
000325.txt;True;000325.txt;0.0
000326.txt;True;000326.txt;0.047972664
000327.txt;True;000327.txt;0.0
000328.txt;True;000328.txt;0.14477202
000329.txt;False;025172.txt;0.22767904
000330.txt;False;009766.txt;0.2035622
000331.txt;True;000331.txt;0.18921451
000332.txt;False;010134.txt;0.1895717
000333.txt;True;000333.txt;0.14450103
000334.txt;False;015168.txt;0.17448148
000335.txt;False;008593.txt;0.22892505
000336.txt;False;027169.txt;0.19139118
000337.txt;True;000337.txt;0.053038575
000338.txt;True;000338.txt;0.199062
000339.txt;False;052235.txt;0.20875871
000341.txt;False;044378.txt;0.21087259
000342.txt;False;048923.txt;0.24686027
000343.txt;False;075536.txt;0.21727261
000344.txt;True;000344.txt;0.110385604
000345.txt;False;011350.txt;0.22278836
000346.txt;True;000346.txt;0.0
000347.txt;False;009754.txt;0.18999054
000348.txt;False;019882.txt;0.21942729
000349.txt;False;076225.txt;0.07742575
000350.txt;False;019343.txt;0.16394436
000351.txt;False;022830.txt;0.18497515
000352.txt;False;037901.txt;0.31717402
000353.txt;True;000353.txt;0.0
000354.txt;False;011890.txt;0.24188048
000355.txt;False;032234.txt;0.22987077
000356.txt;False;006794.txt;0.28545263
000357.txt;True;000357.txt;0.0
000358.txt;True;000358.txt;0.0
000359.txt;False;000519.txt;0.21930861
000360.txt;True;000360.txt;0.16141349
000361.txt;False;010498.txt;0.23908411
000362.txt;False;056462.txt;0.15436825
000363.txt;False;041392.txt;0.18896648
000364.txt;True;000364.txt;8.9060303e-14
000366.txt;True;000366.txt;0.18787208
000367.txt;False;067723.txt;0.16474389
000368.txt;True;000368.txt;0.15874946
000369.txt;False;042810.txt;0.18606195
000370.txt;True;000370.txt;0.06737388
000371.txt;False;074533.txt;0.2567636
000372.txt;True;000372.txt;0.062605
000373.txt;False;025915.txt;0.19373845
000374.txt;False;057933.txt;0.28470138
000375.txt;True;000375.txt;0.0
000376.txt;True;000376.txt;0.0
000377.txt;False;005395.txt;0.15811156
000378.txt;False;005443.txt;0.1601215
000379.txt;True;000379.txt;0.17979637
000380.txt;False;014495.txt;0.17232743
000381.txt;True;000381.txt;0.0
000382.txt;True;000382.txt;0.0
000383.txt;False;044099.txt;0.24787723
000384.txt;False;053887.txt;0.18002388
000385.txt;False;056546.txt;0.19698352
000386.txt;True;000386.txt;0.15552297
000387.txt;False;000846.txt;0.27828664
000388.txt;False;050904.txt;0.26513273
000389.txt;True;000389.txt;0.0
000390.txt;True;000390.txt;0.13624692
000391.txt;True;000391.txt;0.15568379
000392.txt;True;000392.txt;0.10325107
000393.txt;True;000393.txt;0.1956456
000394.txt;False;020107.txt;0.24491617
000395.txt;True;000395.txt;0.25503534
000396.txt;True;000396.txt;0.054932456
000397.txt;False;060465.txt;0.23839584
000398.txt;False;028175.txt;0.25507435
000399.txt;True;000399.txt;0.17584106
000400.txt;True;000400.txt;0.14414172
000401.txt;False;030231.txt;0.12395875
000402.txt;False;025690.txt;0.22275686
000403.txt;False;064204.txt;0.19189137
000404.txt;True;000404.txt;0.14032415
000405.txt;False;019520.txt;0.22533984
000406.txt;False;073829.txt;0.17702973
000407.txt;False;023673.txt;0.26016566
000408.txt;False;006061.txt;0.15940934
000409.txt;False;018766.txt;0.185503
000410.txt;True;000410.txt;0.059963137
000411.txt;False;067124.txt;0.20316577
000412.txt;False;003793.txt;0.14385214
000413.txt;True;000413.txt;0.15631516
