query_file;found;search_result;search_distances
000000.txt;False;003653.txt;0.5765607
000001.txt;True;000001.txt;0.52038753
000002.txt;True;000002.txt;0.4046888
000003.txt;True;000003.txt;0.6807098
000004.txt;True;000004.txt;0.6208
000005.txt;False;026280.txt;0.53100765
000006.txt;False;000061.txt;0.5219295
000007.txt;False;011806.txt;0.47493124
000008.txt;False;036102.txt;0.46743068
000009.txt;True;000009.txt;0.45186377
000010.txt;True;000010.txt;0.56349814
000011.txt;True;000011.txt;0.7910439
000012.txt;False;001404.txt;0.6330222
000013.txt;True;000013.txt;0.5803735
000014.txt;True;000014.txt;0.73379314
000015.txt;True;000015.txt;0.6568022
000016.txt;False;000015.txt;0.58146954
000017.txt;True;000017.txt;0.53164774
000018.txt;True;000018.txt;0.6219126
000019.txt;True;000019.txt;0.7796916
000020.txt;False;011704.txt;0.64914435
000021.txt;True;000021.txt;0.65698934
000022.txt;True;000022.txt;0.7418716
000023.txt;True;000023.txt;0.71583915
000024.txt;True;000024.txt;0.55728686
000025.txt;True;000025.txt;0.77991974
000026.txt;True;000026.txt;0.6728837
000027.txt;True;000027.txt;0.7423423
000028.txt;True;000028.txt;0.7051805
000029.txt;True;000029.txt;0.75643855
000030.txt;True;000030.txt;0.5543647
000031.txt;False;008633.txt;0.57899594
000032.txt;True;000032.txt;0.5640402
000034.txt;True;000034.txt;0.53885245
000035.txt;True;000035.txt;0.42915282
000036.txt;True;000036.txt;0.6442788
000037.txt;True;000037.txt;0.7024231
000038.txt;True;000038.txt;0.74594665
000039.txt;True;000039.txt;0.71526915
000040.txt;True;000040.txt;0.7451809
000041.txt;True;000041.txt;0.77087057
000042.txt;True;000042.txt;0.7081656
000043.txt;True;000043.txt;0.7133781
000044.txt;False;010500.txt;0.71022975
000045.txt;True;000045.txt;0.74213064
000046.txt;True;000046.txt;0.7778369
000047.txt;True;000047.txt;0.75430787
000048.txt;True;000048.txt;0.628543
000049.txt;True;000049.txt;0.6437597
000050.txt;True;000050.txt;0.55385166
000051.txt;False;001403.txt;0.7288241
000052.txt;True;000052.txt;0.73078287
000053.txt;False;002787.txt;0.34383404
000054.txt;True;000054.txt;0.6156633
000055.txt;True;000055.txt;0.53004205
000056.txt;False;076419.txt;0.45347565
000057.txt;True;000057.txt;0.5065659
000058.txt;True;000058.txt;0.68728423
000059.txt;False;002446.txt;0.49239653
000060.txt;True;000060.txt;0.46606112
000061.txt;True;000061.txt;0.49662274
000062.txt;True;000062.txt;0.61170506
000063.txt;True;000063.txt;0.5195059
000064.txt;False;000049.txt;0.44115174
000065.txt;True;000065.txt;0.6106794
000066.txt;False;059767.txt;0.48649144
000067.txt;True;000067.txt;0.6456654
000068.txt;True;000068.txt;0.6771092
000069.txt;False;008333.txt;0.5017202
000070.txt;False;006290.txt;0.38848543
000071.txt;False;007346.txt;0.55378336
000072.txt;True;000072.txt;0.59443974
000073.txt;True;000073.txt;0.54229194
000074.txt;True;000074.txt;0.42569947
000075.txt;False;077672.txt;0.43470392
000076.txt;True;000076.txt;0.538616
000077.txt;True;000077.txt;0.6477549
000078.txt;False;034611.txt;0.57094187
000079.txt;True;000079.txt;0.570072
000080.txt;False;002787.txt;0.42084527
000081.txt;False;077769.txt;0.42958283
000082.txt;False;004077.txt;0.41084534
000083.txt;False;026187.txt;0.51528734
000084.txt;True;000084.txt;0.59609085
000085.txt;True;000085.txt;0.67867815
000086.txt;True;000086.txt;0.5673778
000087.txt;False;002447.txt;0.4861302
000088.txt;False;000103.txt;0.67376477
000089.txt;True;000089.txt;0.5259403
000090.txt;False;076746.txt;0.56167483
000091.txt;True;000091.txt;0.6907579
000092.txt;False;037419.txt;0.5228003
000093.txt;True;000093.txt;0.67223024
000094.txt;False;000147.txt;0.5098971
000095.txt;False;016377.txt;0.4938782
000096.txt;True;000096.txt;0.6107949
000097.txt;True;000097.txt;0.56092334
000098.txt;True;000098.txt;0.85357857
000099.txt;True;000099.txt;0.58695936
000100.txt;True;000100.txt;0.6739674
000101.txt;False;015657.txt;0.46317166
000102.txt;False;056436.txt;0.4545728
000103.txt;False;000088.txt;0.52591795
000104.txt;False;004931.txt;0.50837445
000105.txt;False;043379.txt;0.502969
000106.txt;True;000106.txt;0.6416681
000107.txt;True;000107.txt;0.5347345
000108.txt;True;000108.txt;0.7268349
000109.txt;True;000109.txt;0.7696667
000110.txt;False;032745.txt;0.4942373
000111.txt;False;006691.txt;0.505543
000112.txt;True;000112.txt;0.49450424
000113.txt;True;000113.txt;0.65419596
000114.txt;True;000114.txt;0.7265471
000115.txt;True;000115.txt;0.67801297
000116.txt;False;070140.txt;0.4571414
000117.txt;False;017096.txt;0.55979747
000118.txt;False;000120.txt;0.67132837
000119.txt;False;008263.txt;0.46180785
000120.txt;True;000120.txt;0.7920487
000121.txt;True;000121.txt;0.7116851
000122.txt;False;012134.txt;0.3703702
000123.txt;True;000123.txt;0.4637028
000124.txt;True;000124.txt;0.72177637
000126.txt;False;000133.txt;0.7296816
000127.txt;True;000127.txt;0.82907706
000128.txt;True;000128.txt;0.8351345
000129.txt;False;061932.txt;0.4257479
000130.txt;True;000130.txt;0.7792077
000131.txt;True;000131.txt;0.78145623
000132.txt;True;000132.txt;0.763771
000133.txt;True;000133.txt;0.82045835
000134.txt;True;000134.txt;0.58540785
000135.txt;True;000135.txt;0.3782027
000136.txt;True;000136.txt;0.68228036
000137.txt;True;000137.txt;0.3879825
000138.txt;True;000138.txt;0.42093652
000139.txt;False;047799.txt;0.32302266
000140.txt;True;000140.txt;0.6067294
000141.txt;True;000141.txt;0.61640066
000142.txt;False;078095.txt;0.4469512
000143.txt;False;021736.txt;0.5617604
000144.txt;True;000144.txt;0.34984308
000145.txt;False;002447.txt;0.44708252
000146.txt;False;022099.txt;0.35869247
000147.txt;True;000147.txt;0.53453004
000148.txt;False;072093.txt;0.543121
000149.txt;True;000149.txt;0.72527456
000150.txt;True;000150.txt;0.44014406
000151.txt;False;040008.txt;0.40903744
000152.txt;False;001715.txt;0.6071373
000153.txt;True;000153.txt;0.62119746
000154.txt;False;070021.txt;0.48491493
000155.txt;True;000155.txt;0.4529031
000156.txt;False;042572.txt;0.628242
000157.txt;False;078565.txt;0.521359
000158.txt;True;000158.txt;0.7104348
000159.txt;False;009012.txt;0.52228606
000160.txt;True;000160.txt;0.60926116
000161.txt;True;000161.txt;0.56604826
000162.txt;False;023945.txt;0.64588034
000163.txt;True;000163.txt;0.73538554
000164.txt;True;000164.txt;0.5274251
000165.txt;True;000165.txt;0.5282922
000166.txt;True;000166.txt;0.6403086
000167.txt;True;000167.txt;0.6332542
000168.txt;True;000168.txt;0.41666523
000169.txt;False;062016.txt;0.5062038
000170.txt;True;000170.txt;0.5056038
000171.txt;True;000171.txt;0.5987904
000172.txt;True;000172.txt;0.6832024
000173.txt;False;026126.txt;0.387963
000174.txt;False;028180.txt;0.37031356
000175.txt;True;000175.txt;0.38492727
000176.txt;True;000176.txt;0.6581171
000177.txt;False;004481.txt;0.44529074
000178.txt;False;003735.txt;0.6590767
000179.txt;True;000179.txt;0.56613755
000180.txt;True;000180.txt;0.5777253
000181.txt;False;039350.txt;0.7551501
000182.txt;True;000182.txt;0.80550814
000183.txt;True;000183.txt;0.76826936
000184.txt;True;000184.txt;0.7999579
000185.txt;False;039350.txt;0.70064914
000186.txt;False;058936.txt;0.3924248
000187.txt;True;000187.txt;0.79101634
000188.txt;True;000188.txt;0.83476937
000189.txt;True;000189.txt;0.8356263
000190.txt;True;000190.txt;0.7437837
000191.txt;True;000191.txt;0.55700064
000192.txt;False;074610.txt;0.38954937
000193.txt;False;040236.txt;0.59618384
000194.txt;True;000194.txt;0.500355
000195.txt;False;011909.txt;0.42608795
000196.txt;False;019475.txt;0.46521
000197.txt;False;063342.txt;0.3612605
000198.txt;False;040819.txt;0.468185
000199.txt;True;000199.txt;0.6587863
000200.txt;True;000200.txt;0.6141094
000201.txt;False;020746.txt;0.44803476
000202.txt;True;000202.txt;0.51250887
000203.txt;True;000203.txt;0.47763476
000204.txt;False;078625.txt;0.68790585
000205.txt;False;078784.txt;0.71756303
000206.txt;True;000206.txt;0.74518776
000207.txt;True;000207.txt;0.47608674
000208.txt;False;072232.txt;0.38561636
000209.txt;True;000209.txt;0.51804614
000210.txt;False;046930.txt;0.43808776
000211.txt;True;000211.txt;0.5486721
000212.txt;True;000212.txt;0.65829605
000213.txt;True;000213.txt;0.6568159
000214.txt;True;000214.txt;0.7430959
000215.txt;False;076457.txt;0.31380755
000216.txt;False;031299.txt;0.4251129
000217.txt;False;000176.txt;0.61885643
000219.txt;True;000219.txt;0.5906949
000220.txt;False;078947.txt;0.58883655
000221.txt;True;000221.txt;0.6123289
000222.txt;True;000222.txt;0.7365715
000223.txt;False;066775.txt;0.34517163
000224.txt;False;013968.txt;0.3199829
000225.txt;True;000225.txt;0.6234789
000226.txt;True;000226.txt;0.45264447
000227.txt;True;000227.txt;0.76516986
000228.txt;True;000228.txt;0.6404686
000229.txt;False;004720.txt;0.3107571
000230.txt;True;000230.txt;0.62112975
000231.txt;True;000231.txt;0.48605382
000232.txt;False;072121.txt;0.3462249
000233.txt;False;003407.txt;0.4770476
000234.txt;False;034574.txt;0.43738234
000235.txt;True;000235.txt;0.39843968
000236.txt;True;000236.txt;0.8081702
000237.txt;True;000237.txt;0.49891663
000238.txt;True;000238.txt;0.63740444
000239.txt;False;000112.txt;0.41905916
000240.txt;False;037400.txt;0.34139183
000241.txt;True;000241.txt;0.5762693
000242.txt;True;000242.txt;0.27499312
000243.txt;True;000243.txt;0.6053628
000244.txt;False;002941.txt;0.45612675
000245.txt;True;000245.txt;0.67131937
000246.txt;False;002342.txt;0.565312
000247.txt;True;000247.txt;0.58882034
000248.txt;False;043642.txt;0.5113113
000249.txt;True;000249.txt;0.57844514
000250.txt;True;000250.txt;0.6516897
000251.txt;True;000251.txt;0.5743165
000252.txt;True;000252.txt;0.6055683
000253.txt;True;000253.txt;0.51738966
000254.txt;False;034704.txt;0.40000388
