query_file;found;search_result;search_distances
000000.txt;False;003653.txt;4.006217
000001.txt;True;000001.txt;3.8095093
000002.txt;False;013182.txt;3.131074
000003.txt;True;000003.txt;3.6114717
000004.txt;True;000004.txt;3.9873905
000005.txt;False;017072.txt;3.073484
000006.txt;False;027866.txt;3.4595013
000007.txt;False;057924.txt;4.078067
000008.txt;False;031704.txt;4.30535
000009.txt;False;005244.txt;3.67445
000010.txt;False;077943.txt;3.604917
000011.txt;True;000011.txt;3.926444
000012.txt;True;000012.txt;3.2848616
000013.txt;True;000013.txt;3.4377646
000014.txt;True;000014.txt;3.4076777
000015.txt;True;000015.txt;3.3826869
000016.txt;True;000016.txt;3.7735193
000017.txt;True;000017.txt;4.5840797
000018.txt;True;000018.txt;4.0101404
000019.txt;True;000019.txt;4.048465
000020.txt;False;028500.txt;4.2698536
000021.txt;True;000021.txt;3.4715796
000022.txt;True;000022.txt;3.8540783
000023.txt;True;000023.txt;3.8888173
000024.txt;True;000024.txt;4.108475
000025.txt;True;000025.txt;3.8718066
000026.txt;False;044829.txt;3.833053
000027.txt;True;000027.txt;4.1457777
000028.txt;True;000028.txt;3.697479
000029.txt;True;000029.txt;3.9607897
000030.txt;False;007403.txt;3.8850589
000031.txt;True;000031.txt;3.9700174
000032.txt;True;000032.txt;4.094777
000034.txt;True;000034.txt;3.9178433
000035.txt;False;017471.txt;4.496604
000036.txt;False;055074.txt;3.7555494
000037.txt;True;000037.txt;3.738585
000038.txt;True;000038.txt;3.9922
000039.txt;True;000039.txt;3.7531972
000040.txt;True;000040.txt;3.7018888
000041.txt;True;000041.txt;3.9365468
000042.txt;True;000042.txt;3.7880237
000043.txt;True;000043.txt;3.8102007
000044.txt;True;000044.txt;3.719455
000045.txt;True;000045.txt;4.0452137
000046.txt;True;000046.txt;3.6975968
000047.txt;False;078617.txt;4.263461
000048.txt;False;075897.txt;3.4415474
000049.txt;False;017058.txt;3.3488364
000050.txt;False;017996.txt;3.098837
000051.txt;False;001403.txt;4.4680524
000052.txt;False;047380.txt;4.416983
000053.txt;False;017058.txt;3.0927522
000054.txt;True;000054.txt;4.5305986
000055.txt;True;000055.txt;4.4256444
000056.txt;False;016415.txt;3.3123636
000057.txt;False;017072.txt;3.238109
000058.txt;True;000058.txt;3.4117887
000059.txt;True;000059.txt;3.9781055
000060.txt;False;017356.txt;3.307614
000061.txt;True;000061.txt;3.5260916
000062.txt;True;000062.txt;4.017295
000063.txt;True;000063.txt;4.554037
000064.txt;False;010268.txt;3.3369946
000065.txt;True;000065.txt;3.2103546
000066.txt;False;055971.txt;4.0119476
000067.txt;True;000067.txt;3.4270291
000068.txt;False;048251.txt;4.060351
000069.txt;False;030290.txt;4.1241207
000070.txt;False;017072.txt;3.444819
000071.txt;True;000071.txt;4.3238807
000072.txt;False;018052.txt;3.3795962
000073.txt;False;073525.txt;4.100852
000074.txt;False;029022.txt;4.537526
000075.txt;False;023097.txt;3.7494779
000076.txt;True;000076.txt;3.6810622
000077.txt;False;077984.txt;3.1702032
000078.txt;False;078598.txt;4.4985843
000079.txt;False;005148.txt;3.7145846
000080.txt;False;017058.txt;3.148895
000081.txt;False;008515.txt;3.1269488
000082.txt;False;017058.txt;3.8064446
000083.txt;False;000805.txt;4.8041773
000084.txt;False;069815.txt;4.1659565
000085.txt;True;000085.txt;3.3251781
000086.txt;True;000086.txt;3.8656316
000087.txt;False;017058.txt;2.391338
000088.txt;False;056415.txt;3.6980464
000089.txt;False;053877.txt;4.1534157
000090.txt;False;035137.txt;3.8616493
000091.txt;True;000091.txt;3.1045845
000092.txt;False;015028.txt;3.6366239
000093.txt;True;000093.txt;3.6843987
000094.txt;False;023328.txt;3.9074697
000095.txt;False;077984.txt;3.367638
000096.txt;False;031704.txt;4.344652
000097.txt;False;048083.txt;3.6773627
000098.txt;False;003659.txt;3.8867955
000099.txt;True;000099.txt;3.6616406
000100.txt;False;018220.txt;2.9076486
000101.txt;True;000101.txt;3.6174698
000102.txt;False;017058.txt;2.5499153
000103.txt;False;019282.txt;4.2609663
000104.txt;True;000104.txt;3.951709
000105.txt;True;000105.txt;4.0173855
000106.txt;True;000106.txt;3.4105964
000107.txt;False;062743.txt;4.1234155
000108.txt;True;000108.txt;3.7470405
000109.txt;True;000109.txt;3.931731
000110.txt;True;000110.txt;3.8673987
000111.txt;False;078142.txt;3.64376
000112.txt;False;043233.txt;4.1114564
000113.txt;True;000113.txt;3.5344114
000114.txt;True;000114.txt;4.5046806
000115.txt;True;000115.txt;4.426411
000116.txt;False;017058.txt;2.8801293
000117.txt;True;000117.txt;3.5380733
000118.txt;True;000118.txt;3.4723206
000119.txt;False;043233.txt;4.2528687
000120.txt;False;000121.txt;3.503903
000121.txt;False;017072.txt;3.245878
000122.txt;False;074075.txt;3.8574634
000123.txt;True;000123.txt;3.2198913
000124.txt;True;000124.txt;3.9830813
000126.txt;True;000126.txt;3.4749305
000127.txt;False;078617.txt;4.4340987
000128.txt;True;000128.txt;4.268371
000129.txt;False;000117.txt;3.9809575
000130.txt;False;078617.txt;4.4402447
000131.txt;False;044528.txt;4.269478
000132.txt;True;000132.txt;3.748196
000133.txt;True;000133.txt;4.0672445
000134.txt;True;000134.txt;4.568954
000135.txt;True;000135.txt;3.8275173
000136.txt;True;000136.txt;3.954844
000137.txt;True;000137.txt;4.698908
000138.txt;True;000138.txt;3.4129767
000139.txt;False;077984.txt;3.8604617
000140.txt;True;000140.txt;3.1674864
000141.txt;True;000141.txt;3.5701628
000142.txt;False;017058.txt;3.3499837
000143.txt;False;017072.txt;3.3596027
000144.txt;True;000144.txt;3.7861884
000145.txt;False;017058.txt;2.6983578
000146.txt;False;020416.txt;4.3239193
000147.txt;True;000147.txt;3.5868714
000148.txt;True;000148.txt;4.3289695
000149.txt;False;077948.txt;4.2596006
000150.txt;False;017058.txt;3.531407
000151.txt;False;006713.txt;3.7622902
000152.txt;False;017573.txt;3.3195286
000153.txt;False;004492.txt;3.3693318
000154.txt;False;077984.txt;2.8615131
000155.txt;False;039576.txt;3.9865937
000156.txt;True;000156.txt;3.7232764
000157.txt;False;000158.txt;4.117664
000158.txt;False;069360.txt;4.0126762
000159.txt;False;014118.txt;4.161713
000160.txt;False;001824.txt;3.8403726
000161.txt;True;000161.txt;3.7071724
000162.txt;False;001335.txt;4.010919
000163.txt;True;000163.txt;4.1325855
000164.txt;False;047300.txt;4.1024017
000165.txt;True;000165.txt;3.3899617
000166.txt;True;000166.txt;3.6683683
000167.txt;True;000167.txt;3.9303393
000168.txt;True;000168.txt;4.5536814
000169.txt;False;017058.txt;2.6263075
000170.txt;True;000170.txt;4.303623
000171.txt;True;000171.txt;3.3326886
000172.txt;False;075836.txt;4.389002
000173.txt;False;058081.txt;4.692992
000174.txt;False;017058.txt;2.6672509
000175.txt;True;000175.txt;4.2431536
000176.txt;False;000221.txt;3.3135855
000177.txt;False;076376.txt;4.0579224
000178.txt;False;041935.txt;3.9205565
000179.txt;False;078235.txt;3.3726873
000180.txt;False;070495.txt;4.878276
000181.txt;True;000181.txt;3.8617673
000182.txt;True;000182.txt;4.2561793
000183.txt;False;016073.txt;4.282837
000184.txt;True;000184.txt;4.0330696
000185.txt;True;000185.txt;4.0325646
000186.txt;False;058936.txt;4.2015266
000187.txt;False;043490.txt;3.9431062
000188.txt;False;078617.txt;4.4170413
000189.txt;False;000012.txt;4.05278
000190.txt;True;000190.txt;3.5774813
000191.txt;False;076637.txt;4.1923494
000192.txt;False;037250.txt;4.1048975
000193.txt;False;054669.txt;3.6552022
000194.txt;False;039953.txt;4.095504
000195.txt;False;011970.txt;4.2004085
000196.txt;False;059815.txt;3.7065861
000197.txt;False;059815.txt;5.161688
000198.txt;False;005926.txt;5.5082006
000199.txt;True;000199.txt;3.3266287
000200.txt;True;000200.txt;3.9230168
000201.txt;False;076474.txt;4.8199644
000202.txt;False;016178.txt;3.1817002
000203.txt;False;043860.txt;3.5693398
000204.txt;False;078625.txt;3.7741961
000205.txt;False;078625.txt;3.7096536
000206.txt;False;078788.txt;4.245696
000207.txt;False;050219.txt;4.670079
000208.txt;False;039576.txt;3.8893204
000209.txt;True;000209.txt;4.796178
000210.txt;False;007597.txt;4.1260104
000211.txt;False;061603.txt;4.7965307
000212.txt;False;044271.txt;3.8741043
000213.txt;False;031117.txt;3.5564966
000214.txt;True;000214.txt;2.9320261
000215.txt;True;000215.txt;4.694022
000216.txt;False;007040.txt;4.2150884
000217.txt;True;000217.txt;3.3029928
000219.txt;True;000219.txt;4.5191393
000220.txt;False;051733.txt;3.8251505
000221.txt;True;000221.txt;3.1127656
000222.txt;True;000222.txt;4.203376
000223.txt;False;077984.txt;3.9396985
000224.txt;True;000224.txt;3.8034961
000225.txt;False;017072.txt;2.9865038
000226.txt;False;029614.txt;4.9318504
000227.txt;False;014658.txt;3.9859672
000228.txt;True;000228.txt;3.6149743
000229.txt;False;013605.txt;4.377929
000230.txt;False;078135.txt;4.1544504
000231.txt;False;007040.txt;4.8760676
000232.txt;False;036405.txt;4.7978125
000233.txt;True;000233.txt;3.597662
000234.txt;False;047799.txt;4.3395734
000235.txt;False;016928.txt;4.3077083
000236.txt;True;000236.txt;3.7644937
000237.txt;True;000237.txt;4.005501
000238.txt;True;000238.txt;3.6723845
000239.txt;False;000117.txt;4.272841
000240.txt;False;041789.txt;5.252433
000241.txt;True;000241.txt;2.6687388
000242.txt;True;000242.txt;4.419979
000243.txt;True;000243.txt;2.706666
000244.txt;False;066332.txt;4.6756287
