query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.9778901
000001.txt;True;000001.txt;1.0000001
000002.txt;True;000002.txt;0.77659935
000003.txt;True;000003.txt;0.9437456
000004.txt;False;017224.txt;0.7291645
000005.txt;True;000005.txt;0.85142124
000006.txt;True;000006.txt;0.8520608
000007.txt;False;009564.txt;0.67195845
000008.txt;False;029512.txt;0.57995176
000009.txt;True;000009.txt;0.92420816
000010.txt;True;000010.txt;0.83556855
000011.txt;True;000011.txt;0.94554365
000012.txt;True;000012.txt;0.9022473
000013.txt;True;000013.txt;0.87427306
000014.txt;True;000014.txt;0.8508929
000015.txt;True;000015.txt;0.96257555
000016.txt;False;069346.txt;0.80970216
000017.txt;True;000017.txt;0.8095469
000018.txt;True;000018.txt;0.89192325
000019.txt;True;000019.txt;0.8996165
000020.txt;True;000020.txt;0.8532007
000021.txt;False;016153.txt;0.7982954
000022.txt;False;053105.txt;0.7791376
000023.txt;False;045783.txt;0.8112713
000024.txt;False;046041.txt;0.79865277
000025.txt;False;045668.txt;0.8054403
000026.txt;False;076209.txt;0.7222489
000027.txt;False;062264.txt;0.7826135
000028.txt;False;024473.txt;0.7785711
000029.txt;False;045185.txt;0.810186
000030.txt;False;057536.txt;0.829909
000031.txt;False;050272.txt;0.8363744
000032.txt;True;000032.txt;0.9551562
000034.txt;True;000034.txt;0.72615224
000035.txt;False;042806.txt;0.7477987
000036.txt;True;000036.txt;0.88725775
000037.txt;False;044930.txt;0.80933005
000038.txt;False;044750.txt;0.74259824
000039.txt;False;044750.txt;0.75629264
000040.txt;False;043742.txt;0.75582707
000041.txt;True;000041.txt;0.7578424
000042.txt;False;044660.txt;0.818329
000043.txt;False;043969.txt;0.73866045
000044.txt;True;000044.txt;0.90162647
000045.txt;True;000045.txt;0.89131016
000046.txt;True;000046.txt;0.9026403
000047.txt;True;000047.txt;0.90551555
000048.txt;True;000048.txt;1.0
000049.txt;True;000049.txt;0.8235347
000050.txt;True;000050.txt;0.96289444
000051.txt;True;000051.txt;0.90581715
000052.txt;True;000052.txt;0.91613317
000053.txt;True;000053.txt;0.75263035
000054.txt;False;056723.txt;0.63944477
000055.txt;False;000575.txt;0.7539531
000056.txt;False;070084.txt;0.6151599
000057.txt;True;000057.txt;0.86708164
000058.txt;True;000058.txt;0.71682537
000059.txt;True;000059.txt;0.7976926
000060.txt;True;000060.txt;0.7131179
000061.txt;True;000061.txt;0.8640154
000062.txt;True;000062.txt;0.87252355
000063.txt;False;077793.txt;0.78595376
000064.txt;True;000064.txt;0.769637
000065.txt;True;000065.txt;0.95298773
000066.txt;True;000066.txt;0.9999999
000067.txt;True;000067.txt;0.95975125
000068.txt;False;015479.txt;0.77181065
000069.txt;True;000069.txt;0.7372372
000070.txt;True;000070.txt;0.8489774
000071.txt;True;000071.txt;0.67672205
000072.txt;True;000072.txt;1.0000002
000073.txt;True;000073.txt;0.9088995
000074.txt;True;000074.txt;0.77955276
000075.txt;True;000075.txt;0.84792215
000076.txt;True;000076.txt;0.8102919
000077.txt;False;041851.txt;0.83431566
000078.txt;True;000078.txt;0.86429906
000079.txt;True;000079.txt;0.8567317
000080.txt;False;002417.txt;0.70129937
000081.txt;True;000081.txt;0.702679
000082.txt;False;010037.txt;0.6771778
000083.txt;False;011149.txt;0.8180988
000084.txt;False;003500.txt;0.6755347
000085.txt;True;000085.txt;0.925746
000086.txt;True;000086.txt;0.94996536
000087.txt;True;000087.txt;0.879664
000088.txt;False;019282.txt;0.78384197
000089.txt;True;000089.txt;0.8761612
000090.txt;False;076746.txt;0.7753422
000091.txt;True;000091.txt;0.9664616
000092.txt;True;000092.txt;0.88772535
000093.txt;True;000093.txt;0.9546664
000094.txt;False;042812.txt;0.74065363
000095.txt;True;000095.txt;0.78751755
000096.txt;False;046785.txt;0.69711494
000097.txt;True;000097.txt;0.9027691
000098.txt;True;000098.txt;0.92615414
000099.txt;False;021919.txt;0.7452457
000100.txt;True;000100.txt;0.9297786
000101.txt;True;000101.txt;0.80449736
000102.txt;True;000102.txt;0.89910054
000103.txt;True;000103.txt;0.93396246
000104.txt;False;003862.txt;0.82580036
000105.txt;True;000105.txt;0.7798337
000106.txt;True;000106.txt;0.9058064
000107.txt;True;000107.txt;0.85504544
000108.txt;False;043969.txt;0.8257201
000109.txt;True;000109.txt;0.76224035
000110.txt;True;000110.txt;0.9326639
000111.txt;False;068510.txt;0.7481026
000112.txt;True;000112.txt;0.62890565
000113.txt;False;015626.txt;0.7225535
000114.txt;True;000114.txt;0.94398415
000115.txt;True;000115.txt;1.0
000116.txt;True;000116.txt;0.8891399
000117.txt;False;024595.txt;0.6442106
000118.txt;True;000118.txt;1.0000001
000119.txt;True;000119.txt;0.69891196
000120.txt;True;000120.txt;0.97740424
000121.txt;True;000121.txt;1.0
000122.txt;False;029476.txt;0.6735008
000123.txt;True;000123.txt;0.99999994
000124.txt;True;000124.txt;1.0000002
000126.txt;True;000126.txt;0.90962255
000127.txt;True;000127.txt;0.8647766
000128.txt;True;000128.txt;0.91286945
000129.txt;False;078753.txt;0.72048867
000130.txt;True;000130.txt;0.9039888
000131.txt;True;000131.txt;0.90723693
000132.txt;True;000132.txt;0.9104738
000133.txt;True;000133.txt;0.88895965
000134.txt;True;000134.txt;0.9064206
000135.txt;True;000135.txt;0.7183111
000136.txt;False;007823.txt;0.6913319
000137.txt;True;000137.txt;0.8375401
000138.txt;True;000138.txt;0.97537553
000139.txt;False;015578.txt;0.72187424
000140.txt;True;000140.txt;1.0
000141.txt;True;000141.txt;0.95100385
000142.txt;True;000142.txt;0.9271354
000143.txt;False;053520.txt;0.7043551
000144.txt;False;075999.txt;0.6498465
000145.txt;True;000145.txt;0.8238932
000146.txt;False;005000.txt;0.83477885
000147.txt;False;028082.txt;0.68898106
000148.txt;True;000148.txt;0.7697741
000149.txt;True;000149.txt;0.8815721
000150.txt;True;000150.txt;0.94384634
000151.txt;False;005033.txt;0.7214486
000152.txt;True;000152.txt;0.8495021
000153.txt;True;000153.txt;1.0
000154.txt;True;000154.txt;0.8975103
000155.txt;False;065997.txt;0.57918096
000156.txt;True;000156.txt;0.9358516
000157.txt;False;002336.txt;0.73173666
000158.txt;False;000163.txt;0.87713027
000159.txt;False;045650.txt;0.7813537
000160.txt;False;072243.txt;0.6167078
000161.txt;False;044936.txt;0.714805
000162.txt;True;000162.txt;0.8765907
000163.txt;True;000163.txt;0.9063083
000164.txt;True;000164.txt;1.0000001
000165.txt;True;000165.txt;1.0
000166.txt;True;000166.txt;0.9999998
000167.txt;True;000167.txt;0.82832825
000168.txt;True;000168.txt;0.6819315
000169.txt;True;000169.txt;0.91620666
000170.txt;True;000170.txt;0.872803
000171.txt;True;000171.txt;0.9383045
000172.txt;False;067614.txt;0.80918646
000173.txt;True;000173.txt;0.9567034
000174.txt;True;000174.txt;1.0000001
000175.txt;False;028142.txt;0.7337242
000176.txt;False;000221.txt;0.72096574
000177.txt;False;037343.txt;0.7496493
000178.txt;True;000178.txt;0.7374096
000179.txt;True;000179.txt;1.0
000180.txt;False;072904.txt;0.7135664
000181.txt;True;000181.txt;1.0000001
000182.txt;True;000182.txt;1.0
000183.txt;True;000183.txt;1.0
000184.txt;True;000184.txt;0.81652844
000185.txt;True;000185.txt;1.0000001
000186.txt;False;065756.txt;0.653049
000187.txt;True;000187.txt;0.90196323
000188.txt;True;000188.txt;0.9159074
000189.txt;True;000189.txt;0.9119752
000190.txt;True;000190.txt;0.8960526
000191.txt;True;000191.txt;0.9401183
000192.txt;True;000192.txt;0.9045269
000193.txt;True;000193.txt;0.8419222
000194.txt;True;000194.txt;0.91208434
000195.txt;False;066716.txt;0.67640734
000196.txt;False;042197.txt;0.6165812
000197.txt;False;036487.txt;0.76714975
000198.txt;True;000198.txt;0.8096372
000199.txt;True;000199.txt;1.0
000200.txt;True;000200.txt;0.8039471
000201.txt;False;027646.txt;0.7238402
000202.txt;True;000202.txt;0.907893
000203.txt;False;071058.txt;0.7590306
000204.txt;True;000204.txt;0.8203255
000205.txt;True;000205.txt;0.8529832
000206.txt;True;000206.txt;0.75549674
000207.txt;True;000207.txt;0.8911271
000208.txt;False;076422.txt;0.71581805
000209.txt;False;020364.txt;0.67516446
000210.txt;False;047654.txt;0.6224035
000211.txt;False;010983.txt;0.7796202
000212.txt;True;000212.txt;0.94721794
000213.txt;False;009392.txt;0.6587727
000214.txt;True;000214.txt;1.0
000215.txt;True;000215.txt;0.9290371
000216.txt;False;049092.txt;0.733022
000217.txt;False;002757.txt;0.6875559
000219.txt;True;000219.txt;0.96047103
000220.txt;False;012308.txt;0.6645621
000221.txt;True;000221.txt;0.7647398
000222.txt;True;000222.txt;0.72635055
000223.txt;False;029125.txt;0.7094629
000224.txt;True;000224.txt;0.9398521
000225.txt;True;000225.txt;0.8404921
000226.txt;False;065494.txt;0.779762
000227.txt;True;000227.txt;0.9357799
000228.txt;True;000228.txt;0.9099674
000229.txt;False;040800.txt;0.78541875
000230.txt;True;000230.txt;0.9177067
000231.txt;False;014320.txt;0.66403
000232.txt;False;008194.txt;0.8119518
000233.txt;True;000233.txt;0.9807477
000234.txt;False;006142.txt;0.7559768
000235.txt;False;061212.txt;0.7825264
000236.txt;True;000236.txt;0.9057349
000237.txt;True;000237.txt;0.8846624
000238.txt;True;000238.txt;0.9613636
000239.txt;False;000129.txt;0.64609087
000240.txt;True;000240.txt;0.794603
000241.txt;True;000241.txt;1.0
000242.txt;False;078337.txt;0.77596784
000243.txt;True;000243.txt;0.9658937
000244.txt;True;000244.txt;0.8432863
000245.txt;True;000245.txt;0.7512369
000246.txt;True;000246.txt;0.82717085
000247.txt;False;040446.txt;0.6709811
000248.txt;True;000248.txt;0.94085896
000249.txt;True;000249.txt;1.0000001
000250.txt;True;000250.txt;1.0000002
000251.txt;True;000251.txt;0.85858405
000252.txt;True;000252.txt;0.9618434
000253.txt;True;000253.txt;1.0
000254.txt;True;000254.txt;1.0
000255.txt;False;012130.txt;0.65497506
000256.txt;True;000256.txt;0.6410143
000257.txt;True;000257.txt;0.9107883
000258.txt;False;040169.txt;0.84150326
000259.txt;True;000259.txt;0.8845359
000260.txt;True;000260.txt;0.80983263
000261.txt;False;042981.txt;0.6284168
000262.txt;True;000262.txt;1.0000001
000263.txt;True;000263.txt;0.94200176
000264.txt;False;073451.txt;0.7023885
000265.txt;True;000265.txt;0.887637
000266.txt;True;000266.txt;0.83091897
000267.txt;True;000267.txt;0.9192966
000268.txt;True;000268.txt;0.7113067
000269.txt;True;000269.txt;0.926785
000270.txt;True;000270.txt;0.9331814
000271.txt;True;000271.txt;0.91217947
000272.txt;True;000272.txt;0.9136531
000273.txt;True;000273.txt;0.89570844
000274.txt;True;000274.txt;0.908414
000275.txt;True;000275.txt;1.0
000276.txt;False;015886.txt;0.7398027
000277.txt;False;045271.txt;0.802747
000278.txt;True;000278.txt;0.91815037
000279.txt;True;000279.txt;0.9267286
000280.txt;True;000280.txt;0.9237691
000281.txt;True;000281.txt;0.90707374
000282.txt;True;000282.txt;0.8916425
000283.txt;True;000283.txt;0.907166
000284.txt;True;000284.txt;0.92057145
000285.txt;True;000285.txt;0.63751554
000286.txt;True;000286.txt;0.9181869
000287.txt;False;000280.txt;0.8088716
000288.txt;True;000288.txt;0.92566824
000289.txt;False;015370.txt;0.7888248
000290.txt;True;000290.txt;0.8742385
000291.txt;True;000291.txt;0.8832625
000292.txt;True;000292.txt;0.8822912
000293.txt;True;000293.txt;1.0000002
000294.txt;False;009110.txt;0.7581012
000295.txt;True;000295.txt;0.99999994
000296.txt;True;000296.txt;0.7982161
000297.txt;False;000296.txt;0.70238686
000298.txt;False;021927.txt;0.7806406
000299.txt;False;016429.txt;0.7553945
000300.txt;True;000300.txt;0.86531556
000301.txt;True;000301.txt;0.92459404
000302.txt;True;000302.txt;0.8337505
000303.txt;True;000303.txt;0.8902377
000304.txt;False;045685.txt;0.85228324
000305.txt;True;000305.txt;1.0000001
000306.txt;True;000306.txt;0.9382067
000308.txt;True;000308.txt;1.0
000309.txt;True;000309.txt;0.8514819
000310.txt;False;063995.txt;0.7560909
000311.txt;True;000311.txt;0.82741004
000312.txt;True;000312.txt;0.99999994
000313.txt;False;026945.txt;0.7477883
000314.txt;False;002452.txt;0.6583965
000315.txt;True;000315.txt;0.76913434
000316.txt;True;000316.txt;0.8208022
000317.txt;True;000317.txt;0.7653463
000318.txt;True;000318.txt;0.89861965
000319.txt;False;073829.txt;0.78312093
000320.txt;True;000320.txt;1.0
000321.txt;True;000321.txt;0.7703323
000322.txt;True;000322.txt;0.93037665
000323.txt;True;000323.txt;0.70919096
000324.txt;False;023930.txt;0.8045665
000325.txt;True;000325.txt;1.0000002
000326.txt;True;000326.txt;0.9373804
000327.txt;True;000327.txt;1.0
000328.txt;False;072066.txt;0.75966924
000329.txt;False;029603.txt;0.71082455
000330.txt;True;000330.txt;0.8590695
000331.txt;True;000331.txt;0.6248273
000332.txt;False;025370.txt;0.67163086
000333.txt;True;000333.txt;0.8918799
000334.txt;False;025514.txt;0.74451035
000335.txt;True;000335.txt;0.7867752
000336.txt;False;046431.txt;0.63631463
000337.txt;True;000337.txt;0.8789333
000338.txt;True;000338.txt;0.894333
000339.txt;False;054341.txt;0.6580217
000341.txt;False;076469.txt;0.6625496
000342.txt;True;000342.txt;0.9169804
000343.txt;False;020553.txt;0.7162392
000344.txt;True;000344.txt;0.85325146
000345.txt;False;033180.txt;0.7203725
000346.txt;True;000346.txt;1.0000002
000347.txt;False;038086.txt;0.7780175
000348.txt;False;042404.txt;0.68797636
000349.txt;False;076225.txt;0.7988322
000350.txt;False;019343.txt;0.85346407
000351.txt;True;000351.txt;0.723737
000352.txt;False;074027.txt;0.825566
000353.txt;True;000353.txt;0.9999999
000354.txt;False;046975.txt;0.6306967
000355.txt;False;001263.txt;0.6908339
000356.txt;False;072798.txt;0.6491323
000357.txt;True;000357.txt;1.0000001
000358.txt;True;000358.txt;1.0000001
000359.txt;False;072798.txt;0.66197693
000360.txt;True;000360.txt;0.8853241
000361.txt;False;014901.txt;0.6172763
000362.txt;False;006203.txt;0.6922219
000363.txt;True;000363.txt;0.6845473
000364.txt;True;000364.txt;1.0000001
000366.txt;True;000366.txt;0.7447485
000367.txt;False;018575.txt;0.8124703
000368.txt;True;000368.txt;0.8388599
000369.txt;False;071750.txt;0.80232394
000370.txt;True;000370.txt;0.8303859
000371.txt;False;023661.txt;0.75103796
000372.txt;True;000372.txt;0.9893398
000373.txt;True;000373.txt;0.8340864
000374.txt;False;030115.txt;0.74589556
000375.txt;True;000375.txt;1.0
000376.txt;True;000376.txt;1.0
000377.txt;False;021137.txt;0.8230419
000378.txt;False;028159.txt;0.65368843
000379.txt;True;000379.txt;0.7223855
000380.txt;False;077328.txt;0.80820745
000381.txt;True;000381.txt;1.0000001
000382.txt;True;000382.txt;1.0000002
000383.txt;True;000383.txt;0.5742853
000384.txt;False;009753.txt;0.6534333
000385.txt;True;000385.txt;0.7480563
000386.txt;True;000386.txt;0.9240023
000387.txt;True;000387.txt;0.734606
000388.txt;False;024986.txt;0.71730906
000389.txt;True;000389.txt;1.0
000390.txt;True;000390.txt;0.8400823
000391.txt;True;000391.txt;0.8068817
000392.txt;True;000392.txt;0.8539976
000393.txt;True;000393.txt;0.69784725
000394.txt;True;000394.txt;0.9385216
000395.txt;True;000395.txt;0.74963224
000396.txt;True;000396.txt;0.94191957
000397.txt;True;000397.txt;0.7933396
000398.txt;True;000398.txt;0.851087
000399.txt;True;000399.txt;0.8228965
000400.txt;True;000400.txt;0.9435971
000401.txt;True;000401.txt;0.91845953
000402.txt;True;000402.txt;0.77422583
000403.txt;False;009327.txt;0.6496924
000404.txt;True;000404.txt;0.8375437
000405.txt;True;000405.txt;0.7182016
000406.txt;True;000406.txt;0.9473622
000407.txt;True;000407.txt;0.8526601
000408.txt;True;000408.txt;0.7528856
000409.txt;True;000409.txt;0.7737376
000410.txt;True;000410.txt;0.9009932
000411.txt;False;036904.txt;0.72868407
000412.txt;False;048139.txt;0.84511685
000413.txt;True;000413.txt;0.8442611
000414.txt;False;010826.txt;0.6772723
000415.txt;True;000415.txt;1.0000001
000416.txt;True;000416.txt;1.0
000417.txt;False;034192.txt;0.800228
000418.txt;True;000418.txt;0.7924024
000419.txt;True;000419.txt;0.8912524
000420.txt;True;000420.txt;0.92807734
000421.txt;True;000421.txt;1.0
000422.txt;False;020068.txt;0.7958689
000423.txt;False;001873.txt;0.7667085
000424.txt;False;012240.txt;0.7511821
000425.txt;True;000425.txt;0.88024807
000426.txt;True;000426.txt;0.84360147
000427.txt;False;028748.txt;0.96109927
000428.txt;True;000428.txt;0.9999999
000429.txt;True;000429.txt;1.0000002
000430.txt;True;000430.txt;0.898345
000431.txt;False;072808.txt;0.9355919
000432.txt;True;000432.txt;0.9433341
000433.txt;True;000433.txt;1.0
000434.txt;True;000434.txt;0.8620275
000435.txt;True;000435.txt;0.9081522
000436.txt;True;000436.txt;1.0000001
000437.txt;False;009680.txt;0.87167716
000438.txt;True;000438.txt;0.9064776
000439.txt;False;025910.txt;0.7210832
000440.txt;True;000440.txt;0.8755307
000441.txt;True;000441.txt;0.8180554
000442.txt;True;000442.txt;0.91043806
000443.txt;True;000443.txt;0.81982523
000444.txt;True;000444.txt;1.0000002
000445.txt;True;000445.txt;0.8524084
000446.txt;True;000446.txt;0.91472316
000447.txt;True;000447.txt;0.9678292
000448.txt;False;012614.txt;1.0
000449.txt;True;000449.txt;1.0
000450.txt;True;000450.txt;1.0000002
000453.txt;False;076617.txt;0.79969895
000454.txt;True;000454.txt;0.91255116
000455.txt;True;000455.txt;0.8892286
000456.txt;True;000456.txt;1.0
