query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.46852282
000001.txt;True;000001.txt;0.61497974
000002.txt;True;000002.txt;0.7452657
000003.txt;True;000003.txt;0.44289857
000004.txt;True;000004.txt;0.51231223
000005.txt;False;078876.txt;0.6195321
000006.txt;False;078876.txt;0.68854314
000007.txt;False;017716.txt;0.67450744
000008.txt;False;028869.txt;0.6585541
000009.txt;True;000009.txt;0.7865335
000010.txt;False;005307.txt;0.8328259
000011.txt;True;000011.txt;0.26671863
000012.txt;True;000012.txt;0.67226076
000013.txt;True;000013.txt;0.7114779
000014.txt;True;000014.txt;0.39358252
000015.txt;False;078617.txt;0.70763505
000016.txt;False;078617.txt;0.6111109
000017.txt;True;000017.txt;0.6195308
000018.txt;True;000018.txt;0.5783268
000019.txt;True;000019.txt;0.30655783
000020.txt;False;011704.txt;0.44166917
000021.txt;True;000021.txt;0.43035313
000022.txt;True;000022.txt;0.32274652
000023.txt;True;000023.txt;0.3748843
000024.txt;False;016910.txt;0.72649944
000025.txt;True;000025.txt;0.27483302
000026.txt;False;044829.txt;0.3796768
000027.txt;True;000027.txt;0.292581
000028.txt;True;000028.txt;0.27197415
000029.txt;True;000029.txt;0.25678712
000030.txt;True;000030.txt;0.6330786
000031.txt;True;000031.txt;0.5237833
000032.txt;False;077511.txt;0.86143965
000034.txt;True;000034.txt;0.6434808
000035.txt;False;029584.txt;0.98981464
000036.txt;True;000036.txt;0.5356454
000037.txt;True;000037.txt;0.31156802
000038.txt;True;000038.txt;0.24114512
000039.txt;True;000039.txt;0.29136497
000040.txt;True;000040.txt;0.25889477
000041.txt;True;000041.txt;0.25091344
000042.txt;True;000042.txt;0.2570899
000043.txt;True;000043.txt;0.31408197
000044.txt;False;010500.txt;0.40801513
000045.txt;True;000045.txt;0.38687417
000046.txt;True;000046.txt;0.3612343
000047.txt;False;078360.txt;0.4137976
000048.txt;True;000048.txt;0.36719042
000049.txt;True;000049.txt;0.5309758
000050.txt;True;000050.txt;0.48549825
000051.txt;False;001403.txt;0.39801097
000052.txt;False;078360.txt;0.38190448
000053.txt;True;000053.txt;0.7632631
000054.txt;True;000054.txt;0.4289857
000055.txt;True;000055.txt;0.54974264
000056.txt;False;076419.txt;0.66036606
000057.txt;True;000057.txt;0.47471413
000058.txt;True;000058.txt;0.2975244
000059.txt;True;000059.txt;0.51060057
000060.txt;True;000060.txt;0.5913399
000061.txt;False;032056.txt;0.704808
000062.txt;True;000062.txt;0.4776783
000063.txt;True;000063.txt;0.54729337
000064.txt;False;002942.txt;0.78377867
000065.txt;True;000065.txt;0.51193905
000066.txt;False;059767.txt;0.76355267
000067.txt;True;000067.txt;0.6177969
000068.txt;True;000068.txt;0.28915954
000069.txt;True;000069.txt;0.62137127
000070.txt;False;006290.txt;0.8742715
000071.txt;False;007346.txt;0.47913104
000072.txt;True;000072.txt;0.57487047
000073.txt;True;000073.txt;0.66017336
000074.txt;False;053465.txt;0.6535598
000075.txt;False;077672.txt;0.8531305
000076.txt;True;000076.txt;0.62558043
000077.txt;True;000077.txt;0.5501515
000078.txt;True;000078.txt;0.5091095
000079.txt;True;000079.txt;0.57583004
000080.txt;False;002787.txt;0.78222996
000081.txt;False;077769.txt;0.7921709
000082.txt;False;004077.txt;0.8656113
000083.txt;False;025781.txt;0.59667075
000084.txt;True;000084.txt;0.58512306
000085.txt;True;000085.txt;0.4967191
000086.txt;False;075357.txt;0.9488925
000087.txt;False;002447.txt;0.6060009
000088.txt;False;000103.txt;0.5205265
000089.txt;True;000089.txt;0.8017379
000090.txt;True;000090.txt;0.5727272
000091.txt;True;000091.txt;0.412162
000092.txt;False;037419.txt;0.7185802
000093.txt;True;000093.txt;0.44792515
000094.txt;False;019647.txt;0.5366514
000095.txt;False;016377.txt;0.61653143
000096.txt;True;000096.txt;0.5235347
000097.txt;True;000097.txt;0.6320468
000098.txt;True;000098.txt;0.25161183
000099.txt;True;000099.txt;0.45758945
000100.txt;True;000100.txt;0.3939514
000101.txt;False;015657.txt;0.8071174
000102.txt;False;023116.txt;0.70909375
000103.txt;False;000088.txt;0.6437732
000104.txt;False;000112.txt;0.5240334
000105.txt;False;043379.txt;0.69374067
000106.txt;True;000106.txt;0.55718505
000107.txt;True;000107.txt;0.5140659
000108.txt;True;000108.txt;0.30452287
000109.txt;True;000109.txt;0.23223339
000110.txt;False;032745.txt;0.73740774
000111.txt;False;032707.txt;0.7630469
000112.txt;True;000112.txt;0.59476763
000113.txt;True;000113.txt;0.37177554
000114.txt;True;000114.txt;0.44081318
000115.txt;True;000115.txt;0.31580296
000116.txt;False;070140.txt;0.64177305
000117.txt;False;017096.txt;0.5761801
000118.txt;False;000120.txt;0.5401082
000119.txt;True;000119.txt;0.68180925
000120.txt;True;000120.txt;0.31075385
000121.txt;True;000121.txt;0.42917782
000122.txt;False;012134.txt;0.6197421
000123.txt;True;000123.txt;0.57879174
000124.txt;True;000124.txt;0.35562217
000126.txt;True;000126.txt;0.4271325
000127.txt;True;000127.txt;0.2940083
000128.txt;True;000128.txt;0.2378155
000129.txt;False;061932.txt;0.6421322
000130.txt;False;047277.txt;0.4033835
000131.txt;True;000131.txt;0.34374323
000132.txt;True;000132.txt;0.35222182
000133.txt;True;000133.txt;0.26363152
000134.txt;True;000134.txt;0.38130504
000135.txt;True;000135.txt;0.5703237
000136.txt;True;000136.txt;0.37446427
000137.txt;False;002135.txt;0.8042214
000138.txt;True;000138.txt;0.7795249
000139.txt;False;047799.txt;0.9546808
000140.txt;True;000140.txt;0.5349032
000141.txt;False;002452.txt;0.5692192
000142.txt;False;016180.txt;0.6844697
000143.txt;True;000143.txt;0.6302099
000144.txt;True;000144.txt;0.9109543
000145.txt;False;002447.txt;0.6679237
000146.txt;False;005453.txt;0.91053224
000147.txt;True;000147.txt;0.5196117
000148.txt;False;072093.txt;0.6682801
000149.txt;True;000149.txt;0.1865404
000150.txt;True;000150.txt;0.8833583
000151.txt;False;047059.txt;0.7557006
000152.txt;True;000152.txt;0.6248871
000153.txt;True;000153.txt;0.36062595
000154.txt;False;070140.txt;0.6617561
000155.txt;True;000155.txt;0.68081355
000156.txt;False;042572.txt;0.53976727
000157.txt;False;078565.txt;0.6823687
000158.txt;True;000158.txt;0.39514965
000159.txt;False;000163.txt;0.6315761
000160.txt;True;000160.txt;0.41017038
000161.txt;True;000161.txt;0.5901551
000162.txt;False;023945.txt;0.4344197
000163.txt;True;000163.txt;0.3196087
000164.txt;True;000164.txt;0.6761689
000165.txt;True;000165.txt;0.60774726
000166.txt;True;000166.txt;0.5905875
000167.txt;True;000167.txt;0.41092467
000168.txt;True;000168.txt;0.72756183
000169.txt;False;062016.txt;0.76884544
000170.txt;True;000170.txt;0.52974045
000171.txt;True;000171.txt;0.45137572
000172.txt;True;000172.txt;0.4013282
000173.txt;False;008832.txt;0.80237246
000174.txt;False;018245.txt;0.5919929
000175.txt;True;000175.txt;0.7241291
000176.txt;True;000176.txt;0.48266447
000177.txt;False;011954.txt;0.5837631
000178.txt;False;003735.txt;0.6247237
000179.txt;True;000179.txt;0.5544039
000180.txt;True;000180.txt;0.47934029
000181.txt;False;000183.txt;0.42598212
000182.txt;True;000182.txt;0.3584743
000183.txt;True;000183.txt;0.2933973
000184.txt;True;000184.txt;0.24276789
000185.txt;True;000185.txt;0.361139
000186.txt;False;058936.txt;0.7024499
000187.txt;True;000187.txt;0.32037628
000188.txt;True;000188.txt;0.21039948
000189.txt;True;000189.txt;0.24802119
000190.txt;True;000190.txt;0.34843934
000191.txt;True;000191.txt;0.5562193
000192.txt;False;074610.txt;0.7528984
000193.txt;False;049813.txt;0.6508379
000194.txt;True;000194.txt;0.4810739
000195.txt;True;000195.txt;0.6090388
000196.txt;False;049144.txt;0.5803989
000197.txt;True;000197.txt;0.78215706
000198.txt;False;040819.txt;0.79288197
000199.txt;True;000199.txt;0.3778286
000200.txt;False;054141.txt;1.0566237
000201.txt;False;038708.txt;0.72579193
000202.txt;True;000202.txt;0.83101887
000203.txt;True;000203.txt;0.66721314
000204.txt;False;078785.txt;0.49553806
000205.txt;False;078784.txt;0.43370718
000206.txt;False;009633.txt;0.7989186
000207.txt;True;000207.txt;0.67053163
000208.txt;False;072716.txt;0.64010984
000209.txt;True;000209.txt;0.4954025
000210.txt;False;058223.txt;0.8532003
000211.txt;True;000211.txt;0.4947415
000212.txt;True;000212.txt;0.47189707
000213.txt;True;000213.txt;0.47841153
000214.txt;True;000214.txt;0.25745118
000215.txt;True;000215.txt;1.0613835
000216.txt;False;011661.txt;0.7089444
000217.txt;False;000176.txt;0.53508496
000219.txt;True;000219.txt;0.3578388
000220.txt;False;078947.txt;0.42525202
000221.txt;True;000221.txt;0.42984113
000222.txt;True;000222.txt;0.31696892
000223.txt;False;066775.txt;0.87065977
000224.txt;False;029848.txt;0.88389564
000225.txt;True;000225.txt;0.5029597
000226.txt;True;000226.txt;0.62010294
000227.txt;True;000227.txt;0.4294346
000228.txt;True;000228.txt;0.4397537
000229.txt;True;000229.txt;0.9041379
000230.txt;True;000230.txt;0.5417383
000231.txt;True;000231.txt;0.5981538
000232.txt;False;072121.txt;0.90653765
000233.txt;False;003407.txt;0.70511925
000234.txt;False;034574.txt;0.64486575
000235.txt;False;057228.txt;1.0805292
000236.txt;True;000236.txt;0.25410554
000237.txt;True;000237.txt;0.55577946
000238.txt;True;000238.txt;0.46739048
000239.txt;False;000112.txt;0.6105126
000240.txt;False;020597.txt;1.223512
000241.txt;True;000241.txt;0.46274114
000242.txt;False;022651.txt;0.8725525
000243.txt;True;000243.txt;0.41998056
000244.txt;False;002941.txt;0.7226796
000245.txt;True;000245.txt;0.46650803
000246.txt;True;000246.txt;0.52290064
000247.txt;True;000247.txt;0.636019
000248.txt;False;043642.txt;0.70317566
000249.txt;True;000249.txt;0.59384596
000250.txt;True;000250.txt;0.39912432
000251.txt;True;000251.txt;0.48968685
000252.txt;True;000252.txt;0.45968413
000253.txt;True;000253.txt;0.68010527
000254.txt;False;034704.txt;0.5511495
000255.txt;True;000255.txt;0.38382536
000256.txt;True;000256.txt;0.6050011
000257.txt;True;000257.txt;0.6771649
000258.txt;False;046074.txt;1.0634663
000259.txt;True;000259.txt;0.43185556
000260.txt;False;078811.txt;0.62841874
000261.txt;False;008273.txt;1.0245594
000262.txt;True;000262.txt;0.21157572
000263.txt;False;051950.txt;0.91846097
000264.txt;False;000171.txt;0.67900074
