query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.7736517
000001.txt;False;010039.txt;0.44349417
000002.txt;False;063133.txt;0.5790316
000003.txt;True;000003.txt;0.7072001
000004.txt;False;018880.txt;0.69803447
000005.txt;False;030656.txt;0.652935
000006.txt;False;030652.txt;0.62281084
000007.txt;False;062781.txt;0.35754
000008.txt;False;062770.txt;0.36022496
000009.txt;True;000009.txt;0.7563922
000010.txt;True;000010.txt;0.6137642
000011.txt;True;000011.txt;0.8405151
000012.txt;False;032397.txt;0.49834496
000013.txt;True;000013.txt;0.8629538
000014.txt;False;075313.txt;0.6381177
000015.txt;True;000015.txt;0.9026966
000016.txt;False;078605.txt;0.684195
000017.txt;False;036857.txt;0.44307
000018.txt;False;077386.txt;0.56367433
000019.txt;True;000019.txt;0.83238566
000020.txt;False;025370.txt;0.50233126
000021.txt;True;000021.txt;0.6636067
000022.txt;True;000022.txt;0.65117276
000023.txt;True;000023.txt;0.64496034
000024.txt;False;008351.txt;0.6590228
000025.txt;True;000025.txt;0.6524297
000026.txt;False;076209.txt;0.514732
000027.txt;True;000027.txt;0.6302217
000028.txt;True;000028.txt;0.65130687
000029.txt;True;000029.txt;0.673452
000030.txt;True;000030.txt;0.5680095
000031.txt;False;016165.txt;0.61626905
000032.txt;True;000032.txt;0.8111843
000034.txt;False;011035.txt;0.4916128
000035.txt;False;060935.txt;0.4821685
000036.txt;False;021430.txt;0.5908904
000037.txt;True;000037.txt;0.6341413
000038.txt;True;000038.txt;0.6835034
000039.txt;True;000039.txt;0.6940341
000040.txt;True;000040.txt;0.6725079
000041.txt;True;000041.txt;0.70645213
000042.txt;True;000042.txt;0.68182623
000043.txt;True;000043.txt;0.66397095
000044.txt;True;000044.txt;0.74161196
000045.txt;False;000286.txt;0.61894906
000046.txt;True;000046.txt;0.75009
000047.txt;True;000047.txt;0.71039546
000048.txt;False;032202.txt;0.34834543
000049.txt;True;000049.txt;0.64796436
000050.txt;False;076413.txt;0.6184331
000051.txt;True;000051.txt;0.7027781
000052.txt;False;000011.txt;0.6066042
000053.txt;True;000053.txt;0.48748153
000054.txt;False;052030.txt;0.3614239
000055.txt;False;000575.txt;0.6296173
000056.txt;True;000056.txt;0.5816597
000057.txt;False;012216.txt;0.45430115
000058.txt;True;000058.txt;0.4920247
000059.txt;False;058304.txt;0.582052
000060.txt;True;000060.txt;0.6235205
000061.txt;True;000061.txt;0.6079211
000062.txt;False;073824.txt;0.50211114
000063.txt;False;075643.txt;0.48619008
000064.txt;False;002808.txt;0.49706316
000065.txt;False;002950.txt;0.49581182
000066.txt;False;016050.txt;0.61377
000067.txt;True;000067.txt;0.64328146
000068.txt;False;069595.txt;0.6669354
000069.txt;True;000069.txt;0.70296025
000070.txt;True;000070.txt;0.48667088
000071.txt;False;005517.txt;0.42406237
000072.txt;False;067537.txt;0.5583842
000073.txt;False;062595.txt;0.5613879
000074.txt;False;078484.txt;0.41089943
000075.txt;True;000075.txt;0.7020093
000076.txt;True;000076.txt;0.6634582
000077.txt;False;042455.txt;0.7269399
000078.txt;True;000078.txt;0.60749626
000079.txt;True;000079.txt;0.64964604
000080.txt;False;073345.txt;0.6724943
000081.txt;True;000081.txt;0.59913594
000082.txt;True;000082.txt;0.5938271
000083.txt;False;019336.txt;0.4913903
000084.txt;False;035397.txt;0.6000797
000085.txt;True;000085.txt;0.7358365
000086.txt;True;000086.txt;0.5487516
000087.txt;False;027670.txt;0.41270924
000088.txt;False;019282.txt;0.6338687
000089.txt;True;000089.txt;0.7744905
