query_file;found;search_result;search_distances
000000.txt;False;007025.txt;3.7868586
000001.txt;False;007025.txt;3.8833354
000002.txt;False;007025.txt;3.684055
000003.txt;False;007025.txt;4.3442297
000004.txt;False;007025.txt;4.3954124
000005.txt;False;007025.txt;4.544106
000006.txt;False;007025.txt;3.66786
000007.txt;False;007025.txt;4.600134
000008.txt;False;007025.txt;3.868165
000009.txt;False;007025.txt;4.089565
000010.txt;False;007025.txt;4.5970583
000011.txt;False;007025.txt;3.9852343
000012.txt;False;007025.txt;4.281188
000013.txt;False;007025.txt;4.627158
000014.txt;False;007025.txt;4.540786
000015.txt;False;007025.txt;4.503478
000016.txt;False;007025.txt;4.648448
000017.txt;False;007025.txt;4.253999
000018.txt;False;007025.txt;4.2915187
000019.txt;False;007025.txt;4.8481665
000020.txt;False;007025.txt;4.386875
000021.txt;False;007025.txt;4.477343
000022.txt;False;007025.txt;4.1179767
000023.txt;False;007025.txt;4.1603055
000024.txt;False;007025.txt;4.4931755
000025.txt;False;007025.txt;4.109104
000026.txt;False;007025.txt;5.0294766
000027.txt;False;007025.txt;4.173569
000028.txt;False;007025.txt;4.1125383
000029.txt;False;007025.txt;4.0787106
000030.txt;False;007025.txt;5.074581
000031.txt;False;007025.txt;4.4425335
000032.txt;False;007025.txt;4.8823853
000034.txt;False;007025.txt;4.947277
000035.txt;False;007025.txt;4.432212
000036.txt;False;007025.txt;4.508823
000037.txt;False;007025.txt;4.149124
000038.txt;False;007025.txt;4.125883
000039.txt;False;007025.txt;4.044097
000040.txt;False;007025.txt;4.015546
000041.txt;False;007025.txt;3.9955199
000042.txt;False;007025.txt;4.063567
000043.txt;False;007025.txt;3.9910793
000044.txt;False;007025.txt;4.258157
000045.txt;False;007025.txt;3.985405
000046.txt;False;007025.txt;4.183486
000047.txt;False;007025.txt;4.443446
000048.txt;False;007025.txt;5.2879376
000049.txt;False;007025.txt;4.3754873
000050.txt;False;007025.txt;4.3855715
000051.txt;False;007678.txt;4.24333
000052.txt;False;007678.txt;4.276719
000053.txt;False;007025.txt;4.3742476
000054.txt;False;007025.txt;4.959576
000055.txt;False;007025.txt;4.083332
000056.txt;False;007025.txt;4.750223
000057.txt;False;007025.txt;4.8541145
000058.txt;False;007025.txt;4.2360673
000059.txt;False;007025.txt;4.948888
000060.txt;False;007025.txt;4.4616756
000061.txt;False;007025.txt;3.8591502
000062.txt;False;007025.txt;4.806796
000063.txt;False;007678.txt;4.6714153
000064.txt;False;007025.txt;4.3941727
000065.txt;False;007025.txt;4.340628
000066.txt;False;007025.txt;4.4471354
000067.txt;False;007025.txt;4.974558
000068.txt;False;007025.txt;4.581992
000069.txt;False;007025.txt;4.5235777
000070.txt;False;007025.txt;4.8657713
000071.txt;False;007025.txt;4.6607904
000072.txt;False;007025.txt;4.8827972
000073.txt;False;007025.txt;4.827324
000074.txt;False;007025.txt;4.6546593
000075.txt;False;007025.txt;4.9304514
000076.txt;False;007025.txt;4.428253
000077.txt;False;007025.txt;4.09876
000078.txt;False;007025.txt;4.6655264
000079.txt;False;007025.txt;4.53442
000080.txt;False;007025.txt;4.142248
000081.txt;False;007025.txt;3.8916698
000082.txt;False;007025.txt;4.1216936
000083.txt;False;007025.txt;4.9174614
000084.txt;False;007025.txt;4.213984
000085.txt;False;007025.txt;4.617404
000086.txt;False;007025.txt;4.7228374
000087.txt;False;007025.txt;4.6661115
000088.txt;False;007025.txt;4.6969156
000089.txt;False;007025.txt;5.133215
000090.txt;False;007025.txt;4.633015
000091.txt;False;007025.txt;4.647682
