query_file;found;search_result;search_distances
000000.txt;False;002387.txt;0.952307
000001.txt;False;030073.txt;0.8515527
000002.txt;True;000002.txt;0.8722299
000003.txt;False;054829.txt;0.8853616
000004.txt;False;008412.txt;0.8236954
000005.txt;False;077826.txt;0.92825896
000006.txt;False;002652.txt;0.8474617
000007.txt;False;040565.txt;0.954354
000008.txt;True;000008.txt;0.92604774
000009.txt;False;046494.txt;0.8516774
000010.txt;True;000010.txt;0.92181873
000011.txt;False;001402.txt;0.8996742
000012.txt;True;000012.txt;0.92499924
000013.txt;False;050537.txt;0.8886848
000014.txt;False;016242.txt;0.9082316
000015.txt;False;000016.txt;0.880473
000016.txt;True;000016.txt;0.9279959
000017.txt;False;019295.txt;0.8253725
000018.txt;False;000317.txt;0.8562679
000019.txt;False;055221.txt;0.9375496
000020.txt;False;016682.txt;0.92272836
000021.txt;False;078678.txt;0.922998
000022.txt;True;000022.txt;0.9241252
000023.txt;False;002523.txt;0.9046502
000024.txt;False;004273.txt;0.9323106
000025.txt;True;000025.txt;0.9356014
000026.txt;False;024411.txt;0.9294597
000027.txt;True;000027.txt;0.9331578
000028.txt;True;000028.txt;0.925511
000029.txt;False;000022.txt;0.9042143
000030.txt;False;024983.txt;0.9597656
000031.txt;False;005359.txt;0.91962206
000032.txt;False;002268.txt;0.92319924
000034.txt;False;064600.txt;0.92890203
000035.txt;False;050947.txt;0.87681645
000036.txt;False;035408.txt;0.90032846
000037.txt;True;000037.txt;0.91410345
000038.txt;True;000038.txt;0.927771
000039.txt;True;000039.txt;0.9253173
000040.txt;True;000040.txt;0.92457783
000041.txt;True;000041.txt;0.9319668
000042.txt;True;000042.txt;0.93232346
000043.txt;True;000043.txt;0.93263817
000044.txt;False;000236.txt;0.89380425
000045.txt;True;000045.txt;0.88390154
000046.txt;False;000133.txt;0.8943124
000047.txt;False;000130.txt;0.9201373
000048.txt;False;075552.txt;0.963225
000049.txt;False;022737.txt;0.9278063
000050.txt;False;050505.txt;0.9447164
000051.txt;False;001399.txt;0.90567505
000052.txt;False;000133.txt;0.8848941
000053.txt;False;071297.txt;0.9287094
000054.txt;False;057604.txt;0.9351136
000055.txt;False;049781.txt;0.8820922
000056.txt;False;063817.txt;0.94359493
000057.txt;False;052053.txt;0.94830394
000058.txt;False;010748.txt;0.92422605
000059.txt;False;012935.txt;0.93878853
000060.txt;False;021257.txt;0.92838705
000061.txt;False;068841.txt;0.86044204
000062.txt;True;000062.txt;0.9299357
000063.txt;False;059872.txt;0.90211165
000064.txt;False;003685.txt;0.93057656
000065.txt;False;059572.txt;0.9596741
000066.txt;False;059509.txt;0.8956883
000067.txt;False;042991.txt;0.9339498
000068.txt;False;042345.txt;0.91833055
000069.txt;False;029629.txt;0.9210316
000070.txt;False;022325.txt;0.9545036
000071.txt;False;009510.txt;0.93584037
000072.txt;True;000072.txt;0.95597464
000073.txt;False;030441.txt;0.9301402
000074.txt;False;076587.txt;0.91250074
000075.txt;False;075061.txt;0.964623
000076.txt;False;075837.txt;0.86767006
000077.txt;False;076200.txt;0.8393971
000078.txt;False;001354.txt;0.93108916
000079.txt;False;023592.txt;0.9410872
000080.txt;False;071648.txt;0.91625094
000081.txt;False;046269.txt;0.879578
000082.txt;False;019950.txt;0.9018943
000083.txt;False;009510.txt;0.9525724
000084.txt;False;025704.txt;0.8832346
000085.txt;False;053323.txt;0.9225165
000086.txt;True;000086.txt;0.8934871
000087.txt;False;053511.txt;0.94754654
000088.txt;False;003054.txt;0.92788786
000089.txt;False;015340.txt;0.9440585
000090.txt;False;005315.txt;0.94178236
000091.txt;False;037380.txt;0.9448125
000092.txt;False;035520.txt;0.9255301
000093.txt;False;041282.txt;0.8858093
000094.txt;False;019487.txt;0.9659636
000095.txt;False;043793.txt;0.953397
000096.txt;False;071177.txt;0.93259525
000097.txt;False;001240.txt;0.95509076
000098.txt;False;032582.txt;0.9526391
000099.txt;False;022524.txt;0.9391526
000100.txt;False;042827.txt;0.9584266
000101.txt;True;000101.txt;0.8752384
000102.txt;False;065985.txt;0.9464897
000103.txt;False;042348.txt;0.96915865
000104.txt;False;002965.txt;0.8756652
000105.txt;False;020840.txt;0.85162157
000106.txt;True;000106.txt;0.9536417
000107.txt;False;029433.txt;0.8700988
000108.txt;True;000108.txt;0.9300256
000109.txt;True;000109.txt;0.93024164
000110.txt;False;041440.txt;0.8609948
000111.txt;False;036525.txt;0.8947023
000112.txt;False;028237.txt;0.8525091
000113.txt;False;064676.txt;0.9168865
000114.txt;False;061336.txt;0.9352685
000115.txt;False;070521.txt;0.94631547
000116.txt;False;053511.txt;0.9420143
000117.txt;False;028482.txt;0.8373128
000118.txt;False;036525.txt;0.86072665
000119.txt;False;028237.txt;0.88097525
000120.txt;True;000120.txt;0.8648869
000121.txt;False;078456.txt;0.85953975
000122.txt;False;061131.txt;0.87339866
000123.txt;False;040542.txt;0.91465974
000124.txt;False;007966.txt;0.9512701
000126.txt;True;000126.txt;0.9244182
000127.txt;True;000127.txt;0.8794143
000128.txt;False;001399.txt;0.8742684
000129.txt;False;004441.txt;0.9147635
000130.txt;False;001399.txt;0.89643717
000131.txt;False;014726.txt;0.8760024
000132.txt;False;000052.txt;0.87820905
000133.txt;False;001402.txt;0.8950474
000134.txt;False;012935.txt;0.93732584
000135.txt;False;019461.txt;0.91855216
000136.txt;True;000136.txt;0.9058943
000137.txt;False;040465.txt;0.9059764
000138.txt;False;018970.txt;0.89860153
000139.txt;False;018776.txt;0.95694095
000140.txt;False;063811.txt;0.9410144
000141.txt;False;068982.txt;0.93445027
000142.txt;False;002447.txt;0.94467944
000143.txt;False;029696.txt;0.9351003
000144.txt;False;051294.txt;0.92598134
000145.txt;False;022317.txt;0.94743615
000146.txt;False;051799.txt;0.96006095
000147.txt;False;012305.txt;0.9329685
000148.txt;False;016170.txt;0.9446673
000149.txt;True;000149.txt;0.9774689
000150.txt;False;051374.txt;0.7956003
000151.txt;False;012305.txt;0.9290027
000152.txt;False;064481.txt;0.90721136
000153.txt;False;047101.txt;0.9707226
000154.txt;False;026239.txt;0.9485325
000155.txt;False;047016.txt;0.94978493
000156.txt;False;012935.txt;0.9256536
000157.txt;False;000158.txt;0.913493
000158.txt;True;000158.txt;0.88509
000159.txt;False;078564.txt;0.8450328
000160.txt;False;078788.txt;0.88511324
000161.txt;False;016252.txt;0.8703458
000162.txt;False;025781.txt;0.9391772
000163.txt;False;078564.txt;0.83459705
000164.txt;False;025669.txt;0.9093981
000165.txt;False;039696.txt;0.8921689
000166.txt;True;000166.txt;0.8635709
000167.txt;False;033915.txt;0.88288796
000168.txt;False;032346.txt;0.9082911
000169.txt;False;063817.txt;0.95024365
000170.txt;False;051937.txt;0.91288877
000171.txt;False;033120.txt;0.92124903
000172.txt;False;028575.txt;0.9784726
000173.txt;False;032346.txt;0.85674727
000174.txt;False;042871.txt;0.9443235
000175.txt;False;022279.txt;0.92152
000176.txt;False;078142.txt;0.94474447
000177.txt;False;005441.txt;0.9137597
000178.txt;False;032222.txt;0.8832942
000179.txt;False;073237.txt;0.89696044
000180.txt;False;048220.txt;0.84114885
000181.txt;True;000181.txt;0.89297247
000182.txt;False;001400.txt;0.9025539
000183.txt;False;001402.txt;0.88992375
000184.txt;False;043439.txt;0.8778773
000185.txt;True;000185.txt;0.8953942
000186.txt;False;036340.txt;0.93165666
000187.txt;False;000128.txt;0.9003097
000188.txt;True;000188.txt;0.86702466
000189.txt;False;000132.txt;0.910357
000190.txt;False;000052.txt;0.8785131
000191.txt;False;052799.txt;0.8930624
000192.txt;False;023750.txt;0.9283273
