query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.74058616
000001.txt;True;000001.txt;0.646249
000002.txt;True;000002.txt;0.6864212
000003.txt;True;000003.txt;0.78051484
000004.txt;True;000004.txt;0.77432346
000005.txt;False;000061.txt;0.6958431
000006.txt;False;000061.txt;0.73293847
000007.txt;False;034985.txt;0.66030204
000008.txt;False;028869.txt;0.6514883
000009.txt;False;013440.txt;0.52542293
000010.txt;False;013720.txt;0.6459254
000011.txt;True;000011.txt;0.8664447
000012.txt;True;000012.txt;0.6480655
000013.txt;True;000013.txt;0.6785778
000014.txt;True;000014.txt;0.8082503
000015.txt;True;000015.txt;0.84202456
000016.txt;True;000016.txt;0.7390157
000017.txt;True;000017.txt;0.6947381
000018.txt;True;000018.txt;0.6256154
000019.txt;True;000019.txt;0.8438362
000020.txt;False;011704.txt;0.74769413
000021.txt;True;000021.txt;0.7770273
000022.txt;True;000022.txt;0.8350161
000023.txt;True;000023.txt;0.71534926
000024.txt;False;000025.txt;0.63626146
000025.txt;True;000025.txt;0.8760481
000026.txt;False;044829.txt;0.79855764
000027.txt;True;000027.txt;0.85612226
000028.txt;True;000028.txt;0.86958814
000029.txt;True;000029.txt;0.76271224
000030.txt;True;000030.txt;0.6671062
000031.txt;True;000031.txt;0.7025903
000032.txt;True;000032.txt;0.68379766
000034.txt;True;000034.txt;0.66288674
000035.txt;True;000035.txt;0.5982095
000036.txt;True;000036.txt;0.7735307
000037.txt;True;000037.txt;0.84747994
000038.txt;True;000038.txt;0.8782402
000039.txt;True;000039.txt;0.86250013
000040.txt;True;000040.txt;0.87948895
000041.txt;True;000041.txt;0.87453985
000042.txt;True;000042.txt;0.8748972
000043.txt;True;000043.txt;0.8430827
000044.txt;False;010500.txt;0.81285536
000045.txt;True;000045.txt;0.8288981
000046.txt;True;000046.txt;0.72428155
000047.txt;True;000047.txt;0.7741215
000048.txt;False;020456.txt;0.72738576
000049.txt;True;000049.txt;0.6681242
000050.txt;True;000050.txt;0.70083475
000051.txt;False;001403.txt;0.79983276
000052.txt;False;000184.txt;0.75730705
000053.txt;False;015398.txt;0.5862787
000054.txt;True;000054.txt;0.77667415
000055.txt;True;000055.txt;0.7046299
000056.txt;True;000056.txt;0.6473489
000057.txt;True;000057.txt;0.67550784
000058.txt;True;000058.txt;0.58631444
000059.txt;True;000059.txt;0.7204188
000060.txt;False;033671.txt;0.592885
000061.txt;True;000061.txt;0.68536437
000062.txt;True;000062.txt;0.7499285
000063.txt;True;000063.txt;0.6960623
000064.txt;False;008515.txt;0.5811366
000065.txt;True;000065.txt;0.68168074
000066.txt;False;059767.txt;0.61020696
000067.txt;True;000067.txt;0.71631914
000068.txt;True;000068.txt;0.84614277
000069.txt;False;008333.txt;0.6709952
000070.txt;False;006290.txt;0.5382346
000071.txt;False;000083.txt;0.72873086
000072.txt;True;000072.txt;0.7157757
000073.txt;True;000073.txt;0.65058136
000074.txt;False;053465.txt;0.6293403
000075.txt;False;077672.txt;0.5571249
000076.txt;True;000076.txt;0.669983
000077.txt;True;000077.txt;0.7188846
000078.txt;False;026522.txt;0.6977245
000079.txt;False;025820.txt;0.6629181
000080.txt;False;002787.txt;0.5997144
000081.txt;False;077769.txt;0.6158171
000082.txt;False;012000.txt;0.5732213
000083.txt;False;026187.txt;0.68146735
000084.txt;True;000084.txt;0.7031025
000085.txt;True;000085.txt;0.7706561
000086.txt;True;000086.txt;0.6632054
000087.txt;False;070140.txt;0.7211205
000088.txt;False;000103.txt;0.73892874
000089.txt;False;053877.txt;0.56777513
000090.txt;True;000090.txt;0.6936652
000091.txt;True;000091.txt;0.7944975
000092.txt;False;073546.txt;0.6601896
000093.txt;True;000093.txt;0.7501053
000094.txt;False;019647.txt;0.7161952
000095.txt;False;016377.txt;0.68574333
000096.txt;True;000096.txt;0.74083185
000097.txt;True;000097.txt;0.6696286
000098.txt;True;000098.txt;0.7776907
000099.txt;True;000099.txt;0.7603355
000100.txt;True;000100.txt;0.80061424
000101.txt;True;000101.txt;0.6134196
000102.txt;False;070140.txt;0.61315185
000103.txt;False;000088.txt;0.68700135
000104.txt;False;000112.txt;0.7129398
000105.txt;False;043379.txt;0.623187
000106.txt;True;000106.txt;0.8388785
000107.txt;True;000107.txt;0.72050273
000108.txt;True;000108.txt;0.85273993
000109.txt;True;000109.txt;0.8918448
000110.txt;True;000110.txt;0.7080766
000111.txt;False;000850.txt;0.59353983
000112.txt;True;000112.txt;0.6733221
000113.txt;True;000113.txt;0.7511739
000114.txt;True;000114.txt;0.78122497
000115.txt;True;000115.txt;0.8426743
000116.txt;False;003909.txt;0.6685582
000117.txt;False;017096.txt;0.7027955
000118.txt;False;000120.txt;0.7751321
000119.txt;True;000119.txt;0.615056
000120.txt;True;000120.txt;0.84201634
000121.txt;True;000121.txt;0.75333244
000122.txt;False;012134.txt;0.6590525
000123.txt;True;000123.txt;0.6743994
000124.txt;True;000124.txt;0.82029444
000126.txt;True;000126.txt;0.7881459
000127.txt;True;000127.txt;0.82110393
000128.txt;False;001400.txt;0.8472338
000129.txt;False;061932.txt;0.65475017
000130.txt;False;003337.txt;0.7799318
000131.txt;False;000133.txt;0.8169347
000132.txt;False;008721.txt;0.83040786
000133.txt;True;000133.txt;0.85293925
000134.txt;True;000134.txt;0.8004428
000135.txt;True;000135.txt;0.6811198
000136.txt;True;000136.txt;0.82169676
000137.txt;True;000137.txt;0.56445134
000138.txt;True;000138.txt;0.72276783
000139.txt;False;047799.txt;0.49616522
000140.txt;True;000140.txt;0.6984363
000141.txt;True;000141.txt;0.73147297
000142.txt;False;070140.txt;0.6954879
000143.txt;True;000143.txt;0.6627929
000144.txt;True;000144.txt;0.49535656
000145.txt;False;016615.txt;0.6757461
000146.txt;False;076160.txt;0.5076273
000147.txt;True;000147.txt;0.7349446
000148.txt;False;007372.txt;0.65735555
000149.txt;True;000149.txt;0.8613826
000150.txt;True;000150.txt;0.5623131
000151.txt;False;047059.txt;0.5718254
000152.txt;False;001715.txt;0.6853018
000153.txt;True;000153.txt;0.8039307
000154.txt;False;003909.txt;0.6602069
000155.txt;True;000155.txt;0.6461867
000156.txt;False;042572.txt;0.72771376
000157.txt;False;038932.txt;0.6391146
000158.txt;True;000158.txt;0.8103379
000159.txt;False;000163.txt;0.7233173
000160.txt;True;000160.txt;0.7978866
000161.txt;True;000161.txt;0.6933893
000162.txt;False;023945.txt;0.77498317
000163.txt;True;000163.txt;0.824769
000164.txt;True;000164.txt;0.6568022
000165.txt;True;000165.txt;0.67962015
000166.txt;True;000166.txt;0.61059356
000167.txt;True;000167.txt;0.7933972
000168.txt;True;000168.txt;0.6107894
000169.txt;False;070140.txt;0.6147697
000170.txt;True;000170.txt;0.72909725
000171.txt;True;000171.txt;0.7584404
000172.txt;True;000172.txt;0.79915184
000173.txt;False;026126.txt;0.5709121
000174.txt;False;018245.txt;0.6832802
000175.txt;True;000175.txt;0.606799
000176.txt;True;000176.txt;0.7468451
000177.txt;False;011954.txt;0.6745838
000178.txt;False;001483.txt;0.7729205
000179.txt;True;000179.txt;0.7825341
000180.txt;True;000180.txt;0.7471128
000181.txt;True;000181.txt;0.8311305
000182.txt;True;000182.txt;0.85016215
000183.txt;True;000183.txt;0.8690609
000184.txt;True;000184.txt;0.8594031
000185.txt;True;000185.txt;0.8339288
000186.txt;False;058936.txt;0.6273122
000187.txt;False;078360.txt;0.7721189
000188.txt;True;000188.txt;0.8317902
000189.txt;True;000189.txt;0.86349213
000190.txt;True;000190.txt;0.837543
000191.txt;True;000191.txt;0.71532124
000192.txt;False;074610.txt;0.6039312
000193.txt;False;040236.txt;0.6985961
000194.txt;True;000194.txt;0.74570876
000195.txt;True;000195.txt;0.65314424
000196.txt;False;019475.txt;0.68834364
000197.txt;False;071759.txt;0.6299631
000198.txt;False;040819.txt;0.58910394
000199.txt;True;000199.txt;0.8002228
000200.txt;True;000200.txt;0.730262
000201.txt;False;020746.txt;0.61943924
000202.txt;False;003052.txt;0.6870867
000203.txt;True;000203.txt;0.6443678
000204.txt;False;078784.txt;0.70999956
000205.txt;False;078784.txt;0.7658167
000206.txt;True;000206.txt;0.79149467
000207.txt;True;000207.txt;0.64763236
000208.txt;False;068820.txt;0.6898235
000209.txt;True;000209.txt;0.73514646
000210.txt;True;000210.txt;0.54634124
000211.txt;True;000211.txt;0.7557395
000212.txt;True;000212.txt;0.76418597
000213.txt;True;000213.txt;0.81567717
000214.txt;True;000214.txt;0.7797358
000215.txt;False;074108.txt;0.42898017
000216.txt;False;011661.txt;0.6275433
000217.txt;False;000176.txt;0.66860807
000219.txt;True;000219.txt;0.81179154
000220.txt;False;078947.txt;0.77361727
000221.txt;True;000221.txt;0.7641077
000222.txt;True;000222.txt;0.83504224
000223.txt;False;066775.txt;0.5221249
000224.txt;False;029848.txt;0.50654215
000225.txt;True;000225.txt;0.7844676
000226.txt;True;000226.txt;0.6676568
000227.txt;True;000227.txt;0.7750679
000228.txt;True;000228.txt;0.7798902
000229.txt;False;000669.txt;0.5090916
000230.txt;True;000230.txt;0.7497455
000231.txt;True;000231.txt;0.715034
000232.txt;False;072121.txt;0.5618415
000233.txt;False;003407.txt;0.6359511
000234.txt;False;034574.txt;0.5558457
000235.txt;False;057228.txt;0.49480617
000236.txt;True;000236.txt;0.85727733
000237.txt;True;000237.txt;0.69764584
000238.txt;True;000238.txt;0.65867233
000239.txt;False;000112.txt;0.66450346
000240.txt;False;041672.txt;0.3848549
000241.txt;True;000241.txt;0.892017
000242.txt;False;022651.txt;0.49283862
000243.txt;True;000243.txt;0.7934029
000244.txt;False;002941.txt;0.6214633
000245.txt;True;000245.txt;0.7566679
000246.txt;True;000246.txt;0.7146063
000247.txt;True;000247.txt;0.6775398
000248.txt;False;043642.txt;0.65385926
000249.txt;True;000249.txt;0.7196995
000250.txt;True;000250.txt;0.79624104
