query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.41806468
000001.txt;True;000001.txt;0.2426593
000002.txt;True;000002.txt;0.23653647
000003.txt;True;000003.txt;0.2900051
000004.txt;True;000004.txt;0.28257456
000005.txt;True;000005.txt;0.30315802
000006.txt;False;026102.txt;0.3309804
000007.txt;False;048133.txt;0.40272015
000008.txt;True;000008.txt;0.36692438
000009.txt;False;017463.txt;0.43966413
000010.txt;True;000010.txt;0.25392208
000011.txt;False;001399.txt;0.31161416
000012.txt;True;000012.txt;0.28274
000013.txt;True;000013.txt;0.21900505
000014.txt;True;000014.txt;0.3132885
000015.txt;True;000015.txt;0.17870158
000016.txt;False;000015.txt;0.2867331
000017.txt;True;000017.txt;0.3347456
000018.txt;True;000018.txt;0.3096221
000019.txt;True;000019.txt;0.2894992
000020.txt;True;000020.txt;0.35279965
000021.txt;True;000021.txt;0.24875088
000022.txt;True;000022.txt;0.18447989
000023.txt;True;000023.txt;0.25951514
000024.txt;False;000042.txt;0.27745348
000025.txt;True;000025.txt;0.16107675
000026.txt;True;000026.txt;0.29588258
000027.txt;True;000027.txt;0.14522783
000028.txt;True;000028.txt;0.16415295
000029.txt;True;000029.txt;0.183124
000030.txt;True;000030.txt;0.3016042
000031.txt;False;016165.txt;0.24654156
000032.txt;False;010693.txt;0.39147526
000034.txt;True;000034.txt;0.3535158
000035.txt;False;043662.txt;0.44082338
000036.txt;True;000036.txt;0.31641805
000037.txt;True;000037.txt;0.16119777
000038.txt;True;000038.txt;0.14992568
000039.txt;True;000039.txt;0.16114807
000040.txt;True;000040.txt;0.1637009
000041.txt;True;000041.txt;0.15426928
000042.txt;True;000042.txt;0.15414403
000043.txt;True;000043.txt;0.17864835
000044.txt;False;000205.txt;0.3745141
000045.txt;True;000045.txt;0.35410565
000046.txt;False;000126.txt;0.34698415
000047.txt;False;075527.txt;0.3577044
000048.txt;True;000048.txt;0.25373468
000049.txt;True;000049.txt;0.22251785
000050.txt;False;019552.txt;0.33256006
000051.txt;False;001399.txt;0.33992827
000052.txt;True;000052.txt;0.34604952
000053.txt;True;000053.txt;0.2807916
000054.txt;True;000054.txt;0.34415346
000055.txt;True;000055.txt;0.40780813
000056.txt;True;000056.txt;0.31586242
000057.txt;True;000057.txt;0.32090527
000058.txt;False;064545.txt;0.33296067
000059.txt;True;000059.txt;0.31413335
000060.txt;True;000060.txt;0.23168412
000061.txt;False;030658.txt;0.33199602
000062.txt;True;000062.txt;0.28435692
000063.txt;True;000063.txt;0.3188951
000064.txt;True;000064.txt;0.27901947
000065.txt;True;000065.txt;0.22101234
000066.txt;True;000066.txt;0.27429727
000067.txt;True;000067.txt;0.31681097
000068.txt;True;000068.txt;0.2981801
000069.txt;True;000069.txt;0.34647316
000070.txt;False;075548.txt;0.33756548
000071.txt;False;003584.txt;0.33108452
000072.txt;True;000072.txt;0.27166945
000073.txt;True;000073.txt;0.30853817
000074.txt;False;053465.txt;0.45643413
000075.txt;True;000075.txt;0.3302942
000076.txt;True;000076.txt;0.35908145
000077.txt;True;000077.txt;0.31679335
000078.txt;False;026475.txt;0.4117729
000079.txt;True;000079.txt;0.32271588
000080.txt;True;000080.txt;0.2655804
000081.txt;True;000081.txt;0.29579356
000082.txt;True;000082.txt;0.2919281
000083.txt;True;000083.txt;0.39127982
000084.txt;True;000084.txt;0.33771387
000085.txt;True;000085.txt;0.29071683
000086.txt;True;000086.txt;0.27336228
000087.txt;True;000087.txt;0.26386544
000088.txt;False;055768.txt;0.40074998
000089.txt;True;000089.txt;0.39002264
000090.txt;False;001100.txt;0.39526132
000091.txt;False;015306.txt;0.31130916
000092.txt;True;000092.txt;0.30100167
000093.txt;True;000093.txt;0.3502012
000094.txt;True;000094.txt;0.39660105
000095.txt;True;000095.txt;0.36122197
000096.txt;True;000096.txt;0.36186332
000097.txt;True;000097.txt;0.40978003
000098.txt;True;000098.txt;0.31896016
000099.txt;False;026548.txt;0.34811687
000100.txt;True;000100.txt;0.2780255
000101.txt;True;000101.txt;0.37491035
000102.txt;True;000102.txt;0.27171427
000103.txt;False;025675.txt;0.3910499
000104.txt;True;000104.txt;0.39401612
000105.txt;True;000105.txt;0.2746363
000106.txt;False;042790.txt;0.37189987
000107.txt;True;000107.txt;0.3382625
000108.txt;True;000108.txt;0.16318311
000109.txt;True;000109.txt;0.15239927
000110.txt;True;000110.txt;0.3445943
000111.txt;True;000111.txt;0.3047996
000112.txt;True;000112.txt;0.43097705
000113.txt;True;000113.txt;0.35786155
000114.txt;True;000114.txt;0.32712954
000115.txt;True;000115.txt;0.34610862
000116.txt;False;016270.txt;0.30102244
000117.txt;True;000117.txt;0.40112513
000118.txt;True;000118.txt;0.26372075
000119.txt;True;000119.txt;0.42757452
000120.txt;True;000120.txt;0.21292049
000121.txt;True;000121.txt;0.2212972
000122.txt;False;063396.txt;0.4421485
000123.txt;True;000123.txt;0.31483057
000124.txt;True;000124.txt;0.3151302
000126.txt;True;000126.txt;0.25153166
000127.txt;True;000127.txt;0.31031722
000128.txt;True;000128.txt;0.32505187
000129.txt;False;057578.txt;0.4235626
000130.txt;True;000130.txt;0.30412108
000131.txt;False;000126.txt;0.3893326
000132.txt;True;000132.txt;0.3633663
000133.txt;False;000126.txt;0.37800533
000134.txt;False;005941.txt;0.4712321
000135.txt;False;074684.txt;0.37385106
000136.txt;True;000136.txt;0.2747608
000137.txt;False;027444.txt;0.45529
000138.txt;True;000138.txt;0.2529679
000139.txt;False;029362.txt;0.42821348
000140.txt;True;000140.txt;0.27408984
000141.txt;False;003781.txt;0.32653356
000142.txt;True;000142.txt;0.26364157
000143.txt;False;054271.txt;0.3978865
000144.txt;True;000144.txt;0.36446822
000145.txt;True;000145.txt;0.2668152
000146.txt;False;003764.txt;0.3996481
000147.txt;False;019634.txt;0.40570453
000148.txt;True;000148.txt;0.38974363
000149.txt;True;000149.txt;0.1866054
000150.txt;True;000150.txt;0.35394084
000151.txt;False;015077.txt;0.42050925
000152.txt;True;000152.txt;0.3353483
000153.txt;True;000153.txt;0.24057868
000154.txt;True;000154.txt;0.26575765
000155.txt;True;000155.txt;0.40436164
000156.txt;True;000156.txt;0.33191207
000157.txt;True;000157.txt;0.32224616
000158.txt;False;000163.txt;0.30875483
000159.txt;False;000163.txt;0.33924615
000160.txt;True;000160.txt;0.32285202
000161.txt;True;000161.txt;0.3012647
000162.txt;True;000162.txt;0.37760535
000163.txt;True;000163.txt;0.32618165
000164.txt;True;000164.txt;0.36481464
000165.txt;True;000165.txt;0.23216024
000166.txt;True;000166.txt;0.24364014
000167.txt;True;000167.txt;0.31958133
000168.txt;True;000168.txt;0.4054417
000169.txt;False;062016.txt;0.28519174
000170.txt;True;000170.txt;0.34476238
000171.txt;True;000171.txt;0.29914063
000172.txt;False;024846.txt;0.38316056
000173.txt;True;000173.txt;0.42285413
000174.txt;False;039361.txt;0.25438797
000175.txt;True;000175.txt;0.35165393
000176.txt;True;000176.txt;0.28182134
000177.txt;True;000177.txt;0.34785807
000178.txt;True;000178.txt;0.31214577
000179.txt;True;000179.txt;0.3407871
000180.txt;True;000180.txt;0.37319922
000181.txt;True;000181.txt;0.31278536
000182.txt;True;000182.txt;0.29801714
000183.txt;True;000183.txt;0.28754264
000184.txt;True;000184.txt;0.36820877
000185.txt;True;000185.txt;0.2570001
000186.txt;False;077533.txt;0.42166883
000187.txt;False;000027.txt;0.3237102
000188.txt;True;000188.txt;0.3173306
000189.txt;True;000189.txt;0.3382597
000190.txt;True;000190.txt;0.3867562
000191.txt;True;000191.txt;0.28774673
000192.txt;True;000192.txt;0.31984472
000193.txt;True;000193.txt;0.32488686
000194.txt;True;000194.txt;0.30604392
