query_file;found;search_result;search_distances
000000.txt;False;003653.txt;2.7532153
000001.txt;True;000001.txt;1.607028
000002.txt;True;000002.txt;3.7197704
000003.txt;True;000003.txt;2.0387282
000004.txt;True;000004.txt;1.6226072
000005.txt;False;030653.txt;2.2316356
000006.txt;False;032031.txt;3.0300236
000007.txt;True;000007.txt;3.094384
000008.txt;False;031704.txt;4.6079206
000009.txt;True;000009.txt;2.5424333
000010.txt;True;000010.txt;2.649416
000011.txt;True;000011.txt;1.0587773
000012.txt;True;000012.txt;2.207726
000013.txt;True;000013.txt;2.900911
000014.txt;True;000014.txt;2.2664306
000015.txt;True;000015.txt;1.5184349
000016.txt;True;000016.txt;2.671201
000017.txt;True;000017.txt;2.5988932
000018.txt;True;000018.txt;1.5515912
000019.txt;True;000019.txt;1.0565555
000020.txt;True;000020.txt;2.377164
000021.txt;True;000021.txt;0.6375288
000022.txt;True;000022.txt;0.41821176
000023.txt;True;000023.txt;1.3320674
000024.txt;True;000024.txt;0.81728554
000025.txt;True;000025.txt;0.46816787
000026.txt;True;000026.txt;1.1415226
000027.txt;True;000027.txt;0.50307924
000028.txt;True;000028.txt;0.37157446
000029.txt;True;000029.txt;0.38546824
000030.txt;True;000030.txt;1.2621973
000031.txt;True;000031.txt;1.5960159
000032.txt;True;000032.txt;1.5965933
000034.txt;False;057385.txt;6.04993
000035.txt;True;000035.txt;3.60721
000036.txt;False;061443.txt;3.709854
000037.txt;True;000037.txt;0.48407674
000038.txt;True;000038.txt;0.45877182
000039.txt;True;000039.txt;0.46655956
000040.txt;True;000040.txt;0.49348038
000041.txt;True;000041.txt;0.48632795
000042.txt;True;000042.txt;0.48807895
000043.txt;True;000043.txt;0.4925534
000044.txt;True;000044.txt;1.632385
000045.txt;True;000045.txt;1.1625526
000046.txt;True;000046.txt;2.4324546
000047.txt;True;000047.txt;2.0797493
000048.txt;True;000048.txt;2.8519208
000049.txt;True;000049.txt;4.471907
000050.txt;False;024613.txt;1.8594711
000051.txt;False;001403.txt;2.8865044
000052.txt;True;000052.txt;1.6821941
000053.txt;True;000053.txt;2.414403
000054.txt;True;000054.txt;2.1140785
000055.txt;True;000055.txt;2.0698218
000056.txt;True;000056.txt;2.049867
000057.txt;False;004074.txt;3.91441
000058.txt;True;000058.txt;1.5394616
000059.txt;True;000059.txt;2.928937
000060.txt;False;033671.txt;3.3523817
000061.txt;True;000061.txt;2.2820473
000062.txt;True;000062.txt;2.6549659
000063.txt;True;000063.txt;1.2355896
000064.txt;False;009437.txt;3.1681807
000065.txt;True;000065.txt;3.1427836
000066.txt;True;000066.txt;2.5302434
000067.txt;True;000067.txt;1.9558172
000068.txt;True;000068.txt;1.65803
000069.txt;True;000069.txt;2.8659565
000070.txt;False;075545.txt;4.4251976
000071.txt;True;000071.txt;4.5821123
000072.txt;True;000072.txt;2.4839897
000073.txt;True;000073.txt;2.677422
000074.txt;True;000074.txt;3.1073556
000075.txt;True;000075.txt;3.2572484
000076.txt;True;000076.txt;2.5189886
000077.txt;True;000077.txt;1.2154226
000078.txt;True;000078.txt;3.1983395
000079.txt;True;000079.txt;2.8952498
000080.txt;False;017271.txt;2.4304967
000081.txt;True;000081.txt;3.5168798
000082.txt;False;000080.txt;5.2609663
000083.txt;False;000805.txt;4.9858494
000084.txt;True;000084.txt;3.3087149
000085.txt;True;000085.txt;1.6255801
000086.txt;True;000086.txt;2.7126884
000087.txt;False;018029.txt;2.806315
000088.txt;True;000088.txt;2.1013758
000089.txt;True;000089.txt;2.2599833
000090.txt;False;056227.txt;4.132117
000091.txt;True;000091.txt;1.6508154
000092.txt;False;035803.txt;3.455716
000093.txt;True;000093.txt;2.6870432
000094.txt;True;000094.txt;2.5436206
000095.txt;True;000095.txt;2.7413375
000096.txt;True;000096.txt;2.7952428
000097.txt;False;072233.txt;3.8315148
000098.txt;True;000098.txt;1.8444692
000099.txt;True;000099.txt;1.0705223
000100.txt;True;000100.txt;1.1785493
000101.txt;True;000101.txt;2.8706825
000102.txt;False;018029.txt;2.9959888
000103.txt;True;000103.txt;2.0941896
000104.txt;True;000104.txt;2.2629976
000105.txt;True;000105.txt;3.835326
000106.txt;True;000106.txt;2.6187515
000107.txt;True;000107.txt;3.6585622
000108.txt;True;000108.txt;0.44382256
000109.txt;True;000109.txt;0.4255283
000110.txt;True;000110.txt;3.773538
000111.txt;True;000111.txt;1.70972
000112.txt;True;000112.txt;2.87341
000113.txt;True;000113.txt;2.8821974
000114.txt;True;000114.txt;2.4214933
000115.txt;True;000115.txt;3.1247425
000116.txt;False;028750.txt;3.171234
000117.txt;True;000117.txt;1.9723371
000118.txt;True;000118.txt;1.0977858
000119.txt;True;000119.txt;2.2266068
000120.txt;True;000120.txt;1.1534452
000121.txt;True;000121.txt;1.447886
000122.txt;False;061923.txt;3.4523335
000123.txt;True;000123.txt;1.8545529
000124.txt;True;000124.txt;1.1486375
000126.txt;True;000126.txt;2.611477
000127.txt;True;000127.txt;1.2186831
000128.txt;True;000128.txt;0.9633387
000129.txt;False;000117.txt;2.8696823
000130.txt;True;000130.txt;2.1138344
000131.txt;True;000131.txt;1.4929249
000132.txt;True;000132.txt;1.397358
000133.txt;True;000133.txt;1.1189232
000134.txt;True;000134.txt;1.9967767
000135.txt;True;000135.txt;2.0989404
000136.txt;True;000136.txt;0.87628055
000137.txt;True;000137.txt;2.5518975
000138.txt;True;000138.txt;2.6434746
000139.txt;False;035877.txt;4.947663
000140.txt;True;000140.txt;2.7012596
000141.txt;True;000141.txt;2.2399635
000142.txt;False;072416.txt;4.876227
000143.txt;True;000143.txt;2.989224
000144.txt;True;000144.txt;2.0858226
000145.txt;False;026286.txt;3.192249
000146.txt;True;000146.txt;3.3126655
000147.txt;True;000147.txt;2.181118
000148.txt;False;025467.txt;2.9654593
000149.txt;True;000149.txt;0.6833724
000150.txt;True;000150.txt;3.0781245
000151.txt;False;078936.txt;2.8258247
000152.txt;True;000152.txt;2.7798247
000153.txt;True;000153.txt;0.9192102
000154.txt;False;053910.txt;3.3692741
000155.txt;False;073061.txt;4.156025
000156.txt;True;000156.txt;2.4163399
000157.txt;False;038932.txt;3.4090278
000158.txt;False;000163.txt;3.1465795
000159.txt;False;078785.txt;3.2539372
000160.txt;True;000160.txt;2.5637949
000161.txt;True;000161.txt;2.2267575
000162.txt;True;000162.txt;3.4149559
000163.txt;True;000163.txt;2.8222346
000164.txt;True;000164.txt;1.5783429
000165.txt;True;000165.txt;1.1734775
000166.txt;True;000166.txt;0.9375352
000167.txt;True;000167.txt;1.8012371
000168.txt;True;000168.txt;1.90184
000169.txt;False;018029.txt;3.008719
000170.txt;True;000170.txt;1.6308994
000171.txt;True;000171.txt;2.4197652
000172.txt;True;000172.txt;2.1675115
000173.txt;False;010092.txt;7.0344763
000174.txt;False;076977.txt;3.1279602
000175.txt;True;000175.txt;2.6314294
000176.txt;True;000176.txt;0.78841025
000177.txt;False;076376.txt;3.5366516
000178.txt;True;000178.txt;2.8035135
000179.txt;True;000179.txt;2.943727
000180.txt;False;011274.txt;5.6959915
000181.txt;True;000181.txt;1.0409797
000182.txt;True;000182.txt;1.2657344
000183.txt;True;000183.txt;2.4047763
000184.txt;True;000184.txt;1.7948055
000185.txt;True;000185.txt;1.7857966
000186.txt;False;015281.txt;3.3018928
000187.txt;True;000187.txt;0.8617669
000188.txt;True;000188.txt;0.61136824
000189.txt;True;000189.txt;1.2000804
000190.txt;True;000190.txt;0.8930844
000191.txt;True;000191.txt;3.2251372
000192.txt;True;000192.txt;2.789616
000193.txt;False;007517.txt;3.216602
000194.txt;True;000194.txt;2.3838506
000195.txt;True;000195.txt;2.4241374
000196.txt;True;000196.txt;2.8452132
000197.txt;True;000197.txt;1.9375889
000198.txt;True;000198.txt;3.7145638
000199.txt;True;000199.txt;1.8767614
000200.txt;True;000200.txt;1.9754106
000201.txt;True;000201.txt;3.8182912
000202.txt;True;000202.txt;2.518134
000203.txt;False;023137.txt;3.472303
000204.txt;True;000204.txt;2.573409
000205.txt;True;000205.txt;2.2324667
000206.txt;True;000206.txt;2.4191446
000207.txt;True;000207.txt;3.9761615
000208.txt;False;010009.txt;3.514865
000209.txt;True;000209.txt;2.3614092
000210.txt;True;000210.txt;3.8704314
000211.txt;True;000211.txt;3.3809958
000212.txt;True;000212.txt;2.0757375
000213.txt;True;000213.txt;2.6902566
000214.txt;True;000214.txt;1.1786524
000215.txt;True;000215.txt;3.6406689
000216.txt;True;000216.txt;2.7957354
000217.txt;True;000217.txt;1.9750305
000219.txt;True;000219.txt;3.0170643
000220.txt;False;078947.txt;2.8852801
000221.txt;True;000221.txt;1.0773809
000222.txt;True;000222.txt;1.2702336
000223.txt;True;000223.txt;4.180713
000224.txt;True;000224.txt;1.9062984
000225.txt;False;005833.txt;2.8790543
000226.txt;True;000226.txt;2.7984195
000227.txt;True;000227.txt;1.7607087
000228.txt;True;000228.txt;1.6260176
000229.txt;False;013605.txt;4.2811995
000230.txt;True;000230.txt;2.6433353
000231.txt;False;000216.txt;4.649204
000232.txt;False;072121.txt;6.1405916
000233.txt;True;000233.txt;2.7612247
000234.txt;False;047799.txt;3.840808
000235.txt;True;000235.txt;3.5071778
000236.txt;True;000236.txt;0.6381055
000237.txt;False;070521.txt;5.695381
000238.txt;True;000238.txt;2.2494583
000239.txt;False;000117.txt;3.505011
000240.txt;False;041789.txt;4.0044756
000241.txt;True;000241.txt;1.287175
000242.txt;True;000242.txt;3.4973593
000243.txt;True;000243.txt;1.2496731
000244.txt;True;000244.txt;3.813817
000245.txt;True;000245.txt;2.3034291
000246.txt;True;000246.txt;1.3683945
000247.txt;True;000247.txt;3.2318869
000248.txt;True;000248.txt;2.8155
000249.txt;True;000249.txt;2.0920281
000250.txt;True;000250.txt;1.3089474
000251.txt;True;000251.txt;2.0412302
000252.txt;True;000252.txt;1.2225862
000253.txt;True;000253.txt;2.6741219
000254.txt;False;034704.txt;2.6999307
000255.txt;True;000255.txt;0.78453153
000256.txt;True;000256.txt;3.4839394
000257.txt;False;078867.txt;2.9143605
000258.txt;False;028061.txt;4.92465
000259.txt;True;000259.txt;4.084301
000260.txt;True;000260.txt;3.3820944
000261.txt;True;000261.txt;6.5762186
000262.txt;True;000262.txt;0.70191395
000263.txt;False;073084.txt;4.9784274
000264.txt;False;073451.txt;4.299921
000265.txt;True;000265.txt;1.6209052
000266.txt;True;000266.txt;3.0164943
000267.txt;False;060981.txt;2.5840406
000268.txt;True;000268.txt;1.6786189
000269.txt;True;000269.txt;2.4970458
000270.txt;True;000270.txt;2.994473
000271.txt;True;000271.txt;1.2858349
000272.txt;True;000272.txt;1.8804777
000273.txt;True;000273.txt;1.5848327
000274.txt;True;000274.txt;1.658226
000275.txt;True;000275.txt;3.4536653
000276.txt;True;000276.txt;2.571223
000277.txt;True;000277.txt;0.9463587
000278.txt;True;000278.txt;1.1966996
000279.txt;True;000279.txt;1.1075225
