query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.042362742
000001.txt;True;000001.txt;0.0
000002.txt;False;000601.txt;0.3002176
000003.txt;True;000003.txt;0.117943406
000004.txt;False;022862.txt;0.24740382
000005.txt;False;038878.txt;0.27225548
000006.txt;False;030655.txt;0.2336449
000007.txt;False;041595.txt;0.15536374
000008.txt;False;027692.txt;0.22753322
000009.txt;True;000009.txt;0.20475319
000010.txt;True;000010.txt;0.2844821
000011.txt;True;000011.txt;0.23665078
000012.txt;True;000012.txt;0.045207124
000013.txt;True;000013.txt;0.06215562
000014.txt;False;075313.txt;0.26633912
000015.txt;True;000015.txt;0.23232014
000016.txt;False;078605.txt;0.29255438
000017.txt;True;000017.txt;0.20812072
000018.txt;True;000018.txt;0.17761913
000019.txt;True;000019.txt;0.059912905
000020.txt;False;031649.txt;0.15065838
000021.txt;True;000021.txt;0.28094947
000022.txt;True;000022.txt;0.29187512
000023.txt;True;000023.txt;0.3036362
000024.txt;True;000024.txt;0.278486
000025.txt;False;045668.txt;0.28855556
000026.txt;False;034849.txt;0.25919706
000027.txt;True;000027.txt;0.31037405
000028.txt;False;024473.txt;0.32324243
000029.txt;False;045185.txt;0.31530404
000030.txt;False;057536.txt;0.27289972
000031.txt;False;050272.txt;0.26956242
000032.txt;True;000032.txt;0.05605127
000034.txt;True;000034.txt;0.32188737
000035.txt;False;039593.txt;0.29824162
000036.txt;True;000036.txt;0.10280271
000037.txt;False;024472.txt;0.31566137
000038.txt;True;000038.txt;0.3420061
000039.txt;True;000039.txt;0.32311642
000040.txt;False;018905.txt;0.3263675
000041.txt;False;000277.txt;0.3048144
000042.txt;True;000042.txt;0.30464217
000043.txt;True;000043.txt;0.3314294
000044.txt;True;000044.txt;0.31175253
000045.txt;False;000286.txt;0.3488481
000046.txt;True;000046.txt;0.35225916
000047.txt;False;078617.txt;0.3431202
000048.txt;True;000048.txt;0.0
000049.txt;True;000049.txt;0.28148228
000050.txt;True;000050.txt;0.31245825
000051.txt;True;000051.txt;0.36180836
000052.txt;True;000052.txt;0.32839525
000053.txt;True;000053.txt;0.336771
000054.txt;False;028679.txt;0.18364489
000055.txt;False;000575.txt;0.31003395
000056.txt;False;034918.txt;0.27370736
000057.txt;False;004246.txt;0.31997323
000058.txt;False;034918.txt;0.37666285
000059.txt;False;048589.txt;0.21598504
000060.txt;False;004246.txt;0.35368925
000061.txt;False;030655.txt;0.28266
000062.txt;True;000062.txt;0.19663
000063.txt;False;039663.txt;0.23561606
000064.txt;False;003706.txt;0.38908625
000065.txt;True;000065.txt;0.30254638
000066.txt;True;000066.txt;0.0
000067.txt;True;000067.txt;0.047759272
000068.txt;False;013466.txt;0.32511023
000069.txt;False;058215.txt;0.43305826
000070.txt;False;019182.txt;0.20610014
000071.txt;True;000071.txt;0.17824852
000072.txt;True;000072.txt;0.0
000073.txt;True;000073.txt;0.24519002
000074.txt;False;059714.txt;0.32818907
000075.txt;False;062499.txt;0.2200666
000076.txt;True;000076.txt;0.25696805
000077.txt;False;024413.txt;0.43398398
000078.txt;False;013684.txt;0.1840308
000079.txt;False;032414.txt;0.34993955
000080.txt;False;025427.txt;0.19141155
000081.txt;False;004246.txt;0.3294354
000082.txt;False;003370.txt;0.327008
000083.txt;False;011149.txt;0.2784114
000084.txt;False;072700.txt;0.3251204
000085.txt;True;000085.txt;0.06257615
000086.txt;True;000086.txt;0.12366937
000087.txt;False;027635.txt;0.23326872
000088.txt;False;021736.txt;0.44759524
000089.txt;False;049956.txt;0.3228774
000090.txt;False;046059.txt;0.3151882
000091.txt;True;000091.txt;0.11140716
000092.txt;False;028551.txt;0.2540825
000093.txt;True;000093.txt;0.09241104
000094.txt;True;000094.txt;0.14225675
000095.txt;False;022440.txt;0.24030519
000096.txt;False;039022.txt;0.26303884
000097.txt;False;008363.txt;0.3791808
000098.txt;False;073648.txt;0.1937355
000099.txt;True;000099.txt;0.27893373
000100.txt;False;028749.txt;0.26549727
000101.txt;False;029925.txt;0.19896197
000102.txt;False;006957.txt;0.18674251
000103.txt;True;000103.txt;0.17419545
000104.txt;False;003862.txt;0.284763
000105.txt;False;025895.txt;0.3486005
000106.txt;True;000106.txt;0.1354501
000107.txt;False;029988.txt;0.2804745
000108.txt;False;038290.txt;0.31989262
000109.txt;True;000109.txt;0.33422336
000110.txt;True;000110.txt;0.08112404
000111.txt;False;064767.txt;0.25640547
000112.txt;False;077872.txt;0.40447173
000113.txt;False;077003.txt;0.20504564
000114.txt;True;000114.txt;0.157742
000115.txt;True;000115.txt;0.0
000116.txt;False;028750.txt;0.14259434
000117.txt;False;077814.txt;0.28456724
000118.txt;True;000118.txt;0.0
000119.txt;False;031972.txt;0.2529655
000120.txt;True;000120.txt;0.08890185
000121.txt;True;000121.txt;0.0
000122.txt;False;067070.txt;0.33959126
000123.txt;True;000123.txt;0.0
000124.txt;True;000124.txt;0.0
000126.txt;True;000126.txt;0.3518399
000127.txt;True;000127.txt;0.4142353
000128.txt;True;000128.txt;0.35604608
000129.txt;False;013389.txt;0.21222311
000130.txt;True;000130.txt;0.37358683
000131.txt;True;000131.txt;0.32370347
000132.txt;True;000132.txt;0.37180507
000133.txt;True;000133.txt;0.3239615
000134.txt;True;000134.txt;0.25763452
000135.txt;False;028955.txt;0.27962604
000136.txt;False;053358.txt;0.4945112
000137.txt;False;002229.txt;0.18556106
000138.txt;True;000138.txt;0.0793976
000139.txt;False;043930.txt;0.21146421
000140.txt;True;000140.txt;0.0
000141.txt;True;000141.txt;0.023525745
000142.txt;False;013946.txt;0.2504488
000143.txt;False;060150.txt;0.33718485
000144.txt;False;068315.txt;0.36286843
000145.txt;False;029513.txt;0.23312224
000146.txt;False;036098.txt;0.34243432
000147.txt;False;029513.txt;0.13724095
000148.txt;False;065006.txt;0.260918
000149.txt;True;000149.txt;0.139896
000150.txt;True;000150.txt;0.30885386
000151.txt;False;029513.txt;0.07057751
000152.txt;False;027842.txt;0.16123256
000153.txt;True;000153.txt;0.0
000154.txt;False;026594.txt;0.20035101
000155.txt;False;010522.txt;0.28093642
000156.txt;True;000156.txt;0.08238001
000157.txt;False;031761.txt;0.35374194
000158.txt;False;000163.txt;0.33550447
000159.txt;False;002165.txt;0.23598602
000160.txt;False;001702.txt;0.39153773
000161.txt;False;068859.txt;0.14280565
000162.txt;True;000162.txt;0.16292351
000163.txt;True;000163.txt;0.28796005
000164.txt;True;000164.txt;0.0
000165.txt;True;000165.txt;0.0
000166.txt;True;000166.txt;0.0
000167.txt;True;000167.txt;0.20176011
000168.txt;False;050225.txt;0.27606994
000169.txt;False;056674.txt;0.25320852
000170.txt;False;064471.txt;0.33549082
000171.txt;True;000171.txt;0.37533826
000172.txt;False;033738.txt;0.26686466
000173.txt;True;000173.txt;0.18783072
000174.txt;True;000174.txt;0.0
000175.txt;False;013967.txt;0.17325842
000176.txt;True;000176.txt;0.32635286
000177.txt;False;072168.txt;0.26417008
000178.txt;False;012844.txt;0.5410221
000179.txt;True;000179.txt;0.0
000180.txt;False;067574.txt;0.21554385
000181.txt;True;000181.txt;0.0
000182.txt;True;000182.txt;0.0
000183.txt;True;000183.txt;0.0
000184.txt;True;000184.txt;0.22856121
000185.txt;True;000185.txt;0.0
000186.txt;False;067124.txt;0.23727463
000187.txt;False;002322.txt;0.22407559
000188.txt;False;078448.txt;0.33512187
000189.txt;True;000189.txt;0.33075565
000190.txt;True;000190.txt;0.3636155
000191.txt;True;000191.txt;0.1285253
000192.txt;True;000192.txt;0.10886506
000193.txt;True;000193.txt;0.33990997
000194.txt;True;000194.txt;0.10480108
000195.txt;False;012522.txt;0.37643555
000196.txt;False;012650.txt;0.17657879
000197.txt;False;073404.txt;0.23103327
000198.txt;False;075965.txt;0.28028738
000199.txt;True;000199.txt;0.0
000200.txt;True;000200.txt;0.21202043
000201.txt;False;076670.txt;0.2440292
000202.txt;False;004911.txt;0.30917016
000203.txt;False;037634.txt;0.36424315
000204.txt;True;000204.txt;0.3091817
000205.txt;True;000205.txt;0.2673578
000206.txt;True;000206.txt;0.21352452
000207.txt;False;028757.txt;0.3798564
000208.txt;False;045611.txt;0.1833137
000209.txt;True;000209.txt;0.28046674
000210.txt;False;048016.txt;0.3257471
000211.txt;True;000211.txt;0.1412273
000212.txt;True;000212.txt;0.06314235
000213.txt;False;057595.txt;0.2599249
000214.txt;True;000214.txt;0.0
000215.txt;False;050750.txt;0.27326292
000216.txt;False;068315.txt;0.27222198
000217.txt;False;012879.txt;0.33811653
000219.txt;True;000219.txt;0.10996421
000220.txt;False;029821.txt;0.40529147
000221.txt;True;000221.txt;0.52300346
000222.txt;True;000222.txt;0.42590696
000223.txt;False;056450.txt;0.3864085
000224.txt;False;062696.txt;0.35560066
000225.txt;False;009754.txt;0.2397872
000226.txt;False;000216.txt;0.29202747
000227.txt;True;000227.txt;0.09319791
000228.txt;True;000228.txt;0.20166785
000229.txt;False;020446.txt;0.13502555
000230.txt;True;000230.txt;0.16239366
000231.txt;False;049699.txt;0.34221795
000232.txt;False;078076.txt;0.09860307
000233.txt;True;000233.txt;0.08765213
000234.txt;False;026315.txt;0.25170332
000235.txt;False;057456.txt;0.19989282
000236.txt;False;078617.txt;0.33941263
000237.txt;True;000237.txt;0.24201502
000238.txt;True;000238.txt;0.09826882
000239.txt;False;028748.txt;0.2955292
000240.txt;True;000240.txt;0.30739278
000241.txt;True;000241.txt;0.0
000242.txt;False;024551.txt;0.27327067
000243.txt;True;000243.txt;0.05929967
000244.txt;False;053766.txt;0.27488866
000245.txt;False;056188.txt;0.2861787
000246.txt;True;000246.txt;0.1937412
000247.txt;False;050510.txt;0.36692333
000248.txt;False;028736.txt;0.28847787
000249.txt;True;000249.txt;0.0
000250.txt;True;000250.txt;0.0
000251.txt;True;000251.txt;0.3501445
000252.txt;True;000252.txt;0.046526168
000253.txt;True;000253.txt;0.0
000254.txt;True;000254.txt;0.0
000255.txt;True;000255.txt;0.08445492
000256.txt;False;053590.txt;0.25284934
000257.txt;True;000257.txt;0.22758812
000258.txt;False;018975.txt;0.14686388
000259.txt;False;000284.txt;0.2444482
000260.txt;True;000260.txt;0.33474132
000261.txt;False;042981.txt;0.41035387
000262.txt;True;000262.txt;0.0
000263.txt;True;000263.txt;0.52322584
000264.txt;False;004587.txt;0.45245403
000265.txt;False;017921.txt;0.16047028
000266.txt;False;060357.txt;0.16247693
000267.txt;True;000267.txt;0.08613581
000268.txt;False;061662.txt;0.38396433
000269.txt;True;000269.txt;0.22335798
000270.txt;True;000270.txt;0.23231044
000271.txt;True;000271.txt;0.38482744
000272.txt;True;000272.txt;0.33850384
000273.txt;False;078617.txt;0.34780163
000274.txt;True;000274.txt;0.31785518
000275.txt;True;000275.txt;0.0
000276.txt;False;001805.txt;0.33634776
