query_file;found;search_result;search_distances
000000.txt;False;003653.txt;5.793895
000001.txt;False;020930.txt;6.738356
000002.txt;False;027241.txt;5.746459
000003.txt;False;055994.txt;5.7547674
000004.txt;False;050701.txt;7.498865
000005.txt;False;024632.txt;6.3539295
000006.txt;False;007594.txt;6.1224937
000007.txt;False;070759.txt;5.875852
000008.txt;False;025181.txt;5.4197044
000009.txt;False;054202.txt;7.795326
000010.txt;False;002629.txt;6.2771077
000011.txt;False;000161.txt;7.238387
000012.txt;False;021178.txt;5.1804056
000013.txt;False;021178.txt;5.86742
000014.txt;False;043857.txt;7.1210885
000015.txt;False;027241.txt;6.463026
000016.txt;False;043857.txt;7.0468607
000017.txt;False;048606.txt;8.32277
000018.txt;False;043857.txt;7.0610266
000019.txt;False;056213.txt;7.5687175
000020.txt;False;059468.txt;5.8247175
000021.txt;False;041583.txt;6.5600934
000022.txt;False;041583.txt;6.8902626
000023.txt;False;041583.txt;7.1079335
000024.txt;False;041583.txt;6.4041643
000025.txt;False;041583.txt;6.691019
000026.txt;False;048899.txt;6.250084
000027.txt;False;041583.txt;6.547655
000028.txt;False;041583.txt;6.2340446
000029.txt;False;041583.txt;6.4957905
000030.txt;False;007594.txt;5.0167913
000031.txt;False;041583.txt;6.9967465
000032.txt;False;002574.txt;6.1927376
000034.txt;False;059468.txt;6.050171
000035.txt;False;011780.txt;7.341039
000036.txt;False;029188.txt;5.443201
000037.txt;False;041583.txt;6.80552
000038.txt;False;041583.txt;6.8780093
000039.txt;False;041583.txt;6.968804
000040.txt;False;041583.txt;6.612301
000041.txt;False;041583.txt;6.845029
000042.txt;False;041583.txt;6.7860165
000043.txt;False;041583.txt;6.9091554
000044.txt;False;041583.txt;7.024953
000045.txt;False;056213.txt;6.6566095
000046.txt;False;041583.txt;6.972431
000047.txt;False;041583.txt;6.9683733
000048.txt;False;000318.txt;4.9884443
000049.txt;False;027241.txt;5.9300184
000050.txt;False;072416.txt;5.32813
000051.txt;False;041583.txt;7.5516033
000052.txt;False;041583.txt;6.7768936
000053.txt;False;027241.txt;5.267021
000054.txt;False;002574.txt;6.6794786
000055.txt;False;030556.txt;7.4507704
000056.txt;False;027241.txt;5.5390162
000057.txt;False;072416.txt;5.5443316
000058.txt;False;011780.txt;5.70634
000059.txt;False;032867.txt;5.884637
000060.txt;False;011780.txt;5.9486866
000061.txt;False;043857.txt;6.7858367
000062.txt;False;051959.txt;5.212613
000063.txt;False;000637.txt;7.739387
000064.txt;False;027241.txt;5.0926647
000065.txt;False;011780.txt;6.156189
000066.txt;False;047065.txt;6.4179144
000067.txt;False;051959.txt;6.0394583
000068.txt;False;069815.txt;6.287484
000069.txt;False;030290.txt;6.000008
000070.txt;False;014076.txt;6.2709923
000071.txt;True;000071.txt;6.79386
000072.txt;False;078917.txt;5.2535615
000073.txt;False;063526.txt;6.1219954
000074.txt;False;000637.txt;6.86759
000075.txt;False;026860.txt;5.4946756
000076.txt;False;055994.txt;6.3386974
000077.txt;False;027241.txt;5.6876025
000078.txt;False;074075.txt;6.802314
000079.txt;False;039634.txt;5.9558487
000080.txt;False;027241.txt;5.251181
000081.txt;False;027241.txt;5.3828473
000082.txt;False;027241.txt;5.580028
000083.txt;False;016326.txt;6.9257913
000084.txt;False;042770.txt;6.544236
000085.txt;False;055527.txt;6.2320423
000086.txt;False;063526.txt;6.0085406
000087.txt;False;027241.txt;5.1084843
000088.txt;False;000757.txt;6.108445
000089.txt;False;009510.txt;6.801876
000090.txt;False;037444.txt;5.8976517
000091.txt;False;051959.txt;5.4203124
000092.txt;False;020030.txt;5.509594
000093.txt;False;055527.txt;5.361052
000094.txt;False;037251.txt;6.0921936
000095.txt;False;068075.txt;5.6087904
000096.txt;False;025181.txt;6.784118
000097.txt;False;037444.txt;5.611146
000098.txt;False;007594.txt;5.5895314
000099.txt;False;019681.txt;7.036212
000100.txt;False;027241.txt;5.227852
000101.txt;False;070759.txt;6.5090404
000102.txt;False;027241.txt;5.721119
000103.txt;False;009510.txt;6.8535767
000104.txt;False;003653.txt;6.536826
000105.txt;False;055994.txt;5.6503606
000106.txt;False;007594.txt;5.6250505
000107.txt;False;055994.txt;6.023823
000108.txt;False;041583.txt;6.7155743
000109.txt;False;041583.txt;6.8299093
