query_file;found;search_result;search_distances
000000.txt;False;042895.txt;0.39911902
000001.txt;True;000001.txt;0.24614291
000002.txt;True;000002.txt;0.25194752
000003.txt;True;000003.txt;0.25846493
000004.txt;True;000004.txt;0.19008723
000005.txt;False;058488.txt;0.3404758
000006.txt;True;000006.txt;0.34095553
000007.txt;True;000007.txt;0.37311536
000008.txt;False;036119.txt;0.3707351
000009.txt;True;000009.txt;0.2444324
000010.txt;True;000010.txt;0.23466052
000011.txt;True;000011.txt;0.22678019
000012.txt;True;000012.txt;0.19682467
000013.txt;True;000013.txt;0.20482565
000014.txt;True;000014.txt;0.18503551
000015.txt;True;000015.txt;0.22455636
000016.txt;True;000016.txt;0.275969
000017.txt;True;000017.txt;0.25229183
000018.txt;True;000018.txt;0.21645656
000019.txt;False;072796.txt;0.30356917
000020.txt;True;000020.txt;0.3433962
000021.txt;True;000021.txt;0.20398918
000022.txt;True;000022.txt;0.18819542
000023.txt;True;000023.txt;0.20336905
000024.txt;True;000024.txt;0.23299085
000025.txt;True;000025.txt;0.19572777
000026.txt;True;000026.txt;0.22565866
000027.txt;True;000027.txt;0.17113692
000028.txt;True;000028.txt;0.1803997
000029.txt;True;000029.txt;0.18488944
000030.txt;True;000030.txt;0.2661844
000031.txt;True;000031.txt;0.23450556
000032.txt;True;000032.txt;0.26425558
000034.txt;True;000034.txt;0.31046295
000035.txt;False;016346.txt;0.399063
000036.txt;True;000036.txt;0.30482322
000037.txt;True;000037.txt;0.18079779
000038.txt;True;000038.txt;0.16128556
000039.txt;True;000039.txt;0.19739178
000040.txt;True;000040.txt;0.18592325
000041.txt;True;000041.txt;0.18321076
000042.txt;True;000042.txt;0.17172986
000043.txt;True;000043.txt;0.19087313
000044.txt;False;010500.txt;0.32902747
000045.txt;False;078368.txt;0.32956347
000046.txt;False;075527.txt;0.2831651
000047.txt;False;075527.txt;0.28862786
000048.txt;True;000048.txt;0.16112256
000049.txt;True;000049.txt;0.19325589
000050.txt;False;006828.txt;0.28320432
000051.txt;False;075527.txt;0.33301687
000052.txt;False;075527.txt;0.32715106
000053.txt;True;000053.txt;0.27009183
000054.txt;True;000054.txt;0.28675246
000055.txt;True;000055.txt;0.41844398
000056.txt;True;000056.txt;0.29402074
000057.txt;True;000057.txt;0.27879518
000058.txt;True;000058.txt;0.20696852
000059.txt;False;004910.txt;0.41809547
000060.txt;True;000060.txt;0.2525077
000061.txt;True;000061.txt;0.27954972
000062.txt;True;000062.txt;0.3016662
000063.txt;True;000063.txt;0.32033458
000064.txt;True;000064.txt;0.2891965
000065.txt;True;000065.txt;0.3283329
000066.txt;True;000066.txt;0.30479324
000067.txt;True;000067.txt;0.2549572
000068.txt;True;000068.txt;0.2784204
000069.txt;True;000069.txt;0.30019683
000070.txt;True;000070.txt;0.33117166
000071.txt;False;008550.txt;0.34742177
000072.txt;True;000072.txt;0.16273431
000073.txt;False;015120.txt;0.3783755
000074.txt;False;078483.txt;0.43775254
000075.txt;True;000075.txt;0.29500985
000076.txt;False;062557.txt;0.32228667
000077.txt;True;000077.txt;0.24558236
000078.txt;True;000078.txt;0.3259902
000079.txt;True;000079.txt;0.29836023
