query_file;found;search_result;search_distances
000000.txt;False;075274.txt;0.4244702
000001.txt;True;000001.txt;0.20224884
000002.txt;False;007581.txt;0.23781337
000003.txt;True;000003.txt;0.27177474
000004.txt;True;000004.txt;0.22021839
000005.txt;False;078876.txt;0.35475457
000006.txt;False;032422.txt;0.36449707
000007.txt;False;032220.txt;0.4401526
000008.txt;False;078925.txt;0.3691469
000009.txt;True;000009.txt;0.28526685
000010.txt;True;000010.txt;0.29823223
000011.txt;True;000011.txt;0.27884966
000012.txt;True;000012.txt;0.25936097
000013.txt;True;000013.txt;0.24634945
000014.txt;True;000014.txt;0.23994383
000015.txt;True;000015.txt;0.22067603
000016.txt;False;000015.txt;0.31998402
000017.txt;True;000017.txt;0.28736293
000018.txt;True;000018.txt;0.17580539
000019.txt;True;000019.txt;0.29264548
000020.txt;True;000020.txt;0.3420999
000021.txt;True;000021.txt;0.20341809
000022.txt;True;000022.txt;0.19867373
000023.txt;True;000023.txt;0.22731633
000024.txt;True;000024.txt;0.2269815
000025.txt;True;000025.txt;0.16925418
000026.txt;True;000026.txt;0.27394697
000027.txt;True;000027.txt;0.15837556
000028.txt;True;000028.txt;0.17505324
000029.txt;True;000029.txt;0.17768827
000030.txt;True;000030.txt;0.24751084
000031.txt;True;000031.txt;0.24261835
000032.txt;True;000032.txt;0.30604178
000034.txt;True;000034.txt;0.36623895
000035.txt;True;000035.txt;0.41825333
000036.txt;True;000036.txt;0.30193704
000037.txt;True;000037.txt;0.1699943
000038.txt;True;000038.txt;0.15898769
000039.txt;True;000039.txt;0.17452039
000040.txt;True;000040.txt;0.17339289
000041.txt;True;000041.txt;0.16484828
000042.txt;True;000042.txt;0.16482279
000043.txt;True;000043.txt;0.18284109
000044.txt;False;010500.txt;0.34704947
000045.txt;True;000045.txt;0.3465587
000046.txt;False;075527.txt;0.35731804
000047.txt;False;075527.txt;0.29857433
000048.txt;True;000048.txt;0.17889518
000049.txt;True;000049.txt;0.2583885
000050.txt;True;000050.txt;0.25965175
000051.txt;True;000051.txt;0.37294996
000052.txt;True;000052.txt;0.32218027
000053.txt;True;000053.txt;0.2983092
000054.txt;True;000054.txt;0.35366988
000055.txt;True;000055.txt;0.41705024
000056.txt;True;000056.txt;0.33727187
000057.txt;True;000057.txt;0.29364565
000058.txt;True;000058.txt;0.22232436
000059.txt;False;027459.txt;0.50746775
000060.txt;True;000060.txt;0.23797749
000061.txt;True;000061.txt;0.30725646
000062.txt;True;000062.txt;0.27911597
000063.txt;True;000063.txt;0.3417067
000064.txt;True;000064.txt;0.2957525
000065.txt;True;000065.txt;0.27542347
000066.txt;True;000066.txt;0.28944668
000067.txt;True;000067.txt;0.29312176
000068.txt;True;000068.txt;0.2959732
000069.txt;True;000069.txt;0.33889014
000070.txt;True;000070.txt;0.33321664
000071.txt;False;008550.txt;0.3672145
000072.txt;True;000072.txt;0.1949363
000073.txt;True;000073.txt;0.31055403
000074.txt;False;053465.txt;0.45720822
000075.txt;True;000075.txt;0.28756684
000076.txt;False;028863.txt;0.3661589
000077.txt;True;000077.txt;0.25867397
000078.txt;True;000078.txt;0.38924742
000079.txt;True;000079.txt;0.33099213
000080.txt;True;000080.txt;0.24664922
000081.txt;True;000081.txt;0.29193217
000082.txt;True;000082.txt;0.3107465
000083.txt;True;000083.txt;0.38205373
000084.txt;True;000084.txt;0.3441077
