query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.044219762
000001.txt;True;000001.txt;1.8013813e-13
000002.txt;True;000002.txt;0.44680142
000003.txt;True;000003.txt;0.11250852
000004.txt;False;017224.txt;0.54167116
000005.txt;True;000005.txt;0.29715782
000006.txt;True;000006.txt;0.29587853
000007.txt;False;009564.txt;0.65608287
000008.txt;False;029512.txt;0.8400966
000009.txt;True;000009.txt;0.1515838
000010.txt;True;000010.txt;0.32886285
000011.txt;True;000011.txt;0.108912796
000012.txt;True;000012.txt;0.19550566
000013.txt;True;000013.txt;0.25145414
000014.txt;True;000014.txt;0.29821432
000015.txt;True;000015.txt;0.07484917
000016.txt;False;069346.txt;0.38059607
000017.txt;True;000017.txt;0.38090616
000018.txt;True;000018.txt;0.21615353
000019.txt;True;000019.txt;0.2007673
000020.txt;True;000020.txt;0.2935988
000021.txt;False;016153.txt;0.40340927
000022.txt;False;053105.txt;0.44172505
000023.txt;False;045783.txt;0.37745747
000024.txt;False;046041.txt;0.40269464
000025.txt;False;045668.txt;0.3891195
000026.txt;False;076209.txt;0.55550206
000027.txt;False;062264.txt;0.4347731
000028.txt;False;024473.txt;0.4428578
000029.txt;False;045185.txt;0.37962818
000030.txt;False;057536.txt;0.34018207
000031.txt;False;050272.txt;0.3272512
000032.txt;True;000032.txt;0.089687824
000034.txt;True;000034.txt;0.5476955
000035.txt;False;042806.txt;0.50440294
000036.txt;True;000036.txt;0.225485
000037.txt;False;044930.txt;0.38134027
000038.txt;False;044750.txt;0.51480377
000039.txt;False;044750.txt;0.48741493
000040.txt;False;043742.txt;0.48834616
000041.txt;True;000041.txt;0.4843154
000042.txt;False;044660.txt;0.36334205
000043.txt;False;043969.txt;0.5226793
000044.txt;True;000044.txt;0.19674706
000045.txt;True;000045.txt;0.21738006
000046.txt;True;000046.txt;0.19471982
000047.txt;True;000047.txt;0.18896906
000048.txt;True;000048.txt;2.5718587e-13
000049.txt;True;000049.txt;0.35293037
000050.txt;True;000050.txt;0.07421141
000051.txt;True;000051.txt;0.18836576
000052.txt;True;000052.txt;0.16773364
000053.txt;True;000053.txt;0.4947397
000054.txt;False;056723.txt;0.72111064
000055.txt;False;000575.txt;0.492094
000056.txt;False;070084.txt;0.7696805
000057.txt;True;000057.txt;0.26583683
000058.txt;True;000058.txt;0.5663496
000059.txt;True;000059.txt;0.40461493
000060.txt;True;000060.txt;0.57376456
000061.txt;True;000061.txt;0.27196908
000062.txt;True;000062.txt;0.25495297
000063.txt;False;077793.txt;0.42809248
