query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.9412336
000001.txt;False;026031.txt;0.8168689
000002.txt;False;041998.txt;0.8344081
000003.txt;False;076693.txt;0.85679805
000004.txt;False;015965.txt;0.82932454
000005.txt;False;078876.txt;0.8523164
000006.txt;False;054595.txt;0.8229182
000007.txt;False;025953.txt;0.8462249
000008.txt;False;036231.txt;0.9131655
000009.txt;True;000009.txt;0.7724315
000010.txt;False;054029.txt;0.8532218
000011.txt;True;000011.txt;0.90296245
000012.txt;True;000012.txt;0.90717816
000013.txt;False;007426.txt;0.8421902
000014.txt;True;000014.txt;0.8568773
000015.txt;False;053115.txt;0.8112354
000016.txt;False;069346.txt;0.8434365
000017.txt;False;040414.txt;0.8214681
000018.txt;True;000018.txt;0.84965694
000019.txt;False;002039.txt;0.9337388
000020.txt;False;020092.txt;0.8347842
000021.txt;True;000021.txt;0.9081012
000022.txt;True;000022.txt;0.9158275
000023.txt;False;058403.txt;0.8938724
000024.txt;False;058403.txt;0.89971215
000025.txt;True;000025.txt;0.9138813
000026.txt;True;000026.txt;0.9251533
000027.txt;True;000027.txt;0.9120822
000028.txt;True;000028.txt;0.90435183
000029.txt;True;000029.txt;0.90785116
000030.txt;False;012604.txt;0.925866
000031.txt;False;004272.txt;0.8669499
000032.txt;False;071876.txt;0.8176246
000034.txt;True;000034.txt;0.9492081
000035.txt;True;000035.txt;0.86908925
000036.txt;False;019698.txt;0.8894052
000037.txt;True;000037.txt;0.88827753
000038.txt;True;000038.txt;0.90557253
000039.txt;True;000039.txt;0.9017965
000040.txt;True;000040.txt;0.9013792
000041.txt;True;000041.txt;0.9120457
000042.txt;True;000042.txt;0.9127178
000043.txt;True;000043.txt;0.91253555
000044.txt;False;004897.txt;0.8673449
000045.txt;True;000045.txt;0.847299
000046.txt;False;000282.txt;0.83902144
000047.txt;False;009013.txt;0.85379
000048.txt;False;005037.txt;0.8659717
000049.txt;False;045899.txt;0.83465314
000050.txt;False;002950.txt;0.88572145
000051.txt;False;068052.txt;0.86222863
000052.txt;False;000189.txt;0.86513114
000053.txt;False;015409.txt;0.8636892
000054.txt;False;006174.txt;0.8532353
000055.txt;False;042868.txt;0.87848973
000056.txt;False;030729.txt;0.88845104
000057.txt;False;030729.txt;0.8868787
000058.txt;True;000058.txt;0.883077
000059.txt;False;076116.txt;0.8963057
000060.txt;False;015401.txt;0.8730851
000061.txt;False;068841.txt;0.859833
000062.txt;True;000062.txt;0.91722465
000063.txt;True;000063.txt;0.8410219
000064.txt;False;002787.txt;0.82881415
000065.txt;False;002681.txt;0.8607236
000066.txt;False;003766.txt;0.88613003
000067.txt;True;000067.txt;0.8668916
000068.txt;True;000068.txt;0.94096524
000069.txt;True;000069.txt;0.9217884
000070.txt;False;054155.txt;0.84364015
000071.txt;False;005454.txt;0.8584857
000072.txt;True;000072.txt;0.8542606
000073.txt;True;000073.txt;0.93507576
000074.txt;False;053465.txt;0.83686805
000075.txt;True;000075.txt;0.86032
000076.txt;False;030298.txt;0.8630504
000077.txt;True;000077.txt;0.8678258
000078.txt;False;061534.txt;0.8107877
000079.txt;False;028217.txt;0.8856634
000080.txt;False;015394.txt;0.84731746
000081.txt;False;032856.txt;0.79903525
000082.txt;False;005658.txt;0.851606
000083.txt;False;012613.txt;0.8665336
000084.txt;False;036207.txt;0.85766256
000085.txt;False;055559.txt;0.8227602
000086.txt;False;012555.txt;0.8918325
000087.txt;False;018029.txt;0.8049593
000088.txt;False;069591.txt;0.9003184
000089.txt;False;020100.txt;0.87760735
000090.txt;False;066727.txt;0.8656144
000091.txt;False;036486.txt;0.916679
000092.txt;False;007363.txt;0.8590026
000093.txt;True;000093.txt;0.8554288
000094.txt;False;052347.txt;0.90533125
000095.txt;False;027901.txt;0.89517117
000096.txt;False;000735.txt;0.91016805
000097.txt;False;031905.txt;0.89926434
