query_file;found;search_result;search_distances
000000.txt;True;000000.txt;0.38931894
000001.txt;True;000001.txt;0.6233844
000002.txt;False;007581.txt;0.46143466
000003.txt;True;000003.txt;0.49370345
000004.txt;True;000004.txt;0.24102594
000005.txt;False;030470.txt;0.5421864
000006.txt;False;026956.txt;0.6075866
000007.txt;False;009601.txt;0.6418091
000008.txt;False;078925.txt;0.45131457
000009.txt;True;000009.txt;0.52159625
000010.txt;True;000010.txt;0.37247393
000011.txt;False;008720.txt;0.30861926
000012.txt;True;000012.txt;0.3656113
000013.txt;True;000013.txt;0.36551705
000014.txt;True;000014.txt;0.48665744
000015.txt;True;000015.txt;0.2936694
000016.txt;False;000015.txt;0.36402106
000017.txt;True;000017.txt;0.7157322
000018.txt;True;000018.txt;0.2902928
000019.txt;True;000019.txt;0.46292374
000020.txt;False;011704.txt;0.44637743
000021.txt;True;000021.txt;0.32182878
000022.txt;True;000022.txt;0.19725952
000023.txt;True;000023.txt;0.36057138
000024.txt;True;000024.txt;0.3893216
000025.txt;True;000025.txt;0.18467104
000026.txt;True;000026.txt;0.27586728
000027.txt;True;000027.txt;0.1576013
000028.txt;True;000028.txt;0.17266037
000029.txt;True;000029.txt;0.16470325
000030.txt;True;000030.txt;0.38310975
000031.txt;True;000031.txt;0.4102645
000032.txt;True;000032.txt;0.66258293
000034.txt;True;000034.txt;0.37003425
000035.txt;True;000035.txt;0.5388586
000036.txt;True;000036.txt;0.5562376
000037.txt;True;000037.txt;0.24930908
000038.txt;True;000038.txt;0.1600846
000039.txt;True;000039.txt;0.17782849
000040.txt;True;000040.txt;0.16550367
000041.txt;True;000041.txt;0.1696735
000042.txt;True;000042.txt;0.16656065
000043.txt;True;000043.txt;0.18367137
000044.txt;False;000132.txt;0.46726885
000045.txt;True;000045.txt;0.47601205
000046.txt;False;000132.txt;0.4399278
000047.txt;False;000187.txt;0.4075746
000048.txt;True;000048.txt;0.21715751
000049.txt;True;000049.txt;0.34022903
000050.txt;True;000050.txt;0.31412655
000051.txt;False;001399.txt;0.5099549
000052.txt;False;000132.txt;0.44773802
000053.txt;True;000053.txt;0.5416243
000054.txt;True;000054.txt;0.42570347
000055.txt;False;020197.txt;0.5728112
000056.txt;True;000056.txt;0.3505639
000057.txt;True;000057.txt;0.33497366
000058.txt;True;000058.txt;0.2137985
000059.txt;False;001017.txt;0.62117803
000060.txt;False;004112.txt;0.50494313
000061.txt;True;000061.txt;0.57070786
000062.txt;True;000062.txt;0.2443729
000063.txt;True;000063.txt;0.6213567
000064.txt;False;002942.txt;0.53552425
000065.txt;True;000065.txt;0.34278977
000066.txt;True;000066.txt;0.6126974
000067.txt;True;000067.txt;0.23946801
000068.txt;True;000068.txt;0.2590903
000069.txt;True;000069.txt;0.48759428
000070.txt;True;000070.txt;0.700544
000071.txt;False;007346.txt;0.718788
000072.txt;True;000072.txt;0.3313048
000073.txt;True;000073.txt;0.44165367
000074.txt;False;053465.txt;0.72686255
000075.txt;True;000075.txt;0.44227338
000076.txt;True;000076.txt;0.59189177
000077.txt;True;000077.txt;0.55483043
000078.txt;True;000078.txt;0.7117182
000079.txt;True;000079.txt;0.57362384
000080.txt;False;004077.txt;0.50757134
000081.txt;False;004077.txt;0.54866064
000082.txt;True;000082.txt;0.39352775
000083.txt;False;048281.txt;0.6774925
000084.txt;True;000084.txt;0.6613988
000085.txt;False;077117.txt;0.7679944
000086.txt;True;000086.txt;0.43838695
000087.txt;False;016180.txt;0.41949117
000088.txt;False;069591.txt;0.49095482
000089.txt;False;020989.txt;0.54440343
000090.txt;True;000090.txt;0.6998368
000091.txt;True;000091.txt;0.33031702
000092.txt;True;000092.txt;0.47092336
000093.txt;True;000093.txt;0.4181183
000094.txt;False;019647.txt;0.47155553
000095.txt;True;000095.txt;0.40140593
000096.txt;True;000096.txt;0.4462008
000097.txt;True;000097.txt;0.54431343
000098.txt;True;000098.txt;0.2410154
000099.txt;True;000099.txt;0.55834836
000100.txt;True;000100.txt;0.34872702
000101.txt;True;000101.txt;0.80574507
000102.txt;False;016180.txt;0.4326864
000103.txt;True;000103.txt;0.4710886
000104.txt;False;028255.txt;0.62706566
000105.txt;True;000105.txt;0.52620447
000106.txt;True;000106.txt;0.27345482
000107.txt;True;000107.txt;0.6746671
000108.txt;True;000108.txt;0.18040912
000109.txt;True;000109.txt;0.15618113
000110.txt;False;000106.txt;0.5114292
000111.txt;True;000111.txt;0.5788541
000112.txt;True;000112.txt;0.67903817
000113.txt;True;000113.txt;0.37462163
000114.txt;True;000114.txt;0.5409636
000115.txt;True;000115.txt;0.5531311
000116.txt;False;017301.txt;0.5292201
000117.txt;True;000117.txt;0.697114
000118.txt;False;000121.txt;0.41594267
000119.txt;False;039698.txt;0.7391684
000120.txt;True;000120.txt;0.20961794
000121.txt;True;000121.txt;0.20350821
000122.txt;True;000122.txt;0.6066016
000123.txt;True;000123.txt;0.74504435
000124.txt;True;000124.txt;0.52702355
000126.txt;False;000187.txt;0.46439254
000127.txt;True;000127.txt;0.3800235
000128.txt;True;000128.txt;0.3738591
000129.txt;True;000129.txt;0.64992094
000130.txt;True;000130.txt;0.4749448
000131.txt;True;000131.txt;0.53005916
000132.txt;True;000132.txt;0.3213017
000133.txt;False;001402.txt;0.5055946
000134.txt;False;066147.txt;0.7263167
000135.txt;True;000135.txt;0.7092198
000136.txt;True;000136.txt;0.4102851
000137.txt;True;000137.txt;0.5893754
000138.txt;True;000138.txt;0.54870576
000139.txt;False;009373.txt;0.7848669
000140.txt;True;000140.txt;0.41296023
000141.txt;False;065995.txt;0.7938511
000142.txt;False;078508.txt;0.6150491
000143.txt;True;000143.txt;0.58759475
000144.txt;False;014751.txt;0.7147454
000145.txt;False;017301.txt;0.52295464
000146.txt;False;042891.txt;0.6291327
000147.txt;False;028227.txt;0.64087284
000148.txt;False;049976.txt;0.5839937
000149.txt;True;000149.txt;0.2919402
000150.txt;False;051369.txt;0.70835793
000151.txt;False;002534.txt;0.6392796
000152.txt;False;071949.txt;0.6904328
000153.txt;True;000153.txt;0.28238767
000154.txt;False;019327.txt;0.59467316
000155.txt;False;078526.txt;0.6247365
000156.txt;True;000156.txt;0.47606286
000157.txt;False;078565.txt;0.5787072
000158.txt;True;000158.txt;0.39206657
000159.txt;False;078565.txt;0.49205595
000160.txt;True;000160.txt;0.34755296
000161.txt;True;000161.txt;0.46423554
000162.txt;True;000162.txt;0.64543307
000163.txt;True;000163.txt;0.4670942
000164.txt;True;000164.txt;0.39598146
000165.txt;True;000165.txt;0.5174645
000166.txt;True;000166.txt;0.27647987
000167.txt;True;000167.txt;0.56797284
000168.txt;True;000168.txt;0.59666574
000169.txt;True;000169.txt;0.2836426
000170.txt;True;000170.txt;0.5775567
000171.txt;True;000171.txt;0.36322707
000172.txt;True;000172.txt;0.4582059
000173.txt;False;076645.txt;0.66955125
000174.txt;True;000174.txt;0.47515023
000175.txt;True;000175.txt;0.40470785
000176.txt;True;000176.txt;0.4162953
000177.txt;True;000177.txt;0.50982046
000178.txt;False;003735.txt;0.56881946
000179.txt;True;000179.txt;0.8461925
000180.txt;True;000180.txt;0.81784403
000181.txt;True;000181.txt;0.38935453
000182.txt;True;000182.txt;0.39600787
000183.txt;True;000183.txt;0.2749821
000184.txt;False;000109.txt;0.6211169
000185.txt;False;000181.txt;0.4573502
000186.txt;False;014451.txt;0.8236499
000187.txt;True;000187.txt;0.29918432
000188.txt;True;000188.txt;0.38984382
000189.txt;True;000189.txt;0.37819466
000190.txt;True;000190.txt;0.299558
000191.txt;True;000191.txt;0.4092033
000192.txt;False;074614.txt;0.61895233
000193.txt;False;007519.txt;0.6173303
000194.txt;True;000194.txt;0.76472545
000195.txt;True;000195.txt;0.4349433
000196.txt;True;000196.txt;0.4591775
000197.txt;False;078659.txt;0.767534
000198.txt;False;035579.txt;0.6792745
000199.txt;True;000199.txt;0.5031956
000200.txt;True;000200.txt;0.6726581
000201.txt;False;078312.txt;0.5274105
000202.txt;True;000202.txt;0.45590886
000203.txt;False;074678.txt;0.58948565
000204.txt;False;008720.txt;0.41340297
000205.txt;False;078784.txt;0.40409255
000206.txt;True;000206.txt;0.34929588
000207.txt;True;000207.txt;0.64576775
000208.txt;False;010784.txt;0.66543174
000209.txt;True;000209.txt;0.5498301
000210.txt;True;000210.txt;0.7957623
000211.txt;True;000211.txt;0.6669338
000212.txt;True;000212.txt;0.32193518
000213.txt;True;000213.txt;0.4161865
000214.txt;True;000214.txt;0.20727736
000215.txt;True;000215.txt;0.523082
000216.txt;False;074327.txt;0.6559268
000217.txt;False;000214.txt;0.60191655
000219.txt;False;018621.txt;0.635008
000220.txt;False;078945.txt;0.4213185
000221.txt;True;000221.txt;0.26831618
000222.txt;True;000222.txt;0.55793065
000223.txt;False;021475.txt;0.7442506
000224.txt;True;000224.txt;0.7455916
000225.txt;True;000225.txt;0.4519892
000226.txt;True;000226.txt;0.4476484
000227.txt;True;000227.txt;0.28165403
000228.txt;True;000228.txt;0.6198106
000229.txt;True;000229.txt;0.52315664
000230.txt;True;000230.txt;0.46061602
000231.txt;False;000216.txt;0.9164612
000232.txt;False;052227.txt;0.69904065
000233.txt;True;000233.txt;0.3921799
000234.txt;False;034574.txt;0.63802683
000235.txt;True;000235.txt;0.7558995
000236.txt;True;000236.txt;0.37342432
000237.txt;True;000237.txt;0.8098435
000238.txt;True;000238.txt;0.21339327
000239.txt;False;049882.txt;0.6130962
000240.txt;False;041789.txt;0.7585104
000241.txt;True;000241.txt;0.5109398
000242.txt;True;000242.txt;0.733687
000243.txt;False;000221.txt;0.5902906
000244.txt;False;002941.txt;0.573815
000245.txt;True;000245.txt;0.35353428
000246.txt;True;000246.txt;0.43753797
000247.txt;True;000247.txt;0.52857816
000248.txt;True;000248.txt;0.66734755
000249.txt;True;000249.txt;0.33076757
000250.txt;True;000250.txt;0.5098361
000251.txt;True;000251.txt;0.4501146
000252.txt;False;000346.txt;0.6465943
000253.txt;True;000253.txt;0.47962555
000254.txt;True;000254.txt;0.6207445
000255.txt;True;000255.txt;0.3464829
000256.txt;False;062881.txt;0.61518836
000257.txt;True;000257.txt;0.48743844
000258.txt;False;012180.txt;0.82473516
000259.txt;True;000259.txt;0.35050142
000260.txt;False;000259.txt;0.52791375
000261.txt;False;008273.txt;0.73573816
000262.txt;True;000262.txt;0.29371625
000263.txt;False;051950.txt;0.8152159
000264.txt;False;000447.txt;0.5722197
000265.txt;True;000265.txt;0.40393773
000266.txt;False;062361.txt;0.9555928
000267.txt;False;022392.txt;0.55509603
000268.txt;True;000268.txt;0.52694505
000269.txt;True;000269.txt;0.479114
000270.txt;True;000270.txt;0.53970665
000271.txt;True;000271.txt;0.3816629
000272.txt;True;000272.txt;0.39823034
000273.txt;True;000273.txt;0.36251682
000274.txt;True;000274.txt;0.373451
000275.txt;True;000275.txt;0.2986643
000276.txt;True;000276.txt;0.28144473
000277.txt;True;000277.txt;0.2628842
000278.txt;False;000187.txt;0.43805152
000279.txt;False;067422.txt;0.45047683
000280.txt;False;003352.txt;0.4103098
000281.txt;False;000187.txt;0.40922663
000282.txt;False;000187.txt;0.4425189
000283.txt;False;010629.txt;0.9046588
000284.txt;False;078799.txt;0.391407
000285.txt;True;000285.txt;0.54450035
000286.txt;True;000286.txt;0.43885636
000287.txt;False;075527.txt;0.5055673
000288.txt;True;000288.txt;0.6936528
000289.txt;True;000289.txt;0.51069295
000290.txt;True;000290.txt;0.64761436
000291.txt;True;000291.txt;0.46978274
000292.txt;False;008717.txt;0.5261757
000293.txt;False;016645.txt;0.43848497
000294.txt;False;063748.txt;0.8224393
000295.txt;True;000295.txt;0.49817145
000296.txt;False;015953.txt;0.5340355
000297.txt;True;000297.txt;0.6378703
000298.txt;True;000298.txt;0.72845495
000299.txt;False;029276.txt;0.5713382
000300.txt;True;000300.txt;0.30172026
000301.txt;True;000301.txt;0.53160787
000302.txt;False;000367.txt;0.49284822
000303.txt;True;000303.txt;0.7024038
000304.txt;True;000304.txt;0.6698762
000305.txt;True;000305.txt;0.5586796
000306.txt;True;000306.txt;0.42960253
000308.txt;True;000308.txt;0.47132638
000309.txt;True;000309.txt;0.35319883
000310.txt;True;000310.txt;0.3988163
000311.txt;True;000311.txt;0.5254357
000312.txt;True;000312.txt;0.2156252
000313.txt;True;000313.txt;0.42895648
000314.txt;True;000314.txt;0.55175483
000315.txt;True;000315.txt;0.4751643
000316.txt;True;000316.txt;0.48260868
000317.txt;True;000317.txt;0.26135576
000318.txt;True;000318.txt;0.44716853
000319.txt;True;000319.txt;0.4386459
000320.txt;True;000320.txt;0.5958246
000321.txt;True;000321.txt;0.5150885
000322.txt;True;000322.txt;0.27798134
000323.txt;True;000323.txt;0.6274267
000324.txt;True;000324.txt;0.69990414
000325.txt;False;056837.txt;0.6073823
000326.txt;False;052518.txt;0.5788059
000327.txt;True;000327.txt;0.39207026
000328.txt;False;000344.txt;0.59516287
000329.txt;True;000329.txt;0.4912285
000330.txt;True;000330.txt;0.38174403
000331.txt;True;000331.txt;0.5986644
000332.txt;False;065774.txt;0.79074764
000333.txt;False;035096.txt;0.60043705
000334.txt;True;000334.txt;0.5161887
000335.txt;True;000335.txt;0.4487902
000336.txt;False;020025.txt;0.501451
000337.txt;False;012047.txt;0.47365448
000338.txt;False;023093.txt;0.6815761
000339.txt;False;038493.txt;0.6909547
000341.txt;False;012094.txt;0.6066036
000342.txt;True;000342.txt;0.82022333
000343.txt;False;065122.txt;0.7046991
000344.txt;True;000344.txt;0.49208063
000345.txt;True;000345.txt;0.57548475
000346.txt;True;000346.txt;0.6214223
000347.txt;False;074684.txt;0.44843215
000348.txt;True;000348.txt;0.39253157
000349.txt;False;073187.txt;0.9109609
000350.txt;True;000350.txt;0.5277753
000351.txt;True;000351.txt;0.32846785
000352.txt;False;008125.txt;0.7803248
000353.txt;True;000353.txt;0.39668664
000354.txt;False;041020.txt;0.5745357
000355.txt;True;000355.txt;0.6430948
000356.txt;False;034730.txt;0.5047031
000357.txt;False;000176.txt;0.6614944
000358.txt;True;000358.txt;0.5123773
000359.txt;True;000359.txt;0.5497111
